dates,satname,nzd0464-0000,nzd0464-0001,nzd0464-0002,nzd0464-0003,nzd0464-0004,nzd0464-0005,nzd0464-0006,nzd0464-0007,nzd0464-0008,nzd0464-0009,nzd0464-0010,nzd0464-0011,nzd0464-0012,nzd0464-0013,nzd0464-0014,nzd0464-0015,nzd0464-0016,nzd0464-0017,nzd0464-0018,nzd0464-0019,nzd0464-0020,nzd0464-0021,nzd0464-0022,nzd0464-0023,nzd0464-0024,nzd0464-0025,nzd0464-0026,nzd0464-0027,nzd0464-0028,nzd0464-0029,nzd0464-0030,nzd0464-0031,nzd0464-0032,nzd0464-0033,nzd0464-0034,nzd0464-0035,nzd0464-0036,nzd0464-0037,nzd0464-0038,nzd0464-0039,nzd0464-0040,nzd0464-0041,nzd0464-0042,nzd0464-0043,nzd0464-0044,nzd0464-0045,nzd0464-0046,nzd0464-0047,nzd0464-0048,nzd0464-0049,nzd0464-0050,nzd0464-0051,nzd0464-0052,nzd0464-0053,nzd0464-0054,nzd0464-0055,nzd0464-0056,nzd0464-0059,nzd0464-0060,nzd0464-0061,nzd0464-0062,nzd0464-0063,nzd0464-0064,nzd0464-0065,nzd0464-0066,nzd0464-0067,nzd0464-0068,nzd0464-0069,nzd0464-0070,nzd0464-0071,nzd0464-0072,nzd0464-0073,nzd0464-0074,nzd0464-0075,nzd0464-0076,nzd0464-0077,nzd0464-0078,nzd0464-0079,nzd0464-0080,nzd0464-0081,nzd0464-0082,nzd0464-0083,nzd0464-0084,nzd0464-0085,nzd0464-0086,nzd0464-0087,nzd0464-0088,nzd0464-0089,nzd0464-0090,nzd0464-0091,nzd0464-0092,nzd0464-0093,nzd0464-0094,nzd0464-0095,nzd0464-0096,nzd0464-0097,nzd0464-0098,nzd0464-0099,nzd0464-0100,nzd0464-0101,nzd0464-0102,nzd0464-0103,nzd0464-0104,nzd0464-0105,nzd0464-0106,nzd0464-0107,nzd0464-0108,nzd0464-0109,nzd0464-0110,nzd0464-0111,nzd0464-0112,nzd0464-0113,nzd0464-0114,nzd0464-0115,nzd0464-0116,nzd0464-0117,nzd0464-0118,nzd0464-0119,nzd0464-0120,nzd0464-0121,nzd0464-0122,nzd0464-0123,nzd0464-0124,nzd0464-0125,nzd0464-0126,nzd0464-0127,nzd0464-0128,nzd0464-0129,nzd0464-0130,nzd0464-0131,nzd0464-0132,nzd0464-0133,nzd0464-0057,nzd0464-0058
1999-08-26 22:07:08.722000,L7,358.65,357.07,358.62,352.31,343.22,353.84,355.58,362.25,364.69,356.23,351.12,350.88,349.07,347.07,354.18,353.52,359.69,360.40,341.25,338.68,336.62,342.89,361.65,354.46,337.96,341.66,345.19,338.95,306.68,321.67,329.78,342.05,350.94,359.38,359.93,343.49,348.46,346.66,359.66,362.12,353.26,345.86,339.99,337.80,348.40,347.79,354.49,359.88,361.55,362.22,367.74,349.84,352.99,355.56,334.50,350.95,299.97,326.27,330.32,328.73,341.81,345.81,349.44,345.16,350.96,333.99,331.39,340.37,337.44,335.83,346.97,342.88,336.27,340.40,343.50,337.38,326.25,335.49,346.94,355.17,374.98,372.15,364.22,358.99,352.91,345.33,325.36,354.11,311.54,339.40,344.31,341.67,341.64,332.32,353.44,356.08,359.82,351.68,343.93,359.93,331.26,322.72,334.93,350.42,333.45,350.36,351.48,348.80,348.73,351.10,358.49,308.53,295.33,313.82,355.53,353.78,347.87,312.42,345.00,356.28,354.20,353.97,350.71,348.44,338.87,398.89,396.90,394.67,398.63,386.50,388.42,400.57,,
1999-09-27 22:07:12.757000,L7,396.83,392.75,393.93,395.29,393.22,394.53,398.11,383.83,390.28,368.76,385.19,385.42,376.03,386.44,389.39,389.92,388.15,,,,,,,,,,,,,,,,,,,396.87,393.74,391.57,382.88,,,,,,,,,,,,,,,,,,,,,,,,,362.60,364.38,357.87,350.73,345.19,341.65,345.70,345.46,393.96,385.00,355.59,351.55,344.55,358.52,366.14,402.82,380.86,399.24,398.81,403.92,394.95,405.22,397.01,,393.40,372.93,370.94,359.94,357.76,357.31,361.89,377.63,378.09,369.99,368.21,370.82,366.95,374.61,375.92,379.83,377.40,376.71,375.99,369.63,367.36,368.66,389.10,388.35,374.92,383.34,380.19,377.38,376.32,372.40,378.51,378.63,387.67,372.58,366.41,367.75,359.78,368.26,359.85,360.84,351.37,349.97,383.96,,,,
1999-10-13 22:07:12.582000,L7,361.64,358.14,357.54,352.48,353.50,356.28,356.43,349.89,332.41,341.56,339.69,349.58,333.42,339.48,340.07,339.63,339.45,349.21,348.09,346.74,346.66,360.73,353.98,343.65,346.86,342.94,343.10,355.01,352.23,338.28,353.97,356.75,349.79,345.07,345.35,345.56,331.92,,,,,,,,,,,355.42,354.44,342.50,350.33,336.24,294.45,294.35,292.93,300.22,286.63,299.34,341.02,350.84,350.62,351.92,374.11,368.57,394.46,388.14,371.66,374.00,373.28,367.01,377.10,361.82,,,,,384.01,359.65,359.89,369.45,365.76,412.08,,398.17,322.92,329.62,312.49,384.43,,314.99,309.70,326.16,312.13,297.62,311.05,311.16,314.58,314.48,319.62,314.43,310.86,295.93,300.16,294.68,,,,,274.00,285.95,286.62,302.03,284.73,298.71,293.58,292.07,293.59,296.22,290.28,279.88,275.29,290.99,298.73,305.48,305.76,303.31,306.09,298.49,282.50,284.12,274.67,,289.08,280.38
1999-11-30 22:06:59.059000,L7,345.87,340.58,341.36,342.51,338.96,345.94,343.74,353.58,339.32,347.96,345.48,348.36,340.17,336.70,332.41,308.72,317.80,334.22,338.88,346.76,341.24,355.81,354.96,351.39,353.57,343.34,338.07,382.04,344.36,339.19,337.75,339.20,340.63,354.94,344.52,351.28,350.71,357.00,358.83,357.07,354.01,356.46,350.02,367.70,390.34,370.77,376.62,374.21,336.51,342.83,365.77,382.10,332.10,317.00,301.44,305.09,288.73,306.61,342.00,361.28,351.34,351.75,350.70,368.88,344.19,336.41,339.10,339.45,341.47,344.34,341.27,332.84,325.00,332.28,330.32,340.34,345.45,344.34,352.86,366.78,396.84,372.14,323.84,319.51,339.03,344.84,326.15,352.51,340.65,350.38,341.77,349.70,328.98,308.82,342.14,352.43,350.73,339.97,349.21,328.04,327.12,325.62,321.99,340.84,331.27,327.78,331.62,313.65,315.41,342.05,327.24,338.47,351.77,350.35,355.90,330.70,325.82,362.62,349.75,355.94,344.54,340.76,351.55,337.44,331.21,326.10,327.22,309.32,303.20,301.14,291.57,,308.80,273.36
1999-12-16 22:07:09.748000,L7,,372.27,381.16,356.90,377.03,377.41,344.85,,,,,,374.62,371.87,370.66,,,,,,,,377.94,380.83,377.75,,,,,365.44,366.29,373.46,367.99,344.88,378.63,380.59,384.96,382.83,367.42,355.50,,,,,,,,,,,,,,,,,,335.19,365.19,368.12,366.21,339.97,366.05,364.01,370.60,368.14,363.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.61,348.58
2000-03-21 22:06:49.022000,L7,351.58,346.66,356.55,347.71,354.98,354.43,358.12,351.71,356.50,350.67,346.18,349.41,346.33,342.90,348.05,342.74,339.47,349.65,349.93,343.61,354.14,354.36,352.63,351.98,351.27,349.48,347.21,348.71,346.28,348.17,351.91,351.69,348.75,351.17,349.55,352.89,347.18,347.70,353.95,352.44,356.84,352.91,354.74,355.03,356.04,356.13,357.46,361.48,357.35,348.11,349.81,334.00,314.81,316.27,312.53,317.30,317.92,300.86,344.40,352.45,348.90,351.80,353.20,353.96,352.33,351.23,344.33,342.27,341.02,334.25,331.23,330.90,335.28,341.59,336.05,334.90,339.35,335.20,335.60,331.71,336.16,342.74,341.81,335.28,327.81,339.29,330.80,329.21,327.98,329.71,336.61,330.11,337.19,332.25,334.03,354.59,338.50,340.71,341.01,345.58,345.23,339.10,343.54,355.55,348.78,350.54,344.44,340.58,340.62,338.57,342.77,343.07,346.13,353.39,343.99,349.35,336.47,351.68,346.02,349.57,346.16,341.48,342.64,339.38,335.54,339.78,332.11,333.96,320.14,330.37,317.94,301.74,306.09,275.30
2000-05-08 22:06:20.956000,L7,353.81,345.87,345.79,342.86,352.18,353.82,351.43,349.23,348.99,346.33,347.67,346.29,343.34,339.14,342.15,342.25,345.05,342.73,347.11,343.52,350.52,348.42,352.07,352.67,351.90,349.14,346.50,344.74,342.77,352.31,352.58,350.29,351.40,348.07,349.64,350.63,346.48,353.20,349.32,353.61,350.57,352.10,356.53,358.82,353.93,355.87,357.20,356.92,354.16,349.56,345.79,345.26,314.36,308.83,311.47,312.91,309.65,307.32,345.66,350.69,348.14,352.80,350.16,354.51,347.09,343.21,343.07,337.81,334.29,329.12,319.87,333.56,331.36,334.30,340.29,331.74,322.90,331.67,327.54,330.12,337.61,330.13,335.06,335.37,325.30,331.70,328.04,328.67,317.36,337.28,328.71,331.74,325.10,337.66,335.25,323.55,333.87,333.70,339.30,344.75,339.60,339.15,343.73,346.35,342.10,339.43,332.04,329.50,324.53,329.91,328.52,334.37,339.55,348.71,347.04,341.73,338.28,351.37,342.18,347.61,350.72,343.62,335.87,347.25,335.47,336.07,339.29,331.45,329.20,324.13,320.04,297.48,283.85,268.76
2000-05-24 22:06:10.472000,L7,369.81,358.41,361.93,362.11,360.13,364.05,361.38,364.51,359.55,353.83,353.84,355.37,354.89,352.62,357.25,358.88,357.14,360.32,355.79,369.71,362.28,363.40,359.48,361.60,357.83,352.57,352.20,347.28,351.16,348.45,356.05,356.41,357.78,353.12,353.33,362.91,360.18,359.52,364.81,359.55,361.47,361.85,360.42,368.25,364.81,365.88,360.96,368.42,367.21,363.59,360.37,349.99,332.23,331.60,334.35,330.30,356.35,340.32,355.03,358.14,362.36,370.44,362.18,362.03,364.46,368.20,354.92,352.69,348.19,346.31,340.28,344.71,350.05,344.77,352.16,359.15,345.36,354.01,350.69,365.37,352.81,365.04,364.42,359.41,369.05,361.52,355.11,340.33,350.30,359.73,350.80,362.35,353.60,353.43,356.36,354.94,357.52,373.85,375.39,353.53,382.57,372.71,374.32,364.18,381.70,381.45,374.25,365.50,371.51,356.54,366.96,359.51,368.78,363.99,379.51,375.40,372.83,373.48,388.24,392.56,378.96,371.38,367.89,365.07,361.31,363.47,363.64,358.08,363.02,358.48,366.52,366.31,326.31,333.98
2000-07-27 22:05:24.302000,L7,355.52,344.05,386.05,347.04,353.91,353.16,357.65,354.57,366.96,340.21,344.18,348.36,341.36,340.14,350.07,341.57,341.95,349.13,343.70,352.55,350.71,349.56,359.55,352.03,350.78,343.69,357.43,355.11,341.33,342.10,352.03,364.83,352.96,352.40,349.77,350.83,347.69,349.66,387.02,357.48,353.54,351.41,354.00,356.20,362.10,359.52,362.10,366.86,389.54,371.76,352.67,344.27,307.03,344.21,341.85,324.57,315.53,332.23,375.79,384.90,385.71,361.08,354.12,357.32,366.51,356.66,360.82,365.08,346.29,348.62,342.76,342.24,337.84,333.82,345.80,340.57,339.68,331.62,349.80,335.01,346.61,350.19,339.83,338.77,357.42,357.06,375.54,340.69,349.41,356.12,340.00,345.37,357.66,396.20,355.03,357.99,394.66,368.70,363.35,366.52,362.77,359.26,350.63,371.80,365.33,349.16,344.97,354.67,343.23,361.99,357.84,352.24,366.96,358.67,369.62,360.37,356.76,366.03,355.44,350.52,360.81,369.85,360.79,347.16,388.59,361.16,373.74,349.02,346.29,382.66,327.33,,297.73,319.48
2000-08-12 22:05:17.927000,L7,356.92,368.46,357.36,350.63,357.21,358.28,363.85,353.83,340.36,360.85,349.44,351.47,351.20,347.39,347.66,351.76,352.46,346.21,351.66,352.74,354.99,355.13,356.43,356.20,352.78,352.66,356.03,349.22,344.92,349.70,356.51,353.84,349.11,356.28,348.60,357.34,306.69,352.29,355.70,358.35,351.17,358.31,358.00,360.51,319.43,356.10,360.62,368.56,357.73,356.93,352.78,325.37,298.62,294.22,299.43,291.81,339.68,310.11,357.79,349.05,364.81,360.26,350.05,367.70,357.28,356.25,353.41,350.91,354.59,348.60,339.58,337.83,323.02,346.49,337.71,344.38,350.85,327.40,343.19,318.61,321.83,318.74,327.34,306.92,318.10,315.94,333.18,347.97,349.30,313.55,345.25,315.64,361.49,384.34,405.33,361.74,385.86,390.76,380.63,380.95,380.04,374.56,369.07,356.82,382.45,345.35,374.50,373.05,349.07,376.38,353.28,382.21,366.57,375.47,366.83,382.55,382.76,377.42,368.25,358.09,354.58,354.04,355.26,370.23,364.51,389.70,375.33,365.27,368.08,360.24,352.30,,,
