dates,satname,nzd0051-0000,nzd0051-0001,nzd0051-0002,nzd0051-0003,nzd0051-0004,nzd0051-0005,nzd0051-0006,nzd0051-0007
1999-08-17 22:10:26.276000,L7,328.87,316.97,311.17,332.07,334.89,324.74,,
1999-09-27 22:04:25.056000,L7,364.12,373.92,373.01,393.32,409.97,426.85,422.77,392.52
1999-10-04 22:10:38.131000,L7,373.17,334.19,331.19,344.34,393.65,395.27,406.12,422.62
1999-11-14 22:04:18.343000,L7,347.90,319.54,323.62,343.40,348.02,343.11,317.73,330.37
2000-01-17 22:04:11.868000,L7,,,,,419.28,339.08,335.20,473.61
2000-05-24 22:03:22.722000,L7,,298.40,305.10,335.21,336.63,332.12,,
2000-08-03 22:08:44.137000,L7,321.33,317.69,320.15,331.89,328.25,323.06,,
2000-09-04 22:08:22.800000,L7,319.22,324.86,320.27,331.95,329.27,321.20,,
2000-09-13 22:02:02.316000,L7,339.52,317.51,323.65,340.25,346.79,329.53,338.26,326.96
2000-10-22 22:07:50.487000,L7,,341.10,325.91,345.99,350.90,325.24,,299.93
2001-03-15 22:07:52.114000,L7,370.18,365.56,421.21,341.26,337.85,324.81,,302.72
2001-03-24 22:01:35.778000,L7,,304.77,306.67,333.09,341.69,328.01,308.39,322.73
2001-06-03 22:07:16.736000,L7,315.26,304.65,308.84,328.50,328.53,318.38,,
2001-06-19 22:07:05.722000,L7,342.07,336.89,340.24,345.10,342.75,340.43,341.48,341.91
2001-08-15 22:00:14.727000,L7,,292.22,310.11,327.91,333.45,326.43,307.16,
2001-12-21 22:00:05.972000,L7,,,,,,,,319.97
2001-12-28 22:06:14.106000,L7,,,,,377.94,379.60,335.11,370.49
2002-01-22 22:00:16.971000,L7,,,,,,,,319.63
2002-01-29 22:06:21.478000,L7,368.98,333.72,329.97,375.56,360.76,334.58,337.95,396.08
2002-06-15 21:59:55.710000,L7,,298.35,315.36,331.56,331.59,326.67,310.28,315.11
2002-07-08 22:06:00.488000,L7,372.68,344.54,383.26,393.32,419.12,,,
2002-07-17 21:59:44.793000,L7,,309.09,321.98,334.20,337.39,338.55,348.20,327.96
2002-07-24 22:05:50.655000,L7,401.08,331.11,332.42,338.87,340.04,338.11,349.55,407.38
2002-10-12 22:05:14.598000,L7,329.68,314.68,319.49,334.89,339.51,,,309.79
2002-10-28 22:05:22.323000,L7,330.10,315.54,305.91,333.48,334.90,,,301.73
2002-11-13 22:05:30.425000,L7,,415.96,326.90,384.17,346.40,394.94,392.87,401.14
2003-01-09 21:59:45.950000,L7,,,,,,,,308.93
2003-05-24 22:06:17.162000,L7,,310.68,316.56,331.29,333.40,325.31,,
2004-09-16 21:55:17.605000,L5,306.82,301.81,322.80,329.57,336.30,333.21,327.03,
2004-11-19 21:56:31.297000,L5,304.76,293.07,315.68,328.54,324.40,325.43,330.06,
2005-09-26 22:05:42.687000,L5,324.41,320.94,330.31,336.59,326.64,328.53,324.82,
2006-06-25 22:10:20.606000,L5,323.60,316.58,326.10,330.46,320.94,322.18,320.48,
2006-09-29 22:11:34.525000,L5,324.05,326.40,334.49,340.93,331.23,332.19,330.95,
2006-11-25 22:06:19.953000,L5,,303.13,301.88,332.79,334.93,352.53,300.42,327.53
2006-12-11 22:06:28.205000,L5,340.08,355.97,371.50,393.23,397.22,414.73,396.98,413.87
2010-02-12 22:08:30.110000,L5,319.57,307.53,314.92,326.88,319.03,319.34,314.39,
2010-10-10 22:07:36.102000,L5,364.42,348.20,381.45,394.52,358.33,353.38,358.52,300.72
2011-03-12 22:01:19.581000,L5,310.74,294.72,313.53,325.06,322.03,319.78,326.14,
2011-09-04 22:00:03.630000,L5,314.61,303.33,323.37,334.45,330.37,335.80,331.12,
2013-09-25 22:13:17.289000,L8,318.31,323.55,336.15,348.01,346.17,347.87,351.82,330.96
2013-10-02 22:19:28.820000,L8,336.73,338.52,347.06,353.09,349.07,347.29,342.88,311.25
2013-10-18 22:19:25.762000,L8,337.76,340.86,345.78,355.39,349.12,349.45,345.67,314.98
2013-12-14 22:12:57.636000,L8,314.37,316.64,330.96,344.55,342.65,344.88,348.58,310.53
2014-01-31 22:12:28.855000,L8,307.73,300.32,319.82,337.42,337.70,321.29,317.63,
2014-02-07 22:18:33.391000,L8,320.12,307.02,321.32,338.52,330.49,,,
2014-02-23 22:18:20.398000,L8,324.65,324.23,332.66,342.23,333.60,,,
2014-04-05 22:11:34.747000,L8,330.35,331.79,345.65,354.93,352.57,358.06,356.83,351.81
2014-04-12 22:17:37.464000,L8,327.40,325.70,332.06,342.80,339.67,340.83,334.47,
2014-12-01 22:11:36.363000,L8,316.14,323.13,334.79,346.33,348.12,350.73,353.77,315.30
2015-02-19 22:11:13.759000,L8,317.03,320.98,330.64,345.65,344.88,344.06,347.67,325.87
2015-02-26 22:17:23.009000,L8,340.86,347.40,351.71,354.83,350.27,346.64,342.35,312.14
2016-03-09 22:11:16.948000,L8,,298.51,316.70,335.44,327.97,319.56,312.44,
2016-05-03 22:17:13.318000,L8,367.26,363.49,376.55,392.15,393.58,392.78,384.38,385.57
2016-09-08 22:17:48.858000,L8,320.40,317.52,325.04,340.17,331.38,,,
2016-09-24 22:17:49.840000,L8,332.14,330.48,339.15,348.17,342.95,339.49,337.59,
2016-10-10 22:17:54.274000,L8,332.97,333.19,342.27,351.96,345.59,343.75,340.98,
2017-02-24 22:11:18.074000,L8,310.25,312.07,328.92,341.87,341.47,341.69,344.55,
2017-06-16 22:11:07.889000,L8,,294.93,318.72,338.38,330.11,321.96,311.67,
2017-08-10 22:17:37.375000,L8,318.69,305.44,318.55,328.36,316.64,,,
2017-09-27 22:17:48.664000,L8,342.21,338.47,343.40,352.23,347.61,346.25,339.01,302.15
2018-01-10 22:11:30.163000,L8,327.32,329.84,343.81,357.12,352.18,355.42,359.20,332.39
2018-01-26 22:11:21.264000,L8,319.71,328.35,341.87,355.32,351.03,352.18,354.78,325.95
2018-04-07 22:16:59.037000,L8,364.52,371.47,369.58,373.91,364.47,364.01,362.69,360.39
2018-05-25 22:16:28.178000,L8,336.66,334.34,343.47,350.85,343.37,339.16,339.70,
2018-08-06 22:10:46.333000,L8,,297.97,318.70,340.09,333.85,324.68,309.64,
2018-09-07 22:11:00.442000,L8,320.19,327.24,341.59,352.22,351.26,353.95,355.00,334.96
2019-01-04 22:17:27.803000,L8,333.85,334.55,341.05,348.18,342.37,341.90,337.24,303.56
2019-02-14 22:11:09.519000,L8,311.46,306.97,306.16,341.16,340.02,338.93,313.60,
2019-03-02 22:11:05.349000,L8,304.98,303.35,301.02,334.71,332.98,,,
2019-09-26 22:11:45.238000,L8,334.64,327.01,340.42,350.07,354.12,356.56,357.63,336.93
2019-11-29 22:11:44.191000,L8,318.32,323.05,332.78,347.61,345.20,344.05,348.48,320.85
2019-12-22 22:17:51.823000,L8,332.11,331.19,339.17,348.00,341.68,342.17,339.65,299.14
2020-02-01 22:11:29.826000,L8,,,,339.73,340.82,322.30,314.38,
2020-02-24 22:17:35.189000,L8,324.63,320.41,,,,,,
2020-03-27 22:17:20.128000,L8,318.76,313.10,310.18,329.37,322.04,,,
2020-07-01 22:17:22.957000,L8,325.23,323.92,331.04,342.31,331.47,,,
2020-09-03 22:17:46.393000,L8,318.87,319.04,320.70,338.16,324.71,,,
2020-09-12 22:11:38.984000,L8,322.20,329.01,341.59,354.05,350.88,355.03,356.57,334.43
2020-09-19 22:17:52.015000,L8,324.77,320.92,323.58,339.50,326.90,,,
2021-03-23 22:11:13.381000,L8,328.40,332.29,346.57,354.27,352.50,355.47,356.66,349.82
2021-10-01 22:11:46.773000,L8,317.99,327.13,338.67,351.55,350.12,353.93,356.38,349.41
2022-03-26 22:11:11.888000,L8,319.20,326.04,334.82,347.38,346.22,347.65,350.13,326.16
2022-06-13 22:17:12.050000,L9,328.21,327.71,332.53,344.98,334.55,,,
2022-07-15 22:17:24.696000,L9,323.65,322.34,322.80,339.48,321.98,,,
2022-09-17 22:17:54.625000,L9,320.55,323.68,321.61,339.71,329.96,,,
2023-03-13 22:11:23.206000,L8,308.12,314.71,319.11,,,,,
2023-05-16 22:10:40.417000,L8,328.29,333.20,346.75,357.46,354.34,358.32,358.06,349.53
2023-07-10 22:17:17.518000,L8,325.95,323.18,326.66,340.85,329.57,,,
2023-08-03 22:17:19.817000,L9,323.60,322.31,316.47,,,,,
2023-08-11 22:17:27.875000,L8,323.00,322.49,322.16,339.03,329.75,,,
2023-08-28 22:11:20.303000,L9,,293.76,319.85,340.26,337.21,335.09,313.42,
2023-10-07 22:11:33.192000,L8,306.27,309.23,323.30,341.52,336.53,342.53,340.54,
2023-10-14 22:17:45.774000,L8,320.10,320.17,321.60,338.47,327.15,,,
2023-10-15 22:11:39.127000,L9,322.24,330.53,342.19,353.32,349.97,352.73,354.84,341.88
2023-12-17 22:17:48.418000,L8,342.12,339.90,352.99,355.20,348.42,345.89,342.36,323.46
2023-12-18 22:11:45.147000,L9,314.60,311.10,319.37,342.94,345.02,336.48,318.89,
2024-02-19 22:17:39.652000,L8,341.01,344.09,350.05,356.50,349.50,346.29,340.94,323.72
2024-02-27 22:17:43.972000,L9,330.81,324.47,324.62,341.04,333.28,334.05,,
2024-04-15 22:17:28.257000,L9,332.26,329.26,331.42,344.95,340.37,341.17,,
2024-05-02 22:10:44.568000,L8,321.10,327.30,338.45,349.71,347.81,349.57,349.84,340.76
2024-12-04 22:11:36.525000,L9,327.84,334.63,340.85,354.86,353.87,356.58,356.97,344.92
2025-03-25 22:17:16.100000,L8,362.44,364.22,369.00,369.74,358.46,355.35,355.56,353.89
2025-05-20 22:17:06.544000,L9,325.31,325.10,329.78,,,,,
2025-06-21 22:17:14.951000,L9,334.39,334.38,343.70,350.23,345.27,342.19,338.28,296.70
2025-08-08 22:17:36.495000,L9,324.70,316.64,319.50,,,,,
2025-10-19 22:17:50.450000,L8,340.58,344.67,350.15,353.95,349.99,349.53,346.23,334.53
