dates,nzd0254-0000,nzd0254-0001,nzd0254-0002,nzd0254-0003,nzd0254-0004,nzd0254-0005,nzd0254-0006,nzd0254-0007,nzd0254-0008,nzd0254-0009,nzd0254-0010,nzd0254-0011,nzd0254-0012,nzd0254-0013,nzd0254-0014,nzd0254-0015,nzd0254-0016,nzd0254-0017,nzd0254-0018,nzd0254-0019,nzd0254-0020,nzd0254-0021,nzd0254-0022,nzd0254-0023,nzd0254-0024,nzd0254-0025,nzd0254-0026,nzd0254-0027,nzd0254-0028,nzd0254-0029,nzd0254-0030,nzd0254-0031,nzd0254-0032,nzd0254-0033,nzd0254-0034,nzd0254-0035,nzd0254-0036,satname
1999-09-22 21:47:00+00:00,,,,,,,,,,,,,,,304.15,261.79,273.57,276.21,271.26,264.88,265.24,,286.59,,229.73,239.77,,,295.15,,,,,282.56,284.78,326.84,342.24,L7
1999-10-24 21:46:56+00:00,,,,,,,,,,,,,,,304.15,261.79,273.57,276.21,271.26,264.88,265.24,,286.59,,229.73,239.77,,,295.15,,,,,282.56,284.78,326.84,346.045,L7
2000-02-13 21:46:48+00:00,,,,,,,,,,,,,,,298.575,261.79,273.57,276.21,271.26,264.88,265.24,,286.59,244.85,229.73,239.77,,,295.15,,,,,282.56,284.78,342.255,346.045,L7
2000-04-01 21:46:34+00:00,,,,,,,,,,,,,,,293.0,284.88,,,,,,,,244.85,,,,,,,,,,,,357.67,349.85,L7
2000-05-19 21:46:07+00:00,,,,,,,,,,,,,,,293.0,284.88,,,,,,,,244.85,,,,,,,,,,,,357.67,346.83,L7
2000-08-07 21:45:08+00:00,,,225.84,,,,,,,,,,,,296.065,284.88,,,,,,,,244.85,,,,,298.9,,,,290.36,,,357.67,345.89,L7
2001-04-04 21:44:06+00:00,,,,,,,,,,,,,,,,286.8,,,,,,,,,214.29,,,,308.89,,310.57,,,310.02,287.75,,,L7
2001-04-20 21:44:10+00:00,,,,,,,,,,,,,,,,286.8,,,,,,,,,214.29,,,,305.42499999999995,,310.57,,311.97,310.02,288.405,,,L7
2001-05-22 21:43:54+00:00,,,,,,,,,,,,,,,,286.8,,,,,,,,,214.29,,,,305.42499999999995,,310.57,,311.97,310.02,288.405,333.64,341.08,L7
2001-07-25 21:43:18+00:00,,,,,,,,,,,,,,,299.0,286.8,,,,,,,,,214.29,,,,301.20666666666665,,310.57,,311.97,310.02,288.405,333.64,341.85,L7
2001-08-10 21:43:00+00:00,,,,,,,,,,,,,,,299.0,286.8,,,,,,,,,214.29,,,,301.20666666666665,,310.57,,311.97,307.77,288.405,333.64,341.85,L7
2001-10-13 21:42:15+00:00,,245.08,219.57,240.52,251.55,,,,218.74,190.56,235.15,268.03,,264.06,299.0,290.15,252.15,270.77,269.61,262.61,261.9,,284.32,280.4,193.03,211.87,,,293.05333333333334,,,,311.97,301.195,282.755,328.015,340.45666666666665,L7
