dates,satname,nzd0254-0000,nzd0254-0001,nzd0254-0002,nzd0254-0003,nzd0254-0004,nzd0254-0005,nzd0254-0006,nzd0254-0007,nzd0254-0008,nzd0254-0009,nzd0254-0010,nzd0254-0011,nzd0254-0012,nzd0254-0013,nzd0254-0014,nzd0254-0015,nzd0254-0016,nzd0254-0017,nzd0254-0018,nzd0254-0019,nzd0254-0020,nzd0254-0021,nzd0254-0022,nzd0254-0023,nzd0254-0024,nzd0254-0025,nzd0254-0026,nzd0254-0027,nzd0254-0028,nzd0254-0029,nzd0254-0030,nzd0254-0031,nzd0254-0032,nzd0254-0033,nzd0254-0034,nzd0254-0035,nzd0254-0036
1999-08-21 21:46:56.985000,L7,302.91,260.06,235.57,259.48,284.51,315.73,258.82,444.14,410.81,442.52,317.80,317.22,316.72,331.56,329.86,333.83,464.35,450.57,452.19,458.16,448.70,364.82,543.86,537.27,454.99,479.29,458.09,343.47,304.83,342.05,355.59,360.24,374.72,379.44,384.01,391.26,414.50
1999-09-22 21:47:00.785000,L7,287.95,263.03,228.85,246.05,265.57,311.97,263.39,268.40,284.24,288.92,297.83,226.48,214.53,,304.15,261.79,273.57,276.21,271.26,264.88,265.24,265.27,286.59,185.53,229.73,239.77,323.84,331.84,295.15,326.81,214.31,330.95,333.61,282.56,284.78,326.84,342.24
1999-10-24 21:46:56.203000,L7,318.52,312.87,239.35,321.78,314.29,322.84,325.01,290.30,302.58,303.69,346.76,348.62,349.86,372.37,381.80,344.23,370.68,358.11,362.36,372.90,328.46,376.30,389.47,400.02,411.70,432.43,441.35,440.79,424.19,435.32,416.39,406.07,391.47,392.03,389.18,366.00,349.85
2000-02-13 21:46:48.016000,L7,270.87,251.01,210.16,259.96,271.79,282.18,277.06,287.55,283.25,280.64,288.99,294.50,298.92,316.89,293.00,296.22,286.35,279.35,282.51,276.50,284.80,312.56,326.06,244.85,315.32,316.56,325.73,338.86,341.40,342.47,337.86,316.82,324.32,358.64,367.98,357.67,421.13
2000-04-01 21:46:34.573000,L7,313.41,269.50,248.50,260.38,314.86,424.80,425.02,424.21,433.08,449.70,461.58,515.80,501.06,493.74,497.24,284.88,317.45,457.80,440.25,479.93,473.17,499.50,498.48,496.70,510.76,511.20,495.16,497.69,498.88,488.52,509.59,524.43,472.41,492.00,400.83,395.77,416.65
2000-05-03 21:46:19.161000,L7,267.96,238.15,228.22,248.78,261.88,318.86,240.24,256.92,279.94,299.18,324.44,200.58,236.68,268.61,311.23,294.10,464.28,433.46,379.23,378.75,318.98,285.44,518.65,488.13,193.53,,,527.70,318.72,304.40,253.86,345.60,248.79,180.01,,,
2000-05-19 21:46:07.873000,L7,295.36,387.58,376.82,383.27,416.74,419.91,417.67,434.80,410.55,296.39,321.39,339.40,418.50,404.93,448.92,425.72,419.44,355.61,355.23,368.15,300.07,304.84,316.24,327.25,384.50,386.89,394.68,382.20,383.24,352.31,386.36,376.89,385.55,389.19,391.87,407.88,346.83
2000-08-07 21:45:08.975000,L7,281.01,249.74,225.84,244.17,263.20,301.66,241.44,260.56,279.50,288.26,299.47,311.58,306.94,326.47,299.13,299.77,329.18,329.19,332.07,293.13,305.79,313.64,322.30,319.47,334.42,340.09,338.51,323.82,298.90,229.42,303.80,353.60,290.36,360.78,366.42,373.65,344.95
2000-11-27 21:44:26.720000,L7,318.25,330.29,420.81,475.17,475.31,300.56,404.56,322.11,326.67,282.99,422.33,413.41,351.51,342.71,313.76,267.49,341.36,353.36,314.05,343.12,336.73,327.54,344.74,353.87,352.59,355.15,359.34,355.67,288.12,294.65,311.74,354.19,358.19,311.37,299.80,349.81,349.19
2001-04-04 21:44:06.948000,L7,310.06,250.45,477.86,459.87,459.12,491.05,487.75,481.51,503.00,526.07,501.95,517.15,319.04,336.11,349.69,286.80,363.49,371.14,330.54,369.97,371.48,344.41,363.10,391.84,214.29,332.33,342.43,347.27,308.89,345.62,310.57,325.63,348.46,310.02,287.75,394.39,413.73
2001-04-20 21:44:10.657000,L7,319.76,251.32,235.65,255.70,323.00,417.42,333.62,332.31,345.29,292.09,291.39,315.30,467.56,478.60,494.21,474.90,484.68,381.30,360.63,349.29,376.98,383.04,381.45,388.36,389.25,384.08,381.77,404.22,301.96,353.25,358.19,316.15,311.97,360.54,289.06,398.59,410.23
2001-05-22 21:43:54.652000,L7,286.85,377.10,371.69,381.28,409.93,428.66,448.23,463.43,465.04,425.11,307.86,314.06,312.48,327.64,317.61,305.58,363.49,371.67,377.75,366.50,384.98,343.07,345.51,342.76,343.81,342.03,361.48,385.20,389.11,358.11,350.10,379.23,382.37,349.11,349.75,333.64,341.08
2001-07-25 21:43:18.753000,L7,268.03,235.52,219.62,241.48,254.35,301.31,,233.54,277.25,286.71,299.59,293.30,300.65,310.85,299.00,305.23,327.69,325.40,331.47,313.85,320.69,323.27,299.38,346.74,332.08,337.69,334.66,308.51,292.77,331.67,348.83,346.29,351.01,356.38,365.36,389.72,342.62
2001-08-10 21:43:00.495000,L7,289.92,391.34,398.85,364.80,285.82,335.96,247.52,380.60,386.48,396.98,402.09,434.76,438.54,413.40,446.13,491.52,442.84,408.11,425.48,372.80,383.15,379.53,429.07,418.73,345.48,459.24,483.89,519.42,503.22,488.42,523.31,228.60,257.32,305.52,340.05,372.23,474.39
2001-09-11 21:42:38.257000,L7,422.73,392.62,393.30,342.61,350.21,438.79,519.93,,,,474.94,511.13,517.11,512.79,514.59,504.87,420.81,460.67,495.29,489.51,512.23,519.25,524.35,447.30,489.98,479.19,464.34,486.20,492.09,392.92,463.24,451.88,490.00,529.04,486.69,528.36,523.34
2001-09-27 21:42:29.269000,L7,372.00,388.01,403.49,464.11,391.35,382.80,461.52,380.41,498.33,473.70,439.92,519.90,,,,,,514.54,519.14,487.16,499.74,496.60,482.07,,,,,,,,,,,,,,
2001-10-13 21:42:15.922000,L7,277.30,245.08,219.57,240.52,251.55,297.31,253.95,257.02,218.74,190.56,235.15,268.03,302.12,264.06,244.02,290.15,252.15,270.77,269.61,262.61,261.90,,284.32,280.40,193.03,211.87,250.06,257.43,284.43,,323.40,332.80,329.45,296.87,276.45,322.39,337.67
2001-10-29 21:42:21.289000,L7,429.94,426.21,420.58,263.05,281.11,331.62,326.77,310.81,332.07,333.64,380.90,338.81,378.65,387.87,432.60,321.44,393.43,403.30,389.05,377.26,378.64,390.85,398.28,408.93,402.52,412.17,425.05,447.42,435.35,437.65,421.69,411.80,411.16,411.49,418.94,427.19,433.11
2002-01-17 21:42:52.816000,L7,298.45,287.21,229.85,260.67,282.79,316.67,287.83,298.77,305.79,168.06,249.59,261.06,261.08,278.66,263.23,313.65,306.38,310.91,307.41,298.41,298.62,307.55,317.57,319.05,310.23,312.39,311.64,309.34,301.87,359.47,361.24,358.96,359.72,374.98,386.36,394.24,379.31
2002-02-02 21:42:54.721000,L7,218.62,205.32,205.50,228.21,239.79,276.33,254.21,249.59,209.61,196.03,252.07,299.20,299.14,311.85,303.62,290.24,310.97,297.93,,305.35,312.41,318.91,329.23,326.18,316.93,322.79,323.21,303.80,279.49,310.32,323.41,326.41,328.90,321.93,285.32,284.47,343.29
2002-02-18 21:42:54.191000,L7,266.41,235.92,216.93,236.84,241.10,266.10,240.55,226.25,263.84,246.23,216.80,260.72,247.11,467.03,488.13,478.41,470.12,456.77,,,,177.84,171.12,161.27,223.40,224.94,249.33,294.96,283.49,317.26,331.61,331.00,329.09,316.62,295.55,322.87,347.35
2002-04-07 21:42:52.870000,L7,253.02,189.87,203.75,185.47,192.48,264.58,214.69,,170.57,239.22,216.75,207.69,180.23,229.23,301.90,307.89,374.69,374.19,298.03,343.52,352.35,389.02,386.07,355.31,359.38,386.81,391.27,382.10,383.36,291.61,325.13,327.55,328.98,211.06,304.22,430.55,422.43
2002-09-14 21:41:55.072000,L7,292.92,266.09,241.07,477.14,478.35,470.72,449.14,489.38,458.39,419.84,405.28,464.67,324.57,341.64,350.44,326.05,300.66,352.64,308.10,346.34,343.28,349.06,371.13,370.88,352.51,352.84,362.49,344.60,310.63,347.09,364.40,363.34,358.09,362.99,373.34,390.91,407.23
2002-09-30 21:41:47.719000,L7,,,,336.04,486.59,440.15,424.64,448.71,449.34,501.06,492.63,515.82,,,,,,517.11,469.51,463.30,483.80,487.79,489.45,488.61,463.83,455.92,460.75,445.70,468.08,456.50,439.83,458.36,448.42,437.22,466.68,478.28,473.44
2002-11-01 21:41:54.382000,L7,413.60,366.94,425.19,418.73,347.70,351.47,368.02,378.85,375.86,375.54,440.76,464.80,518.43,519.21,482.21,296.44,317.72,310.15,303.82,300.47,307.56,313.89,325.41,329.88,325.46,322.28,320.13,289.08,433.79,424.53,423.66,422.96,415.20,420.79,412.72,412.40,424.86
2003-01-20 21:42:33.373000,L7,353.12,316.82,294.68,288.90,296.98,321.67,305.97,334.79,321.96,352.35,327.87,338.47,428.38,463.64,426.33,299.44,305.14,304.74,299.77,292.92,292.86,306.15,328.01,314.81,308.67,306.81,304.91,303.09,378.76,322.52,329.39,322.16,322.58,371.82,368.06,387.38,411.93
2003-02-05 21:42:41.878000,L7,427.62,371.50,392.96,348.11,375.76,342.30,306.26,285.76,307.33,474.15,466.90,480.41,531.27,499.35,530.27,328.92,228.66,248.69,262.82,247.07,426.25,185.35,285.40,424.02,246.49,222.87,349.15,351.44,323.10,353.05,359.15,323.70,389.20,403.06,288.63,385.36,406.92
2003-02-21 21:42:44.547000,L7,374.60,351.74,358.87,374.02,349.32,390.15,388.18,393.69,418.05,426.48,376.35,278.28,283.38,305.10,401.01,308.24,308.38,308.86,304.13,294.14,294.89,305.24,317.60,315.96,307.94,304.97,301.77,377.57,363.12,396.74,402.99,358.91,402.20,388.67,377.00,390.13,413.17
2003-05-12 21:42:48.091000,L7,262.95,223.30,210.55,231.81,242.76,277.93,173.25,217.23,262.87,269.65,261.22,240.87,216.27,,287.72,286.57,278.16,284.42,285.32,232.21,242.44,281.96,292.71,288.75,314.52,,157.85,237.53,279.90,241.71,228.34,204.42,201.65,191.69,278.38,322.72,342.71
2003-05-28 21:42:46.560000,L7,296.98,263.54,233.81,260.29,277.12,307.22,287.19,507.18,512.29,504.79,499.63,486.98,492.19,485.07,510.34,516.36,517.13,534.13,517.64,525.02,415.38,397.25,411.15,397.30,407.79,405.93,412.05,422.05,412.81,407.41,402.77,401.53,403.70,415.29,403.37,409.46,439.17
2003-07-23 21:30:38.185000,L5,273.55,236.64,232.91,253.54,275.11,309.19,268.53,270.04,285.29,292.13,299.09,310.08,314.80,320.24,311.85,307.63,323.56,328.76,322.40,318.49,315.60,323.83,337.78,336.09,325.78,327.25,330.91,324.27,278.20,,312.87,306.17,340.47,356.25,364.89,211.35,359.60
2003-09-25 21:31:42.973000,L5,297.29,267.42,245.66,260.11,283.55,323.27,288.71,286.41,296.47,305.84,319.07,326.00,332.50,333.09,324.23,310.86,332.18,335.05,326.78,327.33,328.38,335.09,348.28,346.91,345.07,334.71,336.65,325.09,297.11,320.50,340.11,343.40,348.51,350.61,353.20,368.44,391.54
2003-11-28 21:32:34.027000,L5,302.44,284.34,268.66,278.73,297.16,335.67,297.94,303.26,302.12,310.72,319.07,322.59,328.13,336.19,340.75,344.63,353.93,350.15,348.07,342.39,347.00,338.01,346.52,344.68,338.86,336.36,342.05,354.29,317.07,350.62,352.05,355.79,361.47,361.62,350.20,365.16,390.49
2003-12-30 21:32:48.382000,L5,261.84,250.69,232.92,254.19,267.41,301.25,280.87,282.31,295.29,303.44,311.58,314.77,320.56,322.59,307.83,294.25,309.37,320.64,311.38,311.77,328.76,339.68,345.52,357.88,307.08,283.18,333.42,284.34,245.87,192.86,216.75,203.08,,,,,
2004-03-19 21:33:10.985000,L5,294.49,263.11,236.72,259.18,270.18,319.04,276.42,279.00,288.99,297.44,310.85,315.46,318.31,327.67,316.43,306.55,325.83,331.00,324.15,320.34,325.53,334.69,346.30,340.65,331.41,332.98,342.47,322.99,301.99,320.36,336.06,348.39,342.82,347.32,346.52,361.46,384.30
2004-05-06 21:34:22.023000,L5,297.74,283.41,254.60,281.53,288.66,319.42,284.51,300.72,304.43,323.79,323.26,329.26,336.25,341.29,339.31,346.15,343.57,347.66,344.88,339.27,340.28,350.88,357.55,344.71,344.04,339.39,349.83,344.58,318.88,337.99,351.96,351.45,354.48,358.11,358.26,375.55,400.25
2004-06-07 21:35:18.585000,L5,271.71,231.04,224.65,244.90,255.72,287.02,239.21,250.99,268.47,274.35,287.73,291.57,303.43,309.21,302.74,294.99,312.00,318.95,311.43,304.20,301.97,309.32,327.53,324.60,315.50,323.57,323.39,317.86,298.70,319.30,334.78,336.86,333.16,316.40,,,
2004-06-23 21:35:46.683000,L5,271.58,223.52,204.74,237.65,239.28,279.47,167.84,238.45,264.77,265.25,278.46,280.12,275.23,,289.75,286.68,299.15,304.92,294.16,295.49,294.92,303.35,305.77,315.37,306.61,311.05,319.80,281.00,290.04,304.72,321.89,326.89,323.79,319.45,329.00,320.23,348.92
2004-07-25 21:36:37.854000,L5,296.88,279.18,252.61,273.07,287.30,318.63,280.31,294.56,308.41,317.02,331.61,335.93,345.44,350.03,352.24,340.55,346.35,345.44,336.24,330.39,338.36,355.76,369.70,365.61,362.06,357.80,359.55,361.93,307.61,348.53,355.00,357.93,358.21,362.72,371.77,386.11,406.14
2004-08-10 21:36:32.804000,L5,318.14,294.72,279.75,295.33,298.28,323.57,302.38,307.51,322.20,320.96,345.03,344.32,357.71,361.76,379.04,397.25,379.88,362.79,354.24,349.61,357.99,363.59,379.34,376.07,367.09,372.00,371.34,381.60,379.18,379.60,373.79,375.25,369.64,380.58,381.61,388.29,412.65
2004-09-11 21:37:49.351000,L5,285.51,255.73,237.97,255.42,279.08,319.92,282.82,275.44,294.56,297.59,312.98,315.04,324.55,327.09,320.66,309.45,324.31,328.29,323.63,319.25,319.87,324.83,342.22,341.74,340.47,338.88,341.89,327.75,299.10,322.38,343.98,349.96,344.34,340.54,343.06,357.37,389.47
