dates,nzd0537-0000,nzd0537-0001,nzd0537-0002,nzd0537-0003,nzd0537-0004,nzd0537-0005,nzd0537-0006,nzd0537-0007,nzd0537-0034,nzd0537-0035,nzd0537-0036,nzd0537-0037,nzd0537-0038,nzd0537-0039,nzd0537-0040,nzd0537-0041,nzd0537-0042,nzd0537-0043,nzd0537-0044,nzd0537-0045,nzd0537-0046,nzd0537-0047,nzd0537-0048,nzd0537-0049,nzd0537-0050,nzd0537-0051,nzd0537-0052,nzd0537-0053,nzd0537-0054,nzd0537-0055,nzd0537-0056,nzd0537-0057,nzd0537-0058,nzd0537-0059,nzd0537-0060,nzd0537-0061,nzd0537-0062,nzd0537-0063,nzd0537-0064,nzd0537-0065,nzd0537-0066,nzd0537-0067,nzd0537-0068,nzd0537-0069,nzd0537-0070,nzd0537-0071,nzd0537-0072,nzd0537-0073,nzd0537-0074,nzd0537-0075,nzd0537-0076,nzd0537-0077,nzd0537-0078,nzd0537-0079,nzd0537-0080,nzd0537-0081,nzd0537-0082,nzd0537-0083,nzd0537-0084,nzd0537-0085,nzd0537-0086,nzd0537-0087,nzd0537-0088,nzd0537-0089,nzd0537-0090,nzd0537-0091,nzd0537-0092,nzd0537-0093,nzd0537-0094,nzd0537-0095,nzd0537-0098,nzd0537-0099,nzd0537-0100,nzd0537-0104,nzd0537-0105,nzd0537-0106,nzd0537-0107,nzd0537-0108,nzd0537-0109,nzd0537-0110,nzd0537-0111,nzd0537-0112,nzd0537-0113,nzd0537-0114,nzd0537-0115,nzd0537-0116,nzd0537-0117,nzd0537-0118,nzd0537-0119,nzd0537-0120,nzd0537-0121,nzd0537-0122,nzd0537-0123,nzd0537-0124,nzd0537-0125,nzd0537-0126,nzd0537-0127,nzd0537-0128,nzd0537-0129,nzd0537-0008,nzd0537-0009,nzd0537-0010,nzd0537-0011,nzd0537-0012,nzd0537-0013,nzd0537-0014,nzd0537-0015,nzd0537-0016,nzd0537-0017,nzd0537-0018,nzd0537-0019,nzd0537-0020,nzd0537-0021,nzd0537-0022,nzd0537-0023,nzd0537-0024,nzd0537-0025,nzd0537-0026,nzd0537-0027,nzd0537-0028,nzd0537-0030,nzd0537-0031,nzd0537-0032,nzd0537-0033,nzd0537-0096,nzd0537-0097,nzd0537-0101,nzd0537-0102,nzd0537-0103,nzd0537-0130,nzd0537-0131,nzd0537-0132,nzd0537-0133,nzd0537-0134,nzd0537-0135,nzd0537-0136,nzd0537-0029,nzd0537-0137,nzd0537-0138,satname
1999-08-08 22:19:52+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.97,,,,,,,,328.59,,,,,,,,,,,,,,,,,,293.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-11-05 22:13:40+00:00,,,170.16,197.4,206.34,205.52,200.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.97,,,,,,,,328.59,,,,,,,,,,,,,,376.58,383.04,366.99,369.72,293.44,,,,,,417.61,411.48,387.51,394.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.14,,,,,,,,,,,L7
1999-12-07 22:13:41+00:00,,,170.16,197.4,206.34,205.52,200.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.97,,,,,,,,328.59,,,,,,,,,324.46,,,,372.31,357.945,375.68,358.78999999999996,356.27,293.44,,,,,,405.555,401.46000000000004,380.595,385.985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.94,,308.14,,,,,,,,,,,L7
1999-12-30 22:19:45+00:00,,,170.16,197.4,206.34,205.52,200.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.97,,,,,,,,328.59,,,,,,,,,324.46,,,,372.31,357.945,375.68,358.78999999999996,345.77,308.27,319.84,327.58,,,,405.555,377.82,380.595,385.985,,,236.62,205.07,,,159.38,174.34,,,,,,,,,,,,,,,,,,,,,,,,,,366.11,360.17,359.94,,308.14,187.72,,,,,,,,,,L7
2000-04-20 22:19:15+00:00,,,170.16,197.4,206.34,205.52,200.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.79499999999996,,331.07,,361.19,353.24,367.3533333333333,359.76,341.9975,327.09000000000003,339.54999999999995,329.41999999999996,,,,405.555,377.82,380.595,385.985,,,236.62,205.07,,,159.38,174.34,,,,,,,,,,,,,,,,,,,,,,,,,,376.405,366.36,348.365,,324.875,187.72,,,,,,,,,,L7
2000-05-22 22:18:57+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.35,,,,336.79499999999996,,331.07,,361.19,341.57000000000005,359.51,356.145,332.75666666666666,327.09000000000003,339.54999999999995,329.41999999999996,,,,393.5,329.48333333333335,313.515,313.995,,242.09,225.43,185.45499999999998,,,159.38,174.34,,,,,,,,,,,,,,,,,,,,,,,,,,376.405,366.36,348.365,,341.61,187.72,,,,,,,,,,L7
2000-05-31 22:12:42+00:00,,,,,,,,,,,,,,,,,,,254.59,,,,,,274.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.94,,,,336.79499999999996,,331.07,,361.19,341.57000000000005,359.51,356.145,314.615,327.09000000000003,339.54999999999995,329.41999999999996,,,,393.5,319.64750000000004,303.93666666666667,305.02666666666664,288.39,255.45,225.43,185.45499999999998,,,160.735,171.79000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,376.405,366.36,348.365,,341.61,187.72,,,,,,,,,,L7
2000-09-27 22:17:24+00:00,,,,,,,,,,,,,,,,,,,254.59,,,,,,274.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.94,367.22,,,349.13,,331.07,,350.07,343.83,350.7,330.735,296.83666666666664,314.53499999999997,331.52,317.54499999999996,307.48,319.02,326.18,,288.99666666666667,277.5933333333333,272.3633333333333,277.37,250.52333333333334,218.115,177.43,,,162.09,169.24,,,,,,,,,,,,,,,,,,,,,,,,,,372.195,360.03,336.79,,341.61,,,,,,,,,,,L7
2000-10-29 22:17:19+00:00,,,,,,,,,,,,,,,,,,,254.59,,,,,,274.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.94,367.22,,,,,292.37,,313.42,365.35,341.5,309.315,290.1333333333333,305.63,305.84,312.63,316.405,328.705,330.22,367.2,300.06,291.72249999999997,286.63,277.37,250.52333333333334,218.115,177.43,278.15,,162.09,169.24,,,,,,,,,,,,,,,,,,,,,,,,,,357.69,347.51,,297.29,,,,,,,231.2,213.02,,,,L7
2001-03-22 22:17:09+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.725,,352.76,341.76,,315.065,337.19,323.56,348.20500000000004,333.79499999999996,314.2366666666667,310.74,311.1433333333334,310.7,317.24,320.02666666666664,327.18666666666667,329.7633333333333,352.255,320.33,312.24666666666667,302.27333333333337,270.045,250.01500000000004,221.53,192.07,278.15,,192.77,206.24,,,,,,,,,,,,,,,,,,,,,,,,,,362.69,353.91999999999996,341.74,316.595,345.23,222.98,,,,,231.2,231.695,,,,L7
