dates,satname,nzd0266-0000,nzd0266-0001,nzd0266-0002,nzd0266-0003,nzd0266-0004,nzd0266-0005,nzd0266-0006,nzd0266-0007,nzd0266-0008,nzd0266-0009,nzd0266-0010,nzd0266-0011,nzd0266-0012,nzd0266-0014,nzd0266-0015,nzd0266-0016,nzd0266-0017,nzd0266-0018,nzd0266-0019,nzd0266-0020,nzd0266-0021,nzd0266-0022,nzd0266-0023,nzd0266-0024,nzd0266-0025,nzd0266-0026,nzd0266-0027,nzd0266-0028,nzd0266-0029,nzd0266-0030,nzd0266-0013
2000-01-10 21:59:16.407000,L7,300.01,310.55,309.79,350.21,311.95,336.29,302.56,315.79,318.64,314.45,339.73,318.18,299.80,302.41,296.89,303.96,302.22,311.48,323.46,319.70,320.64,324.03,330.02,332.96,325.16,330.35,325.76,324.85,322.49,326.77,
2000-01-26 21:59:14.283000,L7,314.75,323.04,316.08,325.02,324.93,341.65,320.76,329.95,398.15,408.77,418.07,411.51,412.42,418.74,416.35,425.96,325.47,344.29,366.79,335.79,328.78,338.86,334.68,335.75,334.46,347.83,336.34,334.71,424.20,355.70,414.26
2000-03-14 21:58:59.247000,L7,,,,,,,,,,,,,,,,,,,308.75,301.51,301.14,300.82,306.49,305.45,,,,,,,
2000-11-09 21:56:45.337000,L7,278.08,307.56,297.72,308.74,308.09,327.39,294.71,303.76,310.10,304.56,333.87,304.04,,,,,,303.42,309.22,301.29,311.84,318.58,317.82,314.41,304.80,312.88,303.99,297.68,304.66,303.81,
2000-11-25 21:56:47.006000,L7,,304.15,322.60,321.29,325.17,327.69,319.38,319.22,322.41,,,,,,,,,,,,307.63,334.38,339.24,337.47,325.04,340.30,311.02,304.88,318.65,347.50,
2001-03-17 21:56:40.512000,L7,324.48,331.30,325.22,332.71,333.46,352.99,317.43,336.40,333.00,334.02,357.31,343.61,319.32,318.72,312.79,322.32,321.57,326.69,339.26,338.74,335.29,340.69,348.43,353.30,337.14,344.00,333.97,331.84,339.71,341.38,299.90
2001-09-09 21:55:00.813000,L7,,,,389.21,339.87,361.66,329.76,335.56,351.52,426.53,,,,360.23,388.79,,,,,,,,434.02,347.84,422.74,,,411.85,410.29,426.84,
2001-09-25 21:54:52.649000,L7,336.56,339.78,335.83,345.77,351.13,363.78,342.26,338.87,338.93,335.44,361.42,342.74,321.64,320.29,318.79,332.60,327.72,337.12,346.89,344.61,340.58,350.44,351.49,353.50,346.65,363.46,347.62,346.62,348.94,355.84,308.46
2002-02-16 21:55:18.119000,L7,292.30,298.33,291.84,299.30,298.72,319.14,296.87,305.60,306.19,301.10,320.70,306.81,289.62,,,,,306.34,316.30,308.09,312.30,319.93,317.95,308.94,304.94,311.05,305.10,303.83,304.30,301.19,
2002-03-04 21:55:22.074000,L7,332.92,337.73,319.00,326.59,384.53,376.71,380.75,401.07,393.56,390.41,406.03,409.02,395.88,,358.45,362.26,320.26,335.52,346.80,334.90,345.80,337.54,343.97,350.58,342.69,340.75,332.81,329.27,331.72,339.76,
2002-10-14 21:54:07.948000,L7,349.69,326.83,317.12,327.63,348.41,340.15,313.14,330.75,329.99,330.35,348.10,325.85,307.41,314.62,307.00,317.04,315.78,325.71,329.58,351.56,339.26,340.07,337.21,347.01,353.36,336.61,325.42,328.91,331.95,337.13,
2002-12-01 21:54:40.891000,L7,313.40,330.97,353.53,329.86,332.07,359.02,370.73,335.13,328.24,325.99,352.35,324.18,303.50,311.14,302.68,313.14,418.40,412.08,414.52,387.44,373.17,394.87,420.30,338.58,344.55,337.93,325.34,326.02,326.91,329.18,
2003-02-03 21:55:01.991000,L7,,,,,329.87,338.58,336.37,343.90,342.64,,,,,,,,,,,304.12,300.52,340.25,339.13,358.58,350.61,312.49,,,,,
2003-02-19 21:55:06.528000,L7,,,,,,,336.09,343.73,351.48,,,,,,,,,,,,,,,,,,,,,,
2003-03-07 21:55:10.647000,L7,305.64,310.18,309.42,324.80,315.50,344.28,314.10,323.64,317.09,316.01,354.61,381.96,382.04,383.89,389.80,391.72,394.84,318.76,329.24,319.49,324.86,330.01,334.51,335.46,324.74,328.97,320.57,323.06,322.38,328.21,383.22
2004-03-17 21:45:32.199000,L5,,,,,,,,,,,,,,,,,,,308.37,298.76,303.28,315.00,310.01,311.09,,,,,,,
2005-01-31 21:52:45.327000,L5,,,,,,,,,,,,,,,,,,,307.94,300.89,305.84,313.44,314.42,316.03,,,,,,,
2005-03-04 21:53:16.048000,L5,,,,,,,,,,,,,,,,,,,318.35,313.91,314.61,320.69,323.03,323.89,310.39,315.30,311.64,315.90,315.26,319.17,
2005-04-21 21:53:34.581000,L5,,284.46,294.27,306.12,313.97,319.51,302.76,306.62,,,,,,,,,,,,,,,,,,,,,,,
2005-10-30 21:54:27.218000,L5,311.83,314.17,310.87,300.58,312.49,315.70,294.64,298.63,308.04,327.84,336.32,309.53,,,,,,,,,,,,,,,,,,,
2006-02-03 21:56:42.865000,L5,,,,,,,,,,,,,,,,,,,312.88,309.45,313.53,319.28,314.74,315.98,,,,,,,
2009-11-26 21:56:52.561000,L5,,297.24,297.75,302.19,291.14,296.58,298.19,283.27,,,,,,,,,,,,,,,,,,,,,,,
2009-12-12 21:57:01.642000,L5,,,,,300.10,319.42,298.96,302.57,307.60,303.73,318.38,296.85,,,,,,304.99,313.51,307.18,311.10,316.75,312.93,317.81,309.55,315.60,,,,,
2010-01-13 21:57:13.219000,L5,,,,,,,,,,,,,,,,,,,304.06,299.60,303.24,307.79,309.95,310.98,,,,,,,
2010-12-31 21:56:20.363000,L5,313.09,310.75,310.60,324.78,338.29,328.60,325.90,331.41,327.53,324.56,,,,,308.31,322.19,315.97,320.75,324.30,310.84,319.06,314.07,314.56,326.39,320.97,,,,,,
2011-01-16 21:56:21.862000,L5,366.67,354.24,362.32,359.35,354.02,354.98,341.79,356.00,351.84,359.89,366.83,347.50,343.91,370.96,355.23,354.29,346.94,372.21,362.98,353.80,357.51,367.12,368.45,364.25,360.90,363.22,358.51,357.12,347.63,361.94,356.31
2013-04-27 22:08:11.520000,L8,,,,,,,,,,,,,,,,,,,,,321.37,337.27,333.18,332.99,327.47,329.17,332.68,325.09,333.62,332.86,
