dates,satname,nzd0301-0000,nzd0301-0001,nzd0301-0002,nzd0301-0003,nzd0301-0004,nzd0301-0005,nzd0301-0006,nzd0301-0007,nzd0301-0008,nzd0301-0009,nzd0301-0010,nzd0301-0011,nzd0301-0012,nzd0301-0013,nzd0301-0014,nzd0301-0015,nzd0301-0016,nzd0301-0017,nzd0301-0018,nzd0301-0019,nzd0301-0020,nzd0301-0021,nzd0301-0022,nzd0301-0023,nzd0301-0024,nzd0301-0025,nzd0301-0026,nzd0301-0027,nzd0301-0028,nzd0301-0029,nzd0301-0030,nzd0301-0031,nzd0301-0032,nzd0301-0033,nzd0301-0034,nzd0301-0035,nzd0301-0036,nzd0301-0037,nzd0301-0038,nzd0301-0039,nzd0301-0040,nzd0301-0041,nzd0301-0042,nzd0301-0043,nzd0301-0044,nzd0301-0045,nzd0301-0046,nzd0301-0047,nzd0301-0048,nzd0301-0049,nzd0301-0050,nzd0301-0051,nzd0301-0052,nzd0301-0053,nzd0301-0054,nzd0301-0055,nzd0301-0056,nzd0301-0057,nzd0301-0058,nzd0301-0059,nzd0301-0060,nzd0301-0061,nzd0301-0062,nzd0301-0063,nzd0301-0064,nzd0301-0065,nzd0301-0066,nzd0301-0067,nzd0301-0068,nzd0301-0069,nzd0301-0070,nzd0301-0071,nzd0301-0072,nzd0301-0073,nzd0301-0074,nzd0301-0075,nzd0301-0076,nzd0301-0077
2000-07-04 21:58:26.393000,L7,372.06,377.53,361.19,364.69,358.55,345.65,341.59,337.55,249.86,264.92,271.21,250.02,276.15,272.29,317.35,327.84,333.39,323.53,323.16,328.62,312.64,329.63,329.61,323.15,337.05,333.97,337.34,339.57,350.33,345.69,328.00,196.95,226.66,250.86,311.75,266.81,268.66,510.67,450.10,521.67,523.56,530.86,516.04,531.84,533.18,267.41,265.30,260.93,256.09,262.59,264.62,259.41,249.50,261.07,252.71,247.40,234.09,234.84,235.69,231.51,226.95,218.11,237.37,242.37,255.83,269.74,274.53,257.33,280.62,273.48,250.24,278.13,287.04,295.21,297.06,303.81,304.47,310.90
2000-07-13 21:52:07.753000,L7,453.46,442.47,459.12,456.58,442.68,427.49,449.13,439.13,446.93,440.69,435.29,410.75,421.17,437.01,434.39,450.54,440.07,420.53,416.69,426.50,438.10,430.67,425.32,414.30,422.48,463.02,451.02,455.05,447.76,464.92,467.55,457.63,451.89,447.80,450.03,450.92,451.12,447.14,458.32,439.46,441.33,450.03,434.67,452.30,464.78,447.01,452.22,320.43,332.72,319.74,349.41,352.43,342.90,349.90,344.99,342.81,321.19,365.80,288.65,323.67,329.80,361.85,368.36,376.80,396.26,370.40,359.12,332.95,407.83,457.26,481.89,483.45,486.22,482.78,472.20,357.99,340.16,345.42
2000-07-29 21:51:50.349000,L7,458.56,472.44,455.53,444.95,450.02,447.99,449.59,447.89,336.03,439.43,425.62,378.60,410.30,395.36,366.68,439.69,431.47,417.28,412.13,421.14,418.47,396.19,427.40,441.62,460.99,432.78,439.91,459.41,447.89,338.57,279.25,201.94,206.36,228.69,261.19,267.60,266.79,471.94,440.41,247.36,220.93,455.86,474.07,484.48,459.69,459.42,270.16,452.09,456.21,431.49,325.41,431.86,439.70,446.17,447.72,440.65,437.17,447.01,453.85,501.93,524.03,454.40,476.01,,,,,,,,,,,,,,,
2000-08-05 21:57:56.710000,L7,464.51,451.24,427.32,522.88,380.05,374.60,374.00,367.49,364.62,308.02,296.01,292.84,294.13,298.56,344.82,347.06,356.85,349.03,351.54,349.63,327.80,351.54,353.25,343.16,352.40,358.80,371.15,371.18,366.21,371.18,357.40,337.44,351.08,346.81,340.13,342.02,345.60,351.33,352.51,351.30,306.19,352.09,358.04,275.26,284.57,276.59,279.11,269.61,271.12,280.70,279.09,271.66,264.76,273.55,268.62,269.78,250.17,250.15,245.33,245.70,242.96,240.01,251.87,257.87,268.34,278.86,292.44,277.06,282.85,408.40,415.98,408.99,300.57,308.41,307.90,329.10,326.60,329.94
2000-08-14 21:51:44.223000,L7,420.97,407.19,391.21,410.04,358.36,357.71,348.40,347.53,346.28,272.03,285.19,256.72,279.13,280.21,317.93,331.60,363.35,352.32,333.00,339.06,318.99,339.77,338.99,328.91,344.38,339.58,346.19,346.97,352.40,352.57,343.21,315.04,336.59,330.61,330.75,327.06,328.26,335.09,327.72,338.21,331.01,339.42,263.74,249.64,275.58,268.47,274.87,267.62,265.56,277.30,270.53,266.27,260.61,271.86,270.61,259.17,507.74,507.78,503.54,481.70,530.52,512.04,244.62,260.53,277.70,277.42,290.38,274.65,278.12,294.62,257.02,286.40,300.29,303.62,300.97,312.55,315.59,327.40
2000-09-15 21:51:13.624000,L7,338.11,350.95,358.30,360.96,353.24,337.38,339.87,336.56,285.96,270.63,281.83,251.67,284.88,284.85,308.80,323.51,343.04,331.41,339.06,332.68,310.48,338.18,330.78,321.06,340.27,334.95,337.73,341.76,343.55,355.15,326.24,311.27,334.99,333.64,332.04,501.73,520.14,516.22,515.98,507.80,338.30,343.59,339.26,348.97,346.21,333.70,305.72,336.64,284.49,289.11,287.65,280.14,276.81,280.08,280.93,275.81,273.01,263.76,263.27,263.31,254.61,332.80,348.60,296.31,371.31,309.71,377.34,385.91,384.00,400.03,404.16,399.62,394.09,398.43,404.40,,,
2000-09-22 21:57:17.413000,L7,373.56,390.89,384.60,390.86,386.74,371.75,368.21,364.04,360.54,300.56,309.69,311.45,304.33,309.39,349.98,346.20,356.20,346.59,349.24,351.19,346.87,353.64,356.56,346.28,352.85,355.86,362.34,365.78,369.62,375.36,359.70,339.34,358.04,356.94,353.75,347.69,343.17,350.99,357.24,360.42,358.97,365.26,373.38,380.08,377.90,362.88,361.57,362.65,357.06,356.10,349.22,236.87,517.16,524.20,510.68,498.37,502.63,544.47,,,,,,,,,,,,,262.74,282.76,401.60,416.27,418.26,420.38,418.95,417.16
2000-11-25 21:57:10.965000,L7,466.35,449.28,447.80,442.85,465.14,459.74,441.37,443.82,428.45,416.72,395.86,425.59,457.45,452.07,435.24,447.16,434.28,442.84,447.46,432.22,437.38,428.23,426.45,433.64,427.87,439.88,424.70,343.99,352.69,354.98,322.31,316.24,333.26,446.02,439.04,441.37,451.29,448.05,439.65,450.41,455.50,457.24,455.37,451.02,457.82,449.34,462.34,440.31,336.49,334.27,333.96,328.67,323.57,321.21,324.14,317.96,324.20,337.32,458.07,470.79,472.16,463.43,481.06,484.02,490.96,487.15,483.69,495.18,446.45,453.73,494.23,475.66,479.14,487.40,497.46,478.27,402.52,472.58
2000-12-04 21:50:58.069000,L7,450.18,517.35,426.60,493.55,472.30,457.65,434.91,430.82,429.20,410.02,413.06,413.47,416.36,418.22,403.05,483.18,485.82,488.42,541.86,353.08,340.13,355.29,356.75,342.02,356.91,360.15,363.39,365.57,372.99,380.15,365.71,360.35,397.48,386.24,388.92,359.58,365.42,389.93,419.97,375.72,364.97,367.54,371.15,373.81,368.95,363.73,363.45,362.34,525.82,478.33,517.40,471.99,461.00,482.98,350.11,349.02,355.09,362.22,365.28,368.95,372.32,375.19,382.87,388.91,398.68,395.56,401.17,405.53,407.18,417.59,418.70,421.32,421.83,422.86,416.65,417.01,418.08,415.65
2001-01-12 21:57:18.640000,L7,435.98,433.82,424.89,412.12,415.43,419.24,396.49,374.93,385.20,312.21,309.20,302.69,305.64,306.38,355.82,349.35,384.57,374.79,363.47,361.52,347.90,359.95,359.88,350.00,358.25,355.55,362.48,363.00,375.36,386.11,523.59,489.92,469.38,455.53,465.65,445.95,485.16,427.42,363.13,362.44,366.24,367.84,368.40,369.38,366.79,366.21,365.05,366.38,358.98,344.78,242.26,473.84,487.53,334.96,354.85,332.34,351.69,358.30,319.97,363.16,375.35,374.86,380.23,381.35,392.52,396.69,394.69,405.06,400.49,412.71,415.90,417.59,418.60,415.94,420.10,419.20,419.33,418.80
2001-01-21 21:51:10.359000,L7,365.40,374.55,362.68,373.00,370.00,372.35,358.27,356.65,388.11,283.09,289.81,255.15,288.44,287.65,334.54,336.17,360.16,339.69,333.57,334.59,314.91,343.14,337.88,334.05,349.41,346.45,346.32,348.15,359.08,361.15,348.80,326.96,346.45,340.78,334.14,329.93,339.81,341.05,336.05,345.57,457.09,510.12,493.32,480.81,488.51,512.45,509.39,518.93,347.69,340.46,490.62,485.71,496.84,471.61,477.98,474.32,481.02,515.64,496.29,500.84,473.73,468.58,455.45,474.90,462.43,478.33,490.26,477.30,485.05,483.00,490.69,530.65,405.76,499.44,505.19,502.50,513.26,496.97
2001-02-06 21:51:02.555000,L7,486.64,445.39,479.57,472.74,471.11,469.24,467.50,457.52,455.99,460.35,456.32,446.92,453.29,459.49,472.90,439.46,418.01,446.92,456.66,451.64,446.46,461.80,450.21,447.28,440.76,455.57,349.49,347.59,357.57,363.71,344.73,328.85,344.51,345.23,439.75,483.54,467.81,476.58,472.79,348.09,346.93,354.14,351.86,478.91,475.25,485.08,473.82,473.19,471.11,466.50,465.34,336.99,327.53,328.71,323.72,325.79,334.14,340.74,317.36,316.31,296.44,465.99,483.02,506.15,502.34,512.93,509.25,515.14,505.53,514.41,516.31,528.73,536.78,499.42,501.70,505.45,499.35,497.49
2001-02-13 21:57:15.648000,L7,398.89,400.17,386.47,398.00,390.81,393.72,388.22,382.74,377.66,310.21,343.33,363.56,309.76,306.53,347.96,350.46,358.25,352.50,351.71,355.68,356.40,360.40,364.06,356.91,361.09,358.97,361.06,358.31,376.53,376.43,364.79,353.75,359.10,357.67,359.64,350.11,357.15,356.01,365.75,372.16,384.19,525.35,461.44,524.67,520.64,520.77,514.48,511.62,508.80,349.01,354.95,347.75,341.67,346.62,352.51,347.45,347.59,357.04,360.59,358.66,363.89,366.36,374.31,380.37,386.35,389.76,394.60,400.25,403.51,413.27,414.21,418.16,415.93,413.07,413.60,413.68,413.16,413.80
2001-03-10 21:50:58.754000,L7,397.74,396.06,393.67,392.21,387.50,406.55,389.27,376.87,375.47,340.58,310.56,403.94,301.76,296.71,352.26,351.63,357.00,348.73,347.15,348.72,348.83,352.54,355.90,342.04,351.69,352.16,356.88,348.71,368.09,371.88,364.47,353.33,357.99,357.51,357.43,346.99,348.11,346.31,356.13,365.17,367.14,372.64,369.38,283.50,271.47,290.33,358.68,358.40,355.36,355.26,355.11,352.48,284.62,271.37,290.20,290.22,278.58,267.58,279.76,275.27,275.42,273.45,276.76,282.62,292.04,294.43,297.87,395.80,395.96,409.63,408.67,410.69,433.90,413.97,413.64,413.15,413.83,402.23
2001-03-17 21:57:04.487000,L7,527.06,,517.96,490.28,425.94,425.59,344.29,333.46,276.86,294.34,282.81,250.21,281.12,291.68,369.15,348.89,337.66,316.63,295.06,330.51,352.82,358.91,352.05,324.63,332.22,328.66,336.54,353.40,369.50,374.24,361.22,344.17,361.27,358.56,341.70,339.34,344.80,347.15,357.50,351.95,261.39,259.36,264.98,375.02,376.15,370.79,360.74,357.69,359.09,350.20,356.65,352.03,489.30,493.71,485.52,348.11,495.55,460.30,511.53,526.91,504.01,388.16,,,,,,,,,,,472.81,454.33,454.57,525.96,,
2001-05-13 21:50:33.259000,L7,,,,,,,,,,,536.15,466.01,483.56,511.77,422.13,435.98,411.79,402.60,372.00,455.85,504.70,,,,,,380.76,449.01,434.55,444.56,440.71,433.02,441.36,472.95,487.80,539.02,349.72,345.07,341.53,352.20,351.23,356.45,368.79,272.42,274.16,277.91,278.93,274.86,271.65,278.61,279.35,273.98,266.71,269.78,267.79,264.41,250.73,246.79,240.59,248.04,244.34,247.77,249.80,258.04,444.23,498.48,534.18,464.62,274.18,284.09,262.23,286.71,297.50,303.00,306.57,316.16,321.17,332.26
2001-06-05 21:56:28.634000,L7,437.58,457.01,420.93,415.58,435.92,403.11,394.66,369.40,423.14,419.32,294.88,292.91,292.00,282.76,377.93,398.30,375.24,389.83,363.35,366.03,344.68,340.44,347.69,379.69,352.69,347.98,365.74,362.78,366.30,370.09,353.89,331.66,336.78,329.37,319.35,276.42,314.36,323.87,283.05,281.38,290.84,281.51,289.52,315.20,285.16,292.59,315.78,274.60,288.47,287.82,308.13,293.71,290.80,270.06,280.94,280.52,258.67,323.38,261.21,257.31,291.10,254.66,316.16,301.47,345.35,362.74,341.88,277.04,284.38,347.16,369.88,338.05,295.92,316.83,312.71,317.38,337.30,344.69
