dates,satname,nzd0373-0000,nzd0373-0001,nzd0373-0002,nzd0373-0003,nzd0373-0004,nzd0373-0005,nzd0373-0006,nzd0373-0007,nzd0373-0008,nzd0373-0009,nzd0373-0010,nzd0373-0011,nzd0373-0012,nzd0373-0013,nzd0373-0014,nzd0373-0015,nzd0373-0016,nzd0373-0017,nzd0373-0018,nzd0373-0019,nzd0373-0020,nzd0373-0021,nzd0373-0022,nzd0373-0023,nzd0373-0024
1999-09-04 22:00:09.953000,L7,390.94,383.17,364.98,361.39,364.81,373.26,379.34,395.77,384.59,374.34,371.55,372.27,375.52,365.03,347.97,361.41,343.06,330.47,320.67,298.54,329.05,302.70,,,
1999-09-20 22:00:08.403000,L7,393.97,390.45,369.44,363.95,,,,,,399.16,381.30,392.36,390.34,375.26,376.13,365.11,337.70,333.89,336.62,352.07,352.24,318.51,,,
1999-10-22 22:00:04.598000,L7,,,,,,,,,,,,,,,,,,,,,395.19,366.52,372.63,353.60,326.59
1999-12-09 22:00:09.551000,L7,,,,275.03,300.66,329.59,322.32,332.46,310.18,,,,,,,,,,,,,,,,
1999-12-25 22:00:04.067000,L7,397.20,,,,,,,,390.70,383.54,384.99,389.19,396.63,392.06,374.40,380.98,358.43,344.92,358.42,322.15,351.35,317.22,,,
2000-01-26 22:00:02.226000,L7,,,,,,,,,,,,,,,,,385.24,379.48,378.78,396.40,401.65,352.57,348.63,,
2000-02-11 21:59:57.866000,L7,,,,,,,,,,,,,,408.72,382.61,412.69,381.20,365.19,356.73,341.12,352.94,328.87,314.15,,
2000-02-27 21:59:52.393000,L7,,,,,,,,,,,,,,,,,,,,360.56,392.67,381.56,360.86,325.96,
2000-03-30 21:59:45.397000,L7,,,,,,,,,,,,,,,395.62,416.24,369.61,364.70,386.10,350.26,360.36,337.81,318.04,,
2000-04-15 21:59:31.785000,L7,,,,,,,,,,387.01,381.10,391.87,395.36,388.06,371.12,385.33,351.58,337.58,340.98,314.64,336.98,308.94,,,
2000-05-01 21:59:30.586000,L7,,,,,,,,,,,,,,,,,361.96,354.89,397.17,312.03,352.36,339.38,,,
2000-05-17 21:59:19.400000,L7,,391.50,340.67,352.44,357.04,373.03,,,,380.60,381.96,357.02,,,,,,,,,,,,,
2000-06-18 21:59:03.789000,L7,395.28,387.17,373.35,376.51,367.15,374.95,386.36,387.54,382.44,383.33,385.91,384.27,386.82,370.73,371.37,364.40,316.17,308.60,,,,,,,
2000-08-05 21:58:20.584000,L7,399.18,,,,,,,,,392.56,380.90,388.70,408.07,382.49,367.45,380.12,364.80,329.82,361.26,314.66,350.56,320.89,,,
2000-10-24 21:57:29.684000,L7,,,,,,,,,387.45,390.23,382.29,389.86,387.09,377.42,368.77,417.31,,,409.46,356.01,356.58,326.70,,,
2000-11-25 21:57:34.931000,L7,,,,,,,,,,,,,,,,,372.14,359.56,396.01,347.61,356.19,332.13,310.13,,
2000-12-11 21:57:36.803000,L7,404.41,,,,,,,,,394.61,388.93,397.24,401.89,395.26,376.95,394.08,359.39,352.33,350.73,338.67,353.52,341.15,312.19,,
2001-02-13 21:57:39.607000,L7,386.22,,,,,,,,,398.76,391.90,396.84,424.73,401.60,382.69,402.81,343.71,371.67,344.07,329.13,348.12,316.48,,,
2001-05-20 21:57:04.892000,L7,,304.63,324.93,357.92,343.98,,,,,,,,,387.04,372.38,385.54,,,,,,,,,
2001-06-05 21:56:52.440000,L7,,,,,,,,,,390.21,387.05,392.35,393.04,371.37,359.27,380.82,329.32,329.55,,,,,,,
2001-07-07 21:56:36.067000,L7,287.63,302.58,344.81,361.36,335.54,360.05,367.62,391.16,,,,,,410.54,390.50,401.41,366.32,370.61,382.87,327.85,363.58,378.51,382.01,363.31,302.80
2001-08-24 21:56:00.447000,L7,397.17,,,,,,,,,396.41,378.94,386.73,395.56,385.05,367.51,382.42,328.75,336.35,338.39,299.52,338.27,308.72,,,
2001-09-25 21:55:40.572000,L7,,,,,,,,,,,,,,,,,,,,375.23,398.69,388.07,364.24,343.08,322.24
2001-10-11 21:55:21.747000,L7,,291.75,304.28,318.90,329.34,342.63,348.28,373.08,336.79,359.32,368.40,357.83,357.92,344.82,324.72,,,,,,,,,,
2001-12-30 21:55:49.115000,L7,,,,,,,,,,,,,,396.19,379.16,398.61,364.18,348.87,359.68,339.10,352.97,325.73,312.69,,
2002-03-04 21:56:09.860000,L7,399.80,,,,,,,,,,,,,,,,394.98,356.94,357.91,345.03,340.96,318.94,,,
2002-05-07 21:56:03.729000,L7,280.29,305.78,344.02,360.12,324.33,357.78,358.17,376.39,376.70,382.39,370.94,369.83,356.44,352.28,326.10,341.52,310.74,,,,,,,,
2002-09-12 21:55:07.575000,L7,,,,,,,,,,,403.81,398.69,425.49,402.68,392.69,412.34,380.23,365.87,387.69,358.46,387.62,371.56,,,
2002-10-14 21:54:55.882000,L7,,,,,,,,,,397.02,390.16,399.50,406.25,400.33,379.87,393.37,364.55,358.85,382.30,359.94,362.97,325.10,,,
2002-10-30 21:55:01.471000,L7,,,,,,,,,,,396.18,398.96,417.23,403.77,388.58,399.98,375.00,368.91,380.71,349.87,355.88,333.95,314.75,278.98,
2003-01-02 21:55:34.113000,L7,,,,,,,,,,,,,,,,,,,367.98,339.85,339.25,320.31,,,
2003-01-18 21:55:42.118000,L7,,,,,,,,,,393.94,390.33,402.50,433.98,397.09,383.41,412.84,386.12,360.98,375.65,324.65,350.64,322.11,,,
2003-02-19 21:55:54.479000,L7,,,,,,,,,,389.53,390.12,395.87,409.92,396.14,384.02,395.62,356.15,359.94,330.82,312.40,336.38,,,,
2003-03-23 21:55:52.571000,L7,386.81,,,,,,,,,400.20,392.74,398.43,403.33,389.18,380.15,386.28,352.47,345.20,342.11,357.99,351.77,282.00,,,
2003-07-21 21:43:45.776000,L5,353.05,371.81,360.91,360.72,340.70,373.51,366.01,372.33,363.88,364.25,358.38,367.40,360.94,353.82,343.52,322.37,324.25,328.33,317.60,298.93,321.72,279.04,,,
2003-07-30 21:37:45.389000,L5,,,,,,,,,,,,,,,,,398.71,393.76,408.00,386.67,392.77,376.81,345.78,301.36,
2003-10-18 21:39:00.182000,L5,353.46,344.11,342.56,382.81,376.10,376.19,378.18,387.02,379.69,366.51,365.37,370.80,380.40,388.50,384.20,393.33,382.44,,,,,,,,
2003-12-28 21:45:57.554000,L5,385.51,373.50,365.81,357.75,337.63,367.72,372.56,382.16,370.03,367.37,378.32,377.15,384.31,382.45,377.02,365.63,350.73,331.73,330.26,315.58,315.02,276.87,,,
2004-04-02 21:46:30.745000,L5,370.16,386.83,379.44,,364.20,386.06,390.41,390.08,376.68,369.84,370.48,372.02,374.03,372.43,371.55,370.51,347.07,342.06,343.74,324.05,334.54,293.12,,,
2004-05-04 21:47:27.968000,L5,370.14,384.42,358.77,373.38,352.58,368.31,370.06,387.27,368.57,360.14,366.01,360.03,368.54,372.67,356.51,368.62,333.72,336.05,321.15,316.10,334.19,280.03,,,
2004-05-20 21:47:56.357000,L5,,,,,,,,,,400.69,394.41,396.97,382.40,382.57,371.30,378.95,364.47,348.15,359.31,322.82,333.05,316.56,,,
2004-06-05 21:48:24.950000,L5,,,,,,,,,,396.37,398.25,395.55,398.05,395.87,391.87,399.59,369.71,360.44,368.60,343.78,359.23,326.31,,,
2004-07-07 21:49:21.098000,L5,362.19,381.68,365.52,365.47,348.20,367.09,365.82,386.24,357.60,366.31,362.94,362.01,369.69,362.37,347.22,356.91,327.19,331.62,324.79,304.85,328.91,272.38,,,
2004-07-23 21:49:45.084000,L5,269.45,266.49,263.83,293.22,303.70,311.22,327.12,332.96,313.73,,,,,,,,,,,,,,,,
2004-08-24 21:50:29.935000,L5,,,,,,,,,,397.64,392.07,393.62,397.63,406.28,388.18,390.78,373.80,355.41,372.90,357.07,356.62,336.40,309.26,,
2004-09-02 21:44:33.408000,L5,283.57,317.51,309.05,336.74,328.43,329.49,342.06,362.16,350.86,343.97,338.96,,,,,,,,,,,,,,
2004-09-18 21:44:58.764000,L5,393.66,364.16,360.76,,,,,,388.94,382.10,372.44,382.32,395.31,399.29,394.75,405.75,406.53,387.04,425.27,397.35,398.53,376.56,361.78,343.26,316.23
2004-09-25 21:51:19.231000,L5,368.99,389.26,376.04,368.25,363.96,382.64,385.92,400.27,390.94,377.99,369.80,368.09,372.06,370.10,358.72,376.34,343.02,339.19,347.12,323.28,336.03,307.42,,,
2004-10-20 21:45:40.625000,L5,340.03,345.69,344.08,378.00,374.92,375.61,378.72,388.91,384.02,368.99,368.88,367.08,383.05,388.27,383.22,394.48,388.04,372.57,389.94,377.77,387.12,365.28,333.84,300.51,
2004-11-12 21:52:15.232000,L5,,,,,,,,,388.11,384.10,366.72,361.66,370.73,367.54,356.12,363.80,342.73,342.48,352.33,329.35,337.58,308.74,,,
2004-12-07 21:46:35.869000,L5,345.10,325.83,293.34,343.19,354.04,329.89,311.41,381.92,,380.62,355.14,363.06,369.94,379.39,379.79,415.20,386.49,390.69,401.92,389.19,395.72,374.34,350.93,,
2005-01-15 21:53:21.356000,L5,372.31,375.03,365.16,373.79,355.23,367.50,371.13,382.62,382.23,382.73,378.52,380.13,386.47,383.16,374.63,362.45,337.24,331.14,330.48,319.52,321.31,281.76,,,
2005-02-09 21:47:31.401000,L5,,,,,,346.88,355.27,365.08,362.81,354.73,348.80,354.00,,,,,,,,,,,,,
2005-03-04 21:54:04.136000,L5,380.29,385.47,373.92,303.70,,,,,390.28,375.85,381.54,376.92,379.93,380.91,370.40,365.23,342.69,339.12,333.40,322.07,320.44,,,,
2005-04-05 21:54:19.058000,L5,,,,379.24,367.93,380.39,384.52,393.72,378.44,369.55,366.54,374.27,377.22,379.88,369.21,370.73,340.78,338.71,328.36,320.21,326.40,290.19,,,
2005-04-21 21:54:22.812000,L5,374.63,386.57,374.08,,,,,,383.31,379.87,375.78,388.82,380.19,381.51,367.52,370.88,349.04,341.88,329.67,324.20,338.67,300.44,,,
2005-05-23 21:54:36.577000,L5,364.51,387.12,364.24,336.95,344.13,362.45,380.55,394.25,374.03,377.93,372.80,365.60,374.15,371.69,358.26,364.05,330.21,329.04,,,,,,,
2005-06-08 21:54:44.925000,L5,331.26,373.86,355.61,341.48,340.48,362.97,365.01,386.51,362.65,367.38,366.72,363.36,368.80,359.29,342.77,351.52,313.80,314.23,,,,,,,
2005-07-10 21:54:55.488000,L5,332.57,348.72,313.46,319.15,318.87,340.88,346.95,368.17,339.06,368.65,366.84,364.62,355.54,,,,,,,,,,,,
2005-08-20 21:49:06.970000,L5,296.28,327.84,315.31,354.66,348.23,345.37,358.34,373.89,363.65,351.56,353.59,356.61,366.11,366.37,369.83,378.03,368.35,357.14,368.78,357.18,370.11,346.02,287.77,281.50,
2005-08-27 21:55:20.007000,L5,,,,,,,,,,398.90,392.93,397.78,407.28,406.16,393.38,404.53,384.81,369.40,377.61,356.29,357.73,336.40,312.11,,
2005-09-28 21:55:20.450000,L5,,,,,,,,,,387.69,383.48,387.89,397.27,388.52,383.03,392.22,364.18,353.01,365.92,342.82,345.31,320.55,275.84,,
2005-11-08 21:49:16.532000,L5,361.62,368.83,364.85,,,,,,,,,,,,,,,,,,,,,,
