dates,nzd0299-0000,nzd0299-0001,nzd0299-0002,nzd0299-0003,nzd0299-0004,nzd0299-0005,nzd0299-0006,nzd0299-0007,nzd0299-0008,nzd0299-0009,nzd0299-0010,nzd0299-0011,nzd0299-0012,nzd0299-0013,nzd0299-0014,nzd0299-0015,nzd0299-0016,nzd0299-0017,nzd0299-0018,nzd0299-0019,nzd0299-0020,nzd0299-0021,satname
2000-01-26 21:59:38+00:00,,,,,,,,,,,,,,,367.53,,369.14,,,,,,L7
2000-03-14 21:59:23+00:00,,,,,,,,,,,,,,,349.37,,369.14,,,,343.07,364.24,L7
2000-03-30 21:59:21+00:00,,,,,200.37,208.09,193.59,212.23,,,,,,,349.37,,369.14,,,,343.07,364.24,L7
2000-08-05 21:57:56+00:00,,,,,218.3,207.575,206.93,213.14999999999998,,,,,,,331.21,,,,,,343.07,364.24,L7
2000-11-25 21:57:10+00:00,,,,,236.23,207.06,220.27,214.07,,,206.68,233.18,,,,,,,,305.06,306.14,327.02,L7
2001-01-12 21:57:18+00:00,,,,,236.23,207.06,220.27,214.07,,,206.68,233.18,,,320.51,328.19,330.07,,332.95,318.305,318.93,335.905,L7
2001-09-09 21:55:24+00:00,,,,,,,,,,,,,,,,312.03,321.48,,342.69,334.23,342.35,,L7
2001-09-25 21:55:16+00:00,,,,,,,,,,,,,,,337.23,312.03,321.48,,345.54499999999996,338.065,342.845,,L7
2002-02-16 21:55:42+00:00,295.92,302.32,298.87,,,,246.69,239.21,,,228.74,222.67,,,319.71500000000003,300.005,309.415,292.48,345.54499999999996,338.065,335.24666666666667,337.5,L7
2003-01-02 21:55:10+00:00,,,,,,,,,,,,,361.5,,,,,,,,,,L7
2003-03-07 21:55:34+00:00,,323.78,335.59,,,,,,334.37,339.25,,,350.635,300.18,288.9,291.3,299.53,288.71,349.65,319.37,326.28,338.79,L7
2004-04-18 21:46:37+00:00,332.99,303.36,295.05,,266.27,,,,328.71,338.65,253.16,,,298.15,289.47,288.3,286.59,286.37,307.09,319.02,324.36,341.62,L5
2004-07-23 21:49:20+00:00,332.99,303.36,295.05,,266.27,,,,328.71,338.65,253.16,,,291.38,284.32500000000005,288.3,286.59,286.37,307.09,319.02,324.36,341.62,L5
2005-01-15 21:52:57+00:00,336.5,324.16,331.31,,299.7,,,,330.18,324.49,,,318.73,293.895,292.725,328.07,319.76,305.06,340.64,327.56,323.94,,L5
2005-04-21 21:53:58+00:00,336.5,309.635,309.46000000000004,247.16,276.085,260.13,247.08,235.17,330.18,324.49,245.56,259.93,318.73,295.69,295.52,302.115,302.26,288.525,321.90999999999997,322.28999999999996,320.18,,L5
2005-06-08 21:54:20+00:00,336.5,309.635,309.46000000000004,247.16,279.58666666666664,274.33500000000004,258.59000000000003,251.90999999999997,330.18,324.49,245.56,259.93,318.73,295.69,295.52,302.115,302.26,288.525,321.90999999999997,322.28999999999996,320.18,,L5
2005-08-27 21:54:55+00:00,334.49,303.255,292.58500000000004,255.625,272.0133333333333,275.1333333333334,258.59000000000003,251.90999999999997,318.62,329.68,249.1,265.655,279.54,294.42499999999995,288.04999999999995,284.61,291.62,282.41499999999996,321.28999999999996,320.29499999999996,316.42,,L5
2005-09-12 21:54:58+00:00,334.49,303.255,292.58500000000004,255.625,272.0133333333333,275.1333333333334,258.59000000000003,251.90999999999997,318.62,329.68,249.1,265.655,279.54,306.75666666666666,302.38666666666666,284.61,291.62,282.41499999999996,321.28999999999996,320.29499999999996,316.42,,L5
2006-06-27 21:59:36+00:00,,,,,286.25,288.32,276.25,274.59,,,272.4,290.34,,,,,,,,,,,L5
2013-04-27 22:08:35+00:00,284.77,299.83,,,,,,,,,,,,,,,,,,,,,L8
2013-05-13 22:08:47+00:00,284.77,299.83,,,,,,,,,,,300.72,317.39,,,,,,,,,L8
2013-05-29 22:08:53+00:00,282.59000000000003,299.83,,,,,,,,,,,300.72,317.39,,,,,,,,,L8
2013-06-30 22:08:48+00:00,282.59000000000003,299.83,,,,,,,,279.93,274.79,,300.72,317.39,,,,,,,,,L8
2013-08-17 22:08:51+00:00,282.59000000000003,299.83,,,,,,,,279.93,274.79,,300.72,317.39,,,,322.9,,,,,L8
2013-09-02 22:08:52+00:00,282.59000000000003,299.83,,,,,,,,279.93,274.79,,300.72,317.39,,,,327.65999999999997,,,,,L8
2014-01-24 22:07:57+00:00,,,,,,,,,,,,,,,315.39,328.88,,329.90000000000003,347.77,342.01,,,L8
2014-04-30 22:06:34+00:00,,,,,,,,,,,,,300.71,,315.39,328.88,,334.38,347.77,342.01,,,L8
2014-06-01 22:06:26+00:00,276.39,,,236.4,244.46,265.51,244.7,228.43,220.04,218.4,,250.32,258.96999999999997,,315.39,328.88,,334.38,347.77,342.01,,,L8
2014-06-17 22:06:32+00:00,276.39,,,236.4,244.46,265.51,244.7,228.43,220.04,218.4,280.84,269.28999999999996,258.96999999999997,,315.39,328.88,,334.38,347.77,342.01,,,L8
2014-08-04 22:06:50+00:00,276.39,,,236.4,244.46,265.51,244.7,228.43,220.04,218.4,280.84,274.9066666666667,258.96999999999997,,,,,,,,,,L8
2014-12-26 22:06:54+00:00,,,,,,,,,,,,286.14,,,,,,,360.59,370.61,,,L8
2015-01-27 22:06:47+00:00,,,,,,,,,,,,286.14,,,,,,,366.17499999999995,373.92,,,L8
2015-02-12 22:06:39+00:00,,,,,257.57,,,,,,,,,,,,,,365.53999999999996,373.26666666666665,,,L8
2015-06-20 22:06:08+00:00,,,,217.84,246.945,224.34,229.8,222.31,171.51,207.37,211.62,,236.77,279.39,,,,,365.53999999999996,357.135,,,L8
2015-08-07 22:06:28+00:00,270.59,,,219.655,245.10666666666665,225.375,229.61,222.775,182.16,209.34,212.565,250.15,240.87,281.135,289.88,283.27,,,364.27,340.34999999999997,,,L8
2015-08-23 22:06:36+00:00,270.59,,,219.655,238.87499999999997,225.375,229.61,222.775,182.16,209.34,212.565,250.15,240.87,293.0566666666667,302.52,296.275,,,,308.74,,,L8
2015-09-24 22:06:49+00:00,273.375,284.95,285.72,229.57000000000002,244.47333333333333,236.52666666666664,229.5,222.51333333333332,191.28,215.34666666666666,209.78333333333333,232.865,240.87,293.0566666666667,302.52,296.275,,,,308.74,,,L8
2016-01-14 22:06:54+00:00,301.37333333333333,284.95,285.72,235.435,248.54999999999998,242.61999999999995,229.35,222.61499999999998,201.16500000000002,219.33499999999998,208.865,232.865,244.97,299.89,302.52,296.275,,,,,,,L8
2016-01-30 22:06:53+00:00,313.3775,284.95,285.72,235.435,248.54999999999998,242.61999999999995,229.35,220.75666666666666,201.2266666666667,211.76999999999998,202.06333333333336,232.865,246.01,282.56,289.8533333333333,296.275,,,,,327.54,337.28,L8
2016-06-06 22:06:31+00:00,353.38,,,,214.49,258.72,233.68,223.69,213.93,210.375,200.91000000000003,245.57,247.05,247.9,264.52,,,,,,327.54,337.28,L8
2017-04-22 22:06:12+00:00,,,,,,,,,,,,,,,,320.55,326.17,,,,,,L8
2017-05-24 22:06:22+00:00,,277.65,,234.08,244.0,263.79,235.28,227.07,217.93,217.24,231.53,247.27,243.56,280.27,277.74,320.55,326.17,,,304.9,,,L8
2017-06-25 22:06:35+00:00,,277.65,,234.08,260.825,272.27,264.95,243.825,240.07,217.24,231.53,260.9,267.43,290.90999999999997,277.74,320.55,326.17,,,304.9,,,L8
2018-03-24 22:06:20+00:00,343.36,,257.42,217.21,261.87,,268.03,,307.32,,,267.33,293.6,289.32,302.24,295.99,300.14,299.7,308.73,312.57,317.3,337.58,L8
2018-06-28 22:05:52+00:00,343.36,,257.42,217.21,261.87,257.71,250.11499999999998,224.27,307.32,211.53,232.6,267.33,293.6,289.32,302.24,295.99,300.14,299.7,308.73,311.03499999999997,317.3,337.58,L8
2018-10-02 22:06:35+00:00,,,,,,257.71,232.2,224.27,359.57,211.53,232.6,,,,,,,,,309.5,,,L8
2018-10-18 22:06:41+00:00,,,,,,257.71,232.2,224.27,358.115,211.53,232.6,,,,,,,,,309.5,,,L8
2019-01-22 22:06:38+00:00,307.91,323.14,310.44,335.02,326.98,,,,346.40333333333336,,,,316.75,322.01,296.36,315.08,305.56,289.89,313.64,317.16,317.75,327.86,L8
2019-03-27 22:06:23+00:00,307.91,323.14,310.44,335.02,326.98,,,,346.40333333333336,,,,316.75,322.01,296.36,315.08,305.56,289.89,313.64,317.16,317.75,339.76,L8
2019-06-15 22:06:39+00:00,307.91,323.14,310.44,335.02,326.98,,,,310.78,,,287.79,316.75,322.01,296.36,316.67999999999995,305.56,302.185,313.64,317.16,317.75,339.76,L8
2019-08-18 22:06:59+00:00,,,,,,,,,298.58,,,287.79,,,318.87,318.22,321.24,314.48,,,,351.66,L8
2020-03-13 22:06:42+00:00,344.91,318.29,311.61,310.71,324.93,,235.84,232.24,,227.01,230.62,,,267.23,,,265.23,296.76,317.03,313.87,318.35,329.35,L8
2020-03-29 22:06:33+00:00,344.70000000000005,317.28499999999997,303.09000000000003,305.21500000000003,324.93,,235.84,232.24,325.68,227.01,282.85,,,279.805,,,284.905,295.765,315.365,314.19,318.73,334.73,L8
2021-01-11 22:07:02+00:00,,343.99,,,,,,,322.82,,326.23,331.1,318.29,299.18,321.86,327.92,328.39,328.89,,323.5,319.4,331.46,L8
2021-02-12 22:06:55+00:00,352.71,339.67,334.24,332.65,331.36,,,,320.85,,327.45500000000004,330.115,316.94,300.87,313.40999999999997,317.58000000000004,324.31,316.41499999999996,,321.23,318.155,331.63,L8
2021-05-19 22:06:28+00:00,352.71,339.67,334.24,332.65,331.36,,,,320.85,,327.45500000000004,321.98333333333335,311.26,300.87,313.40999999999997,317.58000000000004,324.31,316.41499999999996,,321.23,318.155,331.63,L8
2021-09-24 22:07:08+00:00,,326.54,315.58,301.72,325.15,,,255.77,,,272.03,294.88,295.645,302.75,306.92,321.64,302.26,299.95,317.76,,321.49,,L8
2022-04-28 22:06:34+00:00,,,,,,,,,,,,,,325.73,332.08,322.47,328.06,329.69,,,,,L9
2022-06-07 22:06:55+00:00,,,,,,266.95,242.19,227.42,,232.16,239.76,248.8,,325.73,332.08,322.47,328.06,329.69,,,,,L8
2022-07-01 22:06:42+00:00,,,,,,266.95,242.19,227.42,,232.16,239.76,248.8,,325.73,332.08,322.47,328.06,329.69,,331.08,,,L9
2022-08-10 22:07:20+00:00,,,,,,266.95,242.19,227.42,,232.16,239.76,248.8,,323.01,332.08,322.47,328.06,329.69,,331.42999999999995,,,L8
2022-10-05 22:07:10+00:00,,,,320.87,,266.95,242.19,227.42,327.61,232.16,239.76,248.8,311.52,324.14000000000004,328.11,315.6,322.11,318.345,,323.56,,,L9
2023-02-18 22:07:01+00:00,349.82,328.0,335.28,322.015,323.61,,,,321.175,,,234.85,311.52,326.4,324.14,308.73,315.96500000000003,301.8,317.79,311.775,318.09,335.07,L8
2023-06-26 22:06:22+00:00,349.82,328.0,335.28,323.16,323.61,261.26,235.82,225.52,314.74,242.03,241.27,247.91500000000002,,,,,315.77,296.6,317.79,315.73,318.09,335.07,L8
2023-07-20 22:06:25+00:00,343.305,328.0,335.28,323.16,323.61,261.26,235.82,225.52,314.74,242.03,241.27,262.69,,,,,315.77,296.6,322.165,315.73,318.09,335.07,L9
2023-07-28 22:06:38+00:00,343.305,328.0,335.28,323.16,323.61,261.26,235.82,225.52,314.74,242.03,241.27,269.6675,300.14,316.53,317.3,311.47,313.815,307.645,324.85,323.37,318.09,335.07,L8
2023-08-21 22:06:40+00:00,336.79,,,,,261.26,235.82,225.52,,242.03,241.27,281.27333333333337,300.14,316.53,322.195,311.47,319.96000000000004,322.53,328.38,331.01,,,L9
2023-08-29 22:06:50+00:00,336.79,,,,,261.26,235.82,225.52,,242.03,241.27,281.27333333333337,300.14,316.53,322.195,311.47,319.96000000000004,323.6466666666667,328.38,333.955,341.03,,L8
2023-10-08 22:06:58+00:00,336.79,342.08,322.55,328.68,,277.97,276.4,225.52,319.7,242.03,241.27,292.2475,303.71500000000003,312.29499999999996,322.24,310.82500000000005,317.57666666666665,319.835,326.56666666666666,329.25333333333333,325.495,,L9
