dates,satname,nzd0299-0000,nzd0299-0001,nzd0299-0002,nzd0299-0003,nzd0299-0004,nzd0299-0005,nzd0299-0006,nzd0299-0007,nzd0299-0008,nzd0299-0009,nzd0299-0010,nzd0299-0011,nzd0299-0012,nzd0299-0013,nzd0299-0014,nzd0299-0015,nzd0299-0016,nzd0299-0017,nzd0299-0018,nzd0299-0019,nzd0299-0020,nzd0299-0021
2005-04-05 21:53:54.943000,L5,301.29,297.47,282.86,252.27,265.70,328.63,322.76,322.18,327.34,329.90,318.06,258.65,257.16,282.41,278.59,277.84,277.47,245.16,308.36,309.62,312.71,333.64
2005-04-21 21:53:58.696000,L5,294.01,295.11,287.61,247.16,252.47,260.13,247.08,235.17,228.26,249.11,245.56,259.93,261.88,288.20,284.77,276.16,284.76,271.99,303.18,317.02,316.42,339.75
2005-05-23 21:54:12.461000,L5,,253.00,202.54,207.68,204.26,234.13,228.80,213.27,194.96,226.50,217.12,219.11,,,156.39,273.35,283.78,277.93,240.83,316.16,317.18,338.89
2005-06-08 21:54:20.810000,L5,327.48,313.28,310.01,282.13,286.59,288.54,270.10,268.65,274.21,279.80,279.05,290.77,295.66,307.24,309.88,309.16,309.44,309.87,348.79,335.94,336.11,351.98
2005-08-27 21:54:55.892000,L5,334.49,311.40,297.56,264.09,276.98,276.73,332.14,324.80,318.62,329.68,252.64,271.38,279.54,300.65,291.33,293.06,298.48,292.84,339.40,323.57,330.69,349.43
2005-09-12 21:54:58.298000,L5,381.99,380.40,377.73,370.69,370.72,366.45,367.30,360.53,360.81,369.33,354.04,364.11,349.82,331.42,331.06,366.63,365.12,343.32,376.37,362.71,362.37,374.41
2005-09-28 21:54:56.334000,L5,396.82,395.94,380.35,384.13,382.00,379.23,378.20,372.22,370.65,375.70,367.18,374.83,373.88,376.48,374.55,382.58,380.23,376.79,389.13,382.23,383.77,392.49
2005-10-30 21:54:51.334000,L5,449.31,452.05,438.35,384.55,377.20,378.06,391.24,406.43,381.13,363.15,378.12,364.88,370.12,371.40,381.67,396.32,386.70,373.20,380.39,378.66,385.13,397.90
2006-02-03 21:57:06.838000,L5,386.28,377.43,401.65,377.77,373.46,368.10,370.58,362.26,360.84,359.76,358.51,362.35,360.30,364.89,363.89,360.85,370.34,372.78,379.84,376.73,380.96,396.28
2006-06-27 21:59:36.315000,L5,306.88,314.65,312.17,275.56,286.25,288.32,276.25,274.59,348.19,350.84,272.40,290.34,296.49,307.92,319.97,296.32,306.36,317.08,324.86,356.08,344.05,365.94
2006-12-13 21:55:19.357000,L5,395.91,393.77,386.39,387.49,381.10,379.48,376.38,369.43,371.42,369.52,371.53,366.10,364.61,368.07,371.12,365.26,370.07,375.43,382.57,396.42,397.17,411.51
2007-01-21 22:01:45.476000,L5,365.66,360.85,358.58,347.32,329.88,,,328.26,334.29,331.23,339.80,342.80,336.74,340.54,333.07,343.05,342.19,303.23,295.36,182.37,304.39,360.29
2008-12-25 21:51:22.162000,L5,361.02,350.13,351.06,345.13,339.09,340.65,334.99,335.13,339.00,337.21,338.09,333.37,333.22,332.39,327.87,336.68,333.70,175.34,204.55,300.66,169.82,285.97
2009-12-12 21:57:25.758000,L5,393.80,379.84,378.55,370.78,370.75,371.03,369.79,371.32,368.31,366.60,370.29,368.63,369.67,365.96,364.65,370.62,374.79,377.48,381.96,381.61,390.47,398.49
2010-01-29 21:57:41.230000,L5,402.64,389.56,399.25,395.39,395.80,398.34,392.53,377.62,384.31,375.48,379.26,372.10,372.07,380.11,401.88,400.61,387.49,385.40,386.29,392.12,403.26,414.46
2010-10-12 21:56:49.113000,L5,203.74,297.90,273.62,200.02,235.34,185.35,,,,,,,,,,,,,,328.89,335.19,356.21
2011-02-17 21:56:48.782000,L5,449.76,437.02,429.09,417.64,431.97,436.95,454.50,426.69,436.79,429.14,438.96,452.59,454.62,452.75,445.21,436.80,422.24,429.82,427.59,426.85,441.19,449.31
2013-04-27 22:08:35.483000,L8,284.77,299.83,296.58,279.88,269.34,274.27,259.69,236.44,223.12,222.12,205.47,174.41,237.37,289.24,263.13,214.76,,229.52,238.78,248.27,302.85,330.44
2013-05-13 22:08:47.205000,L8,386.95,377.18,326.30,373.54,371.63,368.29,356.58,360.87,363.25,366.62,358.48,361.14,300.72,317.39,316.35,310.41,314.01,319.22,333.49,333.17,341.81,362.04
2013-05-29 22:08:53.334000,L8,280.41,287.05,256.25,,,,,,,,,,,,,,,,,,,
2013-06-30 22:08:48.035000,L8,303.36,313.92,316.47,295.67,362.70,354.24,346.17,348.38,347.94,279.93,274.79,274.55,293.22,304.26,309.70,305.48,305.58,306.22,316.34,328.31,333.21,354.18
2013-08-17 22:08:51.042000,L8,403.87,391.52,380.57,381.13,372.91,371.21,367.02,382.88,376.27,372.92,369.44,364.20,378.90,387.93,400.15,401.50,331.81,322.90,388.65,373.35,349.46,368.73
2013-09-02 22:08:52.512000,L8,398.50,389.84,385.23,379.40,376.22,372.94,366.86,372.99,368.04,370.35,366.28,370.56,383.30,393.57,390.53,394.83,392.04,332.42,427.38,449.89,393.99,367.59
2013-11-21 22:08:25.669000,L8,430.75,441.55,438.48,425.00,407.07,404.20,399.42,389.44,403.54,399.39,424.41,417.82,418.78,415.24,424.97,407.28,420.17,417.88,388.03,417.05,399.62,423.14
2014-01-24 22:07:57.409000,L8,353.60,344.09,343.55,342.15,335.22,342.52,334.58,333.49,341.89,339.56,336.80,336.30,335.40,323.20,315.39,328.88,340.23,334.38,347.77,342.01,346.11,343.05
2014-02-25 22:07:32.361000,L8,390.99,394.11,390.55,395.59,389.19,371.84,376.57,379.84,379.78,382.48,370.11,375.28,385.20,399.07,404.58,402.73,398.58,488.88,497.05,491.68,485.68,425.90
2014-04-30 22:06:34.437000,L8,369.90,359.44,355.88,354.70,356.19,354.31,349.32,345.09,350.09,348.50,343.54,342.59,300.71,317.86,313.77,310.29,309.66,511.16,359.46,335.26,346.03,358.32
2014-05-16 22:06:21.708000,L8,370.58,366.78,326.45,353.58,361.22,356.09,350.02,347.30,350.90,360.17,414.01,418.91,441.55,428.63,317.90,312.28,313.99,324.29,362.25,334.81,343.41,360.50
2014-06-01 22:06:26.739000,L8,276.39,291.63,283.30,236.40,244.46,265.51,244.70,228.43,220.04,218.40,226.24,250.32,217.23,283.06,285.25,273.67,250.25,275.69,230.06,276.69,314.66,330.71
2014-06-17 22:06:32.826000,L8,334.95,327.71,322.90,331.90,361.28,356.05,354.01,350.54,350.24,341.68,280.84,288.26,302.59,315.04,318.36,311.32,313.55,317.74,324.82,334.88,341.02,356.27
