dates,nzd0419-0000,nzd0419-0001,nzd0419-0002,nzd0419-0003,nzd0419-0004,nzd0419-0005,nzd0419-0006,nzd0419-0007,nzd0419-0008,nzd0419-0009,nzd0419-0010,nzd0419-0011,nzd0419-0012,nzd0419-0013,nzd0419-0014,nzd0419-0015,nzd0419-0016,nzd0419-0017,nzd0419-0018,nzd0419-0019,nzd0419-0020,nzd0419-0021,nzd0419-0022,nzd0419-0023,nzd0419-0024,nzd0419-0025,nzd0419-0026,nzd0419-0027,nzd0419-0028,nzd0419-0029,nzd0419-0030,nzd0419-0031,nzd0419-0032,nzd0419-0033,nzd0419-0034,nzd0419-0035,nzd0419-0036,nzd0419-0037,nzd0419-0038,nzd0419-0039,nzd0419-0040,nzd0419-0041,nzd0419-0042,satname
2003-08-20 21:57:03+00:00,,,,,278.85,264.12,,319.01,323.09,274.08,330.21,327.59,,194.17,,199.64,207.96,213.5,212.81,225.17,236.67,240.22,259.54,229.38,227.07,197.67,165.56,252.46,,,,,,,,,,,,,,,,L5
2003-12-10 21:58:29+00:00,255.97,213.25,272.55,287.19,285.83000000000004,273.905,311.68,315.825,320.16999999999996,271.41999999999996,325.52,325.825,,186.51,,201.37,208.055,211.09,214.91,227.07999999999998,243.18,251.385,253.09500000000003,229.38,223.86,201.235,165.91,244.435,249.94,245.91,,,,,,,,,,,,,,L5
2004-01-27 21:58:50+00:00,247.60500000000002,200.185,265.28,280.25,282.97333333333336,279.1766666666667,313.77,317.7033333333333,321.32,272.58,326.5933333333333,327.2833333333333,322.99,182.68666666666664,,197.24333333333334,203.36,207.73666666666668,211.37,223.54999999999998,242.65666666666667,254.04000000000005,253.78666666666666,229.38,222.29999999999998,200.3166666666667,165.91,244.67333333333332,253.01,247.14999999999998,,,,,,,,,,,,,,L5
2004-08-22 22:03:12+00:00,,,,,,268.61,,,326.58,271.0,328.94,330.84,329.8,192.83,,,,,,,,,,,233.89,,,,,,,,,,,,,,,,,,,L5
2004-11-26 22:05:17+00:00,241.36,193.73,257.66,275.65,287.74,281.655,322.42,328.08,330.38,274.645,334.03999999999996,332.83,329.8,185.5,,191.52,195.8,198.73,207.94,218.39,250.96,261.08,256.79,,242.01999999999998,247.28,252.44,259.92,263.88,255.86,,174.67,,,,,,,,,,,,L5
2005-03-02 22:06:47+00:00,239.74,193.73,257.875,278.37,287.07,294.7,318.89,325.46500000000003,330.33500000000004,274.435,328.12,327.08,,179.46499999999997,,192.185,195.32,200.37,207.18,223.87,250.35500000000002,260.83,257.22,,250.15,247.28,252.44,259.92,263.88,255.86,,174.67,,,,,,,,,,,,L5
2005-09-10 22:08:07+00:00,,183.03,302.13,286.19,302.95,321.11,328.92,343.69,,288.57,350.91,353.13,,218.0,,217.41,220.56,219.44,224.85,232.89,259.59,263.01,274.53,234.32,284.09,275.46,277.23,276.59,282.1,276.52,,191.65,,,,,,,,,,,,L5
2006-02-17 22:10:34+00:00,240.95,192.51,302.13,280.95500000000004,290.39,304.555,318.6,330.59000000000003,323.83,276.67499999999995,336.59000000000003,341.41999999999996,,199.33499999999998,332.26,205.125,209.36,211.97,216.76,227.745,253.605,259.96000000000004,264.16499999999996,234.32,258.275,259.54999999999995,258.945,256.935,282.1,256.82,,185.265,,,,,,,,,,,,L5
2006-09-13 22:13:47+00:00,244.75,187.49,262.99,265.6,263.86,281.76,292.37,302.73,311.88,271.92,324.89,327.86,329.01,190.39,331.54,200.46,205.71,211.03,213.72,213.62,232.57,243.18,246.81,212.83,212.59,198.68,205.14,,,,,,,,,,,,,,,,,L5
2006-10-31 22:14:17+00:00,243.845,191.585,263.145,270.645,271.4,290.365,300.865,314.96000000000004,323.235,278.06,330.565,333.71500000000003,334.42499999999995,194.385,336.86,202.85500000000002,203.91500000000002,207.95,212.075,219.285,238.5,250.465,251.125,209.865,218.905,207.075,206.79,,,,,,,,,,,,,,,,,L5
2007-02-04 22:14:57+00:00,245.35333333333332,198.36,264.48333333333335,273.62,272.2166666666667,289.21,300.865,314.8066666666667,321.26666666666665,273.58,327.7866666666667,334.21,335.31666666666666,193.4433333333333,337.42,202.20666666666668,203.64333333333335,208.63333333333333,213.20666666666668,222.74,238.67333333333332,250.58666666666667,250.03333333333333,209.865,218.33333333333334,207.26666666666665,207.24,,,,,,,,,,,,,,,,,L5
2007-10-02 22:12:54+00:00,251.64,178.51,258.76,278.18,292.72,307.5,317.08,329.09,336.46,291.9,348.07,344.67,340.18,197.75,334.43,205.27,208.64,213.06,217.25,228.33,256.53,269.02,268.45,213.66,228.97,213.04,203.5,,,,,,,,,,,,,,,,,L5
2008-12-23 22:04:28+00:00,,208.13,,,,276.97,,,,270.35,,,,196.28,,,,,,,,,,,190.58,,,,,,,,,,,,,,,,,,,L5
2010-01-27 22:10:50+00:00,245.91,206.07,261.56,,,292.46,303.09,314.09,321.28,275.06,323.89,326.25,,196.94,,201.84,202.47,207.79,216.82,227.5,245.43,251.5,248.86,,210.15,187.73,176.02,,,,,,,,,,,,,,,,,L5
2011-02-15 22:09:58+00:00,240.3,206.1,255.53,252.57,260.26,287.57,288.08,295.3,304.66,260.95,314.06,316.65,316.78,201.19,322.97,207.44,206.34,213.16,220.85,215.28,239.2,249.66,247.3,176.84,211.44,196.93,178.16,,,,,,,,,,,,,,,,,L5
2013-05-27 22:22:02+00:00,,,,,,,,,,277.82,,,,182.41,,194.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2013-07-14 22:21:58+00:00,,,,,,,,,,277.82,315.94,318.62,327.8,182.41,343.33,194.59,,,,,264.76,304.0,307.77,251.68,,,242.83,242.65,,,,,,,,,,,,,,,,L8
2013-09-16 22:21:57+00:00,,,,,251.69,334.35,263.38,273.25,280.79,291.37,302.47,305.47,314.89,182.41,323.515,210.2,227.27,230.81,234.84,245.75,263.875,303.96000000000004,295.075,251.68,253.34,239.2,232.09500000000003,225.84,,,,,,,,,,,,,,,,L8
2013-10-18 22:21:49+00:00,270.88,237.22,,,251.69,334.35,268.555,273.925,276.29,296.34,296.8433333333333,302.28333333333336,306.67,182.41,317.14,219.63,241.495,248.385,241.285,244.3,276.4433333333333,303.4433333333333,295.51,247.875,267.47,259.505,232.09500000000003,225.84,307.44,,,,,,,,,,,283.05,297.03,296.21,290.91,L8
2013-12-21 22:21:27+00:00,270.88,237.22,,,251.69,334.35,265.4766666666667,272.1466666666667,277.63000000000005,311.6266666666667,294.34749999999997,298.06,302.615,,311.32,232.14999999999998,241.495,248.385,241.285,243.57666666666668,276.7625,302.64250000000004,297.34,247.875,264.6666666666667,256.15333333333336,233.02333333333334,228.68666666666664,245.095,,,,,,,,,,,283.05,297.03,296.21,290.91,L8
2014-07-01 22:19:46+00:00,,,,,,,,,232.28,,250.43,258.3,254.04,181.08,244.67,,,,202.77,,,,,,,,,,,,,,,,,,,,,,,,,L8
2014-07-17 22:19:52+00:00,,,,,,,,,244.25,,272.88,275.70000000000005,272.185,181.08,259.36,,,,220.61,,,,,,,,,,,,,,,,,,,,,,,,,L8
2014-09-03 22:20:06+00:00,,248.2,,,,317.35,,,246.7733333333333,301.91,277.60999999999996,278.3233333333333,276.5933333333333,203.29000000000002,261.5133333333333,225.61,228.01,232.44,225.96666666666667,243.92,259.29,283.92,279.96,,251.69,241.91,233.23,232.57,,,,,,,,,,,,,,,,L8
2014-11-06 22:20:13+00:00,,241.875,,,,315.285,,,246.7733333333333,301.645,279.28999999999996,279.3375,279.0575,210.13333333333333,267.72249999999997,225.41000000000003,227.58499999999998,231.415,228.35750000000002,243.685,264.625,281.33500000000004,278.325,,253.365,241.70999999999998,232.70999999999998,234.56,177.06,,,,,,,,,,,,,,,L8
2014-12-24 22:20:05+00:00,,239.51999999999998,,,,314.49333333333334,,,246.7733333333333,300.5,284.538,279.918,279.9,213.445,266.72200000000004,224.78,227.17999999999998,230.70000000000002,229.71999999999997,244.17666666666665,264.59666666666664,284.2266666666667,279.42333333333335,,253.73000000000002,243.33333333333334,234.58,235.65666666666667,192.88,239.38,227.42,170.5,,,,,,,,,,,,L8
