dates,satname,nzd0534-0000,nzd0534-0001,nzd0534-0002,nzd0534-0003,nzd0534-0004,nzd0534-0005,nzd0534-0006,nzd0534-0007
1999-08-08 22:19:52.507000,L7,370.03,434.13,347.02,355.09,349.17,337.31,365.85,381.28
1999-11-05 22:13:40.966000,L7,,,,,239.84,259.94,296.59,321.10
1999-11-21 22:13:35.965000,L7,267.84,260.41,250.56,268.52,327.07,275.38,326.95,280.72
1999-12-07 22:13:41.663000,L7,263.58,246.20,239.08,260.94,328.32,256.37,307.10,336.91
1999-12-30 22:19:45.690000,L7,370.94,335.00,266.98,312.17,338.87,265.62,339.97,324.81
2000-04-13 22:13:06.040000,L7,206.60,237.70,229.22,257.34,190.78,216.49,219.96,283.32
2000-04-20 22:19:15.385000,L7,244.81,249.99,242.02,204.65,236.03,241.23,,
2000-09-20 22:11:14.930000,L7,210.70,228.42,217.82,244.69,177.29,204.93,224.47,217.09
2000-09-27 22:17:24.534000,L7,267.07,177.16,193.26,198.83,235.79,147.35,293.98,307.14
2000-10-29 22:17:19.582000,L7,279.26,264.91,251.00,272.93,264.84,259.76,311.43,322.18
2001-02-11 22:11:12.788000,L7,247.23,235.24,227.61,193.22,232.10,242.51,291.14,322.79
2001-03-22 22:17:09.568000,L7,236.72,257.59,247.85,210.75,239.36,256.53,304.21,311.23
2001-04-07 22:17:01.469000,L7,272.24,257.01,248.98,247.70,239.06,258.16,299.74,311.29
2001-11-01 22:15:17.839000,L7,265.16,245.52,194.33,202.18,235.15,250.02,215.42,309.09
2001-11-26 22:09:21.320000,L7,255.78,241.58,236.49,254.81,298.95,256.91,314.15,328.13
2001-12-12 22:09:26.650000,L7,,,,,,229.16,269.63,296.41
2001-12-19 22:15:37.819000,L7,281.23,264.07,250.48,269.39,249.64,261.97,308.97,321.74
2002-02-14 22:09:41.178000,L7,352.20,338.75,332.25,343.71,348.90,350.08,340.83,364.77
2002-03-25 22:15:47.156000,L7,270.78,246.03,245.11,198.88,232.74,226.94,284.77,306.77
2002-12-31 22:09:08.026000,L7,267.09,251.15,243.34,270.71,282.43,263.70,325.60,338.38
2003-02-24 22:15:37.262000,L7,,,,,,495.17,398.43,387.33
2003-03-21 22:09:27.545000,L7,265.97,242.07,238.73,268.43,245.42,260.69,312.98,338.79
2003-04-13 22:15:43.669000,L7,282.57,267.61,263.19,292.22,338.43,267.75,319.26,316.15
2003-08-11 22:03:51.447000,L5,279.65,270.11,261.53,327.47,249.91,283.42,317.77,326.53
2003-10-07 21:58:35.519000,L5,266.32,264.43,250.94,299.81,267.11,278.92,324.26,336.57
2004-01-27 21:59:38.149000,L5,241.50,234.12,226.38,245.69,227.33,243.01,284.50,308.67
2004-03-31 21:59:59.745000,L5,270.50,260.88,249.99,296.78,317.98,278.56,324.06,334.21
2004-04-23 22:06:53.682000,L5,260.10,156.68,145.76,166.42,226.15,247.20,284.21,308.69
2004-05-09 22:07:21.512000,L5,,,,,222.41,240.47,287.63,310.80
2004-05-18 22:01:26.569000,L5,,,,,,,,314.41
2004-07-21 22:03:15.748000,L5,,,,,226.13,248.68,281.73,320.69
2004-08-29 22:10:22.051000,L5,288.08,274.01,264.92,323.91,248.21,283.06,318.68,324.67
2004-11-01 22:11:49.961000,L5,297.81,282.89,265.63,325.25,264.48,284.29,321.23,330.99
2005-05-12 22:14:14.883000,L5,262.21,233.63,160.97,185.11,227.04,252.69,295.54,304.84
