dates,nzd0535-0000,nzd0535-0001,nzd0535-0002,nzd0535-0003,nzd0535-0004,nzd0535-0005,nzd0535-0006,nzd0535-0007,nzd0535-0008,nzd0535-0009,nzd0535-0010,nzd0535-0011,satname
1999-11-21 22:13:35+00:00,,303.13,292.46,,,300.47,,,,,,,L7
1999-12-07 22:13:41+00:00,,303.13,292.46,,,285.83500000000004,230.28,,318.87,218.38,,,L7
1999-12-30 22:19:45+00:00,,303.13,295.03999999999996,255.74,262.52,277.6333333333334,249.82,,310.32,209.48000000000002,312.53,,L7
2000-04-20 22:19:15+00:00,,294.655,286.0466666666667,258.08000000000004,250.02999999999997,274.19,257.23333333333335,,302.58,237.08333333333334,292.65999999999997,235.15,L7
2000-09-20 22:11:14+00:00,,286.18,268.06,260.42,237.54,246.54500000000002,255.93,,299.975,298.79499999999996,261.785,235.15,L7
2000-09-27 22:17:24+00:00,,286.18,268.06,260.42,237.54,246.54500000000002,255.93,,300.5,289.65333333333336,258.0733333333333,247.37,L7
2000-10-29 22:17:19+00:00,,,305.91,237.48,268.19,225.77499999999998,239.8,265.18,300.89000000000004,288.33500000000004,270.2966666666667,259.59,L7
2001-02-11 22:11:12+00:00,,302.0,296.605,254.075,266.915,225.77499999999998,239.8,265.18,300.89000000000004,288.33500000000004,270.2966666666667,259.59,L7
2001-03-22 22:17:09+00:00,,302.0,296.605,254.075,264.86333333333334,222.32,,275.32500000000005,299.55,283.625,286.1933333333333,273.48,L7
2001-11-01 22:15:17+00:00,254.96,,,,236.57,205.34,,,292.35,,,,L7
2001-11-26 22:09:21+00:00,254.96,,,,257.565,205.34,,,292.35,,,,L7
2001-12-19 22:15:37+00:00,271.735,283.64,253.19,252.87,262.50666666666666,246.24,320.18,257.09,297.95500000000004,309.91,312.1,299.19,L7
2002-12-31 22:09:08+00:00,,,298.67,291.13,280.35,,,,,,,,L7
2003-03-21 22:09:27+00:00,,293.64,287.725,291.13,280.35,,,157.41,320.94,,315.13,,L7
