dates,satname,nzd0439-0000,nzd0439-0001,nzd0439-0002,nzd0439-0003,nzd0439-0004,nzd0439-0005,nzd0439-0013,nzd0439-0014,nzd0439-0015,nzd0439-0016,nzd0439-0017,nzd0439-0018,nzd0439-0019,nzd0439-0020,nzd0439-0021,nzd0439-0022,nzd0439-0010,nzd0439-0011,nzd0439-0012,nzd0439-0023,nzd0439-0024,nzd0439-0025,nzd0439-0006,nzd0439-0007,nzd0439-0008,nzd0439-0009
1999-08-26 22:06:44.761000,L7,,,,379.00,370.89,378.13,,,,,,374.29,385.74,379.72,365.34,353.88,428.04,437.64,,351.65,330.93,335.43,403.53,400.55,421.82,415.64
1999-09-04 22:00:33.926000,L7,294.83,308.85,312.37,318.54,319.48,307.05,308.97,324.37,332.49,294.81,329.36,326.56,358.99,350.12,279.25,277.62,,,,,,,,,,
1999-09-27 22:06:48.795000,L7,,,,,,,343.54,339.60,337.95,332.78,338.91,340.45,366.88,352.56,315.56,302.20,,374.19,263.25,321.82,281.11,289.56,,,,
1999-12-16 22:06:45.781000,L7,,,,,,,310.77,318.70,325.70,300.58,310.67,321.08,350.39,311.64,305.79,292.97,,,285.46,293.31,271.20,277.40,,,,
2000-01-26 22:00:26.187000,L7,,,,,,,286.03,321.63,,,,,,,,,,,342.79,,,,,,,
2000-02-11 22:00:21.827000,L7,,,,,,,311.20,312.01,304.21,292.27,303.73,324.10,314.67,345.79,306.67,297.30,,,290.32,296.20,274.87,269.30,,,,
2000-02-27 22:00:16.353000,L7,290.97,287.81,290.51,302.29,317.03,315.81,321.93,317.17,334.33,334.96,335.75,329.61,362.42,351.82,321.59,295.99,305.29,372.36,360.58,308.14,288.61,279.21,,,,
2000-03-30 22:00:09.363000,L7,292.76,293.96,299.82,307.18,316.31,308.33,283.38,320.05,343.56,293.02,,,364.19,345.05,312.12,314.57,,,325.49,303.11,287.79,287.67,,,,
2000-05-01 21:59:54.563000,L7,301.51,299.66,313.91,317.74,330.26,322.64,,309.00,312.34,313.25,303.42,319.55,341.67,324.42,307.32,301.51,,,,295.60,278.11,268.66,309.63,,,
2000-05-08 22:05:56.985000,L7,290.83,296.12,301.47,303.77,315.59,304.81,,,,,,,,,,,,,,,,,,,,
2000-05-24 22:05:46.512000,L7,302.47,306.82,309.99,311.72,332.51,328.41,,323.08,333.21,301.04,314.51,325.77,366.61,345.97,320.67,307.23,345.77,368.80,325.16,314.53,292.07,272.45,320.64,377.30,406.76,372.19
2000-07-27 22:05:00.333000,L7,307.47,302.69,314.52,311.31,332.07,321.99,,,,,,,,,,,,,,,,,315.19,332.05,339.11,
2000-08-05 21:58:44.520000,L7,304.02,307.70,311.98,314.07,335.17,330.48,,291.81,325.87,303.58,,,,,,,335.81,,,,,,350.15,373.52,387.30,362.91
2000-08-12 22:04:53.965000,L7,291.70,294.13,296.69,309.02,319.01,307.19,,,,,,,,,,,328.86,299.31,,,,,347.83,339.94,371.15,377.82
