dates,satname,nzd0224-0000,nzd0224-0001,nzd0224-0002,nzd0224-0003,nzd0224-0004,nzd0224-0005,nzd0224-0006,nzd0224-0007,nzd0224-0008,nzd0224-0009,nzd0224-0010,nzd0224-0011,nzd0224-0012,nzd0224-0013,nzd0224-0014,nzd0224-0021,nzd0224-0022,nzd0224-0023,nzd0224-0024,nzd0224-0026,nzd0224-0027,nzd0224-0028,nzd0224-0090,nzd0224-0091,nzd0224-0092,nzd0224-0093,nzd0224-0094,nzd0224-0015,nzd0224-0016,nzd0224-0017,nzd0224-0018,nzd0224-0019,nzd0224-0020,nzd0224-0030,nzd0224-0031,nzd0224-0032,nzd0224-0038,nzd0224-0039,nzd0224-0040,nzd0224-0041,nzd0224-0042,nzd0224-0056,nzd0224-0057,nzd0224-0058,nzd0224-0059,nzd0224-0060,nzd0224-0061,nzd0224-0062,nzd0224-0065,nzd0224-0066,nzd0224-0067,nzd0224-0068,nzd0224-0069,nzd0224-0070,nzd0224-0071,nzd0224-0072,nzd0224-0095,nzd0224-0096,nzd0224-0097,nzd0224-0098,nzd0224-0099,nzd0224-0100,nzd0224-0101,nzd0224-0104,nzd0224-0105,nzd0224-0106,nzd0224-0122,nzd0224-0123,nzd0224-0037,nzd0224-0086,nzd0224-0087,nzd0224-0088,nzd0224-0089,nzd0224-0103,nzd0224-0033,nzd0224-0034,nzd0224-0102,nzd0224-0127,nzd0224-0035,nzd0224-0064,nzd0224-0074,nzd0224-0075,nzd0224-0076,nzd0224-0077,nzd0224-0078,nzd0224-0082,nzd0224-0083,nzd0224-0084,nzd0224-0085,nzd0224-0121,nzd0224-0124,nzd0224-0025,nzd0224-0036,nzd0224-0063,nzd0224-0081,nzd0224-0111,nzd0224-0112,nzd0224-0113,nzd0224-0029,nzd0224-0073,nzd0224-0079,nzd0224-0080,nzd0224-0110,nzd0224-0107,nzd0224-0108,nzd0224-0115,nzd0224-0116,nzd0224-0117,nzd0224-0131,nzd0224-0132,nzd0224-0055,nzd0224-0043,nzd0224-0044,nzd0224-0045,nzd0224-0046,nzd0224-0047,nzd0224-0048,nzd0224-0125,nzd0224-0126,nzd0224-0114,nzd0224-0049,nzd0224-0050,nzd0224-0051,nzd0224-0052,nzd0224-0053,nzd0224-0129,nzd0224-0130,nzd0224-0119,nzd0224-0120,nzd0224-0128
2016-01-16 21:53:45.577000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.89,371.20,365.72,343.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-20 21:53:27.214000,L8,,,,,,,,,,,,,,,,,,,,,,,,,239.49,343.74,254.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.43,247.16,299.31,,,,,,,,,,,,,,,,271.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-23 21:53:17.616000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.59,350.12,334.05,335.47,,,,,,,,,,,,,,297.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-26 21:53:40.722000,L8,,,,,,,,,,,,,,,,343.79,334.46,353.63,,354.89,346.20,303.84,,,,,,,,,,,,,,,387.32,371.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-11 21:53:21.571000,L8,,,,,,,,,,,,,,,,,,,,,,,,354.07,355.40,338.03,325.27,286.16,275.03,286.38,291.02,363.48,,,,,,,,,,,,,,,,,,,,,,,,,339.89,,,,,,,313.86,360.27,,,,,,,,,335.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-29 21:53:37.367000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.85,334.31,350.41,322.56,385.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.62,325.94,,,,,,,,,328.89,,,354.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-14 21:53:43.292000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.80,,,,,,,,,,,,,,,,,,,,,,,260.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.10,236.49,
2017-12-20 21:53:52.460000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.55,371.72,368.75,374.63,362.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-11 21:53:01.396000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.80,369.50,355.73,328.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-29 21:52:29.440000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.21,354.98,345.49,319.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-16 21:52:51.323000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.13,363.52,348.26,325.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-04 21:53:26.589000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.01,370.66,359.96,333.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-20 21:53:32.714000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.21,369.95,365.35,332.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-25 21:53:22.406000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.53,364.34,357.68,325.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-16 21:53:15.907000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.28,372.17,360.21,334.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-17 21:53:30.969000,L8,423.71,409.89,395.55,277.80,,,,,,,,,,,,,,,,,,,,,,,,270.81,253.06,262.97,291.87,368.98,,,,,,,,,,,310.55,206.04,237.53,279.69,302.91,,,,,,257.16,279.62,254.67,287.27,,,,,,332.75,310.56,314.70,356.34,363.56,299.25,286.54,,,,,,336.84,,,369.62,,,,281.47,296.63,278.46,276.13,276.75,,,,,,,,,,,,,,,273.27,277.25,316.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-28 21:53:38.517000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.88,355.73,338.96,323.21,372.81,,,,,,,,,,309.47,304.67,298.24,,,,,251.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.42,,,,,,,,,,,,,,,,,,,
2020-03-31 21:53:22.236000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.74,373.75,360.58,341.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-21 21:53:34.880000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.34,369.60,361.19,363.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.74,395.18,407.09,405.48,388.46,367.29,,,,,,,,,,,,,
2021-07-08 21:53:34.932000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.88,361.94,326.82,305.71,326.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.04,291.68,,,,,,,,,,,,,,,,,,,,,,178.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-08 21:53:55.798000,L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.68,370.46,352.62,332.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-14 21:53:31.437000,L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.24,311.69,,,,,,,,,,,,,,,,281.32,259.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-22 21:53:28.835000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.23,355.42,338.52,327.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-16 21:53:14.305000,L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.21,274.80,304.58,314.58,368.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-25 21:53:54.601000,L8,429.68,419.85,324.22,305.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.01,283.71,,,,,,,,,,,,,,,,,,,,,,193.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-03 21:53:32.375000,L9,346.43,328.82,398.66,384.94,370.88,353.67,363.46,,,309.85,308.43,291.73,304.57,271.22,319.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-04 21:53:47.033000,L9,321.33,321.85,331.88,383.89,369.30,,,,,,320.30,344.30,311.52,296.61,306.19,,,,,,,,330.17,355.30,321.40,326.24,316.43,,,,,,,,280.84,269.61,,,,,,,,,,,,,,,,,281.56,291.78,287.77,274.55,291.51,250.93,,,,,,,,,,,,,,,310.02,,287.72,325.72,,,336.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-23 21:54:07.910000,L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.39,373.41,354.10,328.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-24 21:54:07.607000,L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.97,287.18,333.10,338.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-26 21:54:05.616000,L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.87,355.65,341.78,311.03,335.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-20 21:53:49.750000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.45,349.91,337.81,315.33,378.14,,,,,,,,,,,,,,,,,,,,,,167.90,230.85,251.48,,,,,,,,,,,,,,,,,,,,,,,,,275.79,254.58,272.68,205.63,,,,,,,,,,,,,,,,246.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-08 21:53:38.861000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.43,258.30,335.57,309.53,373.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-24 21:53:30.443000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.60,355.19,344.06,321.79,376.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-12 21:53:07.226000,L8,418.36,409.00,396.86,278.31,,,,,,,,,,,,,,,,,,,,,,,,,346.97,326.20,312.30,371.54,,,,,,,,,,,,,,,,,,,,,278.92,241.45,241.85,258.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-28 21:53:15.126000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.67,,,,,,,,,250.80,,,,,,288.25,246.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-14 21:53:22.893000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.51,360.89,345.61,329.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-22 21:53:15.800000,L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.97,380.54,312.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-30 21:53:30.466000,L8,,,,,,,,,,,,,,,,341.48,361.49,352.94,354.61,,,,,,,,,,,,,,320.02,,,,,,,,,,,,,,,,,,,,,277.72,283.10,283.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-23 21:53:32.316000,L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.33,360.25,344.02,331.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-31 21:53:40.223000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.24,271.25,339.45,323.34,378.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-16 21:53:44.465000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.27,365.93,352.66,326.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-02 21:53:47.913000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.75,344.66,327.14,314.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-10 21:53:51.033000,L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.05,368.76,347.60,329.06,385.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-11 21:53:51.231000,L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.70,365.25,349.44,322.45,361.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-13 21:53:58.396000,L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.78,356.33,345.51,324.03,364.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-22 21:53:44.081000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.70,407.26,406.67,419.01,,,,,,,,,,,,,,
2024-02-15 21:53:54.385000,L9,,,,271.97,301.12,257.36,253.11,302.36,226.86,,,,,,,,,,,,,,,,,,,,,,,,,312.19,304.10,356.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.70,331.44,,,,,,,,,,,,,,,,,,,,,,,282.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-03 21:53:40.750000,L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.02,361.49,339.79,324.46,377.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-29 21:52:42.839000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.51,269.38,293.11,317.03,368.02,,,,,,,,,,,,,286.74,289.01,277.04,275.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-06 21:53:01.632000,L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.68,220.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.59,288.88,223.02,,,,,,,,,,,,,,,154.95,207.75,,,
2024-07-08 21:53:01.737000,L9,,,,,,,,,,,,,,,,,,,,,,,338.85,317.20,289.57,239.98,311.10,,,,,,,,,,,,,,,,,,,,,,,,,203.35,247.42,276.20,283.16,274.61,304.05,313.75,,305.24,340.76,339.36,313.13,,,,,,,,,,329.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-24 21:53:05.581000,L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.89,341.13,359.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-01 21:53:16.765000,L8,,,,,,,,,,,,,,,,,,,,319.62,281.17,352.82,,,,,,,,,,,,344.37,340.51,340.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.51,337.39,,,366.61,,,,,,,,,,,,,,352.45,,,,,,352.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-25 21:53:26.860000,L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.06,348.34,328.74,318.53,,,,,,,,,,,,,,,,,,216.48,195.19,182.11,224.16,258.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-02 21:53:32.174000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.85,264.08,276.55,315.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-04 21:53:32.935000,L8,,,,,,,,,,,,,,,,,,,,,,,,,309.89,304.96,280.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.39,304.16,258.69,312.69,310.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-20 21:53:45.329000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.26,324.44,,,,,,,,,,,,,,,,,229.53,204.46,228.24,260.12,,,,,,,,,,,,,,,,,,,311.42,318.40,,,343.85,,,,,,,,,,,,,,,,,,,,,189.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-21 21:53:32.179000,L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.59,283.08,341.46,325.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-29 21:53:19.999000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.98,276.75,334.71,321.68,274.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.79,,,,,,,,,,,,,306.57,,,,,,,,,,,,,,,,,,,,,,,,,,,215.52,239.04,,,,,,,,,,,
2025-04-06 21:53:31.771000,L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.83,360.93,352.43,334.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-16 21:53:05.309000,L8,,,,,,,,,,,,,,,,,,,,,,,286.81,313.29,313.19,320.42,338.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.59,,,330.23,376.23,295.32,307.03,310.01,318.64,341.02,,,,,,,298.41,329.91,,,335.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-24 21:53:09.627000,L9,,,,,,,,,,,,,,,362.01,,,,,,,,,,,,,268.78,370.37,351.21,331.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-01 21:53:08.733000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.82,339.68,332.16,347.32,,,,299.85,258.27,,,,,,,,,284.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09 21:53:09.796000,L9,,,,,,,,,,,,,,,,,,,,,,,283.91,311.97,308.11,306.32,339.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.64,333.38,302.23,306.41,,,,,,,,,,347.25,,,,356.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-25 21:53:21.635000,L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.23,360.70,343.42,326.96,379.47,,,,,,,,,,,261.21,282.81,266.83,278.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03 21:53:26.379000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.17,,,,,,,,,,,,,,,,267.97,264.17,,,191.58
2025-07-11 21:53:24.642000,L9,,,,,,,,,,309.79,292.82,249.73,292.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-12 21:53:43.900000,L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.19,272.66,301.38,328.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-28 21:53:47.523000,L9,,,,,,,,,354.23,264.12,302.22,327.73,305.90,351.63,348.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.30,339.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
