dates,satname,nzd0224-0000,nzd0224-0001,nzd0224-0002,nzd0224-0003,nzd0224-0004,nzd0224-0005,nzd0224-0006,nzd0224-0007,nzd0224-0008,nzd0224-0009,nzd0224-0010,nzd0224-0011,nzd0224-0012,nzd0224-0013,nzd0224-0014,nzd0224-0021,nzd0224-0022,nzd0224-0023,nzd0224-0024,nzd0224-0026,nzd0224-0027,nzd0224-0028,nzd0224-0090,nzd0224-0091,nzd0224-0092,nzd0224-0093,nzd0224-0094,nzd0224-0015,nzd0224-0016,nzd0224-0017,nzd0224-0018,nzd0224-0019,nzd0224-0020,nzd0224-0030,nzd0224-0031,nzd0224-0032,nzd0224-0038,nzd0224-0039,nzd0224-0040,nzd0224-0041,nzd0224-0042,nzd0224-0056,nzd0224-0057,nzd0224-0058,nzd0224-0059,nzd0224-0060,nzd0224-0061,nzd0224-0062,nzd0224-0065,nzd0224-0066,nzd0224-0067,nzd0224-0068,nzd0224-0069,nzd0224-0070,nzd0224-0071,nzd0224-0072,nzd0224-0095,nzd0224-0096,nzd0224-0097,nzd0224-0098,nzd0224-0099,nzd0224-0100,nzd0224-0101,nzd0224-0104,nzd0224-0105,nzd0224-0106,nzd0224-0122,nzd0224-0123,nzd0224-0037,nzd0224-0086,nzd0224-0087,nzd0224-0088,nzd0224-0089,nzd0224-0103,nzd0224-0033,nzd0224-0034,nzd0224-0102,nzd0224-0127,nzd0224-0035,nzd0224-0064,nzd0224-0074,nzd0224-0075,nzd0224-0076,nzd0224-0077,nzd0224-0078,nzd0224-0082,nzd0224-0083,nzd0224-0084,nzd0224-0085,nzd0224-0121,nzd0224-0124,nzd0224-0025,nzd0224-0036,nzd0224-0063,nzd0224-0081,nzd0224-0111,nzd0224-0112,nzd0224-0113,nzd0224-0029,nzd0224-0073,nzd0224-0079,nzd0224-0080,nzd0224-0110,nzd0224-0107,nzd0224-0108,nzd0224-0115,nzd0224-0116,nzd0224-0117,nzd0224-0131,nzd0224-0132,nzd0224-0055,nzd0224-0043,nzd0224-0044,nzd0224-0045,nzd0224-0046,nzd0224-0047,nzd0224-0048,nzd0224-0125,nzd0224-0126,nzd0224-0114,nzd0224-0049,nzd0224-0050,nzd0224-0051,nzd0224-0052,nzd0224-0053,nzd0224-0129,nzd0224-0130,nzd0224-0119,nzd0224-0120,nzd0224-0128
2002-02-02 21:42:30.783000,L7,,,,,,,,,,,,335.69,337.71,282.28,,280.71,,,,,,,,,,,,,,,316.09,329.41,352.85,,,,,,,,,,,,,,,,291.63,216.54,248.62,185.83,269.00,258.90,264.19,291.65,,,,,,,,,,310.57,,,,204.23,,,,,,,,,,243.33,281.96,289.30,285.84,277.49,276.88,203.73,235.65,219.64,226.47,,,,,181.33,210.77,341.58,222.20,,,274.18,287.65,216.03,300.56,340.45,332.47,234.60,289.12,270.38,,,,,,,,,,,,,,,,,,,,,,
2002-02-18 21:42:30.251000,L7,416.39,404.87,376.61,377.57,343.31,364.77,,,,,,,,,246.48,280.87,249.70,,,,,,,,,,,344.28,283.14,280.78,313.64,331.95,318.32,,,,,,,,,,,,,,,,237.97,279.76,242.21,189.65,204.48,218.12,,,338.46,336.59,364.96,337.24,343.35,372.56,,314.12,305.20,348.56,,,,304.93,286.45,,,363.41,,,334.96,,,,,,,,,305.09,301.71,,293.58,,,,,,219.28,294.50,290.96,292.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-07 21:42:28.931000,L7,,,,,,,,,,,,319.05,316.57,271.29,,324.13,304.96,269.96,293.54,259.87,239.40,,,,321.70,341.13,327.04,,,,,,311.37,,,,,,,,,,,,,,,,,,,,,,,,281.57,273.51,306.01,311.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.95,,,,,,,,,,,,,,,,,264.42,255.45,,,,,,,,,,,,,,,,,,,,
2002-09-14 21:41:31.043000,L7,387.00,366.10,376.09,291.65,324.80,,,,,,,,,,,309.25,,,,,,,,,,,,369.73,293.29,289.71,345.63,338.59,326.49,,,,,,,,,,,,,,,,,,,226.40,235.03,222.59,229.24,,,327.93,308.43,344.69,,,,,,,232.72,298.23,,,,,,,,,,,,,,,,,,,,,,199.19,293.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-20 21:42:09.421000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446.18,430.96,401.76,410.50,428.43,456.56,,,,430.46,422.99,403.94,383.53,384.77,,,,,
2003-02-21 21:42:20.469000,L7,388.54,381.38,371.68,362.61,341.79,335.49,328.71,315.73,312.33,328.23,324.45,328.27,331.71,323.39,336.14,367.20,292.46,281.62,355.46,348.68,335.80,305.74,,,,,301.42,,,,,368.95,358.98,321.59,339.69,315.25,,,,,,,,,,,,193.28,240.45,,,,,,,,326.06,339.04,359.76,,329.86,334.53,338.67,,,,,,,,,,,,333.63,362.88,,,316.81,261.08,,,,,,,,,,,,345.44,,252.11,,,,,350.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-26 21:42:25.606000,L7,434.98,377.22,366.32,359.27,341.76,333.20,332.46,318.63,328.97,320.55,314.00,321.73,319.53,325.21,326.99,326.09,269.48,,,,,,254.46,282.22,254.73,,,,,,318.33,331.24,355.20,329.15,349.78,366.07,,,,,,,,,,,,,,218.84,204.30,289.73,233.80,,,,,,,,351.31,376.06,343.85,,,,,,,304.71,,224.93,301.30,,343.31,340.09,346.46,,,,,,,,,286.53,277.63,298.99,312.35,,,,,,273.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-11-28 21:32:10.197000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.45,352.75,346.05,325.72,369.90,,,,,364.55,387.79,377.39,333.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-08-10 21:36:32.804000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.32,250.63,188.28,196.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-26 21:41:16.724000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.94,387.19,375.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
