dates,satname,nzd0020-0000,nzd0020-0001,nzd0020-0002
1999-08-17 22:10:26.276000,L7,390.83,398.54,313.18
2000-03-28 22:10:07.233000,L7,401.41,369.38,406.74
2000-04-29 22:09:53.797000,L7,403.18,367.74,376.19
2000-09-20 22:08:03.348000,L7,377.37,371.52,364.59
2001-06-03 22:07:16.736000,L7,348.52,379.99,375.28
2001-09-07 22:06:11.116000,L7,353.35,362.11,373.38
2002-02-14 22:06:29.522000,L7,362.94,379.97,382.32
2002-03-18 22:06:22.131000,L7,366.95,383.65,387.63
2002-07-24 22:05:50.655000,L7,371.08,384.71,393.17
2002-08-09 22:05:46.029000,L7,386.87,400.53,
2002-10-28 22:05:22.323000,L7,351.30,356.06,321.93
2003-01-16 22:06:02.914000,L7,397.57,399.60,402.98
2003-05-24 22:06:17.162000,L7,347.38,369.03,363.24
2005-01-13 22:03:41.143000,L5,337.47,321.42,370.37
2005-02-14 22:04:09.465000,L5,303.19,290.80,351.65
2006-02-17 22:08:11.136000,L5,294.87,289.68,340.57
2006-09-13 22:11:23.474000,L5,346.95,313.82,368.62
2011-02-15 22:07:34.670000,L5,354.26,333.61,369.96
2014-01-06 22:18:54.881000,L8,292.76,,325.18
2016-01-28 22:17:39.790000,L8,350.32,356.27,366.30
2016-05-03 22:17:13.318000,L8,365.54,381.31,378.52
2017-11-30 22:17:44.511000,L8,,,320.40
2018-12-19 22:17:28.292000,L8,313.21,,
2019-03-25 22:17:09.739000,L8,318.23,,330.50
2019-11-04 22:17:58.697000,L8,308.46,,
2020-02-08 22:17:38.924000,L8,398.20,387.88,397.14
2020-04-12 22:17:12.700000,L8,308.44,,
2020-08-02 22:17:33.048000,L8,321.81,318.11,334.48
2021-06-18 22:17:27.030000,L8,356.87,364.98,372.09
2021-11-09 22:17:58.951000,L8,,,323.06
2022-10-19 22:18:03.080000,L9,,,304.65
2023-02-16 22:17:50.035000,L8,,,361.41
2023-04-13 22:17:27.047000,L9,373.43,358.02,365.72
2023-05-31 22:17:04.101000,L9,388.75,387.21,381.27
2023-08-03 22:17:19.817000,L9,341.96,385.95,
2023-09-12 22:17:38.225000,L8,,,328.67
2023-10-14 22:17:45.774000,L8,303.40,292.91,324.33
2023-11-15 22:17:47.856000,L8,,269.03,353.49
2024-01-10 22:17:52.010000,L9,289.42,268.83,330.85
2024-02-03 22:17:41.059000,L8,298.36,376.79,379.05
2024-02-11 22:17:53.113000,L9,,,329.44
2024-02-19 22:17:39.652000,L8,368.33,369.30,336.63
2024-05-09 22:16:51.826000,L8,,,308.52
2024-05-17 22:17:03.987000,L9,,,307.55
2024-07-12 22:17:00.992000,L8,,,316.76
2024-12-03 22:17:45.212000,L8,293.90,292.83,327.45
2025-01-12 22:17:45.559000,L9,288.32,,
2025-01-28 22:17:42.532000,L9,290.28,276.95,331.94
2025-02-13 22:17:46.901000,L9,302.74,,
2025-05-12 22:16:59.753000,L8,,,316.71
2025-08-24 22:17:43.028000,L9,,,348.76
2025-11-04 22:17:53.875000,L8,296.37,279.37,343.57
