dates,satname,nzd0099-0000,nzd0099-0001,nzd0099-0002,nzd0099-0003,nzd0099-0004
1999-09-27 22:04:48.949000,L7,353.83,292.36,296.82,299.27,302.35
1999-11-14 22:04:42.286000,L7,339.51,301.44,293.88,308.12,305.26
2000-01-01 22:04:37.439000,L7,367.62,307.52,294.55,307.99,309.44
2000-01-17 22:04:35.821000,L7,351.48,387.91,290.58,300.79,305.51
2000-08-12 22:02:54.094000,L7,394.88,367.49,367.69,,343.77
2000-10-15 22:01:56.204000,L7,346.84,315.94,301.56,315.29,313.73
2001-01-03 22:02:12.432000,L7,,,293.37,308.75,312.78
2001-03-24 22:01:59.719000,L7,,287.07,296.76,301.58,306.67
2001-08-15 22:00:38.680000,L7,,293.27,300.36,304.25,306.96
2001-12-05 22:00:18.987000,L7,,403.62,400.75,370.97,361.52
2002-01-22 22:00:40.906000,L7,354.36,292.17,296.58,307.31,309.01
2002-03-27 22:00:37.575000,L7,,,283.77,297.39,296.40
2002-06-15 22:00:19.658000,L7,373.63,363.45,355.39,358.79,348.82
2002-08-18 21:59:57.690000,L7,342.60,282.72,,,
2003-09-30 21:49:30.432000,L5,327.62,308.23,290.11,,
2003-12-03 21:50:19.675000,L5,374.73,330.96,317.36,327.34,318.84
2005-11-22 22:00:23.113000,L5,389.68,348.47,348.79,350.66,350.50
2006-11-25 22:06:19.953000,L5,,,290.74,311.58,333.47
2011-01-07 22:01:44.406000,L5,375.37,345.92,334.31,340.40,336.36
2013-05-20 22:13:50.559000,L8,338.75,322.14,314.96,327.00,324.40
2013-06-21 22:13:43.313000,L8,374.48,326.41,321.41,330.28,330.02
2013-07-07 22:13:48.209000,L8,313.87,299.02,,,
2013-09-09 22:13:49.699000,L8,319.49,308.89,301.05,311.38,311.80
2013-10-11 22:13:41.596000,L8,313.76,302.87,294.92,288.30,
2013-10-27 22:13:31.854000,L8,336.63,321.01,313.76,324.14,324.34
2013-11-12 22:13:32.202000,L8,326.71,318.69,309.40,319.43,321.47
2013-11-28 22:13:25.971000,L8,323.86,313.15,305.92,315.78,
2013-12-14 22:13:21.591000,L8,337.10,324.40,314.91,323.79,327.73
2014-01-31 22:12:52.806000,L8,349.15,326.37,333.81,325.97,327.75
2014-03-20 22:12:13.789000,L8,,,,299.29,303.90
2014-04-05 22:11:58.702000,L8,,,,298.39,305.14
2014-07-26 22:11:43.162000,L8,334.91,316.92,303.89,315.25,318.75
2014-08-11 22:11:51.972000,L8,316.36,307.32,285.65,299.79,299.70
2014-10-14 22:12:02.705000,L8,380.32,337.42,330.49,326.88,331.29
2014-10-30 22:11:58.859000,L8,326.85,315.76,307.90,316.02,317.33
2014-12-01 22:12:00.318000,L8,330.44,316.08,307.85,316.95,319.76
2015-04-24 22:11:08.401000,L8,,,,298.14,301.81
2015-05-10 22:10:52.487000,L8,353.97,325.76,313.82,325.07,322.44
