dates,nzd0306-0000,nzd0306-0001,nzd0306-0002,nzd0306-0003,nzd0306-0004,nzd0306-0005,nzd0306-0006,nzd0306-0007,nzd0306-0008,nzd0306-0009,nzd0306-0010,nzd0306-0011,nzd0306-0012,nzd0306-0013,nzd0306-0014,nzd0306-0015,nzd0306-0016,nzd0306-0017,nzd0306-0018,nzd0306-0019,nzd0306-0020,nzd0306-0021,nzd0306-0022,nzd0306-0023,nzd0306-0024,nzd0306-0025,nzd0306-0026,nzd0306-0027,nzd0306-0028,nzd0306-0029,nzd0306-0030,nzd0306-0031,nzd0306-0032,nzd0306-0033,nzd0306-0034,nzd0306-0035,nzd0306-0036,nzd0306-0037,nzd0306-0038
2001-06-07 21:44:06+00:00,353.76,,,,,,,,,,325.81,366.0,,335.6,369.33500000000004,337.79,338.935,292.32,317.875,330.97333333333336,237.64,244.45,258.52,312.11,343.675,366.4866666666667,327.01,343.33,364.905,369.145,359.9,341.33000000000004,369.76,359.8,368.32500000000005,366.77333333333337,364.1825,373.57333333333327,372.62
2001-07-25 21:43:42+00:00,346.40999999999997,327.03,,,,,,,,,,,,335.6,374.49,332.72,347.78999999999996,308.34,298.66,325.66,225.64999999999998,234.695,258.52,302.4533333333333,333.3,355.5375,329.84000000000003,340.16,352.91999999999996,354.83,354.30999999999995,339.045,352.59000000000003,353.55,373.47,368.97,370.80500000000006,372.7449999999999,
2001-09-18 21:49:05+00:00,346.40999999999997,327.03,,,,,,,,,,,,335.6,374.49,332.72,347.78999999999996,298.9,296.125,318.95,225.64999999999998,252.2733333333333,253.52999999999997,302.4533333333333,333.3,355.5375,329.84000000000003,340.16,352.91999999999996,354.83,354.30999999999995,339.045,352.59000000000003,353.55,373.47,368.97,370.80500000000006,372.7449999999999,
2001-10-04 21:48:54+00:00,346.40999999999997,327.03,,,,,,,,,,,,335.6,369.11,332.72,342.295,298.9,305.92,319.40999999999997,225.64999999999998,252.2733333333333,253.52999999999997,294.34000000000003,333.3,355.5375,329.82000000000005,352.19500000000005,345.43666666666667,354.83,354.30999999999995,339.045,352.59000000000003,353.55,373.47,368.97,370.80500000000006,372.7449999999999,
2001-10-29 21:42:45+00:00,346.40999999999997,346.315,,,,,,,,,,,,,363.73,,330.67,298.9,305.92,303.02666666666664,225.64999999999998,252.2733333333333,253.52999999999997,294.34000000000003,323.51000000000005,350.56333333333333,341.0366666666667,352.19500000000005,351.795,354.83,358.26499999999993,339.045,352.59000000000003,353.55,373.47,368.305,363.66,365.15,
2002-02-18 21:43:18+00:00,381.29,367.005,377.45,367.93,366.03,368.67,,361.38,362.91,365.48,363.26,360.07,363.09,356.31,361.88,348.53,333.02,306.565,309.54999999999995,313.15999999999997,,287.43,248.54,,324.63,,345.22,,350.6700000000001,,367.11,343.16,359.03,362.52,363.98,363.33,352.3,354.26,360.36
2002-02-25 21:49:35+00:00,381.29,367.005,377.45,367.93,366.03,368.67,,361.38,362.91,358.675,363.26,360.07,363.09,356.31,355.29333333333335,349.4,333.02,303.76666666666665,304.03999999999996,310.82666666666665,,287.43,248.54,,324.63,,345.22,,350.6700000000001,,367.11,343.16,359.03,362.52,363.98,363.33,352.3,354.26,360.36
2002-03-06 21:43:23+00:00,381.29,367.005,377.45,367.93,366.03,368.67,,361.38,362.91,358.675,363.26,360.07,363.09,356.31,355.29333333333335,349.4,333.02,303.76666666666665,304.03999999999996,310.82666666666665,,287.43,248.54,314.43,329.87,346.86,345.22,,350.6700000000001,,367.11,351.33500000000004,359.03,362.52,367.73,363.2633333333333,356.44,354.26,367.02
2002-04-07 21:43:17+00:00,362.12,360.9466666666667,362.75,365.27,366.03,368.67,,361.38,362.91,358.675,363.26,360.07,363.09,356.31,351.07500000000005,349.4,333.02,310.91999999999996,293.02,306.16,,,,314.43,329.87,346.86,363.47,,370.87,,367.11,351.33500000000004,359.03,362.52,367.73,363.2633333333333,356.44,354.26,367.02
2002-05-09 21:43:16+00:00,358.18666666666667,358.62000000000006,362.75,365.27,366.03,368.67,,361.38,362.91,358.675,363.26,360.07,363.09,356.31,351.07500000000005,349.4,333.02,310.91999999999996,293.02,306.16,,263.2,283.78,313.305,329.87,346.86,,,,,367.11,351.33500000000004,359.03,362.52,367.73,361.075,356.44,354.26,367.02
2002-05-16 21:49:21+00:00,358.18666666666667,358.62000000000006,362.75,365.27,366.03,368.67,,361.38,362.91,358.675,363.26,360.07,363.09,356.31,351.07500000000005,349.4,333.02,299.5133333333333,276.205,306.16,,263.2,283.78,313.305,329.87,346.86,,,,,367.11,351.33500000000004,359.03,362.52,367.73,361.075,356.44,354.26,367.02
2002-06-10 21:43:00+00:00,358.1975,358.62000000000006,362.75,365.27,366.03,368.67,,361.38,362.91,358.675,363.26,360.07,363.09,356.31,351.07500000000005,349.4,333.02,299.5133333333333,276.205,306.16,,268.845,287.12,313.305,329.87,346.86,,,,,367.11,351.33500000000004,359.03,362.52,367.73,361.075,356.44,354.26,367.02
2002-07-19 21:48:57+00:00,356.964,355.6333333333334,362.75,365.27,366.03,368.67,,349.63,362.91,357.47,355.265,342.81,363.09,356.31,351.07500000000005,349.4,333.02,299.5133333333333,265.84999999999997,306.16,221.12,264.26,287.2633333333333,313.305,329.87,346.86,,,,,367.11,345.43666666666667,359.03,362.52,367.73,361.075,356.44,354.26,367.02
2002-09-05 21:48:38+00:00,350.8825,349.245,348.05,362.61,,,,337.88,,355.06,347.27,325.55,,,,,301.21,276.7,276.84666666666664,,221.12,264.26,287.2633333333333,312.18,,,,,,339.87,,333.64,,,,,,,
2002-09-14 21:42:19+00:00,356.39,356.03,348.05,362.61,,,,337.88,,355.06,347.27,325.55,,,,,301.21,276.7,276.84666666666664,332.52,221.12,260.3825,281.48249999999996,324.105,335.37,341.41,346.61,353.03,,339.87,,341.59000000000003,356.56,360.28,367.23,359.09,356.41,355.89,361.06
2002-09-30 21:42:11+00:00,356.39,356.03,348.05,362.61,,,,337.88,,355.06,347.27,325.55,,,,,301.21,276.7,276.84666666666664,332.52,221.12,260.3825,281.48249999999996,324.105,335.37,341.41,346.61,353.03,,339.87,,341.59000000000003,356.56,360.28,367.23,359.09,356.41,355.89,362.24
2002-10-23 21:48:27+00:00,359.75,359.63,,,,,,337.88,,355.06,347.27,325.55,,,,,301.21,276.7,279.725,332.52,221.12,265.83599999999996,281.48249999999996,324.105,335.37,341.41,346.61,353.03,,339.87,,341.59000000000003,356.56,360.28,367.23,359.09,356.41,358.15999999999997,362.24
2003-01-11 21:49:02+00:00,375.07666666666665,352.89000000000004,341.11,338.7,335.71,,,337.88,,355.06,347.27,325.55,339.15,320.69,,311.69,295.79999999999995,290.66,288.9075,332.52,221.12,276.91749999999996,283.4,336.03,335.37,349.485,353.37,358.14,,339.87,,347.4166666666667,356.56,364.755,367.23,359.09,356.41,358.15999999999997,362.24
2003-01-20 21:42:57+00:00,389.57,367.0333333333333,366.03499999999997,363.64,358.06,,,,,,,,339.15,320.69,367.38,311.69,295.79999999999995,290.66,303.4966666666667,340.355,,300.6275,281.325,344.15,335.37,349.485,353.37,358.14,,339.87,,354.305,356.56,364.755,367.23,359.09,356.41,359.8766666666667,362.24
2003-02-05 21:43:05+00:00,392.025,373.985,366.03499999999997,363.64,358.06,,,,,,,,339.15,321.025,344.855,312.82,295.79999999999995,290.66,303.4966666666667,340.355,,300.6275,281.325,330.3933333333333,335.37,349.485,353.37,358.14,,339.87,,354.305,356.56,364.755,367.23,359.09,356.41,359.8766666666667,362.24
2003-02-21 21:43:08+00:00,392.025,373.985,366.03499999999997,363.64,358.06,,,,,,,,339.15,321.025,344.855,312.82,310.75666666666666,312.665,311.2825,343.16333333333336,,300.6275,281.325,330.3933333333333,339.15,348.41333333333336,353.31333333333333,358.14,,339.87,,354.305,356.56,364.755,367.23,359.09,356.41,359.8766666666667,362.24
2003-03-16 21:49:22+00:00,393.245,375.4466666666667,373.6933333333333,373.0233333333333,358.06,,,,,,,,339.15,321.025,344.855,312.82,315.53,312.665,306.3733333333334,348.485,,317.92,298.51,326.60999999999996,343.69,351.91499999999996,356.665,363.25,,,,359.07,,369.23,,,,361.87000000000006,363.42
2003-03-25 21:43:05+00:00,393.245,375.4466666666667,378.4675,373.0233333333333,358.06,,,,,,,,339.15,321.025,344.855,312.82,315.53,312.665,306.3733333333334,348.485,,317.92,298.51,327.405,343.69,351.91499999999996,356.665,363.25,,,,359.07,,369.23,,,,361.87000000000006,370.75
2003-05-03 21:49:25+00:00,388.67199999999997,375.8775,378.02200000000005,374.5325,363.22,,,,,,,379.24,339.15,321.025,344.855,312.82,315.53,325.27000000000004,315.38000000000005,348.485,,333.055,298.51,326.02200000000005,343.69,351.91499999999996,356.665,363.25,,,,358.53499999999997,365.58,369.23,,,,363.31,378.08
2003-05-12 21:43:12+00:00,388.67199999999997,375.8775,378.02200000000005,374.5325,363.22,,,,,,,379.24,339.15,321.025,344.855,312.82,315.53,325.27000000000004,315.38000000000005,348.485,,333.055,298.51,327.68333333333334,343.69,351.91499999999996,356.665,363.25,,,,358.53499999999997,365.58,369.23,,,,363.31,378.08
