dates,satname,nzd0306-0000,nzd0306-0001,nzd0306-0002,nzd0306-0003,nzd0306-0004,nzd0306-0005,nzd0306-0006,nzd0306-0007,nzd0306-0008,nzd0306-0009,nzd0306-0010,nzd0306-0011,nzd0306-0012,nzd0306-0013,nzd0306-0014,nzd0306-0015,nzd0306-0023,nzd0306-0024,nzd0306-0025,nzd0306-0026,nzd0306-0027,nzd0306-0028,nzd0306-0029,nzd0306-0030,nzd0306-0031,nzd0306-0032,nzd0306-0033,nzd0306-0034,nzd0306-0035,nzd0306-0036,nzd0306-0037,nzd0306-0038,nzd0306-0016,nzd0306-0017,nzd0306-0018,nzd0306-0019,nzd0306-0020,nzd0306-0021,nzd0306-0022
1999-08-21 21:47:20.968000,L7,382.22,351.91,350.23,364.29,350.16,343.98,357.40,356.42,363.66,357.56,352.92,356.66,360.67,379.78,356.50,357.89,339.22,351.94,353.25,349.00,351.88,352.98,361.42,361.65,334.03,358.09,358.50,364.42,363.83,353.38,356.27,359.52,,,,,,,
1999-08-28 21:53:35.950000,L7,356.09,344.71,342.79,336.11,328.45,325.52,330.93,327.44,329.35,332.14,322.70,310.41,323.63,316.94,304.65,267.26,272.38,298.89,310.25,310.16,317.52,316.60,314.50,320.27,308.30,315.05,314.07,320.91,314.34,310.35,311.38,330.66,282.17,288.06,247.36,243.50,207.08,216.84,224.78
1999-09-22 21:47:24.746000,L7,403.42,359.76,359.02,361.58,378.26,363.46,365.05,353.09,351.19,365.09,365.29,368.87,355.82,351.69,,,,,,332.68,315.72,343.32,345.60,356.00,339.20,,,,,,,,307.77,304.46,311.99,280.57,,,
1999-09-29 21:53:40.155000,L7,345.06,337.18,333.08,326.43,332.09,329.29,337.72,344.34,330.60,327.66,333.88,320.17,317.91,328.49,324.96,295.87,277.82,308.20,329.29,329.87,321.13,337.94,342.02,342.08,326.49,338.18,340.41,346.71,342.26,335.98,334.61,342.50,283.29,276.22,260.45,258.71,197.55,213.78,231.33
1999-10-24 21:47:20.173000,L7,402.75,386.69,383.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-16 21:53:32.114000,L7,317.04,307.35,306.46,308.72,302.71,309.06,315.98,301.96,297.37,311.98,305.47,304.04,303.14,274.21,294.42,258.85,207.57,281.39,294.54,296.05,302.45,301.24,295.93,305.41,295.48,306.05,306.32,312.93,302.60,300.45,311.08,320.22,268.51,245.73,221.83,215.55,187.20,188.66,196.00
2000-01-12 21:47:18.340000,L7,383.90,351.09,347.34,346.00,344.99,351.39,348.96,355.81,345.27,348.26,346.45,345.57,349.41,283.90,266.49,286.34,299.14,327.36,339.53,306.82,312.68,313.36,318.90,309.16,354.70,351.06,354.04,355.68,323.81,305.69,352.83,356.01,279.95,273.26,258.62,230.94,234.35,227.32,234.05
2000-01-19 21:53:25.812000,L7,,367.81,390.43,382.94,377.83,,,,,,,,,311.48,315.07,304.81,,298.04,312.08,318.46,326.35,323.38,330.01,337.94,324.78,,,,,,,,305.27,300.19,256.54,232.17,231.50,,
2000-05-03 21:46:43.127000,L7,351.00,,,,,,,350.65,366.83,331.25,363.79,347.83,358.09,336.09,342.14,300.20,269.00,292.92,313.04,297.99,291.29,,303.28,293.16,272.52,298.05,290.95,288.18,293.95,300.12,308.68,330.49,330.99,283.26,259.14,274.10,,236.17,228.30
2000-05-26 21:52:36.566000,L7,332.44,329.72,334.90,333.33,333.38,333.90,345.44,326.10,337.83,337.23,333.63,347.72,353.49,320.98,345.10,331.32,286.45,318.74,322.27,345.02,309.82,318.17,309.12,315.22,297.41,359.98,356.69,355.73,369.90,375.96,372.78,,282.68,270.31,255.71,233.19,246.60,212.41,218.58
2000-07-13 21:52:07.753000,L7,333.50,332.00,343.67,338.19,338.36,337.02,337.17,330.19,339.11,337.39,327.62,341.12,344.01,335.48,343.86,339.42,296.10,319.34,323.96,337.49,343.82,345.29,350.40,352.21,339.14,347.78,347.77,357.84,346.22,358.52,357.37,,324.01,,,,,,
2000-07-29 21:51:50.349000,L7,390.42,356.60,379.98,364.29,357.84,347.88,362.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.14,267.96,234.57,228.96,241.08
2000-08-07 21:45:32.940000,L7,344.05,337.37,336.82,334.46,339.45,340.30,346.77,339.09,352.54,344.62,342.62,336.99,345.43,337.73,347.62,337.82,304.91,318.66,320.81,333.27,350.17,352.51,344.57,357.37,350.92,346.49,351.20,357.22,351.65,349.75,353.13,359.82,331.83,294.67,262.85,271.48,222.56,225.52,231.09
2000-08-14 21:51:44.223000,L7,342.86,342.96,345.76,345.71,341.97,340.92,337.65,336.85,339.70,343.56,350.91,347.83,345.65,350.96,347.87,348.19,,352.05,351.64,367.51,363.71,363.98,367.41,359.64,359.40,365.77,355.02,359.40,363.29,372.80,364.86,364.29,329.76,291.62,304.16,236.19,245.59,230.88,242.28
2000-09-15 21:51:13.624000,L7,,,347.28,348.38,348.77,359.38,390.55,362.85,347.94,355.54,351.40,346.04,346.93,344.49,330.21,282.23,288.74,314.49,320.57,333.71,338.56,342.15,350.70,352.01,342.06,345.42,345.81,352.06,342.42,347.59,360.88,354.16,254.77,281.64,306.94,,240.15,214.09,227.61
2000-10-26 21:44:46.815000,L7,379.19,356.76,354.82,357.40,346.46,348.45,352.32,355.55,352.78,359.30,363.34,352.15,349.05,346.93,346.71,342.53,,,,,,,,,,,,,,,,,328.91,,,,,,
2000-12-04 21:50:58.069000,L7,367.89,352.71,358.71,360.51,348.96,350.89,361.05,383.79,362.73,367.72,,,329.89,324.53,331.98,331.36,,,350.24,355.24,349.48,356.90,367.96,372.56,371.61,365.56,320.05,363.97,383.91,377.30,375.42,345.84,328.70,274.09,260.66,232.43,237.87,,
2000-12-13 21:44:52.270000,L7,353.12,349.14,343.38,341.17,339.20,337.72,338.49,334.05,335.17,340.36,346.55,344.92,344.90,337.13,335.41,326.90,275.76,311.40,321.52,331.48,337.84,342.41,344.69,353.64,347.12,345.62,342.50,355.04,345.78,350.93,353.09,348.75,314.68,319.19,,,,214.25,222.77
2001-01-05 21:51:04.492000,L7,,,,,,,,,,,341.10,358.88,357.26,345.51,315.02,317.51,,339.95,290.61,306.62,313.49,305.65,321.14,316.80,286.20,334.94,348.88,331.02,354.75,346.99,,,304.19,307.89,256.91,236.02,,,
2001-01-14 21:44:57.122000,L7,324.08,354.23,367.50,353.20,353.12,389.10,,,,,,352.19,337.70,336.76,338.00,338.62,277.98,279.12,313.72,334.94,334.01,339.85,342.69,350.24,328.97,340.83,341.27,364.56,341.02,342.99,340.53,349.02,339.60,297.31,297.53,301.99,246.34,215.58,225.17
2001-01-21 21:51:10.359000,L7,,,,,,,,,,,,,321.55,317.95,315.38,336.50,,328.50,310.27,330.61,332.47,336.47,334.86,338.56,344.42,334.03,333.25,339.04,,,,,276.71,308.56,254.53,232.59,,,
2001-04-04 21:44:30.925000,L7,356.88,355.04,356.37,356.46,352.94,354.43,350.34,346.33,360.69,369.60,371.19,368.65,368.39,369.80,364.29,356.05,,,316.83,322.50,335.18,331.89,338.26,341.49,345.04,,,264.56,285.58,283.79,286.03,313.24,343.03,,,,,,
2001-04-20 21:44:34.614000,L7,,,,,,,,,,,,,,,,,,357.30,357.24,355.90,362.62,373.43,367.98,378.67,,,,,,,,,,,,,,,
2001-04-27 21:50:43.832000,L7,346.69,338.55,361.24,372.46,348.08,345.19,342.92,344.67,339.90,397.31,,,354.00,291.34,303.07,293.16,279.22,304.77,290.44,294.83,308.46,304.25,307.68,306.44,299.03,313.55,307.73,312.98,,,,,280.41,274.65,257.53,249.91,233.13,222.61,228.29
2001-05-13 21:50:33.259000,L7,315.22,324.74,322.56,334.28,334.81,346.24,353.59,326.88,323.84,351.69,318.73,317.54,318.52,338.21,307.08,295.91,265.73,293.45,307.40,312.62,317.06,316.47,316.56,321.70,317.43,320.01,319.95,329.29,324.55,314.04,327.91,333.62,280.14,275.49,256.28,236.80,192.02,200.10,207.34
2001-05-22 21:44:18.615000,L7,333.88,343.68,354.62,347.17,340.85,343.06,352.67,343.38,349.79,349.43,348.78,357.92,358.49,351.82,349.89,350.00,289.42,322.03,345.82,382.46,,,,,,,,,,315.46,315.71,387.23,303.75,306.58,288.72,290.79,215.62,223.72,230.36
2001-06-07 21:44:06.693000,L7,336.20,332.03,337.94,346.06,343.09,337.28,356.32,329.73,340.14,342.45,333.27,356.64,353.68,342.26,345.74,326.41,280.87,316.33,340.99,375.44,,,,,369.52,361.88,346.98,360.20,354.14,359.43,365.72,361.48,316.09,296.34,,268.47,228.21,224.68,238.59
2001-07-25 21:43:42.718000,L7,323.39,312.58,318.37,315.12,318.68,315.62,351.01,308.52,323.28,322.00,281.45,312.15,323.76,289.53,306.96,287.18,267.07,295.29,308.38,320.31,322.19,324.81,324.67,328.51,317.53,326.02,332.35,333.70,332.51,321.92,326.02,335.68,270.72,274.02,262.49,236.19,197.73,205.21,214.96
2001-09-11 21:43:02.212000,L7,350.05,340.29,327.84,318.22,336.19,327.49,335.94,312.19,309.22,320.03,314.51,307.32,307.91,292.90,316.46,296.50,293.65,318.21,328.09,335.49,340.06,341.88,360.62,364.56,355.25,347.94,362.05,377.35,361.29,359.69,386.31,366.77,310.08,313.17,,,,232.62,255.02
2001-09-18 21:49:05.242000,L7,,386.89,360.09,366.12,358.17,345.62,342.67,345.35,342.92,378.21,375.06,,,375.14,340.01,330.45,312.10,339.37,340.85,344.62,365.89,345.28,362.92,369.06,365.97,360.01,367.12,365.85,363.06,346.60,341.89,353.15,324.30,311.21,285.34,298.73,221.02,233.20,
2001-10-04 21:48:54.017000,L7,364.75,349.46,356.50,352.75,339.01,342.87,344.92,352.76,358.56,352.54,361.60,363.59,368.31,376.50,360.63,263.76,299.72,323.26,325.54,341.59,309.86,361.30,350.08,362.25,,,357.55,360.27,346.72,343.42,341.82,345.57,275.51,267.34,252.75,229.43,222.97,223.58,286.09
2002-01-17 21:43:16.786000,L7,,,,,,,,,,,,,,,,,255.46,281.81,291.06,304.72,300.01,302.60,294.51,321.24,306.37,310.84,330.64,335.40,351.78,362.18,362.11,363.57,,,,,224.10,219.57,196.76
2002-02-02 21:43:18.682000,L7,,,,,,,,,,,,,,,,,258.20,264.16,308.75,365.51,,,,,,,,,,,,,,,,,,218.04,214.82
2002-02-18 21:43:18.247000,L7,352.86,341.14,348.26,339.82,338.02,340.66,346.99,335.54,334.66,344.31,336.54,333.65,335.36,342.27,346.44,318.03,269.40,298.21,316.19,316.13,326.92,332.54,348.71,339.64,320.44,336.16,336.69,343.35,336.12,330.64,332.04,338.17,304.15,293.28,291.38,295.49,235.63,212.94,225.85
2002-02-25 21:49:35.857000,L7,382.91,389.56,360.23,389.74,369.75,394.18,381.84,351.43,341.74,344.01,350.69,,,,,,,,,,,,,,,,,,,,,,,286.88,284.29,293.98,224.89,229.60,
2002-03-06 21:43:23.680000,L7,350.76,340.70,343.88,350.20,343.25,345.98,346.99,338.46,360.55,380.63,347.98,342.77,347.45,348.97,348.84,352.77,283.07,305.08,318.07,324.35,333.07,337.28,341.32,342.52,329.87,338.78,341.63,343.10,338.59,335.51,345.60,347.80,315.87,313.45,307.91,,,221.46,228.73
2002-03-22 21:43:16.355000,L7,334.94,339.23,321.03,335.23,369.63,,346.81,334.26,341.40,334.10,318.26,314.68,305.70,318.08,322.46,310.01,253.29,,,,,,,315.48,309.34,353.34,340.12,329.85,339.11,315.12,317.81,339.63,291.25,281.37,227.72,210.89,180.65,194.05,223.48
2002-04-07 21:43:17.050000,L7,308.18,317.02,314.77,327.75,335.06,347.00,397.12,344.71,333.19,338.86,327.93,351.63,354.91,343.05,,,295.46,304.49,312.30,319.84,331.23,344.13,352.17,346.92,340.43,364.86,350.88,344.00,357.75,340.37,344.66,345.03,,,,,218.98,233.70,236.64
2002-04-14 21:49:26.507000,L7,340.71,351.84,351.16,360.89,355.06,351.48,363.60,375.19,365.55,381.52,,,,,,,310.21,322.05,343.24,336.72,345.89,347.66,348.00,353.74,339.17,341.46,353.19,357.33,354.70,354.76,354.06,356.40,,273.48,258.80,259.72,,,277.36
2002-05-09 21:43:16.766000,L7,336.49,336.00,341.59,349.64,349.39,348.28,354.04,341.14,338.18,341.69,345.61,343.22,375.49,365.34,326.93,355.69,299.52,314.10,328.09,333.67,345.52,345.75,349.97,358.57,350.87,363.66,356.44,369.47,358.37,349.04,354.24,364.18,325.55,308.99,297.53,,,,271.79
2002-05-16 21:49:21.851000,L7,,364.62,379.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-06-10 21:43:00.814000,L7,398.63,381.12,377.15,344.57,360.42,348.13,355.41,335.85,356.36,345.01,336.04,357.26,351.41,350.17,359.52,338.00,329.80,357.80,336.25,339.05,342.43,345.52,350.39,,,,,,356.03,368.20,366.80,356.16,328.13,,,,,,
2002-07-19 21:48:57.399000,L7,338.50,327.26,363.81,331.02,342.03,344.30,383.32,328.46,340.54,350.23,333.75,343.03,347.15,347.53,,,,,,,,,,,,,,,,,,,,,,,,,
2002-09-05 21:48:38.182000,L7,,,396.91,363.90,353.92,346.94,378.52,352.82,335.10,339.05,342.63,344.14,,,,,340.48,346.51,320.64,,,,,,,,,,,,,,290.20,281.82,293.78,289.97,241.35,,255.99
2002-09-14 21:42:19.037000,L7,352.27,344.18,344.26,346.72,349.04,345.07,347.59,339.50,335.82,339.51,341.62,340.25,338.38,344.05,361.62,327.66,307.83,312.12,317.26,322.14,328.10,335.49,339.91,342.79,327.93,336.42,337.88,346.64,337.52,339.64,334.33,339.21,317.81,316.11,,,233.82,227.32,242.52
2002-09-30 21:42:11.676000,L7,361.38,393.60,,,,,,,,370.42,379.29,370.65,379.13,381.77,372.00,,,,,,,,349.06,353.72,335.50,349.43,349.77,348.36,344.93,361.31,336.16,341.03,,,,,,,
2002-10-16 21:42:12.654000,L7,409.77,372.48,360.12,364.70,366.03,359.37,361.09,364.28,356.78,356.66,354.22,336.19,,,,,,,,,,,,365.41,366.77,359.81,361.98,364.25,354.87,365.38,364.22,368.09,,,,,,,
2002-10-23 21:48:27.128000,L7,385.77,361.41,353.46,360.04,355.61,351.99,351.30,347.15,359.15,352.07,350.39,351.46,346.35,388.47,,,,,,,,,352.26,353.12,337.68,348.93,352.29,368.70,348.60,337.77,336.53,344.31,,,,,,,
2002-12-10 21:48:53.163000,L7,,,,,,,,,,,,,,,,,,,,,,353.97,313.87,299.31,363.37,,,,,,,,,,,,,,
2002-12-26 21:48:59.976000,L7,370.46,367.49,359.34,359.54,353.84,351.81,349.56,355.93,349.15,351.26,358.20,,,,,,,,,,,,,,,,,,,,,,292.87,289.73,257.74,239.99,256.49,,
2003-01-11 21:49:02.380000,L7,376.60,370.80,369.29,364.37,360.68,353.56,343.28,349.82,368.56,354.69,354.44,348.16,353.77,350.06,358.90,358.28,323.71,328.92,336.98,337.91,342.24,347.49,350.11,351.70,338.17,345.85,349.49,352.93,344.52,344.00,352.77,345.62,280.20,281.77,286.16,220.43,224.95,229.31,
2003-01-20 21:42:57.343000,L7,368.00,361.84,360.69,361.63,353.24,351.68,354.39,352.97,,377.56,384.48,378.56,368.92,,,,,,,376.52,351.22,349.42,352.50,359.29,352.69,359.22,354.98,358.85,355.85,343.51,347.45,341.67,,,,,,,
2003-01-27 21:49:09.075000,L7,,,,,,,,,,,,,,,,,,,,,366.36,374.62,369.37,373.79,,358.56,353.27,329.57,323.26,356.03,372.03,345.18,,,,,,,
2003-02-05 21:43:05.844000,L7,,,,,,,,,,,,,324.28,321.83,320.31,312.79,289.70,346.26,355.89,314.27,329.20,324.75,325.60,320.28,327.96,329.12,366.26,365.05,355.73,353.37,355.97,352.35,296.21,293.71,304.63,283.30,,230.86,232.95
2003-02-21 21:43:08.504000,L7,374.17,398.76,378.01,,,,,,,,,377.96,377.76,353.07,356.73,349.36,267.16,323.45,368.46,354.85,,,,,,,,,339.23,329.15,336.07,336.03,331.72,280.54,287.21,303.01,,,247.02
2003-03-16 21:49:22.109000,L7,371.92,385.52,378.64,381.76,372.59,373.35,366.05,361.88,373.17,,,,,,,,309.77,329.36,336.21,344.30,351.58,347.38,357.69,370.53,371.74,357.45,357.11,365.02,376.55,364.08,374.41,,,,,,,,272.56
2003-03-25 21:43:05.785000,L7,367.84,356.77,356.24,357.38,350.78,351.28,355.85,352.64,349.83,362.84,359.75,356.07,358.13,352.58,358.90,353.45,297.54,325.95,333.55,339.98,350.48,351.39,348.81,356.00,339.30,347.59,352.37,357.41,347.32,345.70,352.14,344.10,333.28,,,,264.10,229.47,232.63
2003-05-03 21:49:25.094000,L7,338.09,337.25,341.01,349.65,342.40,347.75,,,,,,,,,,,,,,,,,,366.78,327.50,355.57,346.06,361.42,366.36,351.77,355.99,351.92,,,,,,,
2003-05-12 21:43:12.052000,L7,349.88,384.88,372.96,357.19,360.35,365.14,360.22,352.46,364.18,356.53,363.18,373.85,352.63,341.81,342.74,354.18,,,,,,,,368.09,349.43,358.69,359.48,374.60,374.11,,,,,,,,,,
2003-07-30 21:37:21.273000,L5,375.32,358.13,355.33,360.22,362.98,355.19,358.84,348.23,347.75,355.02,351.56,353.95,361.05,348.77,350.78,339.13,322.51,335.49,349.25,352.38,348.37,363.44,368.06,358.26,357.37,356.04,354.29,366.79,361.05,357.20,358.21,357.18,331.33,,,,,,
2003-08-15 21:37:36.307000,L5,348.94,331.40,330.16,329.46,326.73,327.97,327.02,320.83,321.16,338.51,326.70,325.96,330.93,322.50,322.80,301.52,286.57,303.63,322.95,321.95,330.95,331.05,325.70,329.33,319.30,330.27,329.02,335.57,329.43,334.32,339.43,346.13,295.45,273.90,261.36,243.96,202.55,215.98,220.97
2003-10-18 21:38:36.209000,L5,350.30,333.46,332.38,332.62,328.85,334.14,336.39,336.90,336.49,343.86,338.39,336.71,338.78,322.79,328.24,291.82,293.06,313.95,331.96,327.72,331.37,320.95,320.55,329.60,318.56,327.71,329.20,345.57,344.19,340.76,345.33,352.23,290.21,273.53,263.54,242.13,204.02,210.83,236.94
2003-11-28 21:32:58.000000,L5,351.19,340.89,339.94,343.61,339.04,342.53,342.61,328.18,322.32,332.50,326.85,327.09,323.24,317.26,311.80,299.77,268.13,292.25,302.89,307.31,311.32,330.08,331.13,331.67,322.71,335.24,334.81,337.78,323.17,321.00,323.94,333.22,298.32,283.61,268.17,252.49,225.31,218.09,215.06
2003-12-14 21:33:02.337000,L5,357.69,344.97,345.83,344.90,343.64,347.08,347.95,339.25,327.74,334.75,331.68,329.03,325.63,317.53,315.27,297.43,263.57,287.99,301.72,305.21,313.04,320.98,328.46,331.87,321.12,332.95,334.62,340.26,323.10,321.51,322.86,330.08,298.17,284.31,268.74,249.55,230.57,229.25,229.56
