dates,satname,nzd0096-0000,nzd0096-0001,nzd0096-0002,nzd0096-0003,nzd0096-0016,nzd0096-0017,nzd0096-0037,nzd0096-0038,nzd0096-0039,nzd0096-0040,nzd0096-0054,nzd0096-0055,nzd0096-0056,nzd0096-0057,nzd0096-0058,nzd0096-0059,nzd0096-0060,nzd0096-0061,nzd0096-0062,nzd0096-0063,nzd0096-0064,nzd0096-0065,nzd0096-0066,nzd0096-0067,nzd0096-0068,nzd0096-0069,nzd0096-0089,nzd0096-0090,nzd0096-0091,nzd0096-0092,nzd0096-0093,nzd0096-0094,nzd0096-0095,nzd0096-0096,nzd0096-0097,nzd0096-0098,nzd0096-0099,nzd0096-0101,nzd0096-0102,nzd0096-0103,nzd0096-0104,nzd0096-0105,nzd0096-0106,nzd0096-0115,nzd0096-0116,nzd0096-0117,nzd0096-0118,nzd0096-0119,nzd0096-0120,nzd0096-0121,nzd0096-0122,nzd0096-0123,nzd0096-0124,nzd0096-0125,nzd0096-0126,nzd0096-0127,nzd0096-0128,nzd0096-0129,nzd0096-0130,nzd0096-0131,nzd0096-0132,nzd0096-0133,nzd0096-0134,nzd0096-0135,nzd0096-0136,nzd0096-0137,nzd0096-0143,nzd0096-0144,nzd0096-0145,nzd0096-0146,nzd0096-0147,nzd0096-0148,nzd0096-0149,nzd0096-0150,nzd0096-0151,nzd0096-0004,nzd0096-0005,nzd0096-0006,nzd0096-0007,nzd0096-0008,nzd0096-0009,nzd0096-0010,nzd0096-0011,nzd0096-0012,nzd0096-0013,nzd0096-0014,nzd0096-0020,nzd0096-0021,nzd0096-0022,nzd0096-0023,nzd0096-0028,nzd0096-0029,nzd0096-0030,nzd0096-0031,nzd0096-0032,nzd0096-0033,nzd0096-0034,nzd0096-0035,nzd0096-0036,nzd0096-0041,nzd0096-0042,nzd0096-0043,nzd0096-0044,nzd0096-0045,nzd0096-0046,nzd0096-0047,nzd0096-0048,nzd0096-0049,nzd0096-0050,nzd0096-0051,nzd0096-0052,nzd0096-0053,nzd0096-0070,nzd0096-0071,nzd0096-0072,nzd0096-0074,nzd0096-0075,nzd0096-0076,nzd0096-0077,nzd0096-0078,nzd0096-0079,nzd0096-0080,nzd0096-0081,nzd0096-0082,nzd0096-0083,nzd0096-0084,nzd0096-0085,nzd0096-0086,nzd0096-0087,nzd0096-0088,nzd0096-0100,nzd0096-0107,nzd0096-0108,nzd0096-0109,nzd0096-0138,nzd0096-0139,nzd0096-0140,nzd0096-0141,nzd0096-0142,nzd0096-0152,nzd0096-0153,nzd0096-0154,nzd0096-0155,nzd0096-0157,nzd0096-0158,nzd0096-0159,nzd0096-0015,nzd0096-0018,nzd0096-0019,nzd0096-0073,nzd0096-0110,nzd0096-0111,nzd0096-0112,nzd0096-0113,nzd0096-0024,nzd0096-0025,nzd0096-0026,nzd0096-0027,nzd0096-0114,nzd0096-0156
2000-07-11 22:03:17.779000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.45,297.86,295.29,317.16,321.19,292.15,,,248.04,258.05,272.73,287.10,301.26,255.81,255.92,260.52,270.82,275.19,271.06,279.34,254.28,273.27,,,,,,,,204.46,211.06,252.48,266.02,277.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.33,329.92,352.83,360.12,364.19,353.82,306.15,,,321.22,,,184.47,207.02,199.99,,297.81,246.70,,,,,,,,,,,,206.00,207.06,198.66,210.76,,,,,220.29,
2000-10-15 22:01:56.204000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.93,217.37,192.17,220.47,218.68,221.99,212.06,234.24,231.44,239.03,253.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-23 22:08:18.410000,L7,474.13,419.63,350.22,320.72,352.28,349.56,394.98,401.88,400.97,408.52,438.14,401.34,387.11,391.37,364.97,363.44,368.92,414.99,392.47,389.72,389.78,406.90,425.33,355.42,374.35,386.35,329.54,346.42,344.30,351.88,306.06,323.92,306.53,323.64,304.67,358.81,296.84,317.43,308.52,299.03,304.94,285.15,306.42,292.62,256.04,243.92,288.37,275.80,276.22,285.09,252.10,281.22,265.14,249.20,257.58,260.44,287.75,261.32,303.76,291.70,301.89,229.59,201.06,260.05,245.61,273.40,323.30,252.15,261.37,274.18,279.39,235.52,266.08,291.64,268.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-24 22:01:59.719000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,351.66,371.31,312.62,326.22,,,,,,,,,,,,,,219.59,215.45,287.87,277.35,293.06,296.74,308.10,286.39,292.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.41,344.49,363.37,,,220.41,242.42,,,,,,,,,,,,,,,,,244.99,232.37,225.20,245.84,,,,,247.65,
2001-06-03 22:07:40.672000,L7,,,,,,,,,352.87,369.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.30,391.44,383.38,378.99,391.24,399.03,,,,375.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.74,,
2001-06-12 22:01:24.980000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.97,315.23,340.18,343.03,353.43,302.61,297.09,302.31,,,,,,,,,,,,,,,,,192.47,203.44,250.44,244.54,274.07,,280.21,271.71,291.15,244.52,188.96,241.16,287.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.25,323.42,328.73,325.75,320.45,,,,,,,,337.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-15 22:00:38.680000,L7,,,,,,,312.49,330.20,338.57,358.04,,337.48,422.69,363.53,387.22,,,,,,,,,,,,,,,,,,,,,,,337.81,307.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.26,403.95,385.79,,,,,,,394.93,,376.15,372.75,375.15,363.40,,,,,,,,,,,,,,,,,,,345.18,328.58,338.11,309.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-02 22:00:04.650000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,330.60,322.81,303.94,312.60,334.35,340.32,295.03,312.93,337.54,350.75,357.60,301.55,309.21,,224.84,257.38,253.29,251.93,255.99,280.75,307.64,,319.90,254.43,256.08,256.70,266.96,272.79,305.22,225.54,238.38,285.05,282.90,278.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.54,286.56,295.34,271.28,312.59,345.53,340.18,335.93,297.90,241.02,255.94,,,,,,,,,,,,,,,,,289.34,211.95,237.91,221.34,,,,,207.75,
2001-11-03 22:00:10.954000,L7,,,,,385.81,,330.44,428.28,,,,,,,,,,,,,,404.11,403.38,,,,,,,,,,,,,,,,,,,,,,,,,,,188.64,208.98,202.07,203.50,219.13,219.73,229.67,246.94,246.20,250.93,255.00,307.60,281.25,289.23,242.98,,,,,,,,,,,,,,,,,,,,319.84,393.41,400.98,,,,,,,,,,,341.84,411.76,347.62,,,,,,,,,,,,,,,,,,,,,,,,,322.19,329.51,355.06,334.61,362.82,,,,,248.58,206.70,,,,,,,,,,,,,344.89,,,,222.71,230.34,,,,,,,,
2001-12-21 22:00:29.925000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.25,201.09,205.28,221.42,232.20,234.50,236.67,240.37,242.42,246.68,238.72,185.14,,,307.95,320.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.93,254.56,301.09,,,,,,,,,,,,,,,,,,,,,
2002-01-06 22:00:31.992000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.74,277.41,298.47,290.94,229.84,309.55,276.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-22 22:00:40.906000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.89,199.65,205.56,222.36,232.54,237.56,237.12,243.42,240.54,247.53,242.90,181.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.12,389.46,385.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-29 22:06:45.431000,L7,,349.55,345.73,342.80,298.24,315.55,,,,,,442.18,433.32,359.82,412.74,,,,,,,,,,,,303.91,305.91,291.96,,,,,,,,,265.21,236.76,220.74,219.60,,,,,,306.54,272.65,223.62,,,,,,,,,,,,,,,,,,,,,,,,,,,351.76,357.33,347.02,373.85,337.45,339.34,395.59,354.66,351.43,280.42,,334.49,303.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.16,256.01,253.13,307.50,292.60,297.99,,,,,,,380.05,332.54,297.78,245.50,,,,256.07,261.01,237.11,,,,,,,,,326.29,309.91,337.08,356.46,251.99,210.62,196.72,221.77,198.15,,,,,,
2002-02-14 22:06:53.474000,L7,422.66,398.06,365.57,402.65,,,410.70,404.61,432.48,429.18,369.34,360.78,379.46,385.78,385.81,384.92,382.58,391.27,369.12,378.20,381.08,395.28,351.13,394.10,358.98,363.49,318.66,337.22,332.13,322.78,337.27,345.58,250.38,246.10,292.38,245.22,287.35,279.36,279.12,252.50,236.41,245.94,258.27,298.52,260.56,269.49,285.91,270.62,271.84,276.23,285.48,274.86,247.14,211.79,228.24,194.97,,,,,284.48,296.03,260.50,220.21,175.44,216.81,284.16,,,,,,,289.45,258.18,396.36,392.56,324.32,364.99,376.59,382.43,390.98,368.55,369.87,318.55,348.41,352.05,315.82,304.35,338.01,393.79,392.00,347.80,351.66,384.49,387.48,354.47,308.61,404.67,416.96,423.90,392.52,408.58,419.09,421.74,399.41,428.02,411.46,387.36,296.04,359.18,367.55,345.39,362.46,358.25,335.72,251.52,251.92,316.63,253.03,301.45,308.33,323.34,326.07,317.01,354.11,368.60,343.06,347.19,365.91,271.03,284.37,313.08,321.84,232.38,254.09,250.79,242.76,256.44,315.96,257.51,248.36,264.84,325.14,316.13,301.56,,,,,,,,,,,,,,
2002-02-23 22:00:43.620000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.44,256.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.73,309.35,313.06,309.46,294.46,314.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.23,,,,,,,,254.85,,,,,,,,,,,,,,,,,,,,,
2002-03-18 22:06:46.073000,L7,444.99,391.72,434.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.83,199.05,245.19,,,,,208.19,235.81,218.85,229.76,198.85,219.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.52,,,282.91,238.24,,,,,,,,,,,,,,,,,,,,,
2002-03-27 22:00:37.575000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.67,307.58,267.74,282.66,292.09,303.46,302.00,303.67,224.40,215.76,225.69,236.45,225.18,237.33,234.82,240.50,237.51,,225.65,262.80,300.64,316.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.30,251.72,229.21,244.14,294.64,,,,,,,,,,,,,,,,,,,,,
2002-04-12 22:00:37.812000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.05,243.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.46,,,,241.64,353.79,385.40,,,,,,,,,,,,,,,263.40
2002-07-17 22:00:08.747000,L7,,,,,,,423.03,422.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.55,214.09,210.08,213.02,224.36,,,,,,,,,,,,,,234.66,250.22,267.20,,,,,,,,,,,,,,,,,,348.84,346.94,337.81,359.11,379.65,,,,,397.31,394.50,390.12,401.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.09,206.33,234.35,,,,,,,,,380.56,354.98,,,,,,359.11,370.23,356.44,366.09,,
2002-08-18 21:59:57.690000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.39,184.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.84,223.30,232.77,,,,327.73,,,,,,,,,,,,,,
2002-09-26 22:05:45.221000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.59,371.38,324.07,283.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.14,338.99,,,,,,,,,,,
2002-10-21 21:59:36.443000,L7,,,,,,,,401.79,351.89,342.72,369.34,340.10,321.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.20,187.30,201.85,226.17,223.96,225.20,227.06,227.07,234.50,229.93,,222.09,260.68,295.08,308.46,313.38,316.70,295.95,,,,,,,,,,,,,,,,,,,,336.70,315.69,308.89,336.21,328.06,364.94,,,,403.12,,,,,397.29,404.43,352.66,322.76,303.72,308.36,353.66,360.85,,,,,,,,,,,,,,,,,,,,,,,252.45,238.88,224.05,216.39,283.43,,,,,,,,,,,,,,,,,,,,,
2002-10-28 22:05:46.496000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,345.11,333.71,328.87,334.92,324.22,294.53,322.59,338.85,314.28,332.68,360.65,,,292.73,276.53,255.98,298.98,256.60,259.14,275.95,224.09,249.30,279.93,313.45,297.71,292.18,304.91,302.41,,279.64,262.53,302.70,283.41,289.67,261.22,272.06,298.25,289.91,,,234.36,239.44,272.87,293.07,306.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.77,349.93,370.97,339.34,341.44,347.66,369.72,334.27,343.62,346.18,,351.42,299.86,303.51,,,285.18,278.96,251.46,,,,,,,,,,,,256.67,243.71,270.21,,,,,,,
2002-11-06 21:59:41.879000,L7,,,401.43,386.16,,,,,,381.82,,,,,,,,,,,,,,,,331.45,336.62,313.27,341.89,323.13,362.71,,,,,,,,,,,,,,,,,,,,,,183.75,204.32,208.29,221.88,236.90,239.01,251.17,298.46,285.32,286.12,292.50,278.27,245.29,,,,,,,,,,,346.20,364.12,369.23,378.33,,,,,,,,,,,,,374.57,370.25,354.18,330.58,368.61,406.05,,,410.60,376.69,413.17,434.23,,,,,,,,,,297.25,299.65,283.16,,,,,306.07,323.01,331.75,331.34,314.39,342.27,337.09,327.19,321.75,330.52,318.75,,,,,,,,,,,,,,,,,,,,347.10,,,,,,,,,,
2002-12-24 22:00:09.147000,L7,,,,,,334.91,,,,,,406.80,424.31,423.88,401.66,,,,,,,,,,,,368.07,382.95,,,,,,,,,,,,,,,,,,,,,,,,,,192.13,200.32,215.23,227.96,229.14,231.50,235.67,235.28,240.63,229.82,,230.42,266.95,302.84,314.64,316.76,273.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.19,328.40,344.61,358.39,,,,357.22,360.81,,,,,260.68,248.06,218.78,249.92,296.15,,,,,,,,,323.23,379.28,,,,,,,,,,,
2002-12-31 22:06:20.175000,L7,,,,,,,,390.57,407.81,416.39,337.10,344.41,352.32,351.85,351.00,361.38,,,,,332.66,322.39,318.76,319.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.21,385.73,360.69,356.38,322.85,362.86,,,,,,,,419.86,400.13,395.45,,,,371.59,391.45,370.48,351.71,,,348.53,328.32,323.55,320.91,341.29,329.07,362.71,362.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.27,,,,,317.13,317.30,,311.72,,
2003-01-16 22:06:26.858000,L7,,,,,,356.96,389.94,393.02,323.38,395.77,,,,323.90,320.59,316.10,316.11,325.94,326.78,322.85,331.38,368.56,312.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.25,315.49,289.88,272.93,313.88,299.92,,320.85,357.88,325.91,304.19,327.62,364.46,,,,,,,323.21,342.92,379.81,382.46,386.59,347.42,379.90,,388.68,358.16,282.86,286.24,276.81,256.75,273.86,276.49,288.01,288.90,320.04,315.56,296.66,,,,,,,,186.16,,,,,,,,,,,,,,296.87,316.27,284.26,203.45,209.05,213.95,201.82,296.20,294.42,281.94,304.60,198.03,
2003-01-25 22:00:18.779000,L7,,,,,316.23,306.86,,,,,384.10,353.60,345.71,384.06,380.07,,,,,,,,,,,,363.82,365.09,366.82,343.73,350.96,349.30,354.65,,,,,,,,,,,,,,,,,,,192.72,188.76,207.09,215.01,225.50,240.01,239.08,244.88,248.30,249.42,253.15,248.09,196.83,245.84,280.93,,,,,,,,,,,,,,,,,,,,,314.38,324.62,300.86,305.74,313.66,331.86,380.62,364.95,378.03,384.39,378.24,346.30,323.06,,,,,,,,,,,,,,,,,,,,375.12,345.31,345.42,333.52,362.81,367.53,356.91,361.58,355.73,386.58,357.92,363.03,,,,,,,,,,,,,,,,,,304.10,325.27,,,,,,323.20,334.21,335.41,326.61,,
2003-05-24 22:06:41.120000,L7,,,,,393.76,391.53,385.66,388.63,373.22,348.56,,,,,,,,,,,,,340.47,324.42,347.89,353.18,,,,,,,,314.87,257.51,252.84,245.60,306.37,253.52,238.91,251.35,262.36,267.74,262.48,248.09,257.00,241.13,228.31,243.68,245.43,227.37,204.63,244.49,245.39,215.33,215.22,212.28,202.94,205.94,214.61,202.41,253.37,,,,,237.90,250.46,272.69,216.52,205.83,203.54,220.32,219.12,,,,,,,,,,,,,,302.46,310.61,321.78,,,380.03,348.99,351.68,335.34,362.84,347.80,355.30,363.34,,,,,,,,,,,,,306.39,299.37,306.84,301.65,353.36,,,,,,,,,,,,,,233.87,272.73,261.30,265.30,,,,254.46,232.99,,,,,,,347.13,,317.51,324.37,306.00,250.55,274.12,257.85,232.48,319.94,316.64,318.41,,264.60,
