dates,satname,nzd0310-0000,nzd0310-0001,nzd0310-0002,nzd0310-0003,nzd0310-0004,nzd0310-0024,nzd0310-0025,nzd0310-0026,nzd0310-0027,nzd0310-0028,nzd0310-0029,nzd0310-0030,nzd0310-0031,nzd0310-0032,nzd0310-0033,nzd0310-0037,nzd0310-0038,nzd0310-0039,nzd0310-0040,nzd0310-0041,nzd0310-0081,nzd0310-0082,nzd0310-0083,nzd0310-0084,nzd0310-0096,nzd0310-0097,nzd0310-0098,nzd0310-0128,nzd0310-0129,nzd0310-0130,nzd0310-0140,nzd0310-0141,nzd0310-0142,nzd0310-0143,nzd0310-0144,nzd0310-0145,nzd0310-0146,nzd0310-0147,nzd0310-0148,nzd0310-0149,nzd0310-0150,nzd0310-0151,nzd0310-0152,nzd0310-0153,nzd0310-0154,nzd0310-0155,nzd0310-0156,nzd0310-0157,nzd0310-0158,nzd0310-0168,nzd0310-0169,nzd0310-0170,nzd0310-0172,nzd0310-0173,nzd0310-0174,nzd0310-0175,nzd0310-0176,nzd0310-0177,nzd0310-0178,nzd0310-0179,nzd0310-0180,nzd0310-0181,nzd0310-0182,nzd0310-0183,nzd0310-0184,nzd0310-0185,nzd0310-0186,nzd0310-0187,nzd0310-0188,nzd0310-0189,nzd0310-0190,nzd0310-0091,nzd0310-0092,nzd0310-0093,nzd0310-0094,nzd0310-0095,nzd0310-0023,nzd0310-0034,nzd0310-0035,nzd0310-0036,nzd0310-0050,nzd0310-0051,nzd0310-0052,nzd0310-0053,nzd0310-0054,nzd0310-0164,nzd0310-0165,nzd0310-0166,nzd0310-0167,nzd0310-0042,nzd0310-0067,nzd0310-0068,nzd0310-0069,nzd0310-0070,nzd0310-0073,nzd0310-0074,nzd0310-0075,nzd0310-0076,nzd0310-0077,nzd0310-0078,nzd0310-0099,nzd0310-0100,nzd0310-0101,nzd0310-0102,nzd0310-0103,nzd0310-0104,nzd0310-0109,nzd0310-0110,nzd0310-0111,nzd0310-0112,nzd0310-0113,nzd0310-0114,nzd0310-0138,nzd0310-0139,nzd0310-0159,nzd0310-0160,nzd0310-0161,nzd0310-0162,nzd0310-0163,nzd0310-0171,nzd0310-0016,nzd0310-0017,nzd0310-0018,nzd0310-0019,nzd0310-0020,nzd0310-0021,nzd0310-0022,nzd0310-0079,nzd0310-0080,nzd0310-0105,nzd0310-0106,nzd0310-0107,nzd0310-0108,nzd0310-0115,nzd0310-0116,nzd0310-0117,nzd0310-0118,nzd0310-0119,nzd0310-0120,nzd0310-0121,nzd0310-0122,nzd0310-0123,nzd0310-0124,nzd0310-0125,nzd0310-0126,nzd0310-0127,nzd0310-0134,nzd0310-0135,nzd0310-0137,nzd0310-0005,nzd0310-0006,nzd0310-0043,nzd0310-0044,nzd0310-0045,nzd0310-0046,nzd0310-0047,nzd0310-0048,nzd0310-0055,nzd0310-0056,nzd0310-0057,nzd0310-0060,nzd0310-0061,nzd0310-0062,nzd0310-0063,nzd0310-0064,nzd0310-0071,nzd0310-0072,nzd0310-0085,nzd0310-0089,nzd0310-0090,nzd0310-0131,nzd0310-0132,nzd0310-0133,nzd0310-0007,nzd0310-0008,nzd0310-0009,nzd0310-0010,nzd0310-0011,nzd0310-0012,nzd0310-0013,nzd0310-0065,nzd0310-0066,nzd0310-0086,nzd0310-0087,nzd0310-0088,nzd0310-0049,nzd0310-0058,nzd0310-0059,nzd0310-0136,nzd0310-0014,nzd0310-0015
2000-05-26 21:52:36.566000,L7,,,319.16,262.88,308.09,327.51,342.14,330.61,336.15,304.86,339.29,325.53,231.33,299.33,305.18,,,,,260.88,,,,,367.10,397.28,363.98,,,,,,312.54,359.25,346.73,374.74,398.47,374.52,379.40,400.20,288.56,362.15,383.37,328.17,343.71,336.99,319.92,238.37,253.14,,330.18,335.10,,304.15,340.01,312.09,357.68,356.82,320.48,341.13,336.14,346.57,348.56,334.68,329.57,322.56,324.03,296.69,295.96,344.58,,,,384.57,422.79,370.14,326.74,324.42,301.61,,309.14,339.70,350.31,377.36,369.47,276.11,262.75,,,223.08,327.30,336.48,331.25,327.19,311.62,288.20,280.05,275.39,332.73,276.88,360.64,370.30,386.41,392.83,372.11,365.50,,,,,,,,,236.53,238.76,240.93,264.14,278.80,,223.20,242.66,312.54,308.63,295.21,303.83,340.53,282.79,285.29,386.47,427.61,444.90,421.97,,,,,,,437.07,446.55,377.97,371.85,,,,,,,308.46,308.27,225.72,230.65,249.15,246.26,253.64,251.22,367.48,381.76,407.40,344.47,357.13,361.06,353.83,355.66,315.58,305.63,,,,,,,,307.67,306.20,301.03,,336.11,269.31,350.10,338.90,,,,320.29,404.76,339.86,,297.36,240.98
2000-07-13 21:52:07.753000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.81,339.66,306.09,332.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438.28,447.40,461.48,466.73,463.28,464.15,,,,,,,,,,,,,,,,,,,,426.95,427.80,477.23,503.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-29 21:51:50.349000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.65,395.75,389.43,422.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.20,396.78,,,,,,,,,,,,,,,369.18,,,,,,
2000-08-07 21:45:32.940000,L7,313.31,299.64,272.42,236.39,208.46,301.08,281.67,322.33,244.31,318.21,317.79,335.63,277.54,283.69,301.32,,,,,,,,,,,,,,,,,414.70,373.48,385.61,381.56,372.00,359.02,380.32,382.43,406.65,,386.97,373.24,369.49,365.54,370.98,,,,287.70,,,303.92,298.19,255.41,378.89,339.10,334.92,319.73,309.98,,,298.00,266.72,290.57,280.25,274.25,264.33,277.26,286.79,288.39,,,,,,277.57,314.88,314.61,327.65,324.33,344.05,340.77,325.53,380.51,293.08,256.94,312.09,257.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-14 21:51:44.223000,L7,,,,,,,,,,,,,,,337.52,326.19,315.12,316.74,,,,,,,401.98,405.53,402.90,,,,349.52,346.96,350.10,371.52,366.16,363.43,384.42,,,,,,,,,,,,,,,,,,,,371.07,390.89,378.05,363.04,351.13,328.39,318.39,325.32,303.63,311.81,284.35,286.46,290.75,297.57,298.80,349.91,359.10,352.06,338.50,358.00,,320.40,327.45,319.35,351.71,344.40,363.68,365.07,343.45,,,,,,,,,278.03,302.49,272.63,285.78,255.70,311.02,221.16,371.75,398.13,408.91,355.22,391.73,363.13,,474.86,433.91,425.79,418.07,,,361.61,,,,,,,281.33,,,,,,,,,377.89,402.16,,,,451.64,432.86,456.50,431.20,444.85,396.56,407.49,382.64,355.95,342.69,342.70,326.97,226.82,,,,,300.45,304.21,297.93,318.08,330.96,315.33,371.95,373.22,387.33,,358.55,373.85,340.14,327.08,308.57,298.30,,,336.05,,216.09,217.08,,,,,,,,343.57,,,,,338.78,,,,315.96,305.74
2000-09-15 21:51:13.624000,L7,313.95,294.34,271.40,271.66,214.55,262.48,315.55,326.80,304.33,265.21,237.02,320.88,275.60,254.96,298.64,,,,,288.43,,,,,422.26,431.20,414.53,,,,413.80,387.72,393.35,406.00,396.87,357.46,359.16,324.93,344.79,,,,,,,,,,308.87,298.79,299.75,350.43,308.66,274.27,282.90,341.40,354.14,345.59,357.37,346.89,329.02,283.99,274.22,309.88,295.84,289.97,278.00,270.44,268.83,266.47,270.57,,,414.76,412.40,409.42,280.20,,,,,,,,,276.46,277.69,274.69,283.55,246.25,411.52,400.88,413.17,349.78,363.14,366.95,349.74,343.60,325.35,335.70,411.92,406.84,325.11,324.84,332.29,357.98,450.22,466.78,434.86,456.07,464.89,493.76,304.70,388.25,279.57,280.49,288.48,267.57,257.14,315.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-26 21:44:46.815000,L7,,,,,,,,,,,,,,,,,,,,,,,,,395.54,397.53,399.17,367.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.42,351.07,337.10,337.69,324.86,316.91,309.46,306.55,,,394.06,398.94,398.43,,,,,,,,,,,,,,,,,,,,,,,,,396.05,399.45,395.15,392.87,398.37,410.00,473.45,441.71,452.54,461.86,467.36,472.95,,,,,,,,,,,,,,,,,,426.30,,,,490.34,500.51,501.96,492.69,478.94,468.82,453.27,441.44,428.28,415.22,387.82,376.97,376.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-04 21:50:58.069000,L7,,,,,,,,,,,,,,,,,,,,,,,,,423.27,451.13,384.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.37,350.25,348.42,341.95,323.99,311.28,314.07,326.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.06,386.38,387.00,386.38,398.82,,440.44,439.11,452.90,458.70,460.47,482.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-13 21:44:52.270000,L7,,352.03,328.50,318.12,310.42,,,,,,306.07,257.05,,303.57,290.64,330.77,322.48,324.29,,,,,,,388.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.39,350.13,359.86,361.04,376.95,386.38,390.70,384.75,360.32,,365.89,314.80,314.08,302.94,299.98,333.87,314.26,308.87,,,,387.67,393.97,366.22,,279.35,330.17,322.13,345.30,,,,,,,,,,,,,,,,,,,,,,,399.08,409.65,377.17,436.34,448.69,438.64,,466.45,472.99,,,,,,,,,290.54,313.91,322.26,339.93,,,,,,,,,,467.99,477.74,480.09,473.64,,,,,,,,,,,,,319.22,320.31,,334.08,332.12,331.68,337.33,336.18,,,,,,,,,,,,379.77,,,,,322.23,310.80,318.08,310.77,294.00,287.42,309.88,,,,441.39,427.69,350.33,,,,307.29,285.82
2001-01-05 21:51:04.492000,L7,,,,,,306.46,321.07,284.22,334.67,326.05,325.04,316.36,313.53,325.39,312.15,308.07,283.41,300.47,281.55,290.22,286.57,,,,360.39,344.81,360.15,341.31,345.60,320.00,,,,,,371.75,379.23,377.71,380.84,373.92,354.03,320.57,337.24,342.25,332.53,328.72,328.26,319.72,319.08,,,,,,,,,,,,,,,,,,,,,,,351.89,362.66,362.03,361.97,361.21,311.91,311.28,303.79,293.97,323.09,277.99,269.42,275.56,272.51,,,290.32,309.39,,364.52,334.24,339.11,309.14,292.01,295.52,287.84,288.07,292.34,287.38,359.59,362.61,369.72,378.05,373.41,382.73,389.42,395.43,410.65,417.73,419.63,428.40,,,314.43,310.45,253.50,,,,,,,305.00,242.17,310.42,322.95,291.33,286.47,381.97,386.18,385.18,391.57,433.88,,453.68,461.52,438.23,429.35,428.79,394.15,391.89,377.45,342.16,364.46,346.30,,,,,,300.05,314.18,298.77,311.56,317.22,308.44,302.71,308.79,389.68,420.57,430.66,440.55,365.48,367.14,303.74,312.56,,338.11,344.78,,,,,201.38,285.27,267.95,,,,370.16,339.83,,,,325.71,395.29,404.99,,,
