dates,nzd0310-0000,nzd0310-0001,nzd0310-0002,nzd0310-0003,nzd0310-0010,nzd0310-0011,nzd0310-0012,nzd0310-0013,nzd0310-0014,nzd0310-0015,nzd0310-0016,nzd0310-0017,nzd0310-0018,nzd0310-0019,nzd0310-0020,nzd0310-0021,nzd0310-0022,nzd0310-0023,nzd0310-0024,nzd0310-0025,nzd0310-0026,nzd0310-0027,nzd0310-0029,nzd0310-0030,nzd0310-0031,nzd0310-0032,nzd0310-0035,nzd0310-0036,nzd0310-0037,nzd0310-0038,nzd0310-0039,nzd0310-0040,nzd0310-0041,nzd0310-0042,nzd0310-0043,nzd0310-0044,nzd0310-0045,nzd0310-0046,nzd0310-0047,nzd0310-0048,nzd0310-0049,nzd0310-0050,nzd0310-0051,nzd0310-0052,nzd0310-0053,nzd0310-0054,nzd0310-0055,nzd0310-0056,nzd0310-0057,nzd0310-0058,nzd0310-0059,nzd0310-0060,nzd0310-0061,nzd0310-0062,nzd0310-0063,nzd0310-0064,nzd0310-0065,nzd0310-0066,nzd0310-0067,nzd0310-0068,nzd0310-0069,nzd0310-0070,nzd0310-0071,nzd0310-0072,nzd0310-0073,nzd0310-0074,nzd0310-0075,nzd0310-0076,nzd0310-0077,nzd0310-0078,nzd0310-0079,nzd0310-0080,nzd0310-0081,nzd0310-0082,nzd0310-0083,nzd0310-0084,nzd0310-0085,nzd0310-0086,nzd0310-0087,nzd0310-0088,nzd0310-0089,nzd0310-0090,nzd0310-0092,nzd0310-0093,nzd0310-0094,nzd0310-0095,nzd0310-0096,nzd0310-0097,nzd0310-0098,nzd0310-0099,nzd0310-0100,nzd0310-0101,nzd0310-0102,nzd0310-0103,nzd0310-0104,nzd0310-0105,nzd0310-0106,nzd0310-0107,nzd0310-0108,nzd0310-0109,nzd0310-0110,nzd0310-0111,nzd0310-0112,nzd0310-0113,nzd0310-0114,nzd0310-0115,nzd0310-0116,nzd0310-0117,nzd0310-0118,nzd0310-0119,nzd0310-0120,nzd0310-0121,nzd0310-0122,nzd0310-0124,nzd0310-0125,nzd0310-0126,nzd0310-0127,nzd0310-0128,nzd0310-0129,nzd0310-0130,nzd0310-0131,nzd0310-0132,nzd0310-0133,nzd0310-0134,nzd0310-0135,nzd0310-0136,nzd0310-0137,nzd0310-0138,nzd0310-0139,nzd0310-0140,nzd0310-0141,nzd0310-0142,nzd0310-0143,nzd0310-0144,nzd0310-0145,nzd0310-0146,nzd0310-0147,nzd0310-0148,nzd0310-0149,nzd0310-0150,nzd0310-0151,nzd0310-0152,nzd0310-0153,nzd0310-0154,nzd0310-0155,nzd0310-0156,nzd0310-0157,nzd0310-0158,nzd0310-0159,nzd0310-0160,nzd0310-0161,nzd0310-0162,nzd0310-0163,nzd0310-0164,nzd0310-0165,nzd0310-0166,nzd0310-0167,nzd0310-0168,nzd0310-0169,nzd0310-0170,nzd0310-0171,nzd0310-0172,nzd0310-0173,nzd0310-0174,nzd0310-0175,nzd0310-0176,nzd0310-0177,nzd0310-0178,nzd0310-0179,nzd0310-0180,nzd0310-0181,nzd0310-0182,nzd0310-0183,nzd0310-0184,nzd0310-0185,nzd0310-0186,nzd0310-0187,nzd0310-0188,nzd0310-0189,nzd0310-0190,nzd0310-0004,nzd0310-0005,nzd0310-0006,nzd0310-0007,nzd0310-0008,nzd0310-0009,nzd0310-0028,nzd0310-0033,nzd0310-0034,nzd0310-0091,nzd0310-0123,satname
1999-08-21 21:47:20.968,,,,,481.01,481.6,470.6,453.61,,,452.97,463.26,465.24,,,,441.86,471.34,,473.81,,,483.46,510.43,508.93,,475.51,,442.68,430.97,427.17,426.65,436.82,,436.68,449.3,448.23,494.12,514.06,486.69,502.3,511.33,456.31,501.11,,,,,514.17,,474.81,,,,,,266.37,,,,,,,,,,,,,,426.79,,,436.8,432.67,432.85,408.88,390.23,384.53,371.36,,,330.4,362.82,,,,,468.28,,488.73,490.87,500.9,513.19,507.89,,,,,,467.02,471.36,482.04,480.87,495.04,505.21,506.71,,,,,481.28,493.23,457.37,491.24,476.09,,460.56,398.74,456.87,459.5,405.16,459.41,436.11,461.07,456.95,,404.23,,418.19,,482.72,486.32,494.63,500.72,474.97,,,508.34,448.28,504.54,481.8,481.36,475.74,481.08,492.54,465.36,467.46,463.5,,465.82,461.19,487.55,429.47,455.47,462.48,,466.36,483.33,504.93,500.78,495.77,507.6,,,,,472.87,,527.48,507.78,,452.39,444.69,,,,,373.69,,,,,,,,,,,,,L7
1999-09-22 21:47:24.746,,,,,474.75,467.14,454.56,446.87,,,457.105,452.79499999999996,449.90999999999997,,,,455.875,487.965,416.76,483.52,,504.12,492.455,498.225,492.23,468.23,492.08,488.35,433.45000000000005,429.48,438.245,436.565,447.455,467.55,442.925,453.78999999999996,456.43,483.78499999999997,500.965,492.675,500.565,498.145,469.985,502.755,417.91,426.75,441.41,459.78,499.105,480.54,482.89,511.56,,,,,253.66500000000002,,,,,,,,,,,,,,426.79,,480.38,437.46500000000003,429.35,432.42,413.26,394.545,392.835,375.04,,,344.065,378.995,,,,,486.325,,495.53,499.195,498.49,502.95000000000005,500.9,,,,,,472.35,489.95000000000005,490.315,494.245,502.44500000000005,512.55,516.255,260.68,247.34,219.5,186.58,490.46,480.875,455.235,472.365,459.89,,443.115,409.735,448.51,442.655,414.38,441.08500000000004,430.375,445.29499999999996,441.15999999999997,,413.1,430.25,430.78999999999996,449.86,475.105,471.02,475.09000000000003,481.295,468.395,467.55,462.59,514.555,449.255,510.06000000000006,485.055,494.96500000000003,483.045,482.69,485.84000000000003,482.61,474.66999999999996,470.7,486.48,475.755,473.81,469.845,446.975,470.365,478.6,,482.57,486.615,493.515,488.385,486.81,495.395,491.94,490.86,,,492.32,,517.635,511.965,506.26,466.37,445.895,,,474.03,,387.91999999999996,,379.42,378.28,,,463.99,,,,460.2,320.69,468.74,L7
1999-09-29 21:53:40.155,,,,,474.75,467.14,454.56,446.87,,,457.105,452.79499999999996,449.90999999999997,,,,452.42,487.965,436.33,480.16,475.94,490.525,482.68666666666667,498.225,492.23,468.23,495.21999999999997,488.52,433.45000000000005,429.48,438.245,436.565,463.70666666666665,474.05,442.925,460.0733333333333,472.3666666666666,483.78499999999997,508.6033333333333,492.675,500.565,498.145,469.985,502.755,417.91,426.75,441.41,459.78,499.105,480.54,482.89,511.56,,,,,253.66500000000002,,,,,,,,,,,516.19,517.83,,444.415,459.1,482.695,437.46500000000003,429.35,432.42,424.76666666666665,394.545,392.835,375.04,,,344.065,378.995,,,,,486.325,,495.53,499.195,498.49,502.95000000000005,500.9,,,,,,472.35,489.95000000000005,490.315,494.245,502.44500000000005,512.55,516.255,273.70500000000004,262.13,233.70499999999998,199.01,490.46,480.875,455.235,472.365,459.89,,443.115,409.735,446.16,442.655,414.38,439.5,434.57,444.3066666666667,449.1466666666667,471.53,413.1,446.425,430.78999999999996,449.86,475.105,471.02,475.09000000000003,481.295,468.395,467.55,462.59,514.555,449.255,510.06000000000006,485.055,501.45,482.53999999999996,487.1366666666666,482.85999999999996,480.31,487.7,470.7,502.425,484.76666666666665,478.0733333333333,467.5133333333333,458.56666666666666,483.8666666666666,493.2833333333333,449.02,478.43333333333334,482.15000000000003,482.51666666666665,480.0933333333333,479.1433333333334,484.6366666666667,480.125,477.065,470.07,473.21,492.32,,517.635,517.7533333333333,510.025,472.81333333333333,454.6766666666667,,,480.48,,387.91999999999996,,379.42,378.28,407.69,,450.41499999999996,,,,477.78499999999997,332.94,468.74,L7
1999-10-24 21:47:20.173,,,,,474.75,467.14,454.56,446.87,,,457.105,452.79499999999996,449.90999999999997,,,,452.42,495.42333333333335,436.33,480.16,488.7,490.525,482.68666666666667,497.48333333333335,494.8566666666666,481.43,495.21999999999997,488.52,433.45000000000005,429.48,452.56666666666666,436.565,464.76,480.57,442.925,466.1275,472.3666666666666,483.78499999999997,508.6033333333333,492.675,500.565,498.145,469.985,502.755,422.17,429.21000000000004,442.235,454.085,485.4266666666667,478.45500000000004,483.59666666666664,506.96500000000003,,,,,253.66500000000002,,,,,,,,,,,513.03,505.33000000000004,,454.21000000000004,460.505,474.75333333333333,437.18333333333334,427.37999999999994,437.81333333333333,422.875,403.4533333333334,397.53666666666663,365.41333333333336,,,352.29333333333335,380.48333333333335,,,,,498.4466666666667,,496.70666666666665,500.31666666666666,498.97666666666663,499.7966666666667,508.0933333333333,,,,,,478.14000000000004,491.2366666666667,502.75666666666666,502.07,506.31,516.8366666666667,516.255,275.77333333333337,264.84,233.70499999999998,199.01,490.41333333333336,480.875,455.235,478.7966666666667,459.89,,443.115,409.735,450.445,442.655,429.5166666666667,445.3575,445.4675,444.3066666666667,455.5525,472.7,413.1,463.01666666666665,430.78999999999996,468.855,478.66,471.02,475.09000000000003,481.295,463.8333333333333,471.58000000000004,460.51,514.555,448.32666666666665,510.06000000000006,485.055,501.45,482.53999999999996,487.1366666666666,482.85999999999996,480.31,487.7,470.7,502.425,484.76666666666665,478.0733333333333,467.5133333333333,458.56666666666666,483.8666666666666,493.2833333333333,435.29999999999995,478.43333333333334,482.15000000000003,482.51666666666665,480.0933333333333,465.62,484.6366666666667,480.125,477.065,453.145,465.955,492.32,,517.635,517.7533333333333,510.025,472.81333333333333,454.6766666666667,,,480.48,,385.9533333333333,,388.46000000000004,383.525,391.11,,450.41499999999996,,,,477.78499999999997,332.94,469.495,L7
2000-01-19 21:53:25.812,,288.13,,,474.75,467.14,454.56,446.87,,,457.105,452.79499999999996,449.90999999999997,,,,452.42,495.42333333333335,436.33,480.16,488.7,490.525,482.68666666666667,497.48333333333335,494.8566666666666,481.43,495.21999999999997,488.52,433.45000000000005,429.48,452.56666666666666,436.565,464.76,480.57,442.925,466.1275,472.3666666666666,483.78499999999997,508.6033333333333,492.675,500.565,498.145,469.985,502.755,422.17,429.21000000000004,442.235,454.085,485.4266666666667,478.45500000000004,483.59666666666664,475.5333333333333,412.31,417.5,427.97,426.67,253.66500000000002,,396.14,393.99,392.52,,,,,,356.22,460.1666666666667,505.33000000000004,,454.21000000000004,460.505,474.75333333333333,437.18333333333334,427.37999999999994,437.81333333333333,422.875,403.4533333333334,397.53666666666663,365.41333333333336,,,352.29333333333335,380.48333333333335,,,,,498.4466666666667,,496.70666666666665,500.31666666666666,498.97666666666663,499.7966666666667,508.0933333333333,370.16,,,,,478.14000000000004,491.2366666666667,502.75666666666666,502.07,506.31,516.8366666666667,516.255,275.77333333333337,264.84,233.70499999999998,199.01,490.41333333333336,480.875,455.235,478.7966666666667,459.89,,443.115,409.735,450.445,442.655,429.5166666666667,445.3575,445.4675,444.3066666666667,455.5525,472.7,413.1,463.01666666666665,430.78999999999996,468.855,478.66,471.02,475.09000000000003,481.295,463.8333333333333,471.58000000000004,460.51,514.555,448.32666666666665,510.06000000000006,485.055,501.45,482.53999999999996,487.1366666666666,482.85999999999996,480.31,487.7,470.7,502.425,484.76666666666665,478.0733333333333,467.5133333333333,458.56666666666666,483.8666666666666,493.2833333333333,435.29999999999995,478.43333333333334,482.15000000000003,482.51666666666665,480.0933333333333,465.62,484.6366666666667,480.125,477.065,453.145,465.955,492.32,,517.635,517.7533333333333,510.025,472.81333333333333,454.6766666666667,,,485.01,,385.9533333333333,,388.46000000000004,383.525,391.11,,450.41499999999996,,,,477.78499999999997,332.94,469.495,L7
2000-04-17 21:46:44.595,,277.41499999999996,,,,,,,,,,,,,,,,510.34,,,501.46,,,496.0,500.11,494.63,,,,,481.21,,467.92,493.61,,484.29,,,,,,,,,426.43,431.67,443.06,448.39,458.07,476.37,485.01,457.52,412.31,417.5,427.97,443.765,,462.88,410.09000000000003,393.99,392.52,,478.07,,,,356.22,432.155,492.83,,473.8,461.91,458.87,436.62,423.44,448.6,417.2,421.27,406.94,346.16,,,377.985,392.595,406.91,,,461.99,519.04,,499.06,502.56,499.95,493.49,522.48,370.16,,,,,489.72,493.81,527.64,517.72,514.04,525.41,,279.91,270.26,,,490.32,,,491.66,,,,,463.3,,459.79,462.93,478.16,,474.77,473.87,,496.2,,487.85,485.77,,,,454.71,475.61,458.43,,446.47,,,,,,,,,,,,,455.04,466.05,470.03,468.6,421.58,488.67,489.19,495.08,,425.05,,459.95,452.7,452.45500000000004,469.41499999999996,510.41,525.32,495.98,508.11,487.9,481.59,,512.64,499.14,495.44,,382.02,,397.5,388.77,374.53,,,,,,,383.7,470.25,L7
2000-05-03 21:46:43.127,,347.69666666666666,440.22,450.2,507.17,,473.96,471.08,,,,461.41,,469.47,,,447.94,,433.18,462.88,466.51,445.15,,509.37,502.63,497.57,513.89,502.58,,,502.68,,,510.42,,520.17,518.67,,,,513.42,463.94,509.5,,,,,,,,,406.675,414.6,419.03999999999996,427.69500000000005,443.765,,462.88,408.03000000000003,393.565,392.52,,484.52,476.61,451.83,,356.22,354.44,508.79,,473.49,456.5,,,,422.54,407.0,360.96,,326.41,,,387.22,401.73,425.86,,484.18,469.78,500.69,484.12,489.7,482.92,483.5,503.15,,371.645,,505.14,474.21,476.74,482.63,506.01,519.83,513.37,515.01,,,261.94,249.64,227.91,199.84,530.19,,,493.99,,482.84,,,493.53,474.63,467.41,,,,,488.83,,501.5,,,,,,,,507.33,478.32,524.04,,509.9,496.58,500.64,500.11,487.43,489.59,,517.65,,502.6,519.34,519.27,455.04,482.53499999999997,465.65999999999997,478.985,,493.545,490.22,495.08,,,499.96,459.95,452.7,477.74,474.7,510.41,521.375,496.095,510.68,500.715,482.195,488.65,502.205,494.375,483.2166666666667,,405.25,,,,,505.93,,,,494.52,482.11,383.7,,L7
2000-05-19 21:46:31.829,446.38,374.38,450.05,453.71000000000004,507.17,,473.96,471.08,261.89,,,461.41,,483.385,267.77,282.27,447.94,,433.18,462.88,466.51,461.40999999999997,,509.37,498.72,497.57,513.89,502.58,,,502.68,,296.2,403.525,307.97,520.17,418.03999999999996,508.36,497.36,470.85,504.91999999999996,480.9,506.28499999999997,514.97,,,389.91,,,,,414.50666666666666,421.7133333333333,419.03999999999996,427.69500000000005,443.765,297.43,471.3,408.03000000000003,393.565,391.495,,484.52,457.63,438.5,,373.57000000000005,369.14,508.79,,441.57500000000005,439.015,411.88,412.05,411.17,409.11,407.0,302.21999999999997,,326.41,280.07,,376.92,401.73,425.86,,484.18,469.78,500.69,484.12,489.7,482.92,483.5,503.15,,371.645,,505.14,474.21,476.74,482.63,506.01,519.83,513.37,515.01,,,261.94,249.64,227.91,199.84,496.795,471.88,,493.99,,482.84,,392.04,483.335,480.52,484.635,483.11,,,,488.83,382.33,501.5,,,,415.76,418.57,426.55,473.04,507.33,478.32,524.04,424.31,509.9,496.58,500.64,500.11,487.43,443.41999999999996,,517.65,,502.6,519.34,519.27,455.04,482.53499999999997,465.65999999999997,478.985,385.31,493.545,490.22,495.08,,,499.96,459.95,452.7,477.74,462.75666666666666,510.41,521.375,496.095,510.68,500.715,482.195,488.65,502.205,494.375,483.2166666666667,,389.245,,,,,505.355,,318.44,,483.885,482.11,369.135,470.67,L7
2000-05-26 21:52:36.566,465.87,393.918,450.05,453.71000000000004,507.17,,473.96,471.08,276.59000000000003,,,468.06500000000005,,483.385,281.04499999999996,292.125,447.94,,433.18,462.88,466.51,461.40999999999997,,509.37,498.72,497.57,513.89,502.58,,,403.025,269.46,295.83500000000004,368.7866666666667,315.845,520.17,377.4433333333333,508.36,497.36,470.85,504.91999999999996,480.9,506.28499999999997,514.97,,,378.45500000000004,,,,,415.25,421.645,416.75,432.1166666666666,441.6666666666667,357.18999999999994,471.3,408.505,394.3233333333333,390.43,,484.52,432.57666666666665,419.51666666666665,371.74,371.98333333333335,368.6766666666667,508.79,,418.0566666666667,414.28666666666663,382.88,412.05,411.17,409.11,407.0,265.54333333333335,,326.41,293.265,,399.78000000000003,401.73,436.6133333333334,426.08,471.24,469.78,506.2133333333333,498.75,501.015,499.14,494.0,499.67999999999995,513.91,371.645,476.96,501.395,493.72,495.79,500.215,498.77,507.63,518.5550000000001,515.01,,,262.25,248.21000000000004,224.45499999999998,193.57,494.1033333333333,471.88,447.15,492.28499999999997,,474.07,413.93,392.04,477.4633333333333,476.72,478.7266666666667,483.11,454.73,452.76,,476.5,382.33,483.445,463.66,471.99,478.78,415.76,418.57,426.55,486.84000000000003,508.28999999999996,494.92499999999995,515.13,424.31,495.905,487.615,494.455,485.225,479.98,433.15333333333336,471.89,517.65,472.38,486.67,519.34,519.27,459.045,472.8033333333333,466.0333333333333,471.09999999999997,385.31,491.8733333333333,482.79333333333335,487.445,479.49,,490.08,481.29499999999996,478.67499999999995,491.40000000000003,472.4125,507.61,506.30333333333334,486.4533333333334,510.68,500.715,482.195,488.65,507.6366666666666,494.49333333333334,484.4975,446.66,389.245,,,,,505.355,,307.405,,483.885,482.11,386.6233333333333,470.67,L7
2000-07-13 21:52:07.753,473.59666666666664,412.0833333333333,465.84999999999997,453.71000000000004,495.565,486.25,482.16999999999996,480.51,276.59000000000003,,,482.5566666666667,,483.385,281.6066666666666,292.125,447.94,,433.18,462.88,482.78999999999996,473.93333333333334,486.68,490.845,497.91333333333336,497.57,513.89,502.58,,,362.4633333333333,266.78,289.79,345.90999999999997,303.57666666666665,520.17,355.6675,508.36,497.36,470.85,504.91999999999996,480.9,506.28499999999997,514.97,427.07,,369.1433333333334,481.17,486.19,488.85,500.01,415.25,421.645,416.75,432.1166666666666,441.6666666666667,374.7333333333333,471.3,405.07,392.115,383.9,,484.52,415.685,404.0475,365.975,371.98333333333335,364.10749999999996,508.79,,400.14,398.09,373.3,412.05,411.17,409.11,407.0,239.19,,321.9,296.88,,402.2175,401.73,437.4275,416.24,471.24,469.78,506.2133333333333,498.75,501.015,499.14,494.0,489.10999999999996,495.875,371.645,469.655,501.395,493.72,495.79,500.3066666666667,499.99,505.34666666666664,508.58666666666664,501.77,504.67,442.51,262.25,248.21000000000004,224.45499999999998,193.57,495.5325,457.64,447.15,493.96999999999997,,478.3733333333333,413.93,392.04,480.975,479.51750000000004,480.305,484.86,469.61,471.32,492.02,484.24,382.33,488.26666666666665,463.66,471.99,478.78,415.76,418.57,426.55,486.84000000000003,508.28999999999996,494.92499999999995,515.13,424.31,495.905,487.615,494.455,485.225,479.98,433.15333333333336,471.89,517.65,472.38,486.67,519.34,519.27,468.3533333333333,475.5275,470.77,450.7625,385.31,493.805,487.4475,494.83666666666664,493.83000000000004,412.67,490.08,479.3,478.69666666666666,494.2225,478.85599999999994,507.61,506.805,486.4533333333334,504.0733333333333,499.2133333333333,483.6266666666667,488.65,507.6366666666666,494.49333333333334,484.4975,427.46000000000004,389.6366666666667,384.67,,502.67,492.13,497.51,,307.405,,483.885,482.11,390.6175,470.67,L7
