dates,nzd0392-0000,nzd0392-0001,nzd0392-0002,nzd0392-0003,nzd0392-0004,nzd0392-0005,nzd0392-0006,nzd0392-0007,nzd0392-0008,nzd0392-0009,nzd0392-0010,nzd0392-0011,nzd0392-0012,nzd0392-0013,nzd0392-0014,nzd0392-0015,nzd0392-0016,nzd0392-0017,nzd0392-0022,nzd0392-0023,nzd0392-0024,nzd0392-0025,nzd0392-0026,nzd0392-0027,nzd0392-0028,nzd0392-0029,nzd0392-0030,nzd0392-0031,nzd0392-0032,nzd0392-0033,nzd0392-0034,nzd0392-0035,nzd0392-0036,nzd0392-0037,nzd0392-0038,nzd0392-0039,nzd0392-0040,nzd0392-0041,nzd0392-0042,nzd0392-0043,nzd0392-0044,nzd0392-0045,nzd0392-0046,nzd0392-0047,nzd0392-0048,nzd0392-0049,nzd0392-0050,nzd0392-0051,nzd0392-0052,nzd0392-0053,nzd0392-0054,nzd0392-0055,nzd0392-0056,nzd0392-0057,nzd0392-0058,nzd0392-0059,nzd0392-0060,nzd0392-0061,nzd0392-0062,nzd0392-0063,nzd0392-0064,nzd0392-0071,nzd0392-0072,nzd0392-0073,nzd0392-0074,nzd0392-0075,nzd0392-0018,nzd0392-0019,nzd0392-0020,nzd0392-0021,nzd0392-0065,nzd0392-0066,nzd0392-0067,nzd0392-0068,nzd0392-0069,nzd0392-0070,satname
2001-08-15 22:02:38+00:00,,,,,,227.495,194.71,219.64,271.32666666666665,281.58,283.3566666666666,272.08,269.23333333333335,259.3566666666666,265.16499999999996,258.68,246.785,234.77999999999997,247.47499999999997,273.875,282.6666666666667,300.8066666666667,276.57,293.505,299.0875,274.07,289.705,302.7,301.935,316.87333333333333,331.46500000000003,228.05,320.1666666666667,321.34,319.24666666666667,321.81499999999994,324.275,306.565,320.71,314.56,304.28499999999997,327.78,300.32,308.68,276.99,274.07666666666665,215.53,227.375,261.3666666666667,239.475,231.26,232.41500000000002,184.38,235.0225,222.865,237.0325,231.07,234.79000000000002,242.98999999999998,243.33249999999998,234.79,200.4,215.63,244.26,261.11,246.33999999999997,212.22,227.19,265.65,230.68,255.68,249.32,244.47,257.21,283.71500000000003,311.44,L7
2002-02-14 22:08:29+00:00,,285.06,282.45,,,263.01,210.87,246.71,300.86,297.8,306.17,314.62,,,306.41,297.39,,229.65,288.76,281.73,287.52,295.03,293.54,297.21,306.36,294.03,304.76,308.62,316.32,323.12,330.09,,322.11,335.31,355.42,323.12,321.37,316.44,318.36,349.5,,,,,,,186.03,218.96,,,,,,,,,,289.51,291.84,,,,,,,,,,299.45,263.57,288.36,257.66,259.5,269.78,275.05,288.21,L7
2002-03-11 22:02:43+00:00,285.8,284.91499999999996,281.41499999999996,,,268.15,210.87,237.56,298.22,293.635,300.44500000000005,307.31,,,293.19000000000005,297.69,256.38,232.255,275.94,279.03,283.345,289.77,293.40999999999997,294.1,304.31,294.03,318.155,322.385,308.79999999999995,318.855,322.35,,322.645,345.03499999999997,354.93,336.28999999999996,324.635,330.1,333.46000000000004,347.21500000000003,348.19,349.37,,339.14,,,186.03,218.96,,,,,,,,265.53,275.54,281.0,283.905,285.76,235.89,210.78,229.27,260.37,267.84,265.41,188.95,202.92,276.185,249.83499999999998,276.68,253.88,255.76,261.09999999999997,276.185,282.225,L7
2002-11-29 22:07:49+00:00,,,,239.11,,,,,248.36,284.0,290.73,291.94,,262.13,262.58,274.38,254.52,228.64,224.47,245.27,262.37,258.65,263.82,263.21,272.29,,,276.02,296.71,311.58,233.82,234.03,,,,268.93,296.81,302.72,302.5,311.99,,,,,,235.71,213.98,211.8,246.97,219.56,213.5,228.51,221.91,225.85,223.06,222.53,235.17,255.61,253.43,216.72,235.06,,261.05,281.24,285.42,,197.73,205.81,240.5,232.4,251.78,252.73,255.05,261.29,277.47,279.25,L7
2002-12-31 22:07:56+00:00,,,,239.11,,,,,248.36,284.0,290.73,291.94,,262.13,262.58,274.38,254.52,228.64,203.91500000000002,245.27,246.335,242.89,241.29,262.34000000000003,272.29,,,273.075,296.71,311.58,217.72,216.5,,,,268.93,296.81,302.72,302.5,311.99,,,,,,235.71,213.98,211.8,246.97,219.56,213.5,228.51,213.01999999999998,209.5,218.525,218.65,228.21499999999997,232.705,250.635,209.20499999999998,229.26,,261.05,281.24,285.42,,197.73,205.81,240.5,232.4,242.51999999999998,252.73,255.05,261.29,277.47,279.25,L7
2003-02-01 22:08:09+00:00,,,,239.11,,,,,264.48,280.97,289.09000000000003,289.41999999999996,,262.13,260.205,303.33500000000004,254.52,228.64,209.91666666666666,253.97000000000003,252.27666666666667,247.18666666666664,242.62333333333333,266.63,274.46500000000003,270.36,272.6,276.3666666666666,292.49,310.47,216.63666666666666,220.41,320.95,337.76,,256.305,296.81,305.01,303.2,311.99,,,,,,235.71,213.98,211.8,246.97,198.9,209.04000000000002,222.505,210.75,211.93999999999997,218.54,220.01999999999998,232.23333333333335,230.77666666666667,253.63666666666666,209.51333333333332,231.53,207.7,244.015,268.96500000000003,271.95500000000004,264.48,197.73,205.81,240.5,221.20499999999998,242.63333333333333,251.45499999999998,250.36,260.02,268.88,278.41499999999996,L7
2003-02-26 22:02:28+00:00,,,,239.11,,,,,264.48,270.94666666666666,287.8833333333334,292.26666666666665,,262.13,260.205,303.33500000000004,254.52,228.64,213.335,257.6133333333333,255.09500000000003,251.775,251.83249999999998,268.7475,277.65333333333336,272.485,261.95000000000005,277.66499999999996,289.2133333333333,308.0366666666667,216.63666666666666,220.3375,320.95,337.76,,246.91666666666666,297.8,303.1933333333333,303.04333333333335,296.94,,,,,,235.71,213.98,211.8,241.985,195.60333333333332,202.64666666666668,218.6966666666667,208.17000000000002,211.7275,217.9,219.805,231.0075,227.265,252.9125,213.1925,230.12,207.7,244.015,268.7633333333333,269.3966666666667,273.055,197.73,205.81,240.5,217.12,242.1775,251.45499999999998,267.01666666666665,274.6933333333333,270.72333333333336,289.17333333333335,L7
2003-05-24 22:08:16+00:00,,,,239.11,,,,,263.65000000000003,259.655,287.375,292.5475,268.24,262.13,260.205,303.33500000000004,254.52,228.64,215.22200000000004,257.6825,254.89600000000002,252.83200000000002,254.098,268.68600000000004,273.705,273.23333333333335,268.6433333333334,277.07399999999996,287.345,308.0366666666667,214.285,221.98200000000003,320.95,337.76,,243.9775,294.65333333333336,303.1933333333333,303.04333333333335,296.13,,,,,,252.515,206.86,214.95,242.29999999999998,203.9075,209.5475,221.93,204.158,210.608,218.68,220.474,230.804,228.86599999999999,251.51799999999997,219.97199999999998,230.286,192.41,244.015,268.7633333333333,264.44,273.055,197.73,205.81,233.95499999999998,217.7475,241.72600000000003,247.75333333333333,267.01666666666665,274.6933333333333,270.72333333333336,289.17333333333335,L7
2003-07-28 21:50:28+00:00,,,,,,,,,271.295,251.53999999999996,286.25666666666666,292.75,268.24,,257.83,332.29,,,222.76000000000002,261.82,260.6033333333333,259.46000000000004,262.6366666666667,272.9166666666667,274.1766666666667,273.23333333333335,268.6433333333334,279.73999999999995,284.22333333333336,306.265,210.85,225.63666666666668,320.95,337.76,,235.66,293.57500000000005,321.61333333333334,303.315,288.2,,,,,,269.32,199.74,218.1,239.96499999999997,198.68999999999997,208.23000000000002,219.73666666666668,198.25,211.34666666666666,218.7833333333334,221.68999999999997,232.53,226.30666666666662,252.10666666666665,227.14999999999998,230.97000000000003,192.41,226.98,262.525,257.44666666666666,273.055,,,227.41,212.86333333333334,241.19666666666672,245.265,273.0,281.395,267.35,294.135,L5
2003-08-20 21:56:39+00:00,,,,236.45,250.85,,242.79,240.09,250.685,237.35333333333332,275.5933333333333,283.66333333333336,268.24,,,,,193.01,226.89000000000001,253.8133333333333,254.10666666666665,258.2533333333334,263.91333333333336,264.40000000000003,265.9266666666667,266.00333333333333,263.89,268.3666666666667,274.04,303.17,243.69,233.30666666666664,,,,231.64999999999998,293.57500000000005,328.77,302.73,283.7966666666667,,,284.72,,260.73,261.975,227.66000000000003,235.225,238.18999999999997,217.73333333333335,219.54999999999998,230.64333333333335,194.26999999999998,216.42666666666665,218.76666666666665,221.25,223.6966666666667,227.02666666666664,240.48000000000002,235.65999999999997,228.42000000000002,179.445,188.21,253.34,254.6533333333333,281.63,241.59,242.68,237.88,215.27333333333334,240.36500000000007,240.35,300.33,304.04,274.41,310.69,L5
