dates,satname,nzd0057-0000,nzd0057-0001
1999-09-27 22:04:25.056000,L7,316.26,272.35
1999-11-14 22:04:18.343000,L7,315.10,268.61
2000-01-17 22:04:11.868000,L7,292.16,278.65
2000-05-24 22:03:22.722000,L7,339.70,
2000-08-12 22:02:30.151000,L7,315.00,278.55
2000-10-15 22:01:32.252000,L7,344.53,278.20
2001-03-08 22:01:45.126000,L7,325.06,
2001-03-24 22:01:35.778000,L7,289.71,345.80
2001-08-15 22:00:14.727000,L7,311.50,
2001-11-19 21:59:56.393000,L7,290.87,278.18
2001-12-05 21:59:55.034000,L7,323.74,311.00
2002-01-22 22:00:16.971000,L7,285.72,277.27
2002-02-23 22:00:19.685000,L7,409.62,385.44
2002-06-15 21:59:55.710000,L7,395.50,348.86
2002-07-17 21:59:44.793000,L7,272.72,
2002-08-18 21:59:33.737000,L7,299.62,287.40
2002-09-19 21:59:11.129000,L7,350.72,312.24
2002-10-21 21:59:12.494000,L7,338.28,300.68
2003-03-30 22:00:07.079000,L7,,279.88
2005-02-07 21:57:51.236000,L5,323.09,283.41
2005-09-19 21:59:32.955000,L5,329.75,280.83
2006-10-24 22:05:38.832000,L5,322.52,289.71
2011-03-12 22:01:19.581000,L5,306.27,273.96
2013-05-20 22:13:26.604000,L8,291.70,278.39
2013-06-05 22:13:27.306000,L8,291.05,277.97
2013-09-25 22:13:17.289000,L8,278.02,272.51
2013-09-25 22:13:41.239000,L8,289.41,279.08
2013-10-11 22:13:17.650000,L8,286.67,277.54
2013-10-11 22:13:41.596000,L8,281.22,273.30
2013-11-28 22:13:02.012000,L8,291.94,280.51
2013-11-28 22:13:25.971000,L8,284.44,272.46
2013-12-14 22:12:57.636000,L8,282.40,271.38
2013-12-14 22:13:21.591000,L8,287.63,276.29
2014-01-15 22:12:33.689000,L8,282.58,268.63
2014-01-31 22:12:28.855000,L8,299.13,285.43
2014-01-31 22:12:52.806000,L8,286.61,273.56
2014-03-20 22:12:13.789000,L8,285.61,268.12
2014-05-23 22:11:18.694000,L8,296.35,280.13
2014-07-26 22:11:19.207000,L8,294.20,271.63
2014-07-26 22:11:43.162000,L8,304.16,275.58
2014-08-11 22:11:51.972000,L8,279.23,268.61
2014-10-14 22:11:38.746000,L8,306.19,290.89
2014-10-14 22:12:02.705000,L8,281.42,270.43
2015-01-02 22:11:27.004000,L8,309.59,303.87
2015-01-02 22:11:50.958000,L8,309.60,303.97
2015-01-18 22:11:24.746000,L8,305.98,296.60
2015-01-18 22:11:48.696000,L8,306.93,298.06
2015-04-24 22:10:44.446000,L8,288.41,270.45
2015-04-24 22:11:08.401000,L8,294.63,274.12
2015-05-10 22:10:28.533000,L8,288.08,269.93
2015-05-10 22:10:52.487000,L8,287.78,269.72
2015-06-11 22:10:40.593000,L8,300.87,274.83
2015-06-27 22:10:46.339000,L8,330.28,296.43
2015-06-27 22:11:10.298000,L8,329.45,295.30
2015-07-29 22:11:25.856000,L8,293.90,272.66
2015-12-20 22:11:33.546000,L8,289.33,278.53
2015-12-20 22:11:57.501000,L8,280.02,267.16
2016-01-21 22:11:54.068000,L8,304.71,280.79
2016-03-09 22:11:16.948000,L8,299.78,277.93
2016-04-26 22:11:21.230000,L8,284.76,267.50
2016-05-12 22:10:56.720000,L8,289.67,271.86
2016-05-12 22:11:20.683000,L8,290.43,272.10
2016-06-13 22:11:06.720000,L8,311.18,272.88
2016-06-13 22:11:30.674000,L8,309.85,272.58
2016-06-29 22:11:39.087000,L8,288.74,266.70
2016-08-16 22:11:53.694000,L8,281.96,268.31
2016-10-03 22:11:40.699000,L8,301.14,284.15
2016-11-20 22:11:45.458000,L8,338.96,318.99
2016-11-20 22:12:09.409000,L8,338.99,318.72
2017-03-28 22:11:00.765000,L8,285.47,266.18
2017-07-02 22:11:12.012000,L8,309.29,276.85
2017-08-19 22:11:29.174000,L8,293.62,271.46
2017-09-04 22:11:31.619000,L8,334.25,331.89
2017-09-04 22:11:55.578000,L8,333.99,332.04
2018-01-10 22:11:30.163000,L8,308.90,305.27
2018-01-10 22:11:54.118000,L8,308.96,305.94
2018-02-11 22:11:38.494000,L8,305.36,277.91
2018-02-27 22:11:07.813000,L8,301.16,279.96
2018-03-31 22:11:15.901000,L8,295.65,279.65
2018-07-05 22:10:30.841000,L8,298.15,275.69
2018-07-05 22:10:54.795000,L8,296.15,273.87
2018-09-07 22:11:00.442000,L8,287.71,269.81
2018-09-07 22:11:24.397000,L8,291.70,272.99
2018-10-09 22:11:13.339000,L8,288.86,275.61
2019-02-14 22:11:09.519000,L8,286.61,269.83
2019-02-14 22:11:33.473000,L8,295.51,279.73
2019-03-02 22:11:05.349000,L8,285.00,268.67
2019-03-02 22:11:29.304000,L8,285.16,268.82
2019-05-21 22:11:27.314000,L8,290.98,268.50
2019-07-24 22:11:25.033000,L8,292.58,272.74
2019-07-24 22:11:48.987000,L8,296.23,275.43
2019-09-26 22:11:45.238000,L8,284.21,271.21
2019-11-29 22:11:44.191000,L8,286.23,271.98
2019-12-31 22:11:38.231000,L8,300.58,286.38
2020-01-16 22:11:35.087000,L8,294.31,279.29
