dates,nzd0057-0000,nzd0057-0001,satname
1999-09-27 22:04:25+00:00,316.26,272.35,L7
1999-11-14 22:04:18+00:00,315.68,270.48,L7
2000-01-17 22:04:11+00:00,307.84,273.2033333333333,L7
2000-05-24 22:03:22+00:00,315.93,278.65,L7
2000-08-12 22:02:30+00:00,327.35,278.55,L7
2001-03-08 22:01:45+00:00,325.06,,L7
2001-03-24 22:01:35+00:00,307.385,,L7
2001-08-15 22:00:14+00:00,308.75666666666666,,L7
2001-11-19 21:59:56+00:00,301.185,278.18,L7
2001-12-05 21:59:55+00:00,308.7033333333333,294.59000000000003,L7
2002-01-22 22:00:16+00:00,302.9575,288.81666666666666,L7
2002-07-17 21:59:44+00:00,279.22,277.27,L7
2002-08-18 21:59:33+00:00,286.17,287.4,L7
2002-09-19 21:59:11+00:00,286.17,299.82,L7
2003-03-30 22:00:07+00:00,,279.88,L7
2005-09-19 21:59:32+00:00,,280.83,L5
2013-05-20 22:13:26+00:00,291.7,278.39,L8
2013-06-05 22:13:27+00:00,291.375,278.18,L8
2013-09-25 22:13:41+00:00,290.72,278.48,L8
2013-10-11 22:13:41+00:00,288.345,277.185,L8
2013-11-28 22:13:25+00:00,286.53,275.7025,L8
2014-01-31 22:12:52+00:00,285.42,274.6,L8
2014-03-20 22:12:13+00:00,285.45799999999997,273.304,L8
2014-07-26 22:11:19+00:00,286.10999999999996,271.10333333333335,L8
2014-08-11 22:11:51+00:00,282.42,269.4533333333333,L8
2014-10-14 22:12:02+00:00,280.32500000000005,270.22333333333336,L8
2015-05-10 22:10:28+00:00,288.08,269.93,L8
2015-06-11 22:10:40+00:00,294.475,272.38,L8
2015-06-27 22:11:10+00:00,306.1333333333333,280.02,L8
2015-12-20 22:11:33+00:00,309.39,286.91499999999996,L8
2016-05-12 22:10:56+00:00,289.5,275.195,L8
2016-06-13 22:11:30+00:00,296.28333333333336,274.3233333333333,L8
2016-06-29 22:11:39+00:00,296.08666666666664,270.38,L8
2017-03-28 22:11:00+00:00,285.47,266.18,L8
2017-07-02 22:11:12+00:00,297.38,271.515,L8
2017-09-04 22:11:55+00:00,309.5833333333333,291.69,L8
2018-01-10 22:11:54+00:00,321.475,318.99,L8
2018-07-05 22:10:30+00:00,303.55499999999995,290.815,L8
2018-09-07 22:11:00+00:00,292.92999999999995,272.75,L8
2019-02-14 22:11:33+00:00,291.61,274.77,L8
2019-03-02 22:11:29+00:00,289.46,272.7866666666667,L8
2019-07-24 22:11:48+00:00,292.3,274.66,L8
2019-09-26 22:11:45+00:00,290.22,273.32,L8
2020-02-01 22:11:53+00:00,293.67499999999995,282.42999999999995,L8
2020-04-21 22:10:57+00:00,293.255,281.28499999999997,L8
2020-05-07 22:11:12+00:00,295.03,280.99333333333334,L8
2020-06-08 22:11:00+00:00,305.645,286.08,L8
