dates,nzd0523-0000,nzd0523-0001,nzd0523-0002,nzd0523-0003,nzd0523-0005,nzd0523-0006,nzd0523-0007,nzd0523-0015,nzd0523-0016,nzd0523-0017,nzd0523-0018,nzd0523-0019,nzd0523-0020,nzd0523-0026,nzd0523-0027,nzd0523-0028,nzd0523-0031,nzd0523-0032,nzd0523-0033,nzd0523-0034,nzd0523-0035,nzd0523-0036,nzd0523-0037,nzd0523-0038,nzd0523-0039,nzd0523-0040,nzd0523-0041,nzd0523-0042,nzd0523-0043,nzd0523-0044,nzd0523-0045,nzd0523-0046,nzd0523-0047,nzd0523-0048,nzd0523-0049,nzd0523-0050,nzd0523-0051,nzd0523-0052,nzd0523-0053,nzd0523-0004,nzd0523-0008,nzd0523-0009,nzd0523-0010,nzd0523-0011,nzd0523-0012,nzd0523-0013,nzd0523-0014,nzd0523-0021,nzd0523-0022,nzd0523-0023,nzd0523-0024,nzd0523-0025,nzd0523-0029,nzd0523-0030
2001-12-19 22:15:37+00:00,,,,,,,,,,,,,,,,213.38,,,,,,,,,,,,,,,,233.91,277.26,257.67,252.26,,,,,,,,,,,,,,,,,,,
2002-10-03 22:14:41+00:00,,,,,,,,,,,,,,233.88,246.51,251.63,,,250.72,280.76,,,,214.91,213.58,258.57,,238.14,200.67,262.13,,266.74,280.27,262.57,263.95,136.51,,296.09,289.81,,,,,,,,,234.59,,,,,,
2003-08-11 22:03:51+00:00,,,,253.6,230.23,219.33,252.58,,,,,226.31,256.47,,,,,,,,,,,227.39,221.34,221.1,,,,,,,,,,,,293.27,280.24,274.42,,,,,,,,267.21,285.11,,,,,
2003-10-14 22:04:51+00:00,,,,250.27499999999998,228.21499999999997,225.8,252.21,,,,,240.335,253.08,223.65,252.45,,,,287.11,293.38,,,,227.39,221.34,221.1,,242.46,182.77,288.65,,268.35,282.81,272.04,,160.23,296.7,294.91499999999996,291.57,274.42,,,,,,,,267.21,285.11,,,,,
2004-04-23 22:06:53+00:00,,,,254.74,,,239.48,,,,,,,,,,,,,,,,,,,,213.04,195.03,153.96,,170.2,255.78,241.2,242.2,,,310.4,293.72,275.75,265.02,,,,,,,,,,,,,,
2004-08-20 22:16:18+00:00,,,,251.35500000000002,216.39,216.84,239.48,,,,,233.41,242.9,,,,,,,,,,,200.41,213.78,181.41,206.43,196.69,153.96,,170.2,255.78,249.945,223.575,233.6,,302.5,290.795,275.75,266.41999999999996,,,,,,,,237.84,266.85,262.84,,,,
2004-08-29 22:10:22+00:00,,,,251.35500000000002,216.39,216.84,239.48,,,,,246.06,242.9,,,,,,,,294.23,,299.46,258.17,257.14,181.41,210.71666666666667,202.08,158.41000000000003,,168.92,251.1,256.12666666666667,235.63,233.6,,302.81333333333333,286.27000000000004,279.995,266.41999999999996,,,,,,,,253.22000000000003,272.55,269.41499999999996,,,,
2004-10-07 22:17:29+00:00,,,,251.35500000000002,216.39,216.84,239.48,314.81,,,,246.06,242.9,,,,337.19,336.92,,,294.23,,299.46,258.17,257.14,181.41,210.71666666666667,202.08,158.41000000000003,,168.92,251.1,256.12666666666667,235.63,233.6,,302.81333333333333,286.27000000000004,279.995,266.41999999999996,,,,,327.99,328.82,318.77,253.22000000000003,272.55,269.41499999999996,323.28,328.88,,332.21
2005-04-17 22:20:16+00:00,253.83,250.12,,251.73,236.81,226.11,242.02,,,,,,,,,,,,,,,,,,,,,,,,,238.26,,231.02,203.92,,297.57,271.64,,260.39,,,,,,,,,,,,,,
2005-08-16 22:15:00+00:00,253.83,250.12,,251.73,236.81,220.12,238.02,,,,,,,,,,,,,,,,,,,,,,,,,235.195,,215.305,210.58499999999998,,299.23,267.54499999999996,276.6,260.39,,,,,,,,,,,,,,
2005-09-08 22:21:17+00:00,256.36,245.575,,254.375,240.91500000000002,231.32000000000002,243.91,,,,,268.82,279.8,257.86,262.0,254.34,,,,,312.19,,309.61,321.77,321.4,,228.48,227.02,185.79,,182.94,243.65,273.26,215.305,223.25333333333333,,301.8066666666667,277.56666666666666,280.665,261.91499999999996,267.58,,,,,,,274.9,,,,,,
2005-10-10 22:21:11+00:00,256.36,245.575,,254.375,240.91500000000002,231.32000000000002,243.91,321.21,,,,268.82,279.8,257.86,262.0,254.34,,,,,312.19,,309.61,321.77,321.4,,228.48,227.02,185.79,,182.94,243.65,273.26,215.305,223.25333333333333,,301.8066666666667,277.56666666666666,280.665,261.91499999999996,267.58,,,,329.29,332.74,323.32,274.9,,327.02,324.32,338.16,,
2006-01-23 22:16:59+00:00,263.40999999999997,249.745,,257.195,245.02,233.925,256.9533333333333,321.21,,,,276.065,283.51,272.64,275.98,270.49,298.63,304.8,302.01,319.36,322.27,326.13,320.155,328.59000000000003,326.605,,275.29,227.02,185.79,297.07,182.94,246.34500000000003,292.125,199.59,232.92000000000002,,308.40666666666664,293.7266666666667,280.665,263.44,277.015,,,,329.29,332.74,304.745,283.08,296.93,310.03499999999997,324.32,338.16,,298.38
2006-02-08 22:17:21+00:00,263.40999999999997,249.745,,257.195,245.02,233.925,256.9533333333333,319.01,,,,276.065,283.51,272.64,275.98,270.49,316.77,304.8,302.01,319.36,322.27,326.13,320.155,328.59000000000003,326.605,,275.29,227.02,185.79,297.07,182.94,246.34500000000003,292.125,199.59,232.92000000000002,,308.40666666666664,293.7266666666667,280.665,263.44,294.16,,,,329.58000000000004,330.07,311.22333333333336,283.08,296.93,310.03499999999997,327.68,332.85,,315.99
