dates,nzd0408-0000,nzd0408-0001,nzd0408-0002,nzd0408-0003,nzd0408-0004
2019-08-18 22:07:47+00:00,328.77666666666664,337.78,333.33,323.65250000000003,335.2866666666667
2019-12-08 22:07:56+00:00,337.69,337.78,334.43,322.3066666666667,336.72
2020-03-13 22:07:30+00:00,334.73,,337.5,324.91,339.94
2020-05-16 22:07:03+00:00,326.1933333333333,328.19,331.64,318.925,334.7
2020-06-01 22:07:08+00:00,322.62,328.615,331.64,318.925,334.7
2021-03-16 22:07:27+00:00,326.29,337.26,335.57,328.77,337.31
2021-04-17 22:07:18+00:00,320.745,337.26,331.61,323.46,335.03
2021-05-03 22:07:08+00:00,320.745,337.26,335.64,329.42,339.1433333333334
2021-05-19 22:07:16+00:00,321.33,334.15999999999997,333.5625,326.6375,337.8425
2021-07-22 22:07:36+00:00,321.33,334.15999999999997,334.83599999999996,328.38800000000003,337.8425
2021-08-23 22:07:49+00:00,317.6975,331.4766666666667,332.5466666666667,325.885,336.094
2021-09-24 22:07:56+00:00,314.8333333333333,328.58500000000004,331.942,327.4166666666667,335.79
2022-04-28 22:07:22+00:00,,,333.67,336.43,
2022-05-22 22:07:34+00:00,311.35,319.71,325.675,336.43,331.37
2022-08-26 22:08:10+00:00,309.885,315.12,320.53333333333336,336.43,329.155
2022-09-03 22:07:51+00:00,319.41333333333336,315.12,324.445,330.95000000000005,333.78
2022-10-21 22:08:05+00:00,325.26,322.35999999999996,327.02200000000005,330.49666666666667,333.78
2022-11-22 22:08:05+00:00,329.89666666666665,323.68499999999995,327.92,330.31666666666666,334.98499999999996
2023-01-25 22:08:01+00:00,328.44,323.68499999999995,331.105,329.495,337.6466666666667
2023-02-18 22:07:49+00:00,328.44,323.68499999999995,332.77200000000005,330.58799999999997,337.6466666666667
2023-03-06 22:07:38+00:00,326.88333333333327,325.995,335.65999999999997,328.40999999999997,335.4
2023-03-14 22:07:47+00:00,327.30499999999995,327.5566666666667,335.03999999999996,328.15666666666664,335.93
2023-03-22 22:07:28+00:00,327.15999999999997,327.12,333.47166666666664,327.2914285714286,335.865
2023-04-15 22:07:28+00:00,324.935,324.77799999999996,331.50999999999993,324.10999999999996,334.27200000000005
2023-05-01 22:07:20+00:00,321.7833333333333,322.204,328.9871428571428,316.14375,331.245
2023-06-10 22:07:03+00:00,321.7833333333333,323.22833333333335,329.12375,313.3228571428571,331.245
2023-07-04 22:07:09+00:00,321.7833333333333,323.22833333333335,330.0577777777778,313.3228571428571,331.245
2023-07-20 22:07:13+00:00,321.18285714285713,322.9971428571429,329.226,309.22375,331.4585714285714
2023-08-05 22:07:22+00:00,318.9271428571428,321.96000000000004,327.9555555555556,302.2275,329.15000000000003
2023-08-13 22:07:31+00:00,318.9271428571428,321.96000000000004,328.967,302.2275,329.15000000000003
2023-08-29 22:07:37+00:00,321.97749999999996,324.05111111111114,328.39,297.5514285714286,331.0375
