dates,satname,nzd0518-0000,nzd0518-0001,nzd0518-0002,nzd0518-0003,nzd0518-0004,nzd0518-0005,nzd0518-0006,nzd0518-0007,nzd0518-0008,nzd0518-0009,nzd0518-0010,nzd0518-0020,nzd0518-0021,nzd0518-0022,nzd0518-0023,nzd0518-0024,nzd0518-0025,nzd0518-0026,nzd0518-0027,nzd0518-0028,nzd0518-0029,nzd0518-0030,nzd0518-0031,nzd0518-0032,nzd0518-0033,nzd0518-0034,nzd0518-0035,nzd0518-0036,nzd0518-0037,nzd0518-0038,nzd0518-0039,nzd0518-0040,nzd0518-0041,nzd0518-0042,nzd0518-0043,nzd0518-0044,nzd0518-0045,nzd0518-0046,nzd0518-0047,nzd0518-0048,nzd0518-0049,nzd0518-0050,nzd0518-0051,nzd0518-0052,nzd0518-0053,nzd0518-0054,nzd0518-0055,nzd0518-0056,nzd0518-0057,nzd0518-0058,nzd0518-0059,nzd0518-0060,nzd0518-0061,nzd0518-0062,nzd0518-0063,nzd0518-0064,nzd0518-0065,nzd0518-0066,nzd0518-0067,nzd0518-0068,nzd0518-0069,nzd0518-0070,nzd0518-0071,nzd0518-0072,nzd0518-0073,nzd0518-0074,nzd0518-0075,nzd0518-0076,nzd0518-0077,nzd0518-0078,nzd0518-0079,nzd0518-0080,nzd0518-0081,nzd0518-0082,nzd0518-0083,nzd0518-0084,nzd0518-0085,nzd0518-0086,nzd0518-0087,nzd0518-0088,nzd0518-0089,nzd0518-0090,nzd0518-0091,nzd0518-0092,nzd0518-0093,nzd0518-0094,nzd0518-0095,nzd0518-0096,nzd0518-0097,nzd0518-0098,nzd0518-0099,nzd0518-0100,nzd0518-0101,nzd0518-0102,nzd0518-0103,nzd0518-0104,nzd0518-0105,nzd0518-0106,nzd0518-0107,nzd0518-0108,nzd0518-0109,nzd0518-0110,nzd0518-0111,nzd0518-0112,nzd0518-0113,nzd0518-0114,nzd0518-0115,nzd0518-0116,nzd0518-0117,nzd0518-0118,nzd0518-0119,nzd0518-0120,nzd0518-0121,nzd0518-0122,nzd0518-0123,nzd0518-0124,nzd0518-0125,nzd0518-0126,nzd0518-0127,nzd0518-0128,nzd0518-0129,nzd0518-0130,nzd0518-0131,nzd0518-0132,nzd0518-0133,nzd0518-0134,nzd0518-0135,nzd0518-0136,nzd0518-0137,nzd0518-0138,nzd0518-0139,nzd0518-0140,nzd0518-0141,nzd0518-0142,nzd0518-0143,nzd0518-0144,nzd0518-0145,nzd0518-0146,nzd0518-0147,nzd0518-0148,nzd0518-0149,nzd0518-0150,nzd0518-0151,nzd0518-0152,nzd0518-0153,nzd0518-0154,nzd0518-0155,nzd0518-0156,nzd0518-0157,nzd0518-0158,nzd0518-0159,nzd0518-0160,nzd0518-0161,nzd0518-0162,nzd0518-0163,nzd0518-0164,nzd0518-0165,nzd0518-0166,nzd0518-0167,nzd0518-0168,nzd0518-0169,nzd0518-0170,nzd0518-0171,nzd0518-0172,nzd0518-0173,nzd0518-0174,nzd0518-0175,nzd0518-0176,nzd0518-0177,nzd0518-0178,nzd0518-0179,nzd0518-0180,nzd0518-0181,nzd0518-0182,nzd0518-0183,nzd0518-0016,nzd0518-0017,nzd0518-0018,nzd0518-0019,nzd0518-0184,nzd0518-0011,nzd0518-0012,nzd0518-0013,nzd0518-0014,nzd0518-0015
1999-10-27 22:19:51.122000,L7,,,,,,,,,,,,,,,,,,,,,,,,216.66,223.53,205.03,204.66,,,190.95,201.98,197.13,,192.28,182.48,197.38,196.77,186.79,187.97,179.95,188.56,187.76,173.01,171.06,165.12,142.48,,,,,,,,,,,,149.54,156.52,152.79,152.33,154.85,162.38,168.22,171.05,177.21,189.10,184.94,184.04,198.49,200.38,209.24,163.50,220.76,227.03,227.71,228.49,230.30,239.70,158.73,241.70,242.77,237.49,229.31,226.59,222.03,224.24,223.47,226.18,159.58,144.25,,,,,,,,,218.58,247.09,253.62,212.34,,,,,,,203.43,246.97,230.77,256.45,255.78,263.03,256.54,265.52,271.87,267.00,250.02,253.13,264.72,267.05,256.67,254.77,254.44,249.27,253.90,252.61,257.57,256.27,245.10,193.77,210.08,267.88,262.94,237.55,284.56,284.70,280.63,281.18,281.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-30 22:19:45.690000,L7,,,,,,,,,,,,238.90,237.23,240.82,244.84,239.95,168.69,179.22,179.63,180.80,200.90,171.94,,179.23,170.19,240.31,234.08,,,,,,,,,,,174.01,223.89,223.88,201.33,215.56,211.47,206.61,211.68,203.63,200.63,202.71,200.54,197.80,202.03,197.25,197.01,198.48,193.61,193.75,194.18,192.10,195.20,196.22,192.58,195.04,165.19,203.26,202.16,212.87,207.97,214.10,203.74,201.40,202.49,192.56,,210.55,222.79,219.91,221.80,220.17,222.40,223.18,225.39,223.38,220.84,215.12,204.59,196.64,206.82,178.39,184.72,195.23,166.27,,,,,,,,,,,,,,,,,,,,,,234.88,233.49,235.70,222.68,236.98,248.29,227.96,,,243.32,253.21,269.63,284.96,273.10,284.79,228.69,238.96,250.25,269.90,220.14,257.70,255.46,281.71,257.46,276.67,276.58,252.87,209.17,264.38,283.01,188.66,,,,,,,,,251.67,254.30,242.00,265.77,184.14,282.54,280.42,,,,,,,,,,,,,,,,220.79,282.14,,,188.74,232.34,249.51,,,,,
2000-04-20 22:19:15.385000,L7,,,,265.23,267.97,269.50,267.89,273.85,271.32,269.16,,298.53,304.05,299.32,318.17,321.05,328.85,322.48,337.45,331.29,344.56,379.91,384.64,357.08,311.44,311.69,311.85,312.69,311.08,303.69,334.45,302.40,290.18,292.65,296.47,348.64,285.63,275.44,284.98,279.61,272.28,275.82,251.81,242.71,248.75,243.51,240.74,232.78,242.92,239.97,237.16,236.25,238.47,235.94,249.93,235.46,239.91,238.54,239.98,236.29,242.55,245.00,245.27,241.16,246.08,245.07,244.20,242.70,237.04,376.16,381.35,214.90,220.42,227.78,231.89,226.65,224.00,227.42,239.56,249.52,246.38,240.23,235.22,226.19,221.66,215.38,223.14,212.13,222.58,235.61,194.04,181.10,,307.05,314.90,252.51,233.47,232.30,235.99,227.72,243.90,249.30,238.88,245.19,244.00,247.76,260.54,270.23,271.00,254.20,257.77,256.12,261.46,251.99,251.99,249.18,257.87,264.04,259.29,240.45,241.23,248.45,260.61,247.76,242.62,246.59,246.08,249.72,249.44,252.04,258.74,244.52,257.21,259.37,262.56,255.50,261.99,286.46,288.30,286.07,269.86,286.14,271.84,244.77,255.80,274.50,264.83,272.36,277.75,281.04,274.23,280.47,282.49,271.70,289.15,282.74,296.03,299.19,229.63,285.78,267.23,284.16,262.16,255.35,262.25,250.71,255.58,239.29,222.85,254.73,249.48,260.04,294.60,321.68,313.44,326.49,311.00,281.32,301.83,469.30,,,325.34,311.43,349.23
2000-05-22 22:18:57.481000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.03,210.07,199.23,204.73,204.01,218.10,206.06,216.75,215.35,209.61,208.12,175.28,191.31,197.66,157.70,186.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.36,234.05,244.75,223.71,200.39,182.30,247.22,176.14,252.06,270.04,,,,,,,,,,,238.94,232.20,237.08,224.79,252.70,249.49,,,,,,,,,,,,,,181.67,247.73,186.65,290.58,,,,,,,,,,
2000-06-07 22:18:48.627000,L7,,,,324.27,290.10,291.43,338.73,337.75,331.21,316.46,319.84,,,164.04,165.01,189.50,173.19,186.86,186.79,198.10,183.08,180.08,166.86,174.93,162.91,176.97,244.20,253.85,,,,153.07,154.72,166.53,163.65,163.62,165.08,154.12,170.21,162.33,157.79,156.46,,,,,,,,,,,,,,,,,,,,,,147.89,153.15,160.88,172.63,187.52,190.92,191.56,196.92,214.75,201.10,221.56,223.58,221.50,220.62,221.20,233.20,246.89,245.81,238.52,240.87,225.94,468.71,484.94,497.42,502.76,201.08,207.12,187.23,291.51,361.70,459.90,508.61,407.04,406.64,431.70,229.39,214.73,231.59,191.06,241.30,175.92,189.73,177.06,459.79,261.14,295.64,,,,,,,,,,,,,,,,,,,,,,,,226.04,241.88,249.55,259.68,271.01,279.97,286.68,283.06,283.29,294.42,286.26,241.57,258.92,275.82,257.65,270.23,268.41,286.24,277.19,270.41,270.98,269.85,270.03,269.26,287.45,297.14,235.40,280.85,276.68,289.81,262.06,248.80,261.57,255.62,250.80,233.06,239.68,231.74,233.37,252.40,288.59,315.04,316.34,,,,,330.30,342.34,338.26,,,
2000-09-27 22:17:24.534000,L7,,,,,,,,,,,,259.76,252.89,261.40,268.55,274.13,275.06,272.28,269.73,306.27,288.82,281.85,284.88,280.77,284.93,288.81,266.43,275.17,283.22,281.60,275.05,271.52,264.86,281.93,263.30,255.68,187.41,195.40,194.44,197.61,199.33,181.76,180.26,175.28,177.07,218.75,222.40,222.55,217.94,213.16,220.25,210.92,214.72,213.49,209.30,208.22,,,426.90,504.39,409.55,,,,157.33,158.71,182.84,221.62,194.83,203.79,209.50,197.03,158.87,218.05,219.83,217.89,218.56,223.42,226.61,233.44,234.13,229.67,228.15,218.13,211.06,198.42,209.43,185.29,206.43,211.59,178.15,,,,,,,,,,,,,,,,,,,157.03,167.84,226.38,243.36,239.93,237.10,228.54,238.54,247.65,238.70,144.91,225.83,216.50,242.68,231.99,231.86,232.76,220.60,190.32,218.41,240.06,248.17,211.90,240.05,239.36,247.86,243.18,225.23,272.58,262.71,264.74,256.41,282.41,,,,,,243.74,253.98,247.88,248.40,258.31,265.66,254.66,269.87,268.57,280.09,279.21,193.57,,,,194.59,203.26,236.80,215.51,214.51,188.42,190.54,172.44,205.47,235.33,264.80,306.26,296.47,,,,231.88,135.51,,,,,
2000-10-29 22:17:19.582000,L7,259.29,255.18,262.82,271.33,281.23,274.73,277.89,278.93,285.10,279.73,274.24,169.33,249.22,292.53,331.32,330.00,314.33,356.89,314.82,312.27,325.88,315.32,338.86,352.81,321.44,336.72,341.29,355.89,306.01,302.22,297.14,299.95,294.34,312.63,298.54,306.90,380.06,384.36,393.48,344.96,290.89,275.99,276.42,269.09,364.00,432.25,402.03,308.73,320.82,346.41,353.32,347.40,392.38,338.74,363.69,398.54,255.13,251.37,257.38,248.62,252.90,256.40,252.17,249.03,249.37,248.26,253.05,253.15,256.83,262.83,263.85,255.28,253.35,270.30,272.77,273.62,266.80,272.42,257.21,258.28,257.00,253.30,250.01,243.79,232.93,250.25,231.65,250.34,238.69,488.61,497.29,493.04,289.23,309.19,326.63,321.73,316.68,305.36,317.27,323.99,323.80,333.50,330.85,326.06,325.79,327.16,324.21,324.21,328.67,327.91,338.12,338.17,339.76,341.99,346.66,348.00,350.90,358.08,360.59,362.82,357.45,353.25,351.18,348.93,341.36,346.23,341.25,342.40,331.54,326.92,327.65,333.85,337.35,346.05,356.52,357.74,358.20,361.30,352.70,361.55,368.60,370.68,356.96,354.41,291.43,294.49,293.15,299.33,297.54,296.17,294.61,294.87,301.89,295.09,304.46,315.30,304.34,308.83,344.79,303.25,320.04,318.34,298.71,316.15,285.29,316.09,312.15,335.85,353.78,350.29,384.60,372.29,411.83,489.52,514.87,,,,,,,,,,
2000-12-16 22:17:23.176000,L7,370.43,282.86,305.63,221.15,274.65,288.81,282.84,295.28,291.66,290.82,292.87,178.73,260.40,319.73,343.81,330.32,320.02,321.44,327.64,331.22,320.73,317.33,312.26,299.53,300.97,299.22,296.06,299.02,303.88,490.11,485.05,482.78,294.87,290.72,293.96,286.80,283.87,285.03,281.97,277.50,282.09,273.01,270.63,270.90,268.12,266.72,259.93,258.84,260.86,263.92,260.52,265.94,256.17,245.53,234.94,238.09,244.47,255.24,258.00,250.84,233.95,226.18,249.97,259.98,266.51,264.23,270.94,278.84,285.47,292.46,282.83,275.41,277.71,294.92,299.96,302.05,314.32,294.64,291.80,268.03,270.12,272.33,281.65,274.75,261.81,277.41,272.69,275.75,246.33,245.49,230.10,223.02,146.19,288.90,283.35,285.74,276.91,296.31,305.24,318.67,331.75,332.30,334.52,336.48,349.87,347.64,343.63,331.32,332.62,340.61,342.36,325.87,340.94,339.45,342.09,337.35,332.74,342.05,409.54,429.59,424.66,359.83,334.91,351.24,339.24,343.14,340.46,338.88,329.71,327.40,326.25,330.57,336.93,340.92,352.47,352.29,358.24,331.46,268.09,205.37,251.59,275.04,169.32,,329.54,321.80,331.20,322.30,307.57,304.77,313.17,339.07,324.18,318.47,325.99,329.70,317.53,320.75,351.21,329.74,346.98,349.66,352.97,348.25,344.49,349.11,345.61,345.19,349.10,355.35,360.80,377.67,425.96,489.99,476.92,146.29,158.10,168.39,154.42,,,,,,
2001-02-18 22:17:22.935000,L7,457.18,438.38,333.95,360.85,370.68,293.39,279.32,328.63,325.07,,,,,,,,,,,,,,,,,,,154.91,289.86,286.28,299.79,461.12,299.84,304.59,301.84,379.76,293.08,280.94,284.28,332.23,281.91,283.89,276.19,273.92,271.27,257.64,265.16,261.94,243.41,266.96,273.83,266.84,228.29,227.22,257.80,281.88,370.66,373.46,375.06,377.11,373.35,264.03,253.50,268.21,257.84,262.13,282.41,338.65,275.00,246.09,369.67,384.82,444.57,426.87,392.58,262.95,452.72,301.95,398.69,352.33,422.85,406.56,519.72,437.94,406.87,,,,,,,,,,,,148.66,222.09,258.45,254.09,286.30,271.71,304.77,311.33,301.95,315.36,309.38,295.77,309.69,330.46,329.65,289.14,290.44,292.96,332.82,337.74,345.86,343.31,344.41,346.73,336.86,343.99,332.59,338.36,334.21,333.83,327.18,301.43,325.07,321.47,319.67,312.76,336.17,345.85,344.68,291.16,305.67,302.61,309.74,304.94,303.48,301.22,296.01,266.93,257.85,256.76,191.74,162.97,177.22,154.82,,,,,,,,,,,,,,,,263.98,286.56,285.47,322.13,318.10,321.72,329.64,374.93,444.00,335.00,,,,,468.34,,,,,
2001-03-06 22:17:18.578000,L7,245.43,208.03,264.29,264.00,265.88,265.84,258.58,,,,,,206.17,290.33,308.61,301.12,300.42,294.16,331.94,330.07,313.71,324.91,313.27,314.69,301.98,275.53,269.37,259.60,294.07,279.58,279.68,278.47,284.29,280.77,295.09,286.50,275.13,281.09,277.46,272.06,274.95,263.10,260.59,249.33,259.58,252.55,246.85,245.53,250.87,244.97,261.72,258.77,243.32,239.78,239.86,251.17,258.27,280.77,284.16,269.96,257.42,493.14,474.54,508.42,387.00,385.95,426.34,340.16,316.17,300.78,283.03,454.29,464.52,274.96,338.52,334.90,328.05,264.31,253.54,256.21,253.11,250.76,244.24,236.16,233.48,228.69,232.86,231.93,229.51,244.35,215.55,214.17,,197.45,288.97,289.17,267.55,276.54,312.77,314.30,310.53,308.19,331.17,320.44,312.03,318.91,301.69,283.20,291.48,283.55,321.67,282.23,281.62,267.38,269.85,264.16,336.38,339.99,325.75,342.95,357.38,345.30,351.41,320.72,329.15,323.26,329.96,316.78,316.14,316.35,305.51,313.15,296.70,279.24,274.98,269.22,374.55,364.16,361.55,293.08,291.09,301.10,296.28,268.73,280.50,292.69,285.64,296.20,292.69,296.24,289.87,293.10,291.42,288.96,301.66,299.24,302.52,303.56,325.43,304.05,313.52,316.37,304.67,298.63,295.32,282.39,267.92,262.56,316.74,322.64,487.71,376.32,435.55,442.89,317.02,,,,,453.03,,,,,
