dates,satname,nzd0354-0000,nzd0354-0001,nzd0354-0003,nzd0354-0004,nzd0354-0005,nzd0354-0006,nzd0354-0007,nzd0354-0008,nzd0354-0009,nzd0354-0010,nzd0354-0011,nzd0354-0013,nzd0354-0014,nzd0354-0015,nzd0354-0025,nzd0354-0026,nzd0354-0027,nzd0354-0028,nzd0354-0029,nzd0354-0030,nzd0354-0031,nzd0354-0032,nzd0354-0033,nzd0354-0034,nzd0354-0035,nzd0354-0036,nzd0354-0037,nzd0354-0038,nzd0354-0039,nzd0354-0040,nzd0354-0041,nzd0354-0042,nzd0354-0043,nzd0354-0044,nzd0354-0045,nzd0354-0046,nzd0354-0047,nzd0354-0048,nzd0354-0049,nzd0354-0050,nzd0354-0051,nzd0354-0052,nzd0354-0053,nzd0354-0054,nzd0354-0055,nzd0354-0056,nzd0354-0057,nzd0354-0058,nzd0354-0002,nzd0354-0012,nzd0354-0016,nzd0354-0017,nzd0354-0018,nzd0354-0019,nzd0354-0020,nzd0354-0021,nzd0354-0022,nzd0354-0023,nzd0354-0024,nzd0354-0059,nzd0354-0060,nzd0354-0061,nzd0354-0062,nzd0354-0063,nzd0354-0064,nzd0354-0065
2001-02-13 21:57:39.607000,L7,,,,,,,,,,,,,,,,,,,,,,306.61,399.80,337.45,296.14,292.16,320.31,332.68,331.40,301.76,296.28,,,,,,,,,322.73,347.00,394.33,383.76,329.53,,,,,,,,,,,,,,,,,,299.44,396.67,419.66,,
2001-04-02 21:57:18.479000,L7,,,,,,329.77,357.43,344.25,340.84,330.22,316.03,,,,,,,,,,,,374.92,416.45,384.28,394.89,386.62,388.26,399.64,388.35,393.28,,380.19,353.67,366.30,,,,,313.38,299.47,342.29,,,,,,,,321.91,,,,,,,,,,,,,,,,
2001-06-05 21:56:52.440000,L7,,,,,,,,,,,368.06,401.14,379.78,,389.98,384.83,363.57,373.33,359.21,345.96,363.70,363.47,353.82,353.50,330.46,,,,,,,,,,,,,,,,,,,,,,,,,399.83,,,399.10,402.29,407.52,391.04,384.91,393.38,375.33,,,,,,,
2001-09-25 21:55:40.572000,L7,,,,,,,,,,,,,,,,,,415.37,406.92,404.81,402.37,398.59,398.48,399.99,391.38,383.54,375.13,370.53,372.56,365.18,358.60,349.48,337.71,335.55,326.83,330.15,323.60,316.74,300.18,308.21,295.85,296.25,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-11 21:55:21.747000,L7,,,,,,,,,,,,,,,,,414.22,408.50,412.11,406.62,403.99,403.55,401.11,395.89,386.44,384.83,374.13,413.24,403.86,404.33,391.15,381.27,379.91,370.17,361.69,405.20,391.84,376.40,391.47,386.61,373.08,367.09,371.21,363.92,366.69,350.97,348.91,356.62,,,,,,,,,,,,339.42,335.37,315.87,307.39,310.20,303.78,286.35
2001-12-30 21:55:49.115000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.90,389.27,392.78,373.93,357.86,376.87,363.11,342.46,337.56,,,,,,,,,,,,327.20,316.24,307.88,307.60,296.77,284.21,
2002-01-15 21:55:59.365000,L7,,,,,,,,,,,,,,,,,417.90,409.36,395.97,400.13,398.91,396.63,391.89,391.28,380.68,379.53,374.09,368.62,359.33,358.56,345.12,341.18,329.30,333.10,287.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-04 21:56:09.860000,L7,,,,,,,,,,,,,,,,,,413.88,410.74,397.88,400.93,403.79,394.48,397.65,387.53,386.42,375.35,366.67,364.54,352.10,359.63,366.17,345.48,363.31,326.20,333.76,323.82,324.08,,,,324.14,328.08,330.89,316.69,300.97,299.10,283.43,,,,,,,,,,,,,,,,,,
2002-05-07 21:56:03.729000,L7,,,,,,,378.71,389.64,370.49,327.89,344.80,,,,359.06,356.80,367.73,357.29,344.64,348.40,295.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.02,306.75,406.92,299.10,390.38,391.42,,,,360.87,,,,,,,
2002-08-27 21:55:12.096000,L7,,,,,,,,,,,,364.22,351.58,333.97,,,400.66,389.63,386.81,377.01,383.54,375.16,372.28,380.60,371.03,360.28,352.33,346.85,347.42,336.58,322.08,316.72,301.15,313.77,371.40,385.40,368.70,408.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
