dates,satname,nzd0308-0000,nzd0308-0001,nzd0308-0002,nzd0308-0003,nzd0308-0004,nzd0308-0005,nzd0308-0006,nzd0308-0007,nzd0308-0008,nzd0308-0009,nzd0308-0010,nzd0308-0011,nzd0308-0012,nzd0308-0013,nzd0308-0014,nzd0308-0015,nzd0308-0016,nzd0308-0017,nzd0308-0018,nzd0308-0023,nzd0308-0024,nzd0308-0025,nzd0308-0026,nzd0308-0027,nzd0308-0028,nzd0308-0029,nzd0308-0019,nzd0308-0020,nzd0308-0021,nzd0308-0022,nzd0308-0030
1999-09-22 21:47:24.746000,L7,,,,,,,,,,,,,,,,,,244.29,211.49,90.09,136.49,153.43,124.61,,224.29,244.84,203.10,183.59,128.09,101.26,247.30
1999-09-29 21:53:40.155000,L7,359.18,363.69,365.07,360.76,356.78,346.39,342.54,349.51,358.73,350.83,333.22,315.59,313.39,313.85,328.64,329.68,345.53,327.74,276.69,184.08,180.62,210.64,204.12,230.28,272.09,274.20,,,,,
1999-10-24 21:47:20.173000,L7,327.72,343.12,344.67,340.51,328.77,323.96,317.36,322.21,323.23,310.77,301.79,292.82,292.89,288.10,290.57,295.76,297.66,283.49,240.80,148.84,138.90,164.65,177.83,114.79,246.63,267.34,210.09,191.14,171.27,162.02,271.43
2000-01-19 21:53:25.812000,L7,,,,,,,,,,,,,,,,,,,,,,231.32,212.58,217.01,256.36,265.77,,,,,218.05
2000-05-03 21:46:43.127000,L7,,,,,,,,,,,,,,,,288.46,288.47,272.60,237.93,152.69,141.89,163.83,149.47,107.44,223.72,247.04,202.31,192.19,165.43,160.68,244.80
2000-05-26 21:52:36.566000,L7,,,,,,,278.28,291.93,325.11,337.69,341.95,347.51,,,,,,,,,,238.06,201.81,217.10,252.61,273.68,,,,,284.84
2000-07-13 21:52:07.753000,L7,,,,,383.78,383.57,372.16,345.12,349.44,350.81,328.30,336.99,,,,326.14,330.25,320.45,274.27,178.23,163.24,178.89,183.94,250.79,,,229.19,199.35,197.73,193.74,
2000-07-29 21:51:50.349000,L7,,,,,,,,,,,,,,,,266.87,275.88,244.10,218.44,139.86,131.73,150.64,118.69,,180.35,236.59,190.65,182.07,158.21,156.99,242.95
2000-08-07 21:45:32.940000,L7,388.59,390.64,384.55,370.65,351.75,359.72,338.55,330.82,334.33,337.13,332.33,322.75,313.69,317.49,334.62,346.48,345.22,337.29,295.81,,,,,,,,262.03,214.97,212.41,,
2000-08-14 21:51:44.223000,L7,322.41,337.11,339.24,332.57,324.51,326.22,301.48,,,,,,,,292.08,299.54,303.57,278.38,245.68,153.67,151.29,173.80,178.09,186.46,244.32,253.51,214.07,195.01,176.17,170.48,256.88
2000-09-15 21:51:13.624000,L7,,,,,,,,,,,,,,,,,350.87,344.73,302.64,130.90,137.07,,,,,,229.53,161.36,151.47,121.86,
2000-10-26 21:44:46.815000,L7,318.69,336.71,336.25,334.13,325.21,319.96,313.29,318.97,327.75,313.92,300.70,287.45,282.19,283.98,283.70,290.31,290.79,273.06,240.85,149.23,137.65,162.44,175.42,107.00,236.62,249.15,207.01,185.91,172.02,167.27,255.85
2000-12-13 21:44:52.270000,L7,304.58,325.22,326.26,319.58,312.53,304.18,299.09,305.73,307.09,297.55,294.77,285.06,279.65,274.16,279.49,280.46,280.11,269.33,226.68,146.95,139.90,155.55,163.79,123.72,213.67,241.63,201.42,179.27,164.59,155.46,253.24
2001-01-05 21:51:04.492000,L7,,,,,,,,,,,,273.04,263.42,272.79,282.58,283.88,283.55,267.87,225.04,151.43,151.45,170.68,187.51,168.74,229.86,245.83,195.77,184.28,164.50,149.96,250.67
2001-01-14 21:44:57.122000,L7,329.56,346.71,347.37,346.24,342.74,336.55,329.74,335.61,341.57,335.78,325.49,307.53,302.59,307.40,316.51,326.75,333.40,317.33,282.19,,,,,,,259.39,242.25,204.55,202.61,,256.94
2001-01-21 21:51:10.359000,L7,,,,,,292.31,286.01,299.96,289.50,282.46,269.05,277.75,258.15,272.88,292.87,285.78,284.58,269.69,224.46,153.91,157.32,177.72,193.57,181.91,238.07,202.53,202.20,200.78,195.72,196.42,217.11
2001-03-10 21:50:58.754000,L7,360.53,386.79,391.20,362.13,340.24,340.68,329.22,338.97,,,,,,,,,345.11,346.43,300.85,,,232.00,210.85,219.75,247.76,287.18,257.20,207.59,196.85,200.04,256.05
2001-04-04 21:44:30.925000,L7,259.15,331.13,333.55,314.94,310.15,,,,,,,,,,288.63,291.45,289.79,272.89,226.52,161.20,147.13,163.11,156.90,143.05,227.98,245.54,201.96,185.03,169.97,161.58,247.86
2001-04-20 21:44:34.614000,L7,,,,,,,,,,,,,,,,289.06,289.58,267.68,224.74,142.71,138.18,161.07,148.92,114.35,218.86,243.09,207.39,185.85,165.60,154.65,205.39
2001-04-27 21:50:43.832000,L7,346.71,370.12,376.70,369.87,358.21,351.41,346.57,360.07,363.99,359.30,339.45,320.52,315.83,321.96,334.04,,,,,,,232.10,198.52,217.02,253.86,261.06,,,,,292.27
2001-05-13 21:50:33.259000,L7,332.89,344.98,347.23,345.23,336.28,338.44,316.03,323.75,,,,,,,,,,331.07,287.18,,,,,,,,239.67,207.73,196.90,201.24,
2001-06-07 21:44:06.693000,L7,,,,,,,,,,,,,,,,,349.64,348.20,280.98,,,,,,,,241.26,206.00,199.78,204.90,
2001-07-25 21:43:42.718000,L7,342.50,357.04,362.49,353.43,340.40,340.08,329.60,331.51,,,,,,311.90,273.33,332.94,336.18,321.86,269.81,,,,,,,,238.70,210.63,201.06,203.86,
2001-09-11 21:43:02.212000,L7,,,,366.24,397.36,378.82,371.38,,,,,,,,,,,,,,,,225.94,221.25,267.60,282.94,,,,,275.04
2001-09-27 21:42:53.232000,L7,,,,,,,,,,280.20,268.32,273.12,245.33,254.66,,,,,,139.25,128.56,151.68,125.25,,218.63,246.17,189.29,176.28,163.59,154.37,239.39
2001-10-29 21:42:45.257000,L7,319.39,336.85,334.46,333.27,327.21,319.60,314.35,320.30,325.24,313.33,301.73,291.32,288.55,287.56,285.34,289.92,286.08,278.38,240.16,84.30,126.99,149.01,154.71,107.09,238.12,254.21,131.89,128.41,109.72,91.31,250.05
