dates,satname,nzd0353-0000,nzd0353-0001,nzd0353-0002,nzd0353-0003,nzd0353-0004,nzd0353-0005,nzd0353-0006,nzd0353-0007,nzd0353-0008,nzd0353-0009,nzd0353-0010,nzd0353-0011,nzd0353-0012,nzd0353-0013,nzd0353-0014,nzd0353-0015,nzd0353-0016,nzd0353-0017,nzd0353-0018,nzd0353-0019,nzd0353-0020,nzd0353-0021,nzd0353-0022,nzd0353-0023,nzd0353-0024,nzd0353-0025,nzd0353-0026,nzd0353-0027,nzd0353-0028,nzd0353-0029,nzd0353-0030,nzd0353-0031,nzd0353-0032,nzd0353-0033,nzd0353-0034,nzd0353-0035,nzd0353-0036,nzd0353-0037,nzd0353-0038,nzd0353-0039,nzd0353-0040,nzd0353-0041,nzd0353-0042,nzd0353-0043,nzd0353-0044,nzd0353-0045,nzd0353-0046,nzd0353-0047,nzd0353-0054,nzd0353-0055,nzd0353-0056,nzd0353-0057,nzd0353-0058,nzd0353-0059,nzd0353-0060,nzd0353-0061,nzd0353-0062,nzd0353-0063,nzd0353-0064,nzd0353-0065,nzd0353-0066,nzd0353-0067,nzd0353-0068,nzd0353-0069,nzd0353-0070,nzd0353-0071,nzd0353-0072,nzd0353-0073,nzd0353-0074,nzd0353-0075,nzd0353-0076,nzd0353-0077,nzd0353-0078,nzd0353-0079,nzd0353-0080,nzd0353-0081,nzd0353-0082,nzd0353-0083,nzd0353-0084,nzd0353-0085,nzd0353-0086,nzd0353-0087,nzd0353-0088,nzd0353-0089,nzd0353-0090,nzd0353-0091,nzd0353-0092,nzd0353-0093,nzd0353-0094,nzd0353-0095,nzd0353-0096,nzd0353-0097,nzd0353-0098,nzd0353-0099,nzd0353-0100,nzd0353-0101,nzd0353-0102,nzd0353-0103,nzd0353-0104,nzd0353-0105,nzd0353-0106,nzd0353-0107,nzd0353-0108,nzd0353-0109,nzd0353-0110,nzd0353-0111,nzd0353-0112,nzd0353-0113,nzd0353-0114,nzd0353-0118,nzd0353-0119,nzd0353-0120,nzd0353-0121,nzd0353-0122,nzd0353-0123,nzd0353-0125,nzd0353-0126,nzd0353-0127,nzd0353-0128,nzd0353-0129,nzd0353-0130,nzd0353-0131,nzd0353-0132,nzd0353-0133,nzd0353-0134,nzd0353-0135,nzd0353-0136,nzd0353-0137,nzd0353-0138,nzd0353-0139,nzd0353-0140,nzd0353-0141,nzd0353-0142,nzd0353-0143,nzd0353-0144,nzd0353-0145,nzd0353-0146,nzd0353-0147,nzd0353-0148,nzd0353-0149,nzd0353-0150,nzd0353-0151,nzd0353-0152,nzd0353-0051,nzd0353-0052,nzd0353-0053,nzd0353-0115,nzd0353-0116,nzd0353-0154,nzd0353-0155,nzd0353-0156,nzd0353-0124,nzd0353-0153,nzd0353-0162,nzd0353-0157,nzd0353-0158,nzd0353-0159,nzd0353-0160,nzd0353-0117,nzd0353-0161,nzd0353-0048,nzd0353-0049,nzd0353-0050
2000-05-26 21:53:00.524000,L7,404.78,441.03,471.49,487.90,495.97,490.75,490.81,494.88,490.35,492.42,487.03,466.41,443.14,440.85,441.24,449.26,460.81,441.31,430.67,433.73,426.90,447.15,436.19,436.83,448.12,447.15,458.74,427.76,423.57,424.03,417.67,418.71,428.35,411.20,425.88,384.99,377.81,371.38,326.64,409.18,419.43,409.29,413.39,342.05,404.96,261.29,205.01,191.37,327.54,312.72,295.01,235.92,368.52,375.05,383.79,427.29,452.75,458.13,485.31,485.47,472.88,422.77,420.68,412.68,399.82,364.83,353.75,356.59,355.41,366.12,367.68,381.55,364.33,360.88,373.15,361.77,346.13,349.91,355.05,349.20,358.96,391.33,395.27,392.87,386.87,381.12,388.07,371.75,377.08,222.64,237.72,228.59,251.59,260.18,261.60,256.48,256.71,264.71,498.87,515.18,520.58,526.41,528.17,528.80,429.73,421.70,404.19,480.96,492.88,496.00,522.73,471.10,472.66,473.18,501.88,516.34,473.32,453.81,446.55,449.88,445.88,419.85,426.41,415.97,424.81,408.65,399.64,376.29,386.48,375.95,351.59,248.41,167.27,362.77,331.44,334.26,326.41,317.13,323.06,327.64,334.99,309.27,310.43,,,,,,,,,,,,,,,,,,,,
2000-06-18 21:59:03.789000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535.53,479.76,464.97,,,459.46,450.60,441.56,432.98,418.19,427.63,423.51,455.30,445.03,465.61,463.44,438.49,417.74,415.19,405.03,421.13,438.51,422.79,451.04,440.28,464.24,458.37,475.93,462.24,445.89,435.70,438.28,501.96,467.67,476.76,479.16,491.88,495.39,481.87,480.00,478.09,484.93,484.20,450.10,262.13,261.69,253.07,275.92,,,,,,,,,421.79,406.45,426.47,392.51,380.93,537.83,394.80,,,,389.66,386.53,386.82,487.99,465.11,404.38,519.70,508.38,337.28,334.87,481.41,459.99,294.10,292.95,268.16,257.67,232.45,242.78,211.90,442.68,432.31,429.96,418.32,394.46,388.76,377.69,365.43,367.27,370.15,424.10,445.58,404.41,396.94,414.26,510.07,475.33,474.97,527.68,526.63,358.61,386.10,384.33,369.99,410.21,466.38,385.35,383.58,,367.76,516.33,421.25,,,
2000-07-13 21:52:31.712000,L7,421.63,455.69,504.17,509.65,509.08,508.70,509.17,511.71,503.78,509.70,534.23,482.15,444.24,443.96,443.37,459.14,467.43,453.66,431.55,435.83,430.30,443.68,445.93,440.34,449.32,453.30,468.15,448.49,425.08,415.24,427.62,426.76,433.95,418.45,438.39,394.82,386.05,376.78,466.06,484.50,478.36,491.66,503.84,490.09,512.35,368.75,464.32,212.79,241.77,419.11,469.81,450.33,468.77,474.75,468.56,474.64,495.65,484.41,495.03,500.61,485.89,475.80,477.47,479.59,480.84,482.85,474.88,497.57,484.95,482.54,299.01,470.00,484.13,471.77,487.49,481.25,471.50,478.10,476.73,469.41,433.43,459.60,471.46,468.95,459.95,472.51,437.47,470.09,481.36,480.04,493.42,491.64,496.12,499.68,509.05,521.97,513.10,515.17,514.09,523.25,529.76,535.28,541.15,,489.02,423.13,548.59,489.35,492.53,499.73,521.53,470.53,475.33,473.73,496.30,514.13,480.76,452.49,447.19,456.65,450.30,418.12,432.19,428.81,429.57,412.97,405.63,375.10,383.58,379.45,361.69,249.83,167.49,359.62,339.34,340.47,335.43,329.51,324.19,330.70,329.07,325.59,314.99,433.93,471.71,267.78,479.46,499.94,462.46,493.74,177.41,,,,,,,,,,,,
2000-07-29 21:52:14.316000,L7,424.88,464.17,472.45,483.75,485.42,491.75,488.51,500.32,492.30,498.67,489.71,488.51,449.15,445.26,444.19,457.68,474.54,449.23,436.68,445.65,440.38,457.44,445.65,440.84,451.29,452.64,470.58,441.45,429.15,426.39,426.38,427.60,431.93,423.49,438.17,407.95,393.21,384.87,345.22,394.56,392.85,389.23,397.08,415.95,411.57,271.52,210.25,183.92,321.99,303.90,281.41,,,286.81,287.94,311.59,421.37,437.95,469.42,484.67,457.52,328.42,340.85,331.99,331.11,352.89,345.52,340.16,,,,,,,,,,,,,,383.01,378.13,391.03,381.15,228.27,383.64,358.79,220.20,228.14,243.15,235.92,256.71,268.45,377.04,374.27,395.89,423.52,419.01,519.38,517.23,431.63,470.13,467.14,500.11,424.08,532.42,485.30,499.51,499.08,518.44,472.55,485.79,477.36,494.72,493.54,478.69,486.78,454.94,453.98,452.30,427.23,436.37,423.46,430.55,417.85,409.18,388.42,391.59,380.44,359.69,261.80,172.84,367.01,337.67,340.69,337.28,325.41,332.44,333.62,341.01,325.17,323.33,,,,481.40,498.41,467.21,475.59,,467.64,349.63,207.57,,,,,,,,,
2000-08-05 21:58:20.584000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.71,460.85,,,,,,,,,,,,,,538.00,460.23,435.46,430.15,478.43,,,,,,,,,,,,,,,,462.42,465.72,464.69,448.16,443.43,435.84,419.53,415.13,415.35,391.38,391.97,401.54,395.85,392.87,393.92,406.82,432.77,417.48,449.73,502.79,415.27,429.40,431.68,450.00,465.38,445.77,511.07,512.41,524.34,,476.19,392.57,394.34,403.07,411.88,487.86,484.74,468.37,439.31,448.70,459.22,353.63,406.18,519.41,508.40,495.33,488.55,486.52,484.04,475.40,464.01,452.13,442.05,430.32,415.38,402.16,398.04,391.08,388.26,385.12,391.30,387.65,391.99,391.03,,,,,419.21,381.40,373.35,366.33,491.02,385.81,442.98,360.53,370.17,367.08,379.25,498.68,404.29,,,
2000-08-14 21:52:08.182000,L7,,,,,,,,,,,,,,,,198.62,299.67,343.38,,,,,,,,,,,,,,,282.21,331.19,314.96,278.93,302.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.93,168.21,184.75,194.80,143.19,,,,,,,,,,,,,369.42,412.54,,,,,,,271.14,382.95,294.94,,,,,267.74,350.52,310.44,339.80,333.65,243.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-24 21:57:29.684000,L7,,,,,,,,,,,,,,,,,,,,,,468.04,348.13,329.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-25 21:57:34.931000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492.60,505.63,513.16,437.17,439.07,467.75,470.41,473.35,474.95,447.93,437.54,421.07,539.08,497.04,465.40,,,,,,,,,,,,,,,452.98,382.69,465.47,451.57,448.66,436.81,419.79,249.97,262.55,273.44,253.09,402.16,399.23,405.71,410.16,418.03,429.54,431.65,474.86,500.73,505.47,505.82,498.82,497.99,500.85,504.31,505.88,511.33,511.30,515.70,490.61,476.49,484.86,453.35,432.46,480.14,481.57,472.97,455.98,457.57,459.06,440.77,410.60,399.26,401.13,386.93,389.21,377.35,366.46,348.74,255.87,211.24,209.19,285.18,276.57,269.82,274.63,282.00,284.72,272.45,288.17,284.08,243.53,223.05,,,,522.40,513.76,231.65,225.07,241.08,488.64,240.35,331.81,246.58,271.14,277.70,295.80,505.84,330.90,,,
2000-12-04 21:51:22.024000,L7,503.97,501.69,497.49,504.95,501.25,494.44,493.78,496.19,494.70,500.17,509.39,522.68,527.35,525.48,520.83,526.70,527.57,527.50,534.18,528.10,526.21,525.58,526.84,517.53,514.81,513.77,514.74,510.57,518.23,520.22,519.61,521.35,513.90,511.19,501.44,491.48,471.16,442.34,412.53,404.36,404.41,401.20,411.97,414.48,422.89,375.86,268.35,219.03,,,,,,287.52,379.93,417.77,450.29,465.03,489.61,485.28,469.03,421.29,351.05,381.48,397.95,363.33,352.15,338.16,,,,,,,,,,,,,,370.15,394.45,393.04,388.79,388.82,389.05,274.73,199.81,237.25,248.25,242.85,266.46,266.35,397.39,410.95,415.49,439.00,439.75,505.52,522.13,529.13,546.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,529.01,446.55,363.22,392.78,490.27,499.70,501.90,509.86,511.56,522.97,520.12,,533.78,,,,,,479.62,501.50,502.91,,493.98,,508.15,,,,,,,,
2000-12-11 21:57:36.803000,L7,,,,,,,,,,,,367.77,373.46,443.67,415.95,395.09,421.00,387.23,293.20,,,,,202.37,222.55,247.34,278.38,275.00,302.23,263.89,,266.02,271.91,503.20,513.77,388.51,488.30,491.29,518.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.65,203.06,241.09,284.51,308.70,320.04,328.43,329.48,244.06,213.41,241.37,377.94,309.08,380.93,405.94,339.81,214.37,,434.31,450.45,380.82,367.07,,,210.99,379.24,354.15,327.90,361.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471.96,382.06,,,,315.55,,,,,,,355.56,,,,
