dates,satname,nzd0298-0000,nzd0298-0001,nzd0298-0002,nzd0298-0003,nzd0298-0004,nzd0298-0005,nzd0298-0006,nzd0298-0007,nzd0298-0008,nzd0298-0009
1999-09-22 21:47:24.746000,L7,315.60,348.51,343.53,366.43,352.79,349.12,347.68,346.85,358.71,365.85
1999-09-29 21:53:40.155000,L7,360.75,374.10,342.18,368.10,333.84,326.50,317.90,309.59,324.05,357.60
1999-10-24 21:47:20.173000,L7,349.28,348.32,359.02,367.00,363.60,354.21,350.54,347.09,354.69,361.71
1999-11-16 21:53:32.114000,L7,364.09,371.85,383.54,378.52,377.93,,,,,
2000-01-19 21:53:25.812000,L7,349.17,346.00,347.52,357.15,361.41,359.38,353.45,366.21,376.52,370.63
2000-05-03 21:46:43.127000,L7,,336.50,319.67,359.32,307.90,312.52,305.47,307.92,327.49,373.49
2000-05-19 21:46:31.829000,L7,,332.07,341.56,348.73,348.15,301.98,303.46,313.21,348.24,359.89
2000-05-26 21:52:36.566000,L7,,286.49,316.99,324.75,304.33,303.68,299.65,307.11,328.20,348.62
2000-07-29 21:51:50.349000,L7,,330.52,344.72,332.68,314.92,305.37,311.82,307.46,319.72,385.08
2000-08-07 21:45:32.940000,L7,,306.74,326.79,337.41,322.85,328.97,315.07,326.21,328.62,333.48
2000-09-15 21:51:13.624000,L7,290.12,314.88,330.27,335.49,319.36,310.18,314.34,326.75,323.40,
2000-10-26 21:44:46.815000,L7,333.75,331.58,336.77,358.55,346.71,331.61,327.02,334.84,341.36,352.49
2000-11-27 21:44:50.678000,L7,350.33,348.44,338.52,360.11,347.15,350.91,340.44,346.70,362.80,366.91
2000-12-04 21:50:58.069000,L7,298.23,308.89,323.91,347.44,305.27,296.63,291.35,294.98,324.32,330.35
2000-12-13 21:44:52.270000,L7,329.99,334.02,333.93,353.80,331.68,331.06,316.61,313.27,342.69,353.52
2001-01-05 21:51:04.492000,L7,361.61,404.74,,374.32,358.21,351.74,350.10,362.23,365.89,367.33
2001-01-14 21:44:57.122000,L7,305.18,298.95,310.14,310.71,333.17,307.26,,,,
2001-01-21 21:51:10.359000,L7,290.55,332.43,338.95,358.48,348.01,331.32,,335.73,349.00,363.09
2001-04-20 21:44:34.614000,L7,,345.01,317.08,336.68,315.19,333.83,307.12,313.33,327.97,367.81
2001-04-27 21:50:43.832000,L7,,326.86,330.81,334.73,312.67,313.38,321.13,,,
2001-05-22 21:44:18.615000,L7,,294.20,307.20,322.59,301.38,293.17,,,,
2001-08-26 21:43:13.580000,L7,,,319.23,292.61,297.35,285.70,,,,
2001-09-11 21:43:02.212000,L7,303.07,314.29,306.86,324.71,320.55,298.98,312.79,335.02,337.39,346.45
2001-09-18 21:49:05.242000,L7,,,,,,,361.41,352.22,348.41,351.42
2001-10-04 21:48:54.017000,L7,345.65,364.58,,,,,366.21,369.30,365.35,381.19
2001-10-29 21:42:45.257000,L7,352.64,347.56,342.37,366.16,323.87,313.30,312.19,319.92,355.65,364.00
2002-02-25 21:49:35.857000,L7,,,,,,,,370.32,368.94,368.98
2002-03-06 21:43:23.680000,L7,320.66,326.80,332.68,341.66,335.74,352.48,347.59,359.77,349.97,341.41
2002-04-07 21:43:17.050000,L7,,,317.51,337.87,324.68,301.12,304.81,314.78,333.42,330.69
2002-04-14 21:49:26.507000,L7,348.78,365.85,376.21,369.08,384.89,375.87,366.72,361.09,,363.94
2002-06-10 21:43:00.814000,L7,,,332.82,344.57,308.69,309.64,310.96,335.22,340.03,349.21
2002-07-19 21:48:57.399000,L7,,,,,,,,,,359.26
2002-09-05 21:48:38.182000,L7,314.54,339.62,356.13,357.39,365.60,355.60,345.09,346.88,360.66,369.75
2002-09-14 21:42:19.037000,L7,,329.70,317.53,324.08,341.82,323.03,309.33,320.59,358.48,328.63
2002-09-30 21:42:11.676000,L7,305.21,321.64,331.13,348.96,331.44,318.85,295.97,300.35,319.26,342.51
2002-10-23 21:48:27.128000,L7,353.33,351.70,367.95,,,,390.92,386.95,402.13,371.04
2002-12-10 21:48:53.163000,L7,308.24,320.18,298.78,334.26,294.70,303.34,,,,
2002-12-26 21:48:59.976000,L7,,324.05,359.06,366.18,310.69,312.93,313.87,352.40,356.56,372.38
2003-01-27 21:49:09.075000,L7,398.81,,,,298.53,362.36,356.64,345.12,359.85,375.60
2003-02-21 21:43:08.504000,L7,312.25,318.64,321.16,317.32,325.70,295.08,,,,
2003-03-16 21:49:22.109000,L7,303.27,327.50,339.73,343.58,339.97,290.88,284.46,,,
2003-05-03 21:49:25.094000,L7,,334.56,359.96,367.47,328.31,361.70,350.71,375.31,380.50,376.91
2003-05-12 21:43:12.052000,L7,,,333.07,325.60,307.05,304.09,305.22,334.57,341.97,360.20
2003-10-18 21:38:36.209000,L5,,,327.43,337.90,326.78,318.36,308.81,299.13,311.78,
2003-11-28 21:32:58.000000,L5,,,306.44,318.63,311.92,300.29,287.85,,,
2004-09-18 21:44:34.791000,L5,290.25,296.52,305.46,321.65,317.11,300.23,295.47,300.02,,
2004-10-20 21:45:16.509000,L5,304.39,305.89,322.20,332.03,325.19,313.01,308.60,,,
2004-11-30 21:39:51.941000,L5,292.13,294.27,312.99,333.90,322.98,308.97,306.33,303.40,,
2005-02-09 21:47:07.285000,L5,307.22,311.15,324.31,332.96,309.76,303.38,291.70,,,
2005-02-18 21:41:06.279000,L5,,303.05,318.45,325.44,312.45,299.83,294.69,,,
2005-05-09 21:41:44.008000,L5,,,313.47,326.72,306.57,295.55,294.81,294.85,316.60,
2005-07-12 21:42:11.363000,L5,,,309.97,320.85,318.94,308.46,295.01,297.62,309.41,
2005-07-28 21:42:21.805000,L5,,,308.73,322.56,311.26,298.47,281.92,,,
2005-08-13 21:42:29.474000,L5,,,306.78,315.96,310.38,301.56,294.11,300.23,,
2005-08-20 21:48:42.854000,L5,,307.77,312.70,323.50,309.88,308.76,304.79,312.17,316.20,
2005-08-29 21:42:34.821000,L5,,298.93,305.15,320.40,308.99,301.30,299.02,,,
2005-11-08 21:48:52.559000,L5,,291.81,307.81,318.45,312.68,302.83,292.35,,,
2006-01-20 21:44:25.094000,L5,,297.38,318.78,327.55,314.50,304.20,295.58,,,
2006-01-27 21:50:46.347000,L5,301.14,304.88,324.04,335.10,319.49,312.82,303.16,,,
2006-02-12 21:51:08.090000,L5,296.60,302.69,321.70,332.38,316.27,310.34,298.58,308.05,312.63,
2006-02-21 21:45:08.534000,L5,,300.08,328.11,329.69,313.25,308.20,301.59,301.30,,
2006-02-28 21:51:28.213000,L5,,299.98,324.47,329.02,315.06,304.44,301.12,,,
2006-04-10 21:46:04.979000,L5,,308.43,322.16,333.25,316.08,307.42,297.22,305.63,,
2006-04-26 21:46:20.696000,L5,,292.43,315.82,330.79,314.58,309.11,302.01,308.12,310.55,
2006-08-23 21:54:11.272000,L5,,295.17,310.85,320.24,312.56,308.58,299.74,304.93,,
2006-10-10 21:54:44.695000,L5,304.96,292.52,298.43,317.83,312.54,302.40,296.93,302.38,304.89,
2007-01-30 21:55:36.438000,L5,295.24,297.88,323.97,336.60,324.22,312.31,308.41,314.63,322.72,
2011-01-02 21:44:23.135000,L5,,301.04,323.76,336.83,320.91,317.01,307.09,,,
2013-10-06 21:56:21.607000,L8,,,,,,,,353.88,350.21,353.55
2013-11-30 22:02:16.559000,L8,299.21,300.09,313.00,326.58,311.94,298.82,304.50,312.78,329.29,329.55
