dates,nzd0298-0000,nzd0298-0001,nzd0298-0002,nzd0298-0003,nzd0298-0004,nzd0298-0005,nzd0298-0006,nzd0298-0007,nzd0298-0008,nzd0298-0009,satname
2002-12-10 21:48:53+00:00,302.985,338.95500000000004,322.82000000000005,326.49,321.8933333333334,316.98,235.29749999999999,309.605,326.90999999999997,241.68,L7
2002-12-26 21:48:59+00:00,302.985,338.95500000000004,315.37000000000006,341.855,316.1775,316.98,229.218,309.605,326.90999999999997,238.62,L7
2003-01-20 21:42:57+00:00,303.344,338.95500000000004,315.37000000000006,341.855,316.1775,326.67333333333335,229.218,316.27666666666664,326.90999999999997,238.62,L7
2003-01-27 21:49:09+00:00,303.344,338.95500000000004,315.37000000000006,341.855,313.298,326.67333333333335,229.218,316.27666666666664,326.90999999999997,238.62,L7
2003-02-21 21:43:08+00:00,306.48833333333334,337.45,319.96000000000004,346.05,317.065,322.925,229.218,318.56,325.0175,248.01999999999998,L7
2003-03-16 21:49:22+00:00,317.46,337.45,312.06,344.34999999999997,319.09399999999994,312.2025,209.41,303.38800000000003,320.6433333333334,248.01999999999998,L7
2003-05-03 21:49:25+00:00,315.7175,338.84000000000003,313.21750000000003,343.0375,313.554,312.2025,218.92333333333332,296.822,321.09999999999997,248.01999999999998,L7
2003-07-23 21:31:02+00:00,305.645,334.44,310.9875,332.9,318.775,302.24333333333334,228.705,252.54250000000002,294.2033333333333,256.755,L5
2003-07-30 21:37:21+00:00,305.645,334.44,313.544,333.584,326.59000000000003,307.2425,228.51,237.346,279.9675,256.54,L5
2003-08-15 21:37:36+00:00,305.645,334.44,315.86,334.09,327.856,309.916,231.22750000000002,232.99333333333334,270.652,253.335,L5
2003-10-18 21:38:36+00:00,325.76,,320.346,336.64,329.69000000000005,324.15,231.22750000000002,210.606,253.058,247.71749999999997,L5
2003-11-28 21:32:58+00:00,318.83500000000004,,321.08399999999995,335.8,332.932,322.296,225.74,195.82999999999998,233.926,247.08599999999996,L5
2003-12-14 21:33:02+00:00,320.02,,322.89166666666665,337.715,333.36,323.2,225.78000000000003,197.71,233.926,248.71666666666667,L5
2003-12-30 21:33:12+00:00,321.4,,325.32714285714286,340.63714285714286,335.26142857142855,325.55285714285714,225.78000000000003,197.71,233.926,247.74285714285716,L5
2004-03-19 21:33:35+00:00,320.246,315.89,334.31399999999996,349.016,339.162,328.752,222.645,210.11333333333334,230.91499999999996,246.298,L5
2004-04-20 21:34:19+00:00,318.8675,315.89,331.558,345.976,336.46999999999997,325.832,220.8033333333333,196.75666666666666,218.405,246.78500000000003,L5
2004-06-23 21:36:10+00:00,320.58500000000004,315.89,330.7825,343.0475,335.79,324.58,207.57,183.11,206.35,242.31333333333336,L5
2004-07-25 21:37:01+00:00,315.63,315.89,327.34,338.91499999999996,332.5425,320.29249999999996,211.89000000000001,172.72500000000002,212.99,244.01333333333332,L5
2004-09-18 21:44:34+00:00,297.89,,323.0875,335.37,330.8325,317.71666666666664,211.89000000000001,180.78666666666666,213.40333333333334,243.94666666666663,L5
2004-10-20 21:45:16+00:00,307.63,325.65,325.74,337.945,334.0125,321.81666666666666,209.27500000000003,190.08666666666667,216.75666666666666,244.3825,L5
2004-11-30 21:39:51+00:00,307.63,325.65,326.044,339.95,335.092,321.92,209.27500000000003,188.0475,216.8575,244.3825,L5
2005-01-17 21:40:37+00:00,311.9266666666667,327.015,331.232,346.312,338.996,326.7025,225.32999999999998,190.284,215.78199999999998,244.33499999999998,L5
2005-02-18 21:41:06+00:00,311.6125,324.43333333333334,333.42600000000004,347.004,338.986,326.3675,230.13,196.41799999999998,214.81999999999996,243.44666666666663,L5
2005-05-09 21:41:44+00:00,315.595,323.825,333.89,347.3025,334.76250000000005,320.975,230.13,184.72,217.3733333333333,241.02499999999998,L5
2005-05-25 21:41:52+00:00,315.595,323.825,331.96999999999997,346.18,333.704,321.19,230.13,184.72,217.3733333333333,246.10333333333332,L5
2005-06-10 21:42:00+00:00,315.595,323.825,332.22799999999995,345.23,331.54,321.2,240.47,178.705,222.41333333333333,248.2,L5
2005-06-26 21:42:04+00:00,315.595,323.825,330.33666666666664,344.135,330.8,320.91333333333336,240.47,178.705,224.52249999999998,249.91199999999998,L5
