dates,satname,nzd0530-0000,nzd0530-0001,nzd0530-0002,nzd0530-0003,nzd0530-0004,nzd0530-0005,nzd0530-0006,nzd0530-0007,nzd0530-0008,nzd0530-0009,nzd0530-0010,nzd0530-0011,nzd0530-0012,nzd0530-0013,nzd0530-0014,nzd0530-0015,nzd0530-0016,nzd0530-0017,nzd0530-0018,nzd0530-0020,nzd0530-0021,nzd0530-0022,nzd0530-0023,nzd0530-0024,nzd0530-0025,nzd0530-0026,nzd0530-0027,nzd0530-0029,nzd0530-0030,nzd0530-0031,nzd0530-0032,nzd0530-0033,nzd0530-0034,nzd0530-0035,nzd0530-0036,nzd0530-0037,nzd0530-0038,nzd0530-0039,nzd0530-0040,nzd0530-0041,nzd0530-0042,nzd0530-0045,nzd0530-0046,nzd0530-0047,nzd0530-0048,nzd0530-0049,nzd0530-0050,nzd0530-0051,nzd0530-0052,nzd0530-0053,nzd0530-0054,nzd0530-0055,nzd0530-0056,nzd0530-0057,nzd0530-0058,nzd0530-0059,nzd0530-0060,nzd0530-0061,nzd0530-0062,nzd0530-0063,nzd0530-0067,nzd0530-0068,nzd0530-0069,nzd0530-0070,nzd0530-0071,nzd0530-0072,nzd0530-0073,nzd0530-0074,nzd0530-0075,nzd0530-0076,nzd0530-0077,nzd0530-0079,nzd0530-0080,nzd0530-0081,nzd0530-0082,nzd0530-0083,nzd0530-0084,nzd0530-0085,nzd0530-0086,nzd0530-0087,nzd0530-0088,nzd0530-0089,nzd0530-0090,nzd0530-0091,nzd0530-0094,nzd0530-0095,nzd0530-0096,nzd0530-0097,nzd0530-0098,nzd0530-0099,nzd0530-0100,nzd0530-0101,nzd0530-0102,nzd0530-0103,nzd0530-0104,nzd0530-0105,nzd0530-0113,nzd0530-0114,nzd0530-0115,nzd0530-0019,nzd0530-0078,nzd0530-0092,nzd0530-0111,nzd0530-0112,nzd0530-0118,nzd0530-0119,nzd0530-0120,nzd0530-0121,nzd0530-0122,nzd0530-0123,nzd0530-0124,nzd0530-0125,nzd0530-0126,nzd0530-0127,nzd0530-0128,nzd0530-0110,nzd0530-0116,nzd0530-0117,nzd0530-0028,nzd0530-0043,nzd0530-0044,nzd0530-0064,nzd0530-0093,nzd0530-0106,nzd0530-0107,nzd0530-0108,nzd0530-0109,nzd0530-0129,nzd0530-0130,nzd0530-0131,nzd0530-0132,nzd0530-0133,nzd0530-0134,nzd0530-0135,nzd0530-0136,nzd0530-0137,nzd0530-0138,nzd0530-0065,nzd0530-0066
2000-06-07 22:18:48.627000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514.58,504.82,507.89,499.07,421.28,430.29,427.23,423.97,424.33,422.62,426.75,425.24,463.36,454.16,454.28,478.32,446.98,443.21,433.77,428.93,419.57,418.24,404.06,395.38,459.68,433.55,422.66,,,437.11,503.18,486.30,411.91,412.72,397.66,391.33,390.84,385.65,391.65,379.29,376.46,380.58,373.56,469.01,412.91,421.07,,,,,437.37,477.71,489.60,467.07,464.43,381.83,371.52,374.37,357.10,363.47,349.40,342.99,342.28,328.29,329.38,,
2000-06-16 22:12:38.425000,L7,515.34,494.21,483.53,481.88,476.07,490.91,495.55,490.44,491.67,495.37,487.27,492.23,472.57,458.41,440.66,431.01,418.29,407.18,376.57,302.12,479.73,492.00,511.78,,,483.34,345.54,397.76,376.90,351.78,317.88,343.76,301.43,252.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.14,308.91,455.87,330.90,255.74,,478.70,486.13,515.61,361.42,327.77,243.32,220.50,367.17,447.68,,,,,,,,492.87,413.23,,,,,,,318.71,354.95,,,,,,,,,,,,435.39,359.25,363.74,,,,335.70,,,,,,,,,369.09,500.70,474.70,,,,427.11,409.27,424.56,385.02,,
2000-09-20 22:11:14.930000,L7,505.58,491.74,486.84,483.87,487.64,495.74,493.24,503.42,506.68,510.40,511.78,504.65,492.26,490.29,483.42,511.01,492.00,481.98,457.31,332.11,507.42,517.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.49,302.62,316.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.02,305.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-27 22:17:24.534000,L7,,,,,462.44,451.83,430.71,397.01,387.63,402.89,383.59,400.15,309.25,333.20,382.68,359.20,328.64,328.21,355.72,372.36,359.51,344.22,259.01,484.73,451.45,528.62,523.09,503.46,504.13,492.24,329.65,332.68,,360.93,405.34,495.23,528.20,445.48,437.48,442.63,444.25,468.21,357.26,362.81,380.32,392.23,400.80,418.56,376.26,445.93,293.53,421.28,453.51,400.02,371.35,360.53,336.86,298.03,414.43,343.53,456.12,418.00,461.46,453.90,446.77,361.68,426.95,442.94,432.43,,,331.18,375.31,370.91,329.38,349.30,357.60,333.85,356.25,327.36,355.10,,,,379.36,384.30,406.68,403.37,361.19,356.31,395.42,387.04,378.91,383.35,372.57,228.94,305.63,318.33,303.14,342.56,,299.80,352.55,331.58,170.94,239.69,301.60,312.74,220.68,157.22,,,,,,356.58,160.45,162.60,509.02,485.24,490.92,419.76,290.60,212.62,147.42,202.73,,,,,,,,,,,,382.82,431.90
2000-10-29 22:17:19.582000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444.62,442.75,445.18,440.15,289.98,291.15,294.16,295.32,285.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505.79,497.76,469.72,449.44,456.87,490.70,475.74,473.36,393.66,382.60,375.56,378.70,389.21,390.22,378.29,376.64,369.55,390.54,475.62,472.28,464.23,278.13,279.26,266.69,440.35,417.51,413.94,405.66,413.03,426.33,364.94,358.06,345.49,,495.10,393.48,382.10,373.70,361.11,360.85,362.81,362.07,362.16,361.96,360.86,358.21,349.69,353.56,347.79,392.78,361.79,362.70,,,,,404.95,394.54,411.47,411.98,403.16,345.91,340.36,336.62,330.97,326.60,324.05,319.62,316.98,309.72,301.67,,
2001-02-11 22:11:12.788000,L7,,,,,,,,509.20,459.02,424.13,415.31,424.21,418.22,520.40,150.73,175.75,244.47,217.05,171.64,369.42,501.97,515.90,,480.92,408.85,399.72,261.34,271.62,386.05,398.29,,,,,,,,,,,,,,,,,,,,,,382.53,490.85,234.15,208.92,210.19,190.34,,,232.75,,358.51,391.89,458.90,480.51,,288.22,335.93,332.98,,,,,,,,,429.25,400.44,391.89,396.15,365.34,239.57,192.86,,,,402.97,248.05,213.03,478.46,400.52,,,,,,,,430.77,,164.62,,,,,,,,,,,,,,,,,295.28,,,387.97,,,,,,,,,,,,,,,,359.49,413.64
2001-03-22 22:17:09.568000,L7,,,,,,,,,,429.62,428.21,428.97,436.31,428.69,429.11,429.69,427.56,380.99,,,,,,,,,,425.96,449.99,452.91,452.17,450.14,,,,,,,,,,,,,,,,,,,,,,195.89,246.59,232.47,221.91,,,,,,,,,,510.03,503.79,480.00,473.42,459.69,504.49,512.08,406.55,408.70,410.41,386.83,383.62,386.61,393.41,379.84,466.27,474.00,497.02,474.77,487.08,468.27,472.97,465.19,459.52,442.62,416.96,408.19,402.02,399.21,389.83,371.75,363.59,354.31,,483.34,475.58,391.07,380.52,358.84,354.01,358.98,363.93,366.40,344.16,343.81,318.59,343.67,362.55,338.84,401.34,357.52,356.93,,,,,465.00,363.42,406.96,414.18,409.11,345.64,335.04,347.37,346.50,345.97,331.55,321.93,317.11,308.73,302.76,,
2001-04-07 22:17:01.469000,L7,,,,371.35,404.77,367.21,365.28,385.79,322.75,217.46,202.33,174.36,157.56,213.99,249.21,297.22,309.67,308.05,316.23,348.58,357.51,305.59,245.14,223.53,249.20,259.97,260.13,280.89,330.10,323.54,381.78,386.51,368.99,355.30,357.17,390.56,310.45,317.89,315.02,311.30,322.15,343.96,348.24,353.70,135.72,185.77,307.78,227.03,262.62,220.16,343.70,,399.72,401.10,396.85,397.08,384.92,424.53,433.96,427.65,468.78,477.44,471.97,461.83,455.27,455.67,457.91,462.27,206.35,337.42,331.56,167.23,375.12,370.30,368.53,362.46,357.18,353.89,359.04,355.01,342.22,289.94,284.15,295.46,267.55,360.18,373.51,390.05,334.83,210.33,186.12,342.57,338.93,182.22,244.60,264.57,341.35,331.97,311.50,,287.36,272.84,362.78,355.71,169.21,198.98,205.48,194.26,153.98,141.04,137.70,,,,,375.79,331.43,328.55,243.87,322.46,311.36,446.27,280.74,145.73,374.51,387.26,385.58,,,241.11,255.88,257.15,199.81,,,,,450.64,454.65
2001-04-16 22:10:54.636000,L7,482.78,477.59,458.63,464.74,464.73,472.27,470.95,469.26,462.08,479.89,476.97,471.79,452.72,418.86,423.16,408.40,399.49,383.15,343.02,286.78,176.31,451.93,475.33,486.99,502.43,519.05,,337.63,343.45,365.54,355.33,357.30,352.25,337.72,517.67,520.99,515.11,512.94,505.89,238.43,230.67,331.57,312.49,322.40,350.04,342.19,340.86,,,,,,158.81,174.14,198.59,210.29,256.86,317.58,,218.36,383.43,,,,,,497.03,482.58,488.53,466.35,460.94,477.66,467.05,437.27,424.90,429.02,436.15,429.46,429.83,442.73,452.28,450.47,475.38,495.68,,,415.13,394.35,418.81,331.85,224.16,246.85,381.06,374.08,,,402.40,209.44,202.86,299.05,443.89,495.68,451.92,448.95,,,,,,,448.76,478.64,360.45,484.87,510.07,394.02,207.38,,,245.64,291.17,318.27,511.52,,192.44,190.75,398.20,427.47,403.84,435.80,341.20,,,,,,,264.43,320.82
2001-07-05 22:10:09.496000,L7,,,,,159.70,188.32,415.13,403.93,409.90,205.52,403.12,,,,,,,,,,,,,,,,456.24,,,,,,,,,,499.14,478.17,433.36,468.69,421.33,,,,197.34,185.96,140.14,157.95,182.74,227.58,275.88,302.11,337.17,316.70,319.55,290.08,335.87,357.97,167.48,364.29,470.07,463.76,465.56,284.92,400.98,459.47,284.55,393.33,224.95,193.44,396.63,,,,,,,,,,,188.31,190.97,192.03,,,291.75,304.81,290.38,272.23,302.81,249.93,226.78,220.81,179.63,306.70,300.06,346.89,332.09,,434.72,194.56,292.79,308.79,350.81,325.63,331.70,372.21,365.03,354.02,330.03,311.95,324.40,284.99,297.44,289.81,285.35,290.91,470.60,,,387.94,,341.88,306.18,304.50,196.58,321.88,,,,338.98,260.27,352.75,268.27,217.37,316.60,402.82,421.80
