dates,nzd0530-0000,nzd0530-0003,nzd0530-0004,nzd0530-0005,nzd0530-0006,nzd0530-0007,nzd0530-0008,nzd0530-0009,nzd0530-0010,nzd0530-0011,nzd0530-0012,nzd0530-0013,nzd0530-0014,nzd0530-0015,nzd0530-0016,nzd0530-0017,nzd0530-0018,nzd0530-0020,nzd0530-0021,nzd0530-0022,nzd0530-0023,nzd0530-0024,nzd0530-0025,nzd0530-0026,nzd0530-0027,nzd0530-0029,nzd0530-0030,nzd0530-0031,nzd0530-0032,nzd0530-0033,nzd0530-0034,nzd0530-0035,nzd0530-0036,nzd0530-0037,nzd0530-0038,nzd0530-0039,nzd0530-0040,nzd0530-0041,nzd0530-0042,nzd0530-0045,nzd0530-0046,nzd0530-0047,nzd0530-0048,nzd0530-0049,nzd0530-0050,nzd0530-0051,nzd0530-0052,nzd0530-0053,nzd0530-0054,nzd0530-0055,nzd0530-0056,nzd0530-0057,nzd0530-0058,nzd0530-0059,nzd0530-0060,nzd0530-0061,nzd0530-0062,nzd0530-0063,nzd0530-0067,nzd0530-0068,nzd0530-0069,nzd0530-0070,nzd0530-0071,nzd0530-0072,nzd0530-0073,nzd0530-0074,nzd0530-0075,nzd0530-0076,nzd0530-0077,nzd0530-0079,nzd0530-0080,nzd0530-0081,nzd0530-0082,nzd0530-0083,nzd0530-0084,nzd0530-0085,nzd0530-0086,nzd0530-0094,nzd0530-0095,nzd0530-0096,nzd0530-0097,nzd0530-0098,nzd0530-0099,nzd0530-0100,nzd0530-0101,nzd0530-0102,nzd0530-0103,nzd0530-0104,nzd0530-0105,nzd0530-0001,nzd0530-0002,nzd0530-0019,nzd0530-0078,nzd0530-0087,nzd0530-0088,nzd0530-0089,nzd0530-0090,nzd0530-0091,nzd0530-0092,nzd0530-0111,nzd0530-0112,nzd0530-0113,nzd0530-0118,nzd0530-0119,nzd0530-0120,nzd0530-0121,nzd0530-0122,nzd0530-0123,nzd0530-0124,nzd0530-0125,nzd0530-0126,nzd0530-0127,nzd0530-0128,nzd0530-0110,nzd0530-0114,nzd0530-0115,nzd0530-0116,nzd0530-0117,nzd0530-0028,nzd0530-0043,nzd0530-0044,nzd0530-0064,nzd0530-0093,nzd0530-0106,nzd0530-0107,nzd0530-0108,nzd0530-0109,nzd0530-0129,nzd0530-0130,nzd0530-0131,nzd0530-0132,nzd0530-0133,nzd0530-0134,nzd0530-0135,nzd0530-0136,nzd0530-0137,nzd0530-0138,nzd0530-0065,nzd0530-0066,satname
2000-06-07 22:18:48.627,467.74,480.465,453.31333333333333,485.0466666666667,494.4066666666667,488.78,484.275,491.58000000000004,479.13,478.6833333333334,467.73333333333335,455.0333333333333,210.58,406.92499999999995,,385.33500000000004,,402.65999999999997,476.14500000000004,494.11,490.66,275.02,307.5,306.11,,434.655,404.665,450.365,462.485,445.005,456.53,247.71,261.12,281.94666666666666,282.465,260.41,268.64,,,205.26999999999998,,,429.515,,,,,,,,,,,,,,493.75,,,,,,,301.85,498.995,496.0333333333333,316.79,314.43,288.58666666666664,434.555,399.115,390.42999999999995,,,436.78,460.74333333333334,415.1425,448.03499999999997,446.02,442.075,425.42,434.375,399.655,401.155,391.33,392.70000000000005,386.1766666666667,396.1333333333334,383.84,457.93750000000006,461.46999999999997,320.5733333333333,424.02750000000003,452.36000000000007,478.895,459.97333333333336,486.415,497.7799999999999,502.78,370.945,363.69,351.725,367.915,293.595,,,,385.65,391.65,238.70000000000002,,,373.56,390.27,347.255,323.54499999999996,345.11,396.1566666666667,418.33,225.175,235.14000000000001,373.65,,331.20000000000005,389.34,409.32,401.4066666666667,381.83,,,357.1,363.47,349.4,338.895,,327.33000000000004,322.515,,,L7
2000-06-16 22:12:38.425,477.45599999999996,481.6766666666667,459.65250000000003,488.27,495.6625,490.23333333333335,488.52666666666664,493.75333333333333,484.875,482.5625,469.95250000000004,457.1975,210.58,415.92,,394.25333333333333,,370.43666666666667,478.51666666666665,494.395,496.73,275.02,307.5,306.11,,426.7133333333333,410.10666666666674,450.365,462.485,445.005,456.53,261.49,263.826,281.94666666666666,282.465,260.41,268.64,,,205.26999999999998,,,429.515,,,,,,,,,,,,,,493.75,,,,,,,301.85,498.995,496.0333333333333,316.79,304.33000000000004,288.58666666666664,435.6966666666667,399.115,390.42999999999995,,,436.78,460.74333333333334,420.442,448.03499999999997,446.02,442.075,425.42,434.375,399.655,401.155,391.33,392.70000000000005,386.1766666666667,396.1333333333334,383.84,466.84,467.745,320.99,439.31000000000006,438.795,478.895,458.09,486.415,497.7799999999999,502.78,370.945,363.69,351.725,367.915,293.595,,,,385.65,391.65,238.70000000000002,,,369.95,390.27,347.255,323.54499999999996,345.11,396.1566666666667,418.33,225.175,235.14000000000001,373.65,,331.20000000000005,389.34,409.32,401.4066666666667,381.7,,,357.1,363.47,349.4,338.895,,327.33000000000004,322.515,,,L7
2000-09-20 22:11:14.930,482.1433333333334,482.225,465.25,489.764,495.178,493.53,493.065,497.91499999999996,493.8433333333333,486.98,474.41400000000004,463.816,,415.92,492.0,394.25333333333333,457.31,360.855,485.7425,502.01,496.73,275.02,307.5,306.11,,426.7133333333333,410.10666666666674,450.365,462.485,445.005,456.53,261.49,257.3125,274.64,271.15,260.41,268.64,,,192.70499999999998,,,429.515,,,,,,,,,,,,,,493.75,,,,,,,,498.995,496.0333333333333,293.49,298.425,278.72,435.6966666666667,399.115,390.42999999999995,,,436.78,460.74333333333334,420.442,448.03499999999997,446.02,442.075,425.42,434.375,399.655,401.155,391.33,392.70000000000005,386.1766666666667,396.1333333333334,383.84,470.99,471.56399999999996,322.996,439.31000000000006,438.795,478.895,458.09,486.415,497.7799999999999,502.78,370.945,363.69,351.725,363.47,293.595,,,,385.65,391.65,238.70000000000002,,,369.95,379.3449999999999,347.255,323.54499999999996,345.11,407.55,418.33,225.175,249.79500000000002,373.65,,331.20000000000005,389.34,397.755,391.09000000000003,381.7,,,357.1,363.47,349.4,342.99,,328.29,329.38,,,L7
2000-09-27 22:17:24.534,482.1433333333334,482.225,464.65833333333336,489.764,495.178,493.53,493.065,497.91499999999996,493.8433333333333,472.2416666666666,462.1033333333333,463.816,,415.92,492.0,394.25333333333333,457.31,360.855,485.7425,502.01,496.73,275.02,307.5,306.11,244.44,426.7133333333333,410.10666666666674,450.365,462.485,445.005,456.53,261.49,257.3125,274.64,271.15,260.41,268.64,296.85,317.49,192.70499999999998,314.63,361.68,412.84999999999997,,,,,,,,,,,,,,493.75,,,,,453.4,446.14,407.12,498.995,496.0333333333333,293.49,298.425,278.72,435.6966666666667,390.98333333333335,383.70666666666665,362.04,347.08,410.2366666666667,460.74333333333334,420.442,448.03499999999997,446.02,442.075,425.42,434.375,399.655,401.155,391.33,392.70000000000005,386.1766666666667,396.1333333333334,383.84,470.99,471.56399999999996,326.14666666666665,439.31000000000006,422.6820000000001,437.4633333333333,458.09,486.415,497.7799999999999,502.78,370.945,363.69,351.725,363.47,275.04,,,,385.65,391.65,238.70000000000002,,,369.95,379.3449999999999,347.255,323.54499999999996,345.11,407.55,418.33,235.05666666666664,264.4166666666667,379.03,,331.20000000000005,389.34,397.755,391.09000000000003,381.7,,,357.1,363.47,349.4,342.99,,328.29,329.38,,431.22,L7
2000-10-29 22:17:19.582,485.48500000000007,478.6566666666667,469.33000000000004,487.40000000000003,494.645,491.32666666666665,491.69666666666666,496.6266666666666,493.8433333333333,468.23499999999996,454.8974999999999,461.20666666666665,,415.92,492.0,394.25333333333333,457.31,360.855,489.27,505.96,493.0566666666667,,,,244.44,415.3399999999999,428.49,442.07,455.745,433.36,,271.37666666666667,264.0775,282.115,285.35,266.74,266.85,296.85,317.49,176.31,314.63,361.68,385.53499999999997,,,,,,,,,,,,,,,,,,,453.4,446.14,407.12,504.78,499.4266666666667,293.49,298.425,272.72,436.0200000000001,389.875,382.265,377.85,364.84000000000003,401.5675,440.27,422.45799999999997,457.23,454.7733333333333,449.46000000000004,441.795,437.08666666666664,399.655,414.22,400.0566666666667,399.78000000000003,383.68499999999995,404.9166666666667,400.56333333333333,478.8,476.5633333333333,323.2125,483.0075,405.594,399.2633333333333,448.34999999999997,477.36,487.78,494.83,375.47,369.28499999999997,357.925,361.11,237.93,362.81,362.07,362.16,373.80499999999995,376.255,303.01666666666665,349.69,353.56,362.56333333333333,386.86,351.075,334.25,354.065,391.885,,235.09499999999997,280.255,379.03,,341.48,404.78,405.815,397.09000000000003,369.77,340.36,336.62,344.035,345.035,336.725,331.305,316.98,319.005,315.525,,431.22,L7
2001-02-11 22:11:12.788,505.58,483.87,474.6700000000001,495.74,493.24,506.31,506.68,510.4,511.78,442.47,437.01,505.345,,,492.0,,457.31,350.765,504.69500000000005,516.5699999999999,,,,,252.89,,444.62,442.75,445.18,440.15,,291.15,294.16,295.32,285.35,,,296.85,317.49,,314.63,361.68,379.52,,,,,,,,,234.15,208.92,,190.34,,,,,358.51,391.89,456.15,463.325,407.12,505.79,497.76,313.235,302.62,,,374.72,370.26,377.85,364.84000000000003,366.355,429.25,394.825,475.62,472.28,464.23,458.17,442.51,,459.405,409.015,413.94,,413.03,426.33,491.74,486.84,336.4599999999999,495.1,380.1133333333334,376.34666666666664,,,,,382.1,373.7,364.94,361.11,237.93,362.81,362.07,362.16,361.96,360.86,358.21,349.69,353.56,347.79,392.78,358.06,345.49,361.79,362.7,,254.82,293.66,386.19000000000005,,,411.47,411.98,403.16,345.91,340.36,336.62,330.97,326.6,324.05,319.62,316.98,309.72,301.67,359.49,422.43,L7
2001-03-22 22:17:09.568,,,461.7,,,509.2,,,,417.24333333333334,418.35999999999996,520.4,,429.69,,380.99,,369.42,501.97,515.9,,,,,252.89,425.96,447.305,447.83000000000004,448.675,445.145,,291.15,294.16,295.32,285.35,,,296.85,317.49,,314.63,361.68,379.52,,,,,,,,,215.01999999999998,227.755,,206.125,,,,,358.51,391.89,456.15,463.325,407.12,507.90999999999997,500.775,332.98,,,,374.72,388.405,388.1333333333334,380.03000000000003,373.18,429.25,392.08666666666664,475.195,479.67999999999995,466.25,465.57000000000005,453.85,,453.81,411.66333333333336,411.065,402.02,406.12,408.08,,,341.9,489.22,383.4375,377.22,466.27,474.0,497.02,475.58,386.58500000000004,377.11,368.345,359.975,237.93,360.895,363.0,364.28,353.06,352.33500000000004,338.4,346.68,358.055,343.315,397.05999999999995,360.825,349.9,359.655,359.815,,254.82,293.66,386.19000000000005,,363.42,409.21500000000003,413.08000000000004,406.135,345.775,337.70000000000005,341.995,338.735,336.285,327.8,320.775,317.045,309.225,302.21500000000003,359.49,422.43,L7
2001-04-07 22:17:01.469,,,,,,509.2,,,,426.59000000000003,427.265,520.4,249.98,429.69,,380.99,,359.495,501.97,515.9,,,,,261.365,425.96,447.305,447.83000000000004,448.675,445.145,,291.15,294.16,295.32,298.735,,,311.82,322.73,,349.58,354.76,,,308.95,,,,,,,215.01999999999998,227.755,398.33,206.125,,,,412.72,361.65,374.895,458.9,468.28,457.19,491.68666666666667,488.1333333333334,332.98,338.36,,,,406.55,401.18000000000006,396.5050000000001,381.195,429.25,392.08666666666664,475.195,479.67999999999995,436.3066666666667,465.57000000000005,453.85,,453.81,411.66333333333336,411.065,402.02,406.12,408.08,,,,489.22,391.84,384.76000000000005,466.27,474.0,497.02,475.58,378.84999999999997,370.15333333333336,359.49,359.975,200.97,360.895,363.0,364.28,353.06,352.33500000000004,338.4,346.68,358.055,343.315,390.1066666666666,351.3966666666667,349.9,350.4166666666667,349.56666666666666,,,313.92,387.97,,363.42,397.8966666666667,404.65333333333336,399.43,345.775,337.70000000000005,341.995,338.735,336.285,327.8,320.775,317.045,309.225,302.21500000000003,375.375,413.64,L7
2001-04-16 22:10:54.636,482.78,464.74,464.73,472.27,470.95,489.23,,,476.97,426.59000000000003,435.75,520.4,249.98,419.04499999999996,,382.07,,359.495,501.97,515.9,475.33,,,,261.365,425.96,447.305,447.83000000000004,448.675,445.145,,291.15,294.16,295.32,298.735,,,311.82,322.73,,331.03499999999997,338.58,350.04,,324.905,,,,,,,201.39333333333332,227.755,398.33,223.03666666666666,317.58,,218.36,398.07500000000005,361.65,374.895,458.9,468.28,457.19,493.0225,486.745,332.98,338.36,,477.66,,421.90999999999997,409.08666666666664,407.3433333333334,381.195,429.355,392.08666666666664,475.195,479.67999999999995,431.0125,465.57000000000005,453.85,,453.81,411.66333333333336,401.06333333333333,388.04999999999995,406.12,408.08,477.59,458.63,,474.10999999999996,391.84,384.76000000000005,458.37,474.69,496.35,485.63,378.84999999999997,370.15333333333336,359.49,359.975,200.97,360.895,363.0,364.28,353.06,352.33500000000004,338.4,351.27,358.055,343.315,390.1066666666666,351.3966666666667,349.9,350.4166666666667,349.56666666666666,,245.64,302.54499999999996,387.97,,363.42,397.8966666666667,404.65333333333336,399.43,345.775,337.70000000000005,341.995,339.5566666666667,336.285,327.8,320.775,317.045,309.225,302.21500000000003,375.375,413.64,L7
2001-07-05 22:10:09.496,482.78,464.74,464.73,472.27,470.95,489.23,,,476.97,426.59000000000003,435.75,520.4,249.98,419.04499999999996,,382.07,,359.495,501.97,515.9,475.33,,,,261.365,425.96,449.99,452.91,452.17,450.14,,,,,312.12,,,311.82,322.73,,331.03499999999997,338.58,350.04,,324.905,,,,,,,228.9475,227.755,398.33,223.03666666666666,336.405,,218.36,398.07500000000005,361.65,374.895,476.125,468.28,456.45,488.76666666666665,483.0733333333333,332.98,338.36,,477.66,,421.90999999999997,416.79999999999995,419.71500000000003,386.83,429.355,393.525,474.77,487.08,419.94,472.97,465.19,,460.54,408.74,394.625,388.04999999999995,399.21,389.83,477.59,458.63,,453.07,392.65,387.995,458.37,474.69,496.35,485.63,377.22499999999997,368.38,356.765,351.855,260.815,344.25,366.88,366.4,344.16,335.69,314.32,352.05999999999995,362.55,338.84,388.77,347.16,341.77,344.73,325.14,,245.64,302.54499999999996,387.97,,349.65,391.11,400.99,397.56499999999994,331.92499999999995,335.04,347.37,343.85,341.285,331.55,321.93,295.46500000000003,308.73,302.76,382.0833333333333,415.78499999999997,L7
