dates,nzd0532-0000,nzd0532-0001,nzd0532-0002,nzd0532-0003,nzd0532-0004,nzd0532-0005,nzd0532-0006,nzd0532-0007,nzd0532-0008,nzd0532-0009,nzd0532-0010,nzd0532-0011,nzd0532-0012,nzd0532-0013,nzd0532-0014,nzd0532-0015,nzd0532-0016,nzd0532-0017,nzd0532-0018,nzd0532-0019,nzd0532-0020,nzd0532-0021,nzd0532-0022,nzd0532-0023,nzd0532-0024,nzd0532-0025,nzd0532-0026,nzd0532-0027,nzd0532-0028,nzd0532-0029,nzd0532-0030,nzd0532-0031,nzd0532-0032,nzd0532-0033,nzd0532-0034,nzd0532-0035,nzd0532-0036,nzd0532-0037,nzd0532-0038,nzd0532-0039,nzd0532-0040,nzd0532-0041,nzd0532-0042,nzd0532-0043,nzd0532-0067,nzd0532-0068,nzd0532-0069,nzd0532-0070,nzd0532-0071,nzd0532-0072,nzd0532-0073,nzd0532-0074,nzd0532-0075,nzd0532-0076,nzd0532-0077,nzd0532-0078,nzd0532-0079,nzd0532-0082,nzd0532-0083,nzd0532-0084,nzd0532-0085,nzd0532-0086,nzd0532-0087,nzd0532-0088,nzd0532-0044,nzd0532-0045,nzd0532-0046,nzd0532-0047,nzd0532-0048,nzd0532-0049,nzd0532-0050,nzd0532-0051,nzd0532-0052,nzd0532-0053,nzd0532-0054,nzd0532-0055,nzd0532-0056,nzd0532-0057,nzd0532-0058,nzd0532-0059,nzd0532-0060,nzd0532-0061,nzd0532-0062,nzd0532-0063,nzd0532-0064,nzd0532-0065,nzd0532-0066,nzd0532-0080,nzd0532-0081,satname
1999-10-27 22:19:51.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.62,,,,,,,397.55,,,,,,,,,,340.39,323.78,321.17,322.5,334.19,359.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-12-07 22:13:41.663,,,,,,223.73,,,,,,,,,,,,,282.56,,311.5,318.61,,291.48,,,,282.84,293.19,283.82,,,,379.945,,276.96,287.9,279.76,,,414.59000000000003,329.48,336.24,,,,,,,,340.39,323.78,321.17,322.5,334.19,359.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-12-30 22:19:45.690,240.27,256.46,269.95,268.89,271.78,241.265,266.8,,,,,,,,273.56,275.83,,,283.1,,299.185,300.425,,288.88,,,,294.04499999999996,293.005,282.435,,232.07,259.29,379.945,,263.26,274.67999999999995,276.41999999999996,,,414.59000000000003,316.225,320.73,,327.18,327.6,332.64,334.26,339.59,339.06,339.61,329.855,329.83500000000004,330.235,335.265,347.31,,357.78,362.36,375.93,381.45,379.47,,,,,,306.97,315.33,313.02,,,,,319.36,310.05,311.34,,302.89,299.76,,,281.55,244.25,241.68,,,347.58,341.8,L7
2000-04-20 22:19:15.385,240.27,256.46,252.3,250.93,257.03999999999996,234.28,247.45,,,,,,,,273.56,275.83,,,283.1,,299.185,300.425,,288.88,,,,294.04499999999996,293.005,282.435,,232.07,259.29,379.945,,263.26,274.67999999999995,276.41999999999996,,,414.59000000000003,316.225,320.73,,309.17,315.855,320.625,318.0,328.825,333.16999999999996,339.61,322.8666666666666,329.83500000000004,330.235,335.265,347.31,,342.63,351.865,367.425,371.66499999999996,373.235,,,,,,293.88,298.105,297.27,,,,,319.36,310.05,311.34,,293.21500000000003,291.015,,,281.55,244.25,241.68,,,342.89,341.8,L7
2000-05-22 22:18:57.481,228.13,254.69,258.31333333333333,259.07666666666665,262.29,240.9425,253.52333333333334,264.58,275.65,280.6,288.73,284.9,277.78,278.59,284.005,274.40999999999997,287.7,287.06,282.29333333333335,288.43,296.18333333333334,298.86,296.93,290.5833333333333,303.73,304.68,300.69,295.1433333333333,290.6133333333333,288.6333333333333,,251.28,272.85,374.27,,265.3066666666667,268.57666666666665,271.3966666666667,279.41,292.54,367.89,312.56333333333333,315.96000000000004,301.78,315.29,320.7366666666667,326.52,325.10999999999996,334.7633333333333,337.8833333333333,340.7,328.7866666666667,338.72,343.95000000000005,344.54999999999995,343.78,,353.7166666666667,364.19,367.425,381.78999999999996,383.1766666666667,402.86,403.23,311.88,321.32,324.49,303.34666666666664,304.0133333333333,302.97666666666663,311.69,321.41,318.84,318.28,322.145,312.505,312.395,312.55,295.81666666666666,295.24666666666667,,,285.065,242.195,248.7,265.28,318.77,351.80999999999995,353.20000000000005,L7
2000-06-07 22:18:48.627,221.70666666666668,251.09,264.0725,264.4475,265.3125,252.41000000000003,257.49,264.01,273.755,284.81,289.33500000000004,283.17499999999995,277.64,279.16499999999996,282.1766666666667,274.1433333333334,291.77,289.82,284.84666666666664,289.065,291.5933333333333,287.9433333333333,296.63,290.62666666666667,303.065,305.435,299.06,303.13333333333327,288.46999999999997,291.03999999999996,,251.28,272.85,388.45,,259.48,258.5566666666667,269.26666666666665,275.84000000000003,294.98,306.33,304.15000000000003,306.2166666666667,302.255,319.6425,324.94,330.105,330.61,338.8175,343.0925,340.7,328.7866666666667,338.72,343.95000000000005,344.54999999999995,343.78,,362.4875,374.0075,367.425,392.2525,391.655,414.73,406.09000000000003,315.0,322.4,328.03499999999997,308.3175,307.5425,307.3275,314.83000000000004,321.57000000000005,315.63,317.125,318.59666666666664,309.00666666666666,309.25333333333333,299.01,293.5,288.635,,,285.065,242.195,248.7,258.755,315.76,359.98,362.66333333333336,L7
2000-09-27 22:17:24.534,223.77666666666667,250.61333333333332,264.67999999999995,265.855,266.6125,250.28000000000006,254.38666666666668,260.7033333333333,270.24666666666667,280.4766666666667,286.31,280.97999999999996,276.2633333333333,278.13666666666666,281.51,271.3933333333334,291.95666666666665,291.90000000000003,285.45000000000005,289.065,293.955,290.795,296.63,292.8,303.065,305.435,299.06,302.07499999999993,286.29499999999996,301.03,,270.49,268.49,388.45,238.47,256.66999999999996,257.86333333333334,267.8866666666667,275.71,294.71000000000004,304.18666666666667,302.0933333333333,306.3233333333333,302.45,320.895,324.05333333333334,329.26000000000005,332.6125,339.95500000000004,344.43666666666667,342.57,330.36666666666673,340.93,348.1,351.875,350.2,353.48,366.0475,375.34250000000003,365.58500000000004,394.0525,393.34,404.79333333333335,396.5233333333333,313.24333333333334,321.07,325.2,308.4,304.9466666666667,305.43,314.83000000000004,321.57000000000005,315.63,317.125,322.8933333333334,313.40333333333336,308.21000000000004,299.01,290.37,290.86,307.15,306.68,288.05499999999995,240.14,255.72,258.755,315.76,362.6175,366.53333333333336,L7
2000-10-29 22:17:19.582,229.41500000000002,254.5025,274.935,276.78999999999996,274.58250000000004,265.54333333333335,268.71333333333337,262.27250000000004,271.5725,281.135,286.86,281.29499999999996,276.21,278.4075,280.9975,273.51750000000004,293.6325,294.425,289.3633333333334,291.3666666666667,295.78000000000003,292.16,294.77666666666664,296.17333333333335,304.48333333333335,308.86333333333334,303.83666666666664,304.21666666666664,291.09,300.335,,254.87,272.43333333333334,334.43,257.515,265.09,264.5075,267.8866666666667,275.71,294.71000000000004,304.18666666666667,302.0933333333333,306.3233333333333,302.45,330.8066666666667,334.025,339.58500000000004,342.90333333333336,347.2533333333334,353.015,342.57,341.105,340.93,348.1,351.875,350.2,353.48,378.90333333333336,386.6666666666667,372.25,404.7766666666667,402.11999999999995,404.79333333333335,396.5233333333333,313.24333333333334,321.07,325.2,317.6033333333333,316.98,317.385,314.83000000000004,321.57000000000005,315.63,317.125,322.8933333333334,313.40333333333336,308.21000000000004,299.01,293.78499999999997,293.72333333333336,307.15,306.68,288.05499999999995,240.14,255.72,258.755,315.76,370.75666666666666,366.53333333333336,L7
2001-03-22 22:17:09.568,246.81333333333336,266.1766666666667,276.49333333333334,281.09,276.38000000000005,267.605,272.97,272.32666666666665,275.2766666666667,283.23,289.16333333333336,283.8833333333334,281.2033333333333,277.6500000000001,289.06,283.17,303.7266666666667,303.64000000000004,297.19,295.97,305.65,297.34000000000003,296.235,302.92,307.32,315.72,313.39,308.5,316.245,309.125,318.64,239.25,265.44499999999994,273.31,263.79,269.3433333333333,277.32,278.47,295.68,308.1,314.085,311.23,313.26,311.475,331.505,335.33,342.66,344.495,346.36,351.43,351.21,346.12,347.895,353.35,355.235,351.085,355.48,373.07,374.86,376.645,389.47,387.57,386.57000000000005,380.935,320.28499999999997,324.92,326.245,317.72,334.48,332.12,329.76,358.32,,,332.25,325.64,321.47,314.52,308.83,311.29,312.26,309.765,297.30499999999995,,,,323.93,360.53,358.555,L7
2001-04-07 22:17:01.469,242.56333333333336,265.6366666666667,275.24,280.75,276.08000000000004,267.605,269.26,281.445,281.3,288.94000000000005,293.615,284.35999999999996,281.45666666666665,276.12,290.8,285.14000000000004,307.27333333333337,301.61666666666673,290.48,290.92,299.4766666666667,294.3933333333334,292.28666666666663,295.175,302.575,309.605,309.92499999999995,306.0,316.245,309.125,302.62,259.68,274.735,264.79333333333335,270.51666666666665,272.58,279.5833333333333,278.635,297.865,325.13,318.73,317.94000000000005,312.615,314.295,329.72,332.31,338.505,344.74,344.26,345.935,344.6,346.41499999999996,347.445,351.65999999999997,354.805,351.2,355.795,370.73,378.05499999999995,380.355,387.94500000000005,389.32,387.915,383.655,330.84,331.43,332.96,328.14,334.48,333.76,324.12,342.87,319.59,321.97,,322.03,316.005,313.9,307.7,309.65,309.68,309.37,300.015,260.23,260.51,270.19,313.39,358.395,357.59000000000003,L7
