dates,satname,nzd0089-0000,nzd0089-0001,nzd0089-0002,nzd0089-0003,nzd0089-0004
1999-09-27 22:04:48.949000,L7,282.45,304.85,299.01,311.32,294.31
1999-11-14 22:04:42.286000,L7,,,,382.50,357.68
2000-01-01 22:04:37.439000,L7,297.38,303.93,312.31,325.99,315.81
2000-01-17 22:04:35.821000,L7,370.11,348.26,343.86,349.30,347.38
2000-08-12 22:02:54.094000,L7,336.56,323.60,331.39,318.32,313.50
2000-09-13 22:02:26.190000,L7,295.18,320.48,342.71,327.34,315.63
2000-10-15 22:01:56.204000,L7,,266.59,309.90,302.96,292.14
2001-02-04 22:02:14.384000,L7,304.74,289.10,330.42,,
2001-03-24 22:01:59.719000,L7,291.39,310.61,327.11,328.11,322.43
2001-08-15 22:00:38.680000,L7,,266.73,309.14,310.10,311.12
2001-10-02 22:00:04.650000,L7,,252.19,257.85,271.99,278.11
2001-12-05 22:00:18.987000,L7,280.71,279.16,288.14,309.55,322.98
2002-01-22 22:00:40.906000,L7,289.97,311.22,307.00,314.37,313.53
2002-03-27 22:00:37.575000,L7,291.67,274.39,304.82,319.88,313.89
2002-04-28 22:00:38.357000,L7,,,,264.72,284.69
2002-07-01 22:00:15.186000,L7,289.34,301.49,315.53,330.71,318.97
2002-08-18 21:59:57.690000,L7,376.93,348.75,340.86,349.58,338.58
2002-11-06 21:59:41.879000,L7,,299.48,237.20,283.19,284.82
2005-05-30 21:59:15.499000,L5,,274.56,305.69,298.43,297.73
2005-09-19 21:59:56.928000,L5,270.31,269.78,292.59,287.31,287.62
2008-10-29 21:55:24.451000,L5,,,262.46,270.72,278.13
2011-03-12 22:01:43.554000,L5,,,256.70,270.06,275.28
2011-09-04 22:00:27.603000,L5,,,261.27,278.27,280.87
2013-05-20 22:13:50.559000,L8,,260.04,256.04,289.15,292.29
2013-06-21 22:13:43.313000,L8,,,,283.18,288.13
2013-10-27 22:13:31.854000,L8,,263.90,270.44,290.11,294.23
2013-11-28 22:13:25.971000,L8,,281.32,305.74,324.56,305.04
2013-12-14 22:13:21.591000,L8,,,,272.61,283.09
2014-01-31 22:12:52.806000,L8,,,,280.20,288.56
2014-04-05 22:11:58.702000,L8,,,,269.61,281.56
2014-05-23 22:11:18.694000,L8,,,,283.00,291.40
2014-10-14 22:12:02.705000,L8,,,,282.06,290.11
2014-10-30 22:11:58.859000,L8,,253.56,249.16,279.09,287.74
2014-12-01 22:12:00.318000,L8,,278.17,292.40,303.74,301.47
2015-03-07 22:11:30.209000,L8,,,,280.63,288.68
2015-06-27 22:11:10.298000,L8,,,,286.93,290.54
2015-07-29 22:11:25.856000,L8,,,,280.57,288.06
2015-12-20 22:11:57.501000,L8,,251.18,263.90,293.95,296.18
2016-02-22 22:11:42.580000,L8,,,,279.46,286.07
2016-05-12 22:11:20.683000,L8,,,,282.55,287.23
2016-08-16 22:11:53.694000,L8,,,,269.35,279.71
2016-11-20 22:12:09.409000,L8,,284.37,288.79,306.16,298.41
2016-12-22 22:12:03.110000,L8,,,,262.92,280.96
2017-08-19 22:11:53.133000,L8,,,,282.45,289.51
2018-01-10 22:11:54.118000,L8,,,,275.09,284.59
2018-07-05 22:10:54.795000,L8,,,,282.45,290.39
2018-08-06 22:11:10.291000,L8,,,,262.01,281.40
2018-09-07 22:11:24.397000,L8,,,,285.91,291.40
2019-02-14 22:11:33.473000,L8,,,,261.28,276.75
2019-03-02 22:11:29.304000,L8,,251.23,268.96,295.06,297.61
2019-05-21 22:11:27.314000,L8,,,,287.36,290.33
2019-06-22 22:11:40.996000,L8,,,,269.22,288.05
2019-08-09 22:11:55.358000,L8,,,,260.27,278.68
2020-02-01 22:11:53.781000,L8,,,,,286.13
2020-05-07 22:11:12.613000,L8,,,,283.61,288.13
2020-07-10 22:11:39.723000,L8,,,,284.03,289.86
2020-07-26 22:11:44.648000,L8,,,,280.64,290.98
2020-08-27 22:11:56.368000,L8,,256.18,253.87,280.38,290.57
2020-12-17 22:12:09.375000,L8,,,,,287.78
2021-02-19 22:11:51.945000,L8,,278.47,301.58,306.59,303.84
2021-07-13 22:11:43.513000,L8,,,,284.59,293.92
2021-11-06 22:12:48.299000,L9,,273.92,284.06,309.68,303.33
2021-11-18 22:12:08.776000,L8,,287.99,300.51,307.99,302.06
2022-01-13 22:12:02.740000,L9,,,,278.40,286.89
2022-01-21 22:11:59.917000,L8,,,,,252.81
2022-01-29 22:12:05.530000,L9,,,,,286.07
2022-02-14 22:12:01.049000,L9,,,,,287.69
2022-05-21 22:11:19.594000,L9,,,,283.66,288.64
2022-06-14 22:11:59.156000,L8,,,,284.85,289.44
2022-07-08 22:11:39.226000,L9,,,,283.16,290.90
2022-07-16 22:12:03.012000,L8,,,,281.41,290.12
2022-08-09 22:11:58.475000,L9,,,,274.38,286.76
2023-02-09 22:12:09.040000,L8,,,,,288.63
2023-03-13 22:11:47.152000,L8,,,,283.28,289.05
2023-03-21 22:11:55.188000,L9,,,,289.68,291.77
2023-03-29 22:11:37.049000,L8,288.14,282.96,301.29,316.56,310.70
2023-05-16 22:11:04.371000,L8,,,,285.38,293.90
2023-05-24 22:11:17.213000,L9,,,,276.55,288.73
2023-06-17 22:11:17.056000,L8,,,,278.21,288.72
2023-07-11 22:11:24.365000,L9,,,,284.36,291.49
2023-07-27 22:11:26.959000,L9,,,,280.84,288.31
2023-08-28 22:11:44.258000,L9,,270.92,280.23,305.23,307.48
2023-11-24 22:12:03.999000,L8,,,,286.60,290.70
2024-01-03 22:12:03.955000,L9,291.15,271.88,284.27,302.02,301.00
2024-02-04 22:12:07.739000,L9,,,236.30,287.57,289.96
2024-02-12 22:11:54.234000,L8,,,,279.66,289.63
2024-03-15 22:11:37.973000,L8,,,,360.82,367.26
2024-04-16 22:11:19.307000,L8,,,,281.82,291.17
