dates,satname,nzd0138-0000,nzd0138-0001,nzd0138-0002,nzd0138-0004,nzd0138-0005,nzd0138-0006,nzd0138-0007,nzd0138-0008,nzd0138-0009,nzd0138-0010,nzd0138-0011,nzd0138-0012,nzd0138-0013,nzd0138-0014,nzd0138-0015,nzd0138-0016,nzd0138-0017,nzd0138-0018,nzd0138-0019,nzd0138-0020,nzd0138-0021,nzd0138-0022,nzd0138-0023,nzd0138-0024,nzd0138-0025,nzd0138-0026,nzd0138-0027,nzd0138-0003,nzd0138-0029,nzd0138-0030,nzd0138-0031,nzd0138-0028
1999-08-26 22:04:44.971000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,218.93,204.48,,167.95,187.40,56.64,189.06
1999-09-27 22:04:48.949000,L7,,,,,,,,,,,,,,,,,,,,,218.21,242.71,240.79,234.59,224.65,269.32,256.08,,223.58,122.02,13.65,240.17
1999-11-14 22:04:42.286000,L7,,264.17,264.10,260.28,279.83,286.70,274.22,273.71,241.82,,237.85,259.70,256.20,256.23,,,,,,,,,,,216.59,221.40,203.87,274.32,181.98,132.04,49.85,191.43
2000-01-01 22:04:37.439000,L7,306.25,327.41,287.47,242.83,287.96,310.96,339.56,343.54,330.55,325.10,327.32,329.76,325.51,332.58,328.59,325.61,321.89,323.43,324.93,326.82,329.10,308.97,303.62,300.68,298.10,294.50,292.82,,,,,
2000-01-10 21:58:52.465000,L7,339.46,311.22,340.75,349.49,333.64,359.14,358.96,348.32,323.94,322.51,327.94,307.34,323.58,333.13,,,,,,,,,,,,,,353.14,198.71,195.41,71.66,
2000-02-11 21:58:22.025000,L7,252.36,278.45,269.10,272.77,285.39,294.56,294.14,274.55,275.91,305.14,302.91,304.86,308.37,306.04,288.70,,,275.69,272.98,295.97,289.94,287.97,283.17,232.88,228.44,256.76,264.00,279.07,206.20,179.47,122.34,248.59
2000-02-18 22:04:29.218000,L7,307.93,318.45,326.64,327.62,328.40,336.37,332.91,325.10,318.92,312.98,317.79,,,,,,,,281.97,311.75,317.53,,,,,,,322.28,206.13,176.45,107.64,220.35
2000-05-17 21:58:07.485000,L7,230.21,274.74,306.49,,,,266.91,264.75,289.73,258.97,251.34,260.56,254.00,259.50,,,,,,,248.79,283.15,282.64,236.80,223.01,220.26,255.10,261.08,225.45,184.29,74.31,232.79
2000-05-24 22:03:46.662000,L7,244.22,277.64,309.77,,,,,260.30,275.52,254.31,252.07,260.15,255.76,257.58,,,,,,,247.63,236.78,227.49,232.84,225.86,224.71,211.34,,225.85,188.31,67.57,193.69
2000-08-12 22:02:54.094000,L7,,,,,,,,,,,,,,,,,,,,,,,247.91,239.44,240.06,279.32,276.76,,235.83,194.68,101.33,257.16
2000-10-15 22:01:56.204000,L7,,,,252.02,268.27,277.78,263.27,264.80,229.12,,221.92,215.83,250.77,246.67,,,,,,,,,,,,,,,,,,
2000-12-11 21:56:00.959000,L7,,246.98,311.20,311.48,303.36,309.80,314.78,276.83,295.45,263.10,263.10,293.32,289.53,266.23,298.07,295.21,282.29,295.49,284.30,293.05,280.50,271.80,272.16,263.99,232.98,247.25,250.49,300.97,215.80,187.56,102.68,231.04
2001-01-03 22:02:12.432000,L7,,357.33,340.94,344.09,345.04,342.51,344.57,342.21,330.11,324.72,326.79,324.00,326.23,321.54,326.67,320.54,319.80,314.75,312.27,312.95,308.83,302.59,299.63,301.72,298.71,292.02,286.21,339.81,264.33,238.29,158.80,269.03
2001-02-13 21:56:03.778000,L7,,,,,,,,,,,250.60,255.93,255.62,248.71,,,,,,,,,,,,,,,,,,
2001-03-01 21:55:57.624000,L7,,,,,,279.07,273.76,264.40,265.46,253.40,224.23,247.80,257.95,250.88,,,,,,,250.36,240.26,241.27,223.75,222.32,216.00,203.09,,214.67,191.30,86.99,232.30
2001-03-01 21:56:21.596000,L7,,,,227.73,267.83,284.08,274.94,265.98,266.21,254.08,243.76,255.81,258.66,251.30,,,,,,,249.43,241.66,243.71,225.24,223.05,216.70,252.71,,216.46,191.78,87.91,232.76
2001-03-17 21:56:16.575000,L7,319.63,328.21,,,354.29,357.31,363.47,351.71,335.81,335.66,331.75,326.89,327.51,330.65,332.16,331.44,324.06,323.25,318.95,315.81,317.53,309.57,305.69,303.77,298.94,304.89,285.84,,265.49,253.15,187.27,268.18
2001-03-24 22:01:59.719000,L7,239.57,268.16,262.33,,,279.66,273.40,268.38,262.17,257.82,243.65,256.67,253.67,251.41,301.00,298.76,294.60,298.14,268.43,219.82,244.25,237.20,280.48,224.40,225.88,268.48,256.31,270.41,227.49,200.76,,241.70
2001-08-08 21:55:01.113000,L7,242.65,277.59,312.11,258.56,277.53,277.38,276.15,269.34,287.42,256.96,249.21,255.50,255.66,253.57,,,,296.87,232.02,295.60,288.14,,,,230.99,217.62,210.74,266.17,177.46,203.25,72.30,192.20
2001-08-15 22:00:38.680000,L7,,,,,,,,,,,,324.63,332.96,327.72,328.26,329.47,340.07,324.92,321.07,317.81,323.40,313.63,307.47,304.83,302.22,304.26,294.56,,264.31,247.59,206.96,274.90
2001-08-24 21:54:24.664000,L7,,,,,,,,,,,,,,,,,,,,,,,,,220.95,217.01,207.41,,205.93,160.41,,197.82
2001-09-09 21:54:12.928000,L7,,,,252.01,266.80,275.89,271.82,267.98,274.40,,231.33,253.95,256.81,247.78,,,,,,,248.29,243.22,240.85,229.07,230.68,217.81,214.07,,217.58,148.59,,197.86
2001-09-09 21:54:36.880000,L7,,,,239.96,250.07,262.94,265.83,259.36,270.21,,,,,,,,,,,,239.36,235.30,232.55,219.65,223.54,209.24,197.30,,211.11,170.86,,182.39
2001-09-25 21:54:04.740000,L7,343.41,349.31,347.59,344.61,343.56,347.75,340.73,352.44,329.86,325.96,323.62,322.13,325.48,327.29,324.99,324.70,323.91,321.65,318.04,318.57,314.03,308.05,307.77,304.93,303.61,294.28,287.05,338.27,262.91,244.37,199.34,277.73
2001-09-25 21:54:28.694000,L7,,353.96,354.22,346.59,346.05,351.55,345.64,356.75,332.03,328.22,329.41,325.36,328.26,330.21,328.04,327.92,327.11,326.08,320.59,324.52,315.69,312.92,310.92,309.85,308.52,297.72,290.21,339.50,264.53,248.17,208.43,283.33
2001-10-02 22:00:04.650000,L7,,,,257.64,271.14,277.02,272.82,267.46,264.17,252.87,239.98,227.43,249.86,248.52,,,,,,,,,,,,,,268.41,,,,
2001-10-11 21:53:46.024000,L7,332.34,348.44,339.97,337.14,345.67,344.72,348.80,336.18,332.32,325.36,317.99,323.46,326.56,322.03,322.96,319.66,319.75,316.45,317.40,313.58,311.88,308.40,301.19,301.24,290.57,296.67,286.03,344.82,255.35,250.30,,278.96
2001-10-11 21:54:09.862000,L7,329.04,347.02,339.58,337.20,343.18,343.14,342.36,337.79,329.20,323.86,317.36,322.09,326.88,321.13,322.70,318.46,318.84,315.96,316.50,314.17,310.94,306.54,300.47,300.63,291.29,295.72,284.34,343.35,254.61,248.72,196.57,277.06
2001-12-05 22:00:18.987000,L7,,,,247.19,274.33,278.33,,,,,234.68,283.89,252.58,245.73,,,,,265.18,282.46,263.42,255.10,267.53,219.02,213.48,219.22,203.05,271.45,175.68,145.51,13.50,188.57
2002-01-22 22:00:40.906000,L7,,,,342.43,347.97,344.02,340.94,341.31,326.11,327.50,320.79,323.52,328.54,325.48,323.14,325.97,318.27,312.45,319.63,317.51,306.20,302.95,303.23,298.44,298.29,291.00,282.28,,257.23,261.50,181.18,269.10
2002-02-16 21:54:54.191000,L7,228.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-12 22:00:37.812000,L7,,,,,,,,,,,,,,,,,,,,,,,,214.40,238.33,213.33,211.51,,169.13,154.74,20.76,200.78
2002-05-23 21:54:18.991000,L7,,,,,,,,,,,288.27,263.84,253.60,255.79,,,,,,,,,,,,,,,,,,
2002-08-18 21:59:57.690000,L7,318.71,324.39,344.07,334.17,332.93,339.12,335.73,336.16,323.31,325.88,322.43,325.00,324.68,323.00,323.84,307.67,311.83,321.97,325.05,326.00,315.58,309.54,304.45,312.20,294.64,295.16,285.64,340.74,267.69,240.41,201.35,272.44
2002-08-27 21:53:36.267000,L7,,,,,,,,,,,,,,,,,,,,,246.44,238.59,239.31,228.83,226.19,218.12,208.02,,198.40,192.53,,187.04
2002-12-01 21:53:52.985000,L7,311.68,336.82,334.32,331.71,333.98,339.42,337.74,331.48,324.52,322.07,316.01,316.99,322.30,315.33,324.29,320.61,313.79,315.07,313.54,317.53,323.95,325.39,239.72,213.51,,,,329.40,253.43,229.17,151.61,267.29
2003-01-18 21:54:06.301000,L7,237.20,271.12,268.04,242.91,280.09,285.89,282.31,275.07,281.27,254.47,237.56,256.15,257.59,259.85,,,,293.21,270.96,288.71,,,,220.33,227.17,222.45,259.88,272.11,226.50,180.00,66.05,242.17
2003-01-18 21:54:30.278000,L7,228.63,266.64,263.08,,273.33,280.12,276.87,270.03,276.79,,230.03,252.95,252.60,257.19,,,,289.11,267.06,283.86,,,,,,,250.69,,223.14,196.42,,239.11
2003-01-25 22:00:18.779000,L7,,,,,265.03,280.33,274.10,270.55,275.81,,287.38,255.86,253.57,249.26,,,,,,,251.90,244.88,238.54,,,,,,,,,
2003-03-23 21:54:16.760000,L7,229.76,275.64,268.42,240.30,,,,,,,,,,,,,,,,,,,,,,216.55,254.59,260.97,220.05,186.11,66.99,230.91
2003-03-23 21:54:40.711000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,214.88,203.65,,215.57,184.23,64.96,231.21
2003-03-30 22:00:31.029000,L7,235.36,280.50,308.11,,,281.33,276.15,266.89,283.93,,,,,,,,,,,,245.77,244.81,266.67,230.30,218.76,201.79,211.83,,210.00,182.62,67.35,199.59
2003-05-10 21:54:22.508000,L7,,,,,,,,,,,,,331.21,326.25,330.46,345.89,331.32,328.34,324.46,328.31,326.35,311.31,311.73,,,,,,,,,
2003-05-10 21:54:46.466000,L7,,,366.18,341.21,335.44,339.65,343.12,340.36,335.38,330.20,329.19,327.75,328.81,326.75,328.79,337.73,331.90,328.21,318.68,325.50,317.17,308.45,310.45,307.74,305.91,301.33,297.10,343.47,268.15,236.81,,276.02
2003-07-21 21:42:09.884000,L5,,,,,,,,,,,,,,,,,,,258.84,273.08,260.38,248.41,247.27,244.72,,190.08,225.60,,182.10,164.85,58.33,191.64
2003-07-21 21:42:33.857000,L5,,,,,,,,,,,,,,,,,,,259.50,273.73,258.39,248.25,247.25,243.47,,,225.21,,182.10,164.85,58.33,191.54
2003-08-06 21:42:27.230000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,198.66,225.36,,183.41,167.92,50.71,194.39
2003-08-06 21:42:51.203000,L5,,,,,,,,,,,,,,,,,,,225.29,272.05,253.51,242.28,247.68,244.36,188.96,200.84,226.74,,185.24,169.04,52.43,195.37
2003-08-13 21:48:45.123000,L5,,,,273.54,268.49,287.30,273.72,274.59,271.93,,268.83,267.78,274.98,267.52,276.93,276.93,,,,,,,,,210.54,222.72,229.95,,195.13,173.78,58.14,202.15
2003-09-07 21:43:00.591000,L5,233.23,276.84,296.17,284.58,284.73,297.27,285.05,271.00,276.15,,,,,,,,,,254.51,279.91,258.68,250.36,253.88,252.53,208.96,,224.29,280.31,191.98,173.57,44.85,200.88
2003-09-30 21:49:30.432000,L5,,,,,,,,,,,,,,,,,,,,,,,,,203.21,204.84,220.04,,183.86,161.98,53.77,199.59
2003-10-25 21:43:40.253000,L5,240.05,280.22,300.60,283.57,285.57,267.28,283.49,279.00,278.76,,275.20,274.86,275.26,258.90,278.71,276.41,,,250.70,275.58,262.95,252.75,256.68,252.95,216.39,230.26,233.91,288.14,199.86,181.23,64.24,213.43
2003-10-25 21:44:04.226000,L5,,,,261.31,263.49,247.71,239.84,263.35,274.27,,,,,,,,,,,,,,,,198.54,205.77,227.80,,192.94,175.04,56.78,205.56
2003-11-17 21:50:09.452000,L5,,,,,,290.46,271.69,277.65,282.27,,,,,,,,,,,,,245.83,259.38,252.35,207.03,195.86,205.63,,178.91,148.40,60.53,190.56
2003-12-12 21:44:10.398000,L5,,,,,,,,,,,,,,,,,,,227.35,278.47,265.88,256.41,260.28,250.25,206.83,207.65,225.46,,198.96,174.19,78.18,209.85
2004-02-14 21:44:33.705000,L5,227.62,269.29,280.94,,,275.37,258.44,256.45,273.39,,,,,,,,,,,,,,,,,,202.20,,183.74,162.19,59.43,189.18
2004-02-21 21:50:47.082000,L5,213.13,274.98,294.36,291.64,300.54,305.14,302.83,288.99,285.51,269.94,,,,,,,,,,,,,,,189.85,203.05,211.26,285.54,185.81,174.99,90.42,210.20
2004-03-17 21:45:08.368000,L5,,283.48,303.04,295.89,306.31,308.61,306.27,296.26,284.12,275.15,280.50,281.18,281.16,247.79,,,,,,,,,,,,205.29,228.23,299.21,203.70,180.88,,209.73
2004-04-02 21:44:54.996000,L5,280.33,306.49,318.41,317.52,314.02,318.31,323.79,318.23,304.92,299.74,299.47,298.59,298.39,293.20,298.11,297.03,286.65,282.39,275.81,282.27,277.77,259.73,259.24,264.67,239.59,,,312.00,,,,
2004-04-18 21:45:25.586000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,206.98,,182.06,164.35,68.31,187.94
2004-04-18 21:45:49.558000,L5,229.95,274.39,285.21,270.65,284.65,300.43,276.14,274.48,275.34,,265.29,254.06,270.12,258.78,277.16,241.90,,,,,,,,,192.17,192.84,219.78,232.62,187.83,170.48,77.59,195.79
2004-05-04 21:45:52.076000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,206.58,,186.86,159.33,68.13,194.64
2004-05-04 21:46:16.049000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,206.58,,185.29,158.29,67.06,194.64
2004-05-20 21:46:20.465000,L5,232.79,273.53,293.16,,,,,,,,,,,,,,,,,,256.44,215.65,250.38,245.00,,199.96,225.96,255.19,194.57,170.42,69.25,205.45
2004-05-20 21:46:44.438000,L5,228.96,272.03,291.94,,,,,,,,,,,,,,,,,,,,,,,198.95,224.78,282.73,192.32,169.37,66.90,203.70
2004-06-12 21:53:11.618000,L5,238.66,281.03,297.12,283.51,285.73,287.43,291.88,275.05,276.22,,,,274.40,254.00,285.46,284.90,249.12,,212.39,265.34,264.18,251.22,252.21,251.36,208.95,249.94,229.83,273.62,199.45,168.92,73.63,213.51
2004-07-23 21:48:09.192000,L5,,,,,,,,,,,,,,,,,,,252.10,269.31,260.85,249.66,250.86,246.04,196.91,204.47,223.33,,193.41,171.49,69.18,201.15
2004-07-23 21:48:33.165000,L5,,,,,,,,,,,,,,,,,,,251.62,269.05,260.85,249.33,249.67,244.81,196.45,201.87,223.33,,193.21,171.49,69.18,200.48
2004-07-30 21:54:28.143000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,192.76,212.71,,185.32,167.17,74.08,191.67
2004-08-08 21:48:26.915000,L5,262.79,285.79,301.89,294.99,298.70,302.31,296.04,303.65,290.89,279.49,,,,277.94,298.24,305.08,277.13,283.56,282.86,291.55,283.23,272.59,274.47,271.06,270.62,271.40,245.38,303.17,219.85,194.21,109.24,228.14
2004-08-08 21:48:50.888000,L5,,,,,,,,,,,,,,,,,,,,266.58,262.59,249.49,254.77,250.59,205.14,229.77,227.04,,195.87,174.18,74.30,206.88
2004-09-16 21:55:41.721000,L5,,,,276.71,285.65,294.64,293.55,277.91,276.57,,,,,,,,,,,,,,,,,,,262.73,,,,
2004-09-25 21:49:43.196000,L5,241.34,276.15,287.75,279.65,290.39,291.77,288.97,282.38,277.00,,270.96,270.66,270.78,263.80,280.77,280.67,,,246.65,272.30,261.96,249.20,255.68,249.65,215.85,254.97,230.48,253.50,198.17,177.69,71.88,213.24
2004-09-25 21:50:07.312000,L5,290.59,306.42,319.06,323.52,324.35,324.14,325.41,318.09,301.39,301.65,300.56,301.37,306.98,297.17,310.00,313.10,297.78,302.19,297.45,300.11,295.43,282.10,281.50,283.21,275.93,283.65,268.16,319.84,227.58,206.22,126.68,242.47
2004-10-18 21:56:23.891000,L5,,,,,,,,,,,,,,,,,,,,,,240.26,254.50,250.40,204.65,203.80,220.55,,,,,
2004-11-03 21:56:42.977000,L5,225.08,272.87,,,,,,,,,,,,,,,,,,,256.53,238.15,257.35,260.98,228.35,240.41,229.81,,201.47,169.20,72.55,211.58
2004-11-19 21:56:55.269000,L5,,,,,,,,,,,239.68,249.50,273.55,271.72,293.20,294.64,,277.79,275.33,285.18,257.25,247.67,255.53,247.97,208.75,212.93,222.43,,210.43,191.79,108.11,223.76
2005-01-15 21:51:45.464000,L5,232.11,272.88,241.29,,,291.15,272.14,249.64,269.29,,,,,,,,,,254.19,271.98,259.97,242.85,250.41,242.86,202.12,197.14,220.37,,189.34,169.57,75.20,196.86
2005-01-15 21:52:09.437000,L5,233.52,275.27,249.79,,,,,,,,,,,,,,,,,,,,,,200.61,197.36,218.85,,190.51,170.14,74.09,198.20
2005-01-22 21:58:02.481000,L5,,,,,,,,,,,,,,,,,,278.42,274.36,287.88,277.86,257.69,264.07,249.52,209.60,234.34,224.94,,197.11,176.98,104.04,212.26
2005-02-23 21:58:31.621000,L5,281.40,309.42,318.29,318.98,315.93,312.64,311.15,303.72,291.62,285.18,282.21,288.05,295.88,283.90,297.01,301.33,285.63,288.21,291.61,296.82,282.37,275.43,250.89,267.97,264.97,272.30,254.10,315.64,227.51,213.97,155.53,239.12
2005-03-11 21:58:44.158000,L5,244.87,279.86,292.34,279.89,292.02,291.28,287.75,281.55,276.29,,269.32,262.04,272.20,260.06,281.86,280.71,,,,,255.02,249.84,251.25,244.92,207.64,205.63,214.93,285.90,191.24,175.04,76.87,203.10
2005-03-27 21:58:51.619000,L5,231.94,279.76,294.87,268.76,297.91,294.59,279.15,266.17,267.70,,,,,,,,,,,,,,,,,,212.10,269.60,192.75,174.60,87.21,201.96
2005-04-12 21:58:55.193000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,209.83,,186.87,168.66,70.48,200.05
2005-05-07 21:52:53.005000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,205.79,,182.76,165.94,62.26,195.10
2005-05-23 21:53:00.685000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,210.06,208.65,,188.50,171.22,70.92,196.65
2005-06-08 21:53:09.034000,L5,,,,,,,,,,,,,266.44,257.61,276.07,283.27,,,,,213.66,251.67,251.88,246.59,,,224.50,,197.13,179.12,87.38,207.39
2005-06-08 21:53:33.007000,L5,,,,,,,,,,,,,,,,,,,,,257.48,208.05,249.58,243.61,,,220.11,,193.56,175.49,82.09,203.88
2005-07-26 21:53:30.504000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,209.39,,164.40,169.13,53.53,189.81
2006-02-03 21:55:55.062000,L5,234.78,243.25,,265.85,292.99,304.14,301.28,285.29,281.84,,273.10,273.17,274.78,270.95,281.78,283.96,273.00,265.52,267.56,284.34,266.81,250.76,258.57,248.74,209.40,,,,,,,
2006-04-08 21:57:12.628000,L5,241.63,270.54,285.48,265.86,285.79,291.19,281.60,257.58,271.13,,263.01,270.28,270.29,265.12,282.74,282.25,,,258.06,275.25,263.62,251.74,252.59,242.21,206.32,,226.82,,193.51,171.49,77.68,204.98
2006-04-08 21:57:36.601000,L5,236.63,267.74,281.98,,,,,,,,257.49,268.69,267.90,262.67,281.17,280.68,,,,,,,,,,,225.85,,191.98,170.25,75.31,203.21
2006-04-15 22:03:30.798000,L5,239.45,279.53,298.32,281.10,287.65,286.52,284.84,267.14,270.94,,252.81,261.87,270.65,254.31,279.32,278.94,,,,,258.21,240.79,247.55,234.56,,,221.98,283.41,181.20,162.22,79.89,196.62
2006-05-17 22:03:57.969000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,221.52,,188.47,169.80,70.74,199.32
2006-06-02 22:04:12.415000,L5,,,,,,,,,,,,,273.82,256.05,277.14,281.38,,,,,,,,,,,209.84,,188.18,175.93,77.06,192.87
2006-08-21 22:05:19.629000,L5,,,,,,,,,,,,,,,,,,,,,,,,,198.07,197.97,223.46,,195.02,183.09,82.82,201.69
2006-11-25 22:06:43.926000,L5,,,,290.91,321.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-11 22:06:52.177000,L5,,,,329.47,316.51,321.06,319.84,306.86,295.96,,272.58,283.39,279.62,264.86,279.92,278.80,249.45,,,,,,,,,,,352.62,,,,
2007-02-13 22:06:47.368000,L5,258.92,284.60,303.41,290.14,297.52,294.94,298.14,291.37,286.99,271.24,278.48,273.22,282.16,275.52,283.33,281.73,269.87,267.34,267.24,275.41,257.00,243.73,233.46,217.47,224.90,232.74,228.93,290.83,202.23,188.40,111.18,194.72
2007-09-18 21:58:42.182000,L5,,,,,,,,,,,,,270.25,258.73,278.09,279.91,263.91,,260.35,277.12,263.07,249.90,253.41,231.49,199.74,207.84,193.93,,162.81,175.17,66.22,189.11
2008-02-16 22:02:22.163000,L5,247.48,283.33,299.14,272.93,281.89,295.88,287.04,279.89,278.58,,268.29,267.48,276.41,268.78,282.86,286.08,,,,,,,,,,,222.17,287.06,189.30,184.50,103.84,211.16
2008-12-25 21:50:10.387000,L5,,,,,,,,,,,276.11,266.85,257.14,251.95,284.88,288.48,,,,,,237.84,233.98,220.77,213.83,210.57,223.90,,201.09,183.07,99.50,208.03
2008-12-25 21:50:34.359000,L5,,,,,,,,,,,278.05,270.32,260.60,254.56,286.61,289.52,266.59,,216.69,274.10,257.08,240.91,237.78,222.96,216.72,216.03,225.64,,201.85,183.85,99.32,209.27
2009-02-02 21:57:22.411000,L5,239.18,277.91,289.81,274.86,244.25,291.14,278.91,277.13,273.30,,261.76,253.30,263.86,257.42,283.08,278.81,,,,,,,,,,,,259.22,,,,
2009-11-26 21:56:28.873000,L5,,284.20,296.29,288.96,284.47,292.19,291.94,278.11,277.26,,246.24,265.69,268.00,264.34,283.49,282.44,,,,,243.22,233.74,235.06,220.81,215.01,200.02,220.59,282.03,206.02,181.85,103.37,205.95
2010-01-29 21:56:53.427000,L5,,,,,,,,,,,218.40,259.98,267.07,260.15,280.91,283.35,266.66,,,,,,,,,,218.49,,196.75,173.13,89.80,202.10
2010-02-21 22:02:44.773000,L5,242.81,280.74,296.96,277.58,241.63,295.01,278.86,261.54,267.01,,228.88,225.66,249.56,257.89,279.65,279.19,,,,,,,,,,,207.88,270.64,206.05,183.01,99.62,203.87
2010-10-28 21:55:27.339000,L5,256.99,285.50,299.39,292.25,289.78,305.42,308.79,287.06,285.53,268.13,269.24,278.90,275.88,273.07,292.53,290.16,,,,,227.89,241.02,239.02,224.33,215.22,209.12,231.63,287.51,212.32,188.91,107.71,211.42
2010-10-28 21:55:51.312000,L5,249.65,280.79,292.07,287.79,278.64,300.77,301.60,281.09,281.88,,264.90,274.35,270.11,268.21,287.61,285.07,,,,,,234.57,232.86,217.96,209.29,204.22,225.09,284.72,206.96,185.51,101.75,204.89
2010-12-31 21:55:32.560000,L5,283.64,312.80,323.94,324.24,321.97,331.60,330.11,316.67,304.60,301.17,294.68,297.87,298.69,299.44,312.18,313.62,303.14,307.49,303.74,304.21,288.82,265.29,269.51,267.23,271.04,278.29,256.53,323.13,231.13,208.40,141.78,239.75
2010-12-31 21:55:56.533000,L5,,,323.38,321.46,324.28,335.17,328.70,315.72,306.64,302.37,295.46,298.17,300.94,301.55,317.80,317.39,306.13,312.27,309.05,307.47,293.31,269.77,273.68,272.67,275.04,280.94,264.48,319.03,235.96,214.80,145.10,243.68
2011-01-07 22:01:44.406000,L5,257.85,284.26,299.28,287.49,293.01,302.88,303.48,286.16,284.07,,261.95,273.43,273.72,268.24,289.74,288.20,,276.39,272.30,280.23,254.46,234.18,232.38,211.88,212.09,206.30,220.42,281.15,207.87,184.58,104.00,204.59
