dates,nzd0008-0000,nzd0008-0001,nzd0008-0002,nzd0008-0003,nzd0008-0004,nzd0008-0005,nzd0008-0006,nzd0008-0007,nzd0008-0010,nzd0008-0011,nzd0008-0012,nzd0008-0013,nzd0008-0014,nzd0008-0030,nzd0008-0031,nzd0008-0032,nzd0008-0033,nzd0008-0008,nzd0008-0009,nzd0008-0015,nzd0008-0016,nzd0008-0017,nzd0008-0021,nzd0008-0022,nzd0008-0023,nzd0008-0024,nzd0008-0025,nzd0008-0026,nzd0008-0027,nzd0008-0028,nzd0008-0029,nzd0008-0018,nzd0008-0020,nzd0008-0019,satname
2003-01-16 22:06:02+00:00,284.4,252.54,237.19,236.27,244.66,238.91,250.17,244.56,,240.49,222.83,247.75,244.46,221.46,214.53,216.86,238.87,,,,,,,,,,,,,,,,,,L7
2003-12-26 21:56:18+00:00,,,,,240.85,262.35,253.03,,,,,,,,252.99,250.43,258.03,,,,,,,,,,,,,,,,,,L5
2004-05-18 21:58:14+00:00,288.17,273.58,256.02,252.22,246.44,267.46500000000003,254.98000000000002,261.17,270.4,278.33,,,,257.77,260.90999999999997,256.88,263.21,,221.34,,,,,,267.08,274.23,,233.89,211.64,247.77,228.86,,,,L5
2004-08-22 22:00:48+00:00,273.83500000000004,256.435,237.785,233.0,234.09,253.01,238.245,241.88,255.265,261.02,229.44,226.64,211.6,257.77,268.83,263.33,268.39,,202.5,,234.63,224.32,,,267.08,274.23,,233.89,211.64,247.77,228.86,,,,L5
2005-01-13 22:03:41+00:00,265.655,249.605,231.14,222.025,231.785,247.495,237.34499999999997,236.64,253.15,254.82000000000002,239.94,241.48499999999999,225.405,251.59,252.69,252.01,259.3,236.85,195.51999999999998,280.36,245.77,234.43,233.42,261.85,258.49,246.61,229.86,204.33,201.97,229.07,213.96,218.55,,,L5
2005-02-14 22:04:09+00:00,273.7033333333333,259.0833333333333,240.88666666666666,227.38333333333333,232.03666666666666,250.34,237.72,237.75666666666666,256.3966666666667,260.0833333333333,246.71666666666667,250.49,235.38333333333333,252.72500000000002,253.965,254.795,260.53499999999997,230.04500000000002,196.88666666666666,269.49,247.4,240.58,233.42,261.85,249.28500000000003,240.03,225.17000000000002,198.515,201.175,228.925,218.54000000000002,218.55,,,L5
2005-04-03 22:04:40+00:00,280.805,269.0,253.74333333333334,239.56333333333336,244.1833333333333,262.0533333333333,250.24333333333334,249.79333333333332,266.43666666666667,265.8966666666667,257.91333333333336,261.15000000000003,243.42999999999998,253.1866666666667,254.31000000000003,256.1666666666667,262.1033333333333,233.42333333333332,203.27333333333334,273.71333333333337,256.28333333333336,250.73333333333335,241.925,261.88,252.75666666666666,244.85666666666665,235.47,203.68999999999997,205.08333333333334,233.9,224.61,221.26,289.64,,L5
2005-06-06 22:05:05+00:00,277.99,266.08750000000003,250.665,239.1975,242.16750000000002,261.825,247.9975,249.5125,266.1325,264.1125,257.41499999999996,257.4175,239.51,254.38500000000002,255.195,255.675,263.275,229.0125,200.3175,274.8,257.765,251.9025,242.54,262.7166666666667,254.39499999999998,243.235,237.39249999999998,205.415,205.9725,235.57,227.6375,231.39000000000001,285.095,270.03,L5
2005-09-26 22:05:42+00:00,279.53,267.67,251.25333333333333,244.32000000000002,246.29333333333332,262.3333333333333,246.81999999999996,249.41,267.48,259.06,255.37999999999997,255.25333333333333,237.78666666666666,255.21,255.92333333333332,255.25333333333336,264.8,224.15666666666667,197.3066666666667,280.4266666666667,262.9533333333333,257.0166666666667,244.9766666666667,262.33666666666664,257.59666666666664,242.5233333333333,242.47333333333333,207.57000000000002,207.64,239.04666666666665,234.57666666666668,239.24333333333334,281.48,270.03,L5
2005-11-13 22:05:57+00:00,282.56666666666666,271.0566666666667,250.73333333333332,241.18999999999997,244.66333333333333,259.76666666666665,242.29999999999995,244.48666666666668,267.23333333333335,261.11,253.1933333333333,258.89000000000004,242.78333333333333,256.02000000000004,256.2333333333333,253.43666666666664,263.06,215.50333333333333,197.23666666666668,281.9,264.82,258.18,243.16,263.3966666666666,256.0933333333333,236.98000000000002,234.52666666666664,202.29999999999998,205.6,235.91,230.15666666666667,245.21,276.67,266.05999999999995,L5
