dates,satname,nzd0008-0000,nzd0008-0001,nzd0008-0002,nzd0008-0003,nzd0008-0004,nzd0008-0005,nzd0008-0006,nzd0008-0007,nzd0008-0010,nzd0008-0011,nzd0008-0012,nzd0008-0013,nzd0008-0014,nzd0008-0030,nzd0008-0031,nzd0008-0032,nzd0008-0033,nzd0008-0008,nzd0008-0009,nzd0008-0015,nzd0008-0016,nzd0008-0017,nzd0008-0021,nzd0008-0022,nzd0008-0023,nzd0008-0024,nzd0008-0025,nzd0008-0026,nzd0008-0027,nzd0008-0028,nzd0008-0029,nzd0008-0018,nzd0008-0020,nzd0008-0019
2003-01-16 22:06:02.914000,L7,284.40,252.54,237.19,236.27,244.66,238.91,250.17,244.56,206.55,240.49,222.83,247.75,244.46,221.46,214.53,216.86,238.87,,,,,,,,,,,,,,,,,
2003-12-26 21:56:18.593000,L5,267.92,268.62,248.49,213.70,240.85,262.35,253.03,248.44,254.10,238.76,239.69,252.60,231.47,245.85,252.99,250.43,258.03,231.12,204.72,256.93,255.20,248.39,223.38,255.94,254.71,240.32,211.94,191.81,196.67,224.72,215.90,,,
2004-05-18 21:58:14.785000,L5,288.17,273.58,256.02,252.22,252.03,272.58,256.93,261.17,270.40,278.33,234.94,185.87,229.10,257.77,268.83,263.33,268.39,262.63,221.34,297.93,277.39,269.81,,,267.08,274.23,270.31,233.89,211.64,247.77,228.86,267.56,,
2004-07-21 22:00:04.249000,L5,272.45,262.60,244.48,241.96,240.18,263.79,241.10,258.67,271.85,259.10,262.54,250.29,233.14,251.53,258.69,250.83,273.19,244.37,213.31,287.55,259.10,257.40,229.50,245.79,270.49,237.48,229.83,196.69,203.05,235.43,236.76,242.45,,
2004-08-22 22:00:48.706000,L5,259.50,239.29,219.55,213.78,216.15,233.44,219.56,222.59,240.13,243.71,229.44,226.64,211.60,,,,,194.76,183.66,239.43,234.63,224.32,,,,,,,,,,,,
2005-01-13 22:03:41.143000,L5,271.81,259.92,242.73,230.27,247.42,261.55,255.13,250.69,266.17,265.93,250.44,256.33,239.21,251.59,252.69,252.01,259.30,236.85,207.38,280.36,256.91,244.54,233.42,261.85,258.49,246.61,229.86,204.33,201.97,229.07,213.96,218.55,,
2005-02-14 22:04:09.465000,L5,289.80,278.04,260.38,238.10,232.54,256.03,238.47,239.99,262.89,270.61,260.27,268.50,255.34,253.86,255.24,257.58,261.77,223.24,199.62,258.62,250.66,252.88,,,240.08,233.45,220.48,192.70,200.38,228.78,223.12,,,
2005-04-03 22:04:40.528000,L5,277.09,269.04,258.12,250.32,252.59,268.58,257.13,258.70,270.25,261.15,263.03,258.62,235.74,254.11,255.00,258.91,265.24,240.18,202.82,282.16,261.28,254.78,250.43,261.91,259.70,254.51,256.07,214.04,212.90,243.85,236.75,223.97,289.64,
2005-04-19 22:04:43.597000,L5,283.80,269.79,257.85,242.86,249.22,270.98,254.55,254.21,272.95,265.67,215.69,215.82,207.54,247.73,254.61,259.14,271.47,238.23,209.69,283.74,261.91,254.98,,,,,,193.26,217.06,238.00,231.74,,,
2005-06-06 22:05:05.724000,L5,272.36,257.35,241.43,238.10,236.12,261.14,241.26,248.67,265.22,258.76,255.92,246.22,227.75,257.98,257.85,254.20,266.79,215.78,191.45,278.06,262.21,255.41,243.77,264.39,259.31,238.37,243.16,210.59,208.64,240.58,236.72,251.65,280.55,270.03
2005-08-25 22:05:41.221000,L5,,,,189.31,196.39,230.07,234.41,232.93,255.27,250.90,213.60,218.99,,245.16,249.91,243.18,255.81,214.74,192.93,,,,,,,214.36,199.63,179.73,197.44,221.29,218.82,,,
2005-09-26 22:05:42.687000,L5,286.70,276.62,254.21,244.54,250.17,257.28,242.07,240.86,266.97,257.27,247.19,260.92,249.87,253.54,254.92,252.65,262.37,216.51,197.65,281.06,265.37,260.86,240.73,260.71,253.78,234.69,228.19,198.08,201.38,232.71,230.26,242.11,274.25,
2005-11-13 22:05:57.059000,L5,288.64,279.20,256.56,240.93,247.70,260.88,243.57,243.93,269.51,267.30,256.47,269.53,250.73,256.54,255.93,253.46,260.02,214.22,202.61,286.58,266.88,258.27,244.98,265.09,255.19,237.88,232.23,198.23,206.78,234.44,223.49,241.87,275.21,262.09
2006-02-17 22:08:11.136000,L5,282.14,273.19,255.98,244.17,251.42,267.25,252.14,252.20,266.05,250.15,228.51,254.97,247.39,244.36,256.12,257.87,262.96,230.62,188.24,282.78,270.56,256.43,,,,223.26,248.12,203.74,207.53,239.83,236.92,,,
2006-04-06 22:09:08.139000,L5,286.45,275.34,248.14,243.43,251.11,267.75,253.41,255.32,272.79,265.47,261.09,267.72,247.25,264.08,260.67,262.40,268.18,225.84,217.62,291.54,274.47,262.04,258.29,275.82,265.61,251.99,263.01,216.68,214.07,244.75,250.18,247.21,280.25,280.00
2006-05-08 22:09:38.251000,L5,278.14,269.58,249.87,247.29,252.78,272.45,257.72,259.55,270.96,265.71,257.41,261.43,234.51,267.39,264.75,255.49,269.12,224.52,215.34,288.20,271.67,259.97,264.96,267.56,264.48,254.96,260.22,212.71,213.81,242.81,257.52,255.15,285.64,277.11
2006-06-25 22:10:20.606000,L5,274.51,265.78,246.51,243.22,247.59,262.26,250.12,255.26,266.87,262.77,246.20,258.83,226.76,254.48,262.14,251.09,261.79,211.25,193.14,276.53,253.36,241.95,248.63,267.19,256.24,243.33,237.20,197.63,203.80,232.40,238.55,,275.31,259.52
2006-07-11 22:10:34.443000,L5,,,,,200.05,235.23,214.45,216.74,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-08-28 22:11:11.674000,L5,272.05,254.64,239.01,240.64,247.82,263.67,253.63,254.05,261.10,255.50,243.20,251.31,221.79,251.42,251.61,245.67,258.48,213.62,196.39,277.31,256.69,244.93,238.81,264.96,255.03,235.16,222.22,201.35,206.85,232.25,234.42,,279.75,269.64
2006-12-02 22:12:34.352000,L5,309.04,297.56,282.03,282.61,283.15,285.87,285.63,273.76,267.23,318.18,287.21,284.07,243.12,265.82,263.25,265.95,264.47,260.12,229.08,284.06,307.28,295.52,288.20,302.20,286.23,280.02,268.10,252.51,219.26,241.25,251.57,261.60,309.58,
2007-01-03 22:12:49.248000,L5,373.17,351.31,335.61,324.32,319.80,313.64,318.06,304.51,267.76,330.12,310.31,312.12,312.49,256.92,265.46,264.66,262.98,305.47,261.41,287.22,339.72,315.91,334.94,311.83,319.69,296.00,276.55,269.33,236.18,249.19,271.11,303.03,321.54,204.39
2007-01-19 22:12:30.924000,L5,283.93,266.05,236.94,232.92,233.55,254.60,240.17,242.68,269.66,263.51,247.49,264.19,238.32,252.89,252.35,251.81,259.77,217.33,206.70,288.20,260.92,246.88,243.85,261.60,249.08,235.07,226.23,196.21,202.77,231.32,237.93,210.84,270.82,254.24
2007-10-02 22:10:31.289000,L5,,193.08,240.94,243.41,250.51,261.86,251.40,249.00,271.52,273.28,253.64,268.76,247.34,261.68,258.73,256.23,260.64,216.82,211.32,295.26,272.32,261.47,250.58,268.95,259.82,240.31,238.54,203.71,209.93,236.51,249.90,244.87,278.47,272.72
2009-01-24 22:02:55.057000,L5,271.35,259.32,247.02,242.97,244.65,260.87,252.73,247.04,258.80,256.54,244.35,252.78,230.63,248.85,249.62,251.13,259.73,204.71,196.05,275.02,252.77,248.91,239.10,259.08,254.32,239.94,235.21,188.73,195.92,228.81,244.85,187.91,270.88,246.60
2010-01-27 22:08:26.527000,L5,280.10,264.61,229.52,211.65,215.31,236.02,220.76,235.53,238.04,239.32,226.91,236.45,219.04,247.79,248.40,243.76,259.97,207.95,183.90,274.10,249.83,237.63,,,230.14,226.11,220.65,183.78,196.10,228.96,252.91,,,
2010-02-12 22:08:30.110000,L5,277.87,269.09,251.87,230.05,229.73,250.50,237.20,239.27,260.01,258.05,216.43,219.01,197.44,247.30,248.77,243.11,260.50,200.42,197.81,,,,199.51,245.29,236.67,218.46,211.56,180.93,192.63,224.31,243.29,,,
2010-10-10 22:07:36.102000,L5,310.68,288.61,282.93,280.89,303.93,324.34,319.57,299.89,343.57,325.60,339.79,312.81,339.43,358.73,360.30,355.79,374.46,279.61,335.42,350.54,326.22,260.70,341.04,328.18,324.06,316.48,297.64,285.72,312.73,328.16,359.07,329.85,322.67,348.84
2010-11-27 22:07:24.215000,L5,289.76,281.43,264.12,245.88,251.43,256.90,248.02,244.02,262.87,259.60,243.99,257.35,235.51,245.91,248.01,244.72,261.69,216.55,204.19,268.73,264.02,246.80,248.30,255.95,238.22,214.33,228.78,191.77,197.54,226.85,239.85,185.74,268.88,245.45
2011-09-11 22:06:09.236000,L5,269.36,262.52,245.48,239.85,241.28,259.49,245.53,242.91,254.58,251.12,237.89,232.09,219.64,248.85,239.05,237.43,255.48,203.53,199.06,249.41,245.47,231.45,233.80,246.69,227.38,205.86,205.39,186.16,201.86,227.45,236.88,,250.49,207.99
