dates,satname,nzd0221-0000,nzd0221-0001,nzd0221-0002,nzd0221-0003,nzd0221-0004,nzd0221-0005,nzd0221-0006,nzd0221-0007,nzd0221-0008,nzd0221-0009,nzd0221-0010,nzd0221-0011,nzd0221-0012,nzd0221-0013,nzd0221-0014,nzd0221-0015,nzd0221-0016,nzd0221-0017,nzd0221-0018,nzd0221-0019,nzd0221-0020,nzd0221-0021
1999-12-25 21:58:52.197000,L7,,315.62,320.96,312.34,308.87,312.16,302.01,315.83,321.71,306.78,308.86,322.14,308.23,320.43,318.53,314.32,300.33,297.03,302.53,311.28,325.32,348.67
2000-01-10 21:58:52.465000,L7,,318.39,326.99,302.23,308.72,314.07,301.81,326.09,302.79,306.55,308.11,342.79,319.74,343.32,327.24,333.69,315.14,319.47,331.19,342.86,,
2000-02-27 21:58:40.521000,L7,,296.22,298.20,292.65,306.77,319.98,297.71,316.32,302.45,314.07,306.14,301.77,318.52,328.13,331.24,379.04,336.89,298.71,307.75,346.17,333.89,334.73
2000-03-14 21:58:35.291000,L7,,,,,,,,,,,,,,,,293.23,257.87,279.70,283.32,288.37,320.49,305.45
2000-03-30 21:58:33.541000,L7,330.55,318.61,319.56,309.40,303.01,327.19,290.25,330.22,300.32,322.51,328.60,321.83,323.48,319.95,323.38,327.76,316.98,317.18,318.19,324.25,371.32,351.25
2000-08-05 21:57:08.715000,L7,330.09,304.97,324.58,377.34,381.79,367.37,336.47,305.22,326.31,330.60,334.06,300.98,334.51,333.20,335.86,323.45,327.51,340.16,322.14,305.42,344.66,344.95
2000-11-09 21:56:21.390000,L7,313.23,317.22,317.60,312.89,306.17,312.12,313.70,336.51,361.61,352.24,320.42,325.47,319.29,328.64,325.61,317.82,308.47,304.16,307.19,320.97,373.32,362.28
2001-03-01 21:56:21.596000,L7,,,,,,,,,,,,284.78,293.01,300.09,307.74,297.34,292.27,288.72,296.15,292.60,322.60,307.13
2001-03-17 21:56:16.575000,L7,,,273.49,275.33,283.41,284.03,258.80,288.38,283.89,291.04,288.56,282.83,296.22,291.84,305.98,305.56,290.63,286.97,298.04,289.10,316.26,318.11
2001-06-21 21:55:29.297000,L7,,,,,,,,266.35,276.67,344.10,282.33,272.12,294.19,272.66,301.99,304.15,298.92,286.68,290.21,,,
2001-08-08 21:55:01.113000,L7,,,,,,,,,,,,,,,284.76,261.95,255.21,238.15,256.39,,,
2001-08-24 21:54:48.593000,L7,336.33,321.96,330.96,317.35,312.56,323.73,303.17,329.23,312.92,333.46,331.63,310.84,334.28,325.30,345.20,334.37,328.89,332.55,,,,350.02
2001-09-09 21:54:36.880000,L7,,,,,,,,273.47,283.74,294.64,295.71,282.03,296.86,285.74,311.55,309.65,300.55,292.94,298.04,287.55,320.24,336.16
2001-09-25 21:54:28.694000,L7,342.30,345.70,346.73,341.68,341.49,337.11,332.50,342.02,330.74,337.58,338.49,365.02,336.24,348.89,347.11,343.61,324.53,322.95,338.75,350.38,,
2001-12-30 21:54:37.254000,L7,,296.84,294.57,289.45,288.38,284.93,272.11,296.60,293.34,252.63,286.35,297.96,288.72,301.00,310.11,311.44,,,,,,
2002-02-16 21:54:54.191000,L7,356.13,353.71,364.59,354.34,343.58,334.89,335.26,349.51,346.78,346.43,346.79,353.91,342.29,350.59,345.65,346.12,324.65,328.12,351.41,,,
2002-03-20 21:54:48.224000,L7,,,,,,,,,,,,,,,275.36,265.40,259.68,235.31,,,,
2002-08-27 21:54:00.253000,L7,,306.95,323.60,288.90,303.82,297.22,285.62,304.12,314.66,324.79,309.66,302.34,337.83,305.52,337.67,321.89,330.09,314.86,316.18,309.17,331.74,348.01
2002-10-14 21:53:43.769000,L7,323.72,327.90,334.90,321.10,319.99,322.57,315.94,333.38,323.15,331.79,334.50,341.22,334.06,337.11,344.38,339.32,327.80,327.90,329.81,350.02,,
2002-12-01 21:54:16.937000,L7,376.77,378.14,,,,384.69,324.82,334.53,322.29,322.39,325.66,335.22,326.98,332.15,334.46,325.01,314.81,309.05,309.84,326.44,335.18,346.41
2003-01-18 21:54:30.278000,L7,,316.45,317.99,306.71,299.41,302.55,291.30,318.97,372.74,361.49,344.26,331.07,311.93,320.21,321.81,317.62,305.22,301.67,354.28,352.59,369.51,375.25
2003-03-23 21:54:40.711000,L7,,,,,,,,,,,280.20,308.67,317.22,302.27,301.96,352.53,368.37,316.03,,,,
2003-04-08 21:54:47.577000,L7,338.29,324.87,324.58,311.43,314.49,324.70,302.13,334.07,321.84,330.56,335.47,358.21,336.64,332.05,335.59,334.56,328.17,321.81,328.43,328.66,,
2003-04-24 21:54:46.433000,L7,331.10,316.65,298.75,301.95,304.60,312.41,293.85,316.91,313.84,329.80,334.92,299.50,336.61,325.85,330.09,329.44,316.62,321.45,322.97,317.92,340.64,347.04
2003-10-25 21:44:04.226000,L5,324.77,328.70,323.45,313.51,316.18,307.93,306.05,315.88,308.94,311.28,328.56,330.96,326.82,335.23,335.56,327.36,310.82,298.85,305.10,310.35,325.57,337.40
2004-03-17 21:45:08.368000,L5,,,,,,,,,,,,,,282.20,296.04,289.05,276.15,268.53,278.78,272.60,294.06,309.03
2004-04-02 21:45:18.969000,L5,,,,,,,,,,,,,,265.90,293.87,280.79,253.78,243.80,265.18,271.21,290.89,301.58
2004-04-18 21:45:49.558000,L5,,,,,,,,,,,,,,272.72,290.41,295.63,281.88,278.02,290.20,280.31,298.84,310.10
2004-05-04 21:46:16.049000,L5,,,,,,,,262.80,267.57,285.17,267.88,268.62,294.54,284.52,290.18,291.33,278.79,270.04,281.95,272.71,292.52,300.45
2004-07-23 21:48:33.165000,L5,,,,,,,253.08,274.01,274.67,295.68,265.23,271.84,292.89,279.25,302.67,296.50,292.45,279.79,290.12,281.06,311.61,
2004-09-25 21:50:07.312000,L5,,286.92,272.57,278.45,268.08,273.39,261.36,279.14,270.65,266.87,262.39,284.18,286.95,,,,,,,268.41,287.64,300.57
2004-10-27 21:50:47.740000,L5,,295.66,288.33,287.71,278.29,281.56,271.47,277.58,267.42,273.64,268.56,291.33,293.12,294.53,300.32,296.92,284.79,274.21,270.68,274.08,284.84,291.79
2005-01-15 21:52:09.437000,L5,316.73,325.46,322.64,337.23,324.96,320.56,325.00,333.23,332.30,328.88,333.90,347.88,339.05,330.09,327.48,317.21,307.26,309.32,308.03,326.40,348.49,350.63
2005-02-16 21:52:37.927000,L5,282.33,295.17,286.41,275.30,285.44,284.21,308.78,323.34,311.57,312.58,313.29,327.42,319.65,317.27,306.40,300.36,288.27,286.27,290.86,276.65,,
2005-03-04 21:52:52.217000,L5,337.71,368.36,351.96,370.95,366.67,339.21,341.81,354.31,363.45,371.01,362.01,352.17,377.91,382.25,378.98,,,,,,365.06,365.43
2005-04-21 21:53:10.893000,L5,,,,,,,,,,,,,,276.14,296.15,300.04,290.15,281.73,291.56,290.85,313.40,309.55
2005-10-30 21:54:03.531000,L5,,309.48,305.38,288.92,284.93,285.47,285.94,292.05,279.12,279.71,289.31,312.40,308.50,311.88,314.00,309.73,290.31,271.87,279.68,282.13,293.76,305.00
