dates,satname,nzd0083-0000,nzd0083-0001,nzd0083-0002,nzd0083-0003,nzd0083-0004
2021-04-24 22:11:25.382000,L8,286.61,297.46,304.64,308.64,302.36
2021-05-26 22:11:31.065000,L8,269.48,277.13,283.14,282.67,266.47
2021-07-13 22:11:43.513000,L8,274.47,280.51,289.06,287.16,274.12
2021-10-01 22:12:10.732000,L8,280.78,280.14,285.89,289.53,279.71
2021-11-06 22:12:48.299000,L9,346.32,337.84,345.00,335.18,332.68
2021-11-18 22:12:08.776000,L8,284.01,282.90,287.44,295.27,286.57
2022-01-21 22:11:59.917000,L8,311.91,300.56,311.52,319.60,318.39
2022-02-14 22:12:01.049000,L9,301.21,301.63,314.27,316.80,307.31
2022-02-22 22:11:50.626000,L8,,281.26,282.22,285.17,257.59
2022-05-05 22:11:31.114000,L9,276.80,281.56,282.86,286.08,271.30
2022-05-21 22:11:19.594000,L9,274.61,282.57,287.28,284.98,276.79
2022-06-14 22:11:59.156000,L8,300.27,302.32,314.06,312.24,304.05
2022-07-16 22:12:03.012000,L8,282.40,285.86,293.04,290.73,283.43
2022-08-09 22:11:58.475000,L9,275.92,277.64,282.64,285.04,273.34
2023-02-09 22:12:09.040000,L8,300.71,297.76,304.70,312.48,306.58
2023-03-05 22:12:01.427000,L9,287.99,292.56,299.54,340.05,291.67
2023-03-13 22:11:47.152000,L8,308.23,301.94,310.97,333.10,308.40
2023-03-21 22:11:55.188000,L9,310.47,303.22,317.54,324.52,314.91
2023-05-16 22:11:04.371000,L8,274.15,279.44,282.34,286.06,264.98
2023-05-24 22:11:17.213000,L9,274.02,282.30,285.46,287.42,267.03
2023-07-11 22:11:00.406000,L9,302.52,303.22,312.75,318.23,306.22
2023-07-11 22:11:24.365000,L9,280.10,288.40,292.55,294.08,281.62
2023-07-27 22:11:26.959000,L9,278.00,281.99,287.09,288.23,275.24
2023-08-20 22:11:47.546000,L8,282.76,284.10,288.15,290.21,276.48
2023-08-28 22:11:44.258000,L9,307.54,305.13,311.51,323.52,307.76
