dates,satname,nzd0165-0000,nzd0165-0001,nzd0165-0002,nzd0165-0003,nzd0165-0004,nzd0165-0005
1999-12-09 21:58:33.708000,L7,435.85,393.79,366.11,350.11,346.69,
1999-12-09 21:58:57.676000,L7,441.35,401.41,373.99,352.45,346.94,
2000-01-10 21:58:52.465000,L7,384.48,332.85,,,,
2000-03-14 21:58:11.336000,L7,,,,394.54,334.44,345.87
2000-03-30 21:58:09.573000,L7,415.85,394.14,345.60,342.81,355.91,370.82
2000-03-30 21:58:33.541000,L7,408.86,,,,,
2000-05-17 21:58:07.485000,L7,,373.05,353.26,337.02,350.77,
2000-09-06 21:56:22.949000,L7,315.08,,,,,
2001-01-12 21:56:06.772000,L7,452.75,357.40,413.39,,,
2001-02-13 21:56:03.778000,L7,,,380.01,396.58,389.46,387.52
2001-03-01 21:55:57.624000,L7,393.31,336.65,310.22,,,
2001-03-01 21:56:21.596000,L7,408.34,380.46,314.62,,,
2001-06-21 21:55:05.323000,L7,432.66,387.24,362.12,345.68,349.83,353.03
2001-08-08 21:55:01.113000,L7,417.80,363.63,372.43,369.28,,
2001-09-09 21:54:12.928000,L7,411.77,381.71,367.08,336.14,372.71,378.79
2001-09-25 21:54:04.740000,L7,424.02,409.05,386.91,393.50,402.95,397.76
2001-09-25 21:54:28.694000,L7,418.62,381.66,365.75,380.92,394.10,390.56
2001-10-11 21:53:46.024000,L7,409.87,383.17,388.93,,351.01,389.17
2001-10-11 21:54:09.862000,L7,411.74,386.38,390.49,,382.81,389.04
2001-12-30 21:54:13.275000,L7,376.15,321.92,306.83,,,
2001-12-30 21:54:37.254000,L7,427.25,393.63,396.70,390.68,394.07,396.60
2002-01-15 21:54:23.534000,L7,437.83,405.20,391.32,398.74,404.05,404.05
2002-01-31 21:54:26.647000,L7,398.39,321.47,,,,
2002-01-31 21:54:50.570000,L7,409.83,337.41,,,,
2002-02-16 21:54:54.191000,L7,391.84,385.14,325.85,,346.41,350.37
2002-08-27 21:54:00.253000,L7,410.95,365.30,338.36,325.35,339.97,340.85
2002-10-14 21:53:19.813000,L7,416.52,394.86,374.72,336.82,376.23,399.08
2003-01-18 21:54:06.301000,L7,427.81,388.14,387.67,394.17,340.13,362.15
2003-01-18 21:54:30.278000,L7,420.76,383.63,338.57,335.64,339.32,360.14
2003-03-23 21:54:16.760000,L7,398.85,359.92,324.34,,,343.49
2003-03-23 21:54:40.711000,L7,414.11,397.47,394.98,387.94,390.73,396.00
2003-04-08 21:54:47.577000,L7,439.04,413.56,340.70,334.71,337.61,345.08
2003-04-24 21:54:46.433000,L7,,,,,349.54,388.78
2003-07-21 21:42:09.884000,L5,406.62,357.60,345.92,,,
2003-07-21 21:42:33.857000,L5,371.41,333.00,319.46,,,
2003-08-06 21:42:27.230000,L5,364.55,326.30,312.43,,,
2003-08-06 21:42:51.203000,L5,363.42,324.93,311.20,,,
2003-09-07 21:43:00.591000,L5,370.63,330.46,311.46,,,
2003-10-25 21:43:40.253000,L5,383.31,340.40,328.96,,,
2003-10-25 21:44:04.226000,L5,341.11,320.03,,,,
2003-12-12 21:44:10.398000,L5,352.31,309.22,318.02,,,
2004-03-01 21:44:38.581000,L5,404.04,351.97,339.48,,,
2004-03-01 21:45:02.553000,L5,405.57,354.95,344.01,,,
2004-04-02 21:44:54.996000,L5,392.00,343.79,325.04,,,
