dates,satname,nzd0059-0000,nzd0059-0001,nzd0059-0002,nzd0059-0003,nzd0059-0004,nzd0059-0005,nzd0059-0006,nzd0059-0007,nzd0059-0008,nzd0059-0072,nzd0059-0073,nzd0059-0074,nzd0059-0075,nzd0059-0084,nzd0059-0085,nzd0059-0086,nzd0059-0087,nzd0059-0088,nzd0059-0089,nzd0059-0091,nzd0059-0092,nzd0059-0093,nzd0059-0094,nzd0059-0020,nzd0059-0021,nzd0059-0022,nzd0059-0023,nzd0059-0024,nzd0059-0025,nzd0059-0026,nzd0059-0027,nzd0059-0028,nzd0059-0029,nzd0059-0030,nzd0059-0032,nzd0059-0033,nzd0059-0034,nzd0059-0035,nzd0059-0044,nzd0059-0045,nzd0059-0046,nzd0059-0047,nzd0059-0048,nzd0059-0049,nzd0059-0065,nzd0059-0066,nzd0059-0067,nzd0059-0068,nzd0059-0069,nzd0059-0070,nzd0059-0071,nzd0059-0076,nzd0059-0077,nzd0059-0078,nzd0059-0015,nzd0059-0016,nzd0059-0017,nzd0059-0018,nzd0059-0031,nzd0059-0036,nzd0059-0037,nzd0059-0038,nzd0059-0039,nzd0059-0040,nzd0059-0041,nzd0059-0042,nzd0059-0043,nzd0059-0050,nzd0059-0051,nzd0059-0052,nzd0059-0053,nzd0059-0054,nzd0059-0055,nzd0059-0056,nzd0059-0057,nzd0059-0058,nzd0059-0059,nzd0059-0060,nzd0059-0061,nzd0059-0062,nzd0059-0063,nzd0059-0064,nzd0059-0079,nzd0059-0080,nzd0059-0081,nzd0059-0082,nzd0059-0083,nzd0059-0090,nzd0059-0009,nzd0059-0010,nzd0059-0011,nzd0059-0012,nzd0059-0013,nzd0059-0014,nzd0059-0019
1999-08-17 22:10:26.276000,L7,396.97,397.30,405.70,410.70,393.44,397.74,388.64,404.54,408.47,346.49,384.65,345.59,349.95,397.29,416.29,403.98,414.01,408.99,428.62,317.05,326.35,367.44,356.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-04 22:10:38.131000,L7,,418.38,411.53,421.74,414.51,376.37,394.80,388.20,392.66,390.49,394.31,379.22,401.31,394.55,377.46,370.66,368.52,360.46,355.93,347.62,333.31,336.31,321.55,,,,,,,367.24,334.81,367.59,397.20,397.03,418.79,423.11,435.18,428.34,373.48,371.08,374.49,361.79,334.92,343.02,401.79,398.84,394.12,405.10,402.15,415.47,402.75,406.72,405.25,,,,,,427.72,,428.34,377.28,379.09,379.12,378.78,376.34,372.88,354.62,378.15,385.87,391.71,394.94,401.77,396.91,385.47,399.26,,,,,,,,,409.45,414.51,409.51,342.12,319.44,394.52,398.97,402.61,307.49,284.01,
2000-02-09 22:10:19.398000,L7,,,,,,,,,,365.71,405.78,385.51,402.07,312.72,310.40,399.18,398.31,391.58,373.53,424.62,404.61,,422.20,,343.65,356.61,352.89,348.34,323.46,,,,372.16,396.66,378.80,392.89,,,,,,,,,376.98,399.92,395.62,392.53,391.20,414.45,338.24,379.46,335.26,345.22,,,,,380.11,,,,371.78,334.24,,,,,,,,363.55,409.86,360.50,399.68,402.44,400.61,395.65,399.88,403.25,368.09,369.04,357.17,356.08,,,415.85,383.73,,,,,,,
2000-03-28 22:10:07.233000,L7,401.85,404.18,355.74,368.23,,,,,,395.34,399.98,403.47,402.54,,,,,,,,,,,375.44,374.38,359.65,330.13,294.84,283.00,280.09,281.72,324.06,309.04,406.93,358.39,358.99,410.55,374.56,373.92,376.15,377.59,385.37,386.55,377.63,421.03,421.30,424.95,358.75,361.36,338.37,402.44,385.62,397.72,406.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-29 22:09:53.797000,L7,405.25,412.27,413.65,420.35,416.95,409.03,403.84,399.49,381.05,380.06,371.01,378.29,370.51,340.56,349.87,351.04,364.22,370.92,355.81,375.60,369.01,362.64,356.68,295.10,311.99,314.78,301.52,283.01,285.42,292.73,309.56,396.28,403.25,399.91,406.87,403.86,399.74,402.36,411.19,400.97,407.25,409.29,427.71,425.64,367.32,347.69,344.08,346.13,349.66,359.24,374.11,355.09,375.57,386.20,365.79,385.51,394.15,343.46,408.19,407.24,405.29,404.80,379.85,384.82,397.76,402.93,410.54,425.41,400.92,412.16,416.35,440.81,402.01,412.36,401.41,398.64,400.70,402.21,399.09,411.15,406.78,411.61,394.68,364.88,306.73,309.43,326.60,364.70,,,,,,,
2000-05-15 22:09:42.527000,L7,383.80,381.99,390.31,389.78,396.68,407.68,407.71,405.68,418.18,,,,,358.50,326.94,325.55,332.17,345.01,336.93,375.29,412.49,401.88,312.93,407.18,395.78,380.34,364.94,,,,385.64,384.61,391.11,377.34,369.91,393.20,390.94,382.22,400.03,403.00,417.34,422.97,,,418.73,380.38,432.19,,,,,,,412.02,344.61,355.51,364.17,372.51,378.78,386.70,378.93,395.74,414.15,383.20,412.13,393.51,396.12,,,,,,376.77,363.29,322.61,407.73,366.75,318.77,306.13,321.15,318.37,309.39,378.04,379.74,402.44,416.53,408.54,407.98,319.40,314.67,324.68,328.78,338.65,336.25,402.49
2000-08-03 22:08:44.137000,L7,,,,,,,,,,387.18,366.49,357.94,381.51,416.84,368.34,376.77,383.06,398.40,388.11,401.07,,401.29,356.54,323.35,321.23,391.05,374.47,313.34,296.79,308.98,359.10,339.60,,,,,314.11,352.06,409.98,429.94,419.97,375.99,381.80,380.00,,,,,,359.37,365.07,369.02,351.01,410.18,397.79,405.88,366.61,364.46,,373.33,335.83,362.62,360.18,354.23,365.98,402.40,415.24,411.63,416.56,426.55,401.24,422.46,310.50,321.46,409.02,399.77,400.02,364.73,378.14,362.96,,,339.22,324.61,347.61,,360.46,394.80,,,,,347.51,321.02,313.29
2000-08-19 22:08:38.248000,L7,379.66,341.59,338.84,376.90,329.38,405.74,396.26,,384.84,,,,,,,,,,,,,,,,,,363.45,360.27,350.94,345.85,330.90,285.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.97,404.13,395.49,393.30,388.70,,
2000-09-04 22:08:22.800000,L7,,,,,,,402.91,412.95,,338.42,343.67,342.85,386.15,397.03,361.36,372.24,364.47,355.57,352.22,398.22,390.63,380.20,355.87,,,,,,,,,,,,,,442.98,440.45,399.38,414.19,,,,,,,335.10,335.78,387.38,358.93,340.42,384.23,368.42,365.39,,,,,,425.39,408.08,409.74,397.92,331.89,391.15,410.20,393.29,,,,,,,,,,,,,,,,347.18,337.23,334.96,393.72,391.47,420.28,,,,,,,
2000-09-20 22:08:03.348000,L7,400.49,392.32,392.71,403.24,372.10,374.59,371.07,366.77,366.95,344.64,361.35,389.62,369.37,,,,,,,,,,,,,,,,,,,,426.01,412.09,422.77,420.97,411.58,389.72,375.77,370.71,382.17,386.59,391.21,390.97,400.86,406.44,405.00,384.04,381.85,351.99,359.52,407.76,402.63,413.85,,,,,415.36,389.24,378.68,386.98,384.20,386.45,393.16,398.70,411.14,391.56,398.41,408.23,417.11,415.63,400.17,422.28,414.95,406.61,396.41,395.43,405.61,389.10,399.52,405.71,362.26,381.41,403.30,,,,378.09,382.36,393.23,400.53,397.88,390.13,
2000-10-22 22:07:50.487000,L7,,,390.63,319.33,430.82,427.21,316.89,300.75,,404.01,413.40,412.57,426.02,377.76,381.57,374.54,371.34,394.17,391.42,381.76,419.60,416.71,408.37,330.11,302.41,306.30,291.15,291.32,294.42,341.69,,366.48,385.29,402.89,405.54,404.24,403.55,404.36,385.86,377.17,378.47,392.72,388.63,398.53,368.38,358.99,359.30,343.21,345.14,388.39,401.18,347.78,373.76,338.97,,279.42,318.92,305.39,406.14,400.50,402.28,390.21,380.81,400.21,397.93,387.72,382.46,390.66,417.89,405.64,390.98,406.51,414.00,393.91,379.70,348.90,394.88,363.81,367.77,372.93,376.42,396.60,347.87,360.18,357.09,374.16,373.96,389.62,,,,,,,319.05
2000-11-07 22:07:53.532000,L7,357.22,366.64,358.10,372.27,377.81,381.68,374.38,371.33,369.87,387.67,387.77,380.92,397.35,348.67,365.47,354.98,364.26,352.54,363.14,345.26,349.67,345.26,349.53,369.54,378.16,,361.86,361.88,286.93,343.14,342.25,350.71,374.14,376.40,381.83,367.77,395.90,383.91,341.99,345.84,361.52,375.17,344.90,343.68,328.36,333.01,357.54,343.06,343.00,320.36,331.81,398.52,403.63,383.61,392.26,,317.60,380.26,386.76,362.89,321.43,319.97,318.27,326.69,339.13,341.85,335.82,371.38,394.62,361.41,406.17,375.62,360.70,359.09,343.54,324.52,328.57,335.26,342.92,331.61,341.54,345.61,390.59,350.72,344.06,338.34,353.66,360.13,354.13,315.44,334.20,387.80,392.49,361.88,369.04
2001-03-15 22:07:52.114000,L7,382.20,384.77,386.96,,,,,,,363.63,395.53,,,,,,,,,,358.93,355.94,367.38,,,,,,,,,,,,,360.88,368.00,359.74,,,,,,378.07,400.22,410.85,400.24,391.52,373.76,356.87,374.79,,,,,,,,,353.78,,,,,,,,367.70,378.96,397.43,409.95,415.91,402.88,404.72,386.35,399.79,409.20,402.82,386.62,387.92,399.55,397.10,,,,,,,,356.34,369.03,393.75,396.90,391.62,
2001-05-18 22:07:26.882000,L7,367.63,358.46,358.87,368.92,408.79,411.03,420.37,340.38,352.77,336.62,327.56,373.72,351.35,394.40,381.90,411.74,411.74,389.16,395.49,349.07,363.21,364.14,344.58,395.56,393.15,393.75,365.62,354.29,357.02,345.49,339.89,363.31,407.37,389.18,357.62,368.21,358.65,354.51,411.41,419.66,427.45,422.09,423.64,430.07,361.69,336.59,343.92,336.79,321.21,322.81,322.34,346.98,347.76,344.71,392.51,390.31,379.09,383.19,382.89,356.51,360.61,346.15,345.14,371.14,347.31,334.72,345.18,362.03,373.44,378.49,372.53,360.65,,,292.30,357.41,356.92,355.60,356.97,353.13,361.25,381.32,374.91,348.58,384.14,382.85,375.84,354.40,365.50,366.09,369.55,371.21,379.53,399.93,398.27
2001-06-03 22:07:16.736000,L7,390.10,326.14,399.48,407.57,399.20,405.61,325.06,346.86,391.55,389.04,402.35,395.30,393.67,422.46,421.55,,409.63,392.52,402.66,424.37,404.92,387.98,392.16,,,,,,,,378.97,402.73,377.36,360.46,412.05,363.08,373.29,393.48,,,,,,,402.90,430.71,414.37,392.99,378.34,332.78,406.45,387.31,400.02,386.47,347.64,328.51,348.27,395.43,429.57,408.06,392.20,392.24,396.73,418.50,383.46,403.60,414.30,,341.93,318.10,320.85,331.25,408.85,399.80,393.37,402.26,396.72,393.85,341.70,381.29,394.91,415.94,417.84,393.32,398.63,,405.34,426.36,402.39,318.55,313.83,350.89,327.36,334.32,
