dates,satname,nzd0349-0000,nzd0349-0001,nzd0349-0002,nzd0349-0003,nzd0349-0004,nzd0349-0005,nzd0349-0006,nzd0349-0007,nzd0349-0008,nzd0349-0009,nzd0349-0010,nzd0349-0011,nzd0349-0012,nzd0349-0013,nzd0349-0014,nzd0349-0015,nzd0349-0016,nzd0349-0017,nzd0349-0018,nzd0349-0019
2014-03-06 22:01:37.193000,L8,370.07,353.52,357.73,364.05,372.89,358.53,344.73,343.57,348.37,341.81,350.02,351.82,348.90,341.97,351.17,356.63,354.27,357.23,387.51,368.00
2014-07-12 22:00:55.077000,L8,,,,,,366.59,352.41,329.85,358.04,360.98,365.86,365.56,358.32,356.98,362.26,358.19,366.23,363.98,375.42,379.82
2014-08-13 22:01:06.684000,L8,373.59,351.72,361.07,365.11,365.35,355.27,337.64,345.36,351.38,345.84,351.42,352.36,351.50,346.47,352.51,359.56,353.01,353.64,361.71,367.31
2014-11-17 22:01:14.600000,L8,358.32,346.83,347.45,355.88,356.57,339.76,308.37,312.13,328.20,330.44,328.22,337.61,338.45,332.93,336.42,343.23,349.72,342.55,347.00,364.95
2015-01-04 22:01:05.828000,L8,351.22,340.99,342.75,347.80,347.80,327.81,314.96,313.68,324.71,325.50,326.67,334.70,334.18,325.68,331.31,335.10,338.42,354.40,338.25,337.80
2015-03-09 22:00:42.428000,L8,347.17,337.01,342.72,349.22,348.23,325.21,308.42,310.84,324.83,323.91,326.07,336.96,330.01,323.93,329.90,335.64,331.43,336.52,339.17,338.67
2015-05-12 22:00:04.946000,L8,382.28,373.73,383.07,390.10,378.51,366.31,355.61,359.95,360.00,369.40,,372.70,375.14,372.55,380.88,379.86,369.31,,,
2015-05-28 22:00:07.580000,L8,344.07,332.72,334.40,340.03,337.20,294.06,,,,,,,,301.02,319.22,297.66,283.69,324.12,333.78,344.66
2015-06-13 22:00:19.815000,L8,383.39,374.18,374.29,383.60,377.27,355.47,293.92,298.29,322.16,340.35,362.48,352.18,337.48,332.75,346.41,351.37,347.85,352.50,366.06,367.61
2015-06-29 22:00:26.396000,L8,,381.28,379.68,391.75,381.80,359.67,287.23,291.36,319.77,353.11,367.04,360.68,342.09,352.75,345.79,357.48,358.01,351.89,367.76,376.95
2015-07-15 22:00:36.323000,L8,407.88,384.56,386.92,394.30,386.67,365.16,360.38,353.48,359.96,373.51,375.15,372.47,357.03,355.97,359.54,368.58,367.72,362.60,371.31,384.90
