dates,satname,nzd0554-0000,nzd0554-0001,nzd0554-0002,nzd0554-0003,nzd0554-0004,nzd0554-0005,nzd0554-0006,nzd0554-0007,nzd0554-0008,nzd0554-0009,nzd0554-0010,nzd0554-0011,nzd0554-0012,nzd0554-0013,nzd0554-0014,nzd0554-0015,nzd0554-0016,nzd0554-0017,nzd0554-0018,nzd0554-0019,nzd0554-0020,nzd0554-0021,nzd0554-0022,nzd0554-0023,nzd0554-0024,nzd0554-0025,nzd0554-0026,nzd0554-0027,nzd0554-0028,nzd0554-0029,nzd0554-0030,nzd0554-0031,nzd0554-0032,nzd0554-0033
1999-11-05 22:13:40.966000,L7,391.19,371.43,355.44,350.39,344.35,350.35,365.34,361.11,355.43,350.37,508.92,482.51,511.79,507.01,359.79,503.82,366.83,339.14,348.40,343.26,367.28,386.76,419.23,448.97,506.55,486.56,388.11,381.98,365.67,358.01,345.06,331.35,315.71,321.31
1999-12-07 22:13:41.663000,L7,421.35,422.00,409.13,386.25,377.64,379.77,411.34,430.39,422.25,418.61,415.98,420.07,426.28,420.23,500.95,472.27,427.39,471.03,482.12,497.71,492.46,499.76,470.59,487.65,426.77,428.32,419.40,422.17,522.32,496.50,505.57,499.59,474.95,367.31
1999-12-16 22:07:33.708000,L7,,,,474.02,429.46,423.26,485.56,471.06,475.49,439.15,236.97,226.61,224.92,246.14,220.92,203.11,235.71,212.33,223.53,174.41,241.25,244.77,264.59,271.22,290.23,281.17,273.81,266.24,234.96,206.22,180.28,,,
2000-09-20 22:11:14.930000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.69,199.65,,,,,
2001-02-11 22:11:12.788000,L7,376.48,402.44,392.31,491.29,493.62,441.21,419.32,413.65,409.68,418.95,398.02,443.04,449.84,445.99,428.73,412.47,421.88,427.94,429.14,420.34,421.19,430.58,371.04,449.02,453.60,449.40,461.96,454.58,443.03,427.48,427.42,430.99,351.10,357.64
2001-02-20 22:05:00.525000,L7,222.85,247.50,253.08,245.76,241.15,257.20,273.39,273.69,267.60,266.93,267.78,276.83,281.40,273.00,274.13,269.66,500.08,433.70,410.10,410.06,411.87,425.52,440.88,446.40,454.29,442.11,441.55,443.33,431.24,406.05,375.07,358.71,341.39,332.48
2001-02-20 22:05:24.495000,L7,473.36,430.98,419.79,465.73,480.32,450.80,491.36,480.77,505.23,496.24,399.69,412.75,407.57,412.27,419.15,448.26,266.98,265.57,265.19,272.94,279.60,287.80,298.78,304.66,317.35,314.08,315.79,319.82,309.05,298.38,287.64,260.00,219.31,159.38
2001-02-27 22:11:06.137000,L7,380.91,388.24,341.03,330.93,325.05,331.35,340.06,343.94,345.42,350.85,377.95,427.13,413.15,420.51,402.92,374.18,368.36,362.73,358.45,365.23,383.20,380.73,403.83,417.41,442.20,459.21,503.58,503.51,475.58,462.01,456.40,446.15,450.64,470.65
2001-11-03 22:02:58.699000,L7,,,,,,,,,,,209.43,206.36,209.66,196.62,191.39,,,,,,,,225.22,209.69,206.76,232.13,255.11,245.44,226.52,192.01,,,,
2001-11-03 22:03:22.509000,L7,,,,,,,,,,,213.81,207.08,210.34,196.76,195.05,,,,,,,,,212.05,208.32,237.93,257.44,246.56,226.94,194.04,172.74,,,
2002-03-11 22:03:55.334000,L7,442.87,435.12,423.41,404.71,407.04,405.05,280.36,409.58,405.26,451.62,355.59,446.29,438.50,462.55,446.68,417.54,420.32,267.60,267.84,276.02,283.09,292.87,299.91,307.30,317.16,315.13,314.28,318.03,305.32,293.92,283.64,258.70,230.24,170.76
