dates,nzd0350-0000,nzd0350-0001,nzd0350-0004,nzd0350-0005,nzd0350-0006,nzd0350-0007,nzd0350-0008,nzd0350-0009,nzd0350-0010,nzd0350-0011,nzd0350-0012,nzd0350-0014,nzd0350-0015,nzd0350-0016,nzd0350-0017,nzd0350-0002,nzd0350-0003,nzd0350-0013,satname
1999-09-29 21:54:04+00:00,,,,,337.88,,,,,303.35,294.19,206.95,,,,,,,L7
2000-01-26 22:00:02+00:00,,,,,337.88,,,,,303.35,294.19,199.12,176.25,,,,,,L7
2000-02-27 21:59:52+00:00,,,,,337.88,,331.22,,,312.13,303.38,199.12,176.25,,,,,,L7
2000-03-30 21:59:45+00:00,,,174.65,343.15,,,331.22,,,320.91,312.57,188.69,177.79500000000002,253.59,,,,,L7
2000-05-01 21:59:30+00:00,,,171.615,332.28999999999996,305.64,,331.22,,,320.91,312.57,188.69,177.79500000000002,257.79,290.6,,,,L7
2000-05-17 21:59:19+00:00,382.72,,173.53,328.57666666666665,305.64,,331.22,,,320.91,312.57,188.69,177.79500000000002,257.79,276.44,,,,L7
2000-11-25 21:57:34+00:00,356.64,,164.14,303.1,,,,,,,301.9,192.68,239.09,293.06,,,,,L7
2000-12-04 21:51:22+00:00,355.74,347.47,164.14,291.745,341.72,325.5,316.22,254.49,272.09,311.08,302.87,197.96,254.09500000000003,293.06,,,,255.12,L7
2000-12-20 21:51:28+00:00,355.74,348.24,164.14,291.745,340.895,319.885,316.22,246.17000000000002,269.565,311.19,302.87,198.99333333333334,255.59333333333333,300.685,,343.1,342.73,273.88,L7
2001-01-05 21:51:28+00:00,355.74,338.02,164.14,288.91333333333336,334.42,321.00666666666666,316.22,246.17000000000002,263.1433333333334,311.19,302.87,198.8975,254.16500000000002,300.685,,343.1,346.315,280.19666666666666,L7
2001-02-06 21:51:26+00:00,342.49333333333334,338.02,164.14,288.91333333333336,334.745,321.77,304.19000000000005,248.06000000000003,263.1433333333334,309.77,302.0333333333333,197.668,252.382,302.6466666666667,329.68,343.1,346.315,280.19666666666666,L7
2001-04-11 21:51:09+00:00,342.49333333333334,338.02,164.14,288.91333333333336,334.745,321.77,304.19000000000005,248.06000000000003,263.1433333333334,309.77,302.0333333333333,197.668,252.382,302.6466666666667,342.08000000000004,343.1,346.315,280.19666666666666,L7
2001-05-20 21:57:04+00:00,342.49333333333334,333.645,164.14,291.06,334.745,325.96,304.19000000000005,248.06000000000003,263.1433333333334,308.63,302.0333333333333,197.668,244.6966666666667,302.6466666666667,336.8966666666667,339.8433333333333,346.315,280.19666666666666,L7
2001-08-24 21:56:00+00:00,389.42,320.52,,297.5,,342.72,321.89,,,300.26,296.01,190.46,211.78,288.77,325.38333333333327,333.33,,236.44,L7
2001-09-18 21:49:29+00:00,369.87,320.11,,297.5,333.58,342.72,321.89,,,300.26,296.01,188.845,208.24,296.255,321.275,333.33,,236.44,L7
2001-12-30 21:55:49+00:00,369.87,319.7,169.37,,333.58,,322.42499999999995,254.56,238.42,287.06,296.01,189.32000000000002,223.42,296.255,304.0733333333333,,,241.39,L7
2002-09-12 21:55:07+00:00,,,,,,,324.32,,,315.93,309.46,195.07,266.24,,321.08,,,265.85,L7
2002-10-30 21:55:01+00:00,,,,,,,324.32,,,315.93,309.46,195.07,266.24,,321.08,,,300.34000000000003,L7
