dates,satname,nzd0350-0000,nzd0350-0001,nzd0350-0004,nzd0350-0005,nzd0350-0006,nzd0350-0007,nzd0350-0008,nzd0350-0009,nzd0350-0010,nzd0350-0011,nzd0350-0012,nzd0350-0014,nzd0350-0015,nzd0350-0016,nzd0350-0017,nzd0350-0002,nzd0350-0003,nzd0350-0013
2006-12-29 21:55:50.726000,L5,,,,,,,,,,,,,164.59,279.46,318.81,,,
2007-01-21 22:02:09.591000,L5,,,,,,,,,,,,167.31,193.27,310.96,284.23,,,
2007-01-30 21:56:00.553000,L5,,,,,,,,,,,,166.79,187.96,300.76,335.16,,,
2007-02-06 22:02:11.997000,L5,,,,,,,,,186.30,302.13,288.95,176.58,199.55,304.79,321.36,,,
2008-02-25 21:57:37.029000,L5,,,,,,,,,,325.36,331.29,310.02,,494.93,331.89,,,290.99
2008-12-09 21:51:18.382000,L5,,,,185.46,376.34,349.37,315.32,,214.98,269.90,268.41,187.47,264.82,341.07,327.64,,,254.79
2008-12-25 21:51:46.135000,L5,,,,,,,,,193.62,261.25,277.28,173.23,239.48,336.07,329.58,,,240.76
2010-01-29 21:58:05.346000,L5,,,,,,,316.38,315.22,200.09,269.37,278.47,178.96,240.98,189.24,331.61,,,245.23
2010-10-12 21:57:13.086000,L5,,,,,,,,,193.37,247.57,,,234.36,310.26,277.34,,,
2011-01-09 21:50:58.806000,L5,,,,,,,,,170.79,255.62,261.86,176.54,208.40,319.89,334.10,,,241.64
2011-02-17 21:57:12.898000,L5,,,,,,,,,,,,,,284.19,260.43,,,
2011-09-13 21:55:45.838000,L5,,,,,,,,,,,,,,291.99,262.69,,,
2013-05-29 22:09:17.297000,L8,,,,,,,,,,,,,,,231.05,,,
2013-06-30 22:09:11.994000,L8,,,,,,,,,,,,,,266.41,281.47,,,
2013-07-25 22:03:01.828000,L8,,,,,,,,,,,,,,,237.51,,,
2013-11-14 22:02:45.355000,L8,,,,,,,,,,,,,,,225.16,,,
2013-11-30 22:02:40.518000,L8,,,,,,,,,,279.53,258.79,,199.50,277.59,302.19,,,
2014-01-24 22:08:21.364000,L8,407.52,,163.04,253.33,230.72,274.23,315.76,150.52,266.22,293.71,225.65,238.70,239.97,344.81,300.97,,,252.44
2014-02-02 22:02:05.518000,L8,338.16,,,,,,,,,,,,,245.98,298.16,,,
2014-03-06 22:01:37.193000,L8,,,,,,,,,,,,,,236.75,297.03,,,
2014-03-13 22:07:45.256000,L8,397.78,,169.36,317.90,375.95,276.55,266.54,269.87,335.97,305.44,280.51,288.04,237.70,305.69,296.77,,,265.89
2014-05-16 22:06:45.666000,L8,,,,,,,,,,,,,,,227.45,,,
2014-07-03 22:07:01.995000,L8,,,,,,,,,,,,,,231.43,235.50,,,
2014-08-04 22:07:14.381000,L8,,,162.81,198.01,153.10,,,,,,,,,232.76,276.12,,,
2014-08-13 22:01:06.684000,L8,349.39,,,228.20,322.19,283.89,,,295.72,278.11,268.11,216.94,216.84,304.29,300.71,,,235.88
2014-09-30 22:01:12.529000,L8,344.84,,,,323.68,278.04,,,,279.57,171.70,,207.57,263.25,301.42,,,195.07
2014-11-17 22:01:14.600000,L8,338.14,,,,325.36,282.17,,,151.00,280.90,263.59,218.82,207.86,254.41,305.46,,,243.48
2015-01-27 22:07:11.201000,L8,,,,,,,,,189.84,233.02,237.05,,,235.44,267.41,,,
2015-02-12 22:07:03.113000,L8,408.88,386.20,406.90,470.73,416.63,525.42,512.51,493.03,260.22,306.65,281.04,278.97,194.97,232.80,288.65,388.96,367.20,282.32
2015-02-28 22:07:00.305000,L8,404.52,383.93,387.42,379.46,372.43,350.86,430.49,408.07,342.66,305.47,278.34,292.95,248.21,303.18,302.85,380.39,,287.15
2015-03-09 22:00:42.428000,L8,351.33,330.97,334.19,347.62,342.04,334.91,328.84,347.74,332.63,292.21,300.32,308.11,317.39,358.16,325.50,339.78,350.07,255.11
2015-05-28 22:00:07.580000,L8,,,,,,,,,,,,,,,243.33,,,
2015-06-13 22:00:19.815000,L8,,,,,,,,,,,,,,241.59,298.54,,,
2015-09-24 22:07:13.635000,L8,,,,,,,,,,,,,,,231.47,,,
2015-10-10 22:07:14.813000,L8,,,,196.17,172.36,242.51,213.64,,188.63,233.26,254.72,,,234.50,260.42,,,
2015-12-29 22:07:21.036000,L8,,,380.40,360.07,361.37,300.62,293.44,337.89,194.56,304.29,255.83,191.53,238.35,246.36,295.11,,,213.33
2016-02-08 22:01:03.169000,L8,,,,,,,,,,278.30,225.96,221.50,239.11,260.33,311.20,,,226.51
2016-03-02 22:07:07.398000,L8,400.42,,387.27,378.17,206.15,391.62,378.10,210.94,236.39,302.39,287.58,352.50,350.34,353.17,348.05,,,263.19
2016-03-18 22:07:01.867000,L8,,,,,,,,,,,,,,228.81,285.62,,,
2016-04-19 22:06:46.856000,L8,392.98,,,,358.97,,,,,,,,,447.76,435.21,,,
2016-06-15 22:00:44.975000,L8,,,,,,,,,,,,,,241.46,244.13,,,
2016-07-01 22:00:54.396000,L8,350.13,330.32,247.52,180.72,321.62,284.55,313.14,260.34,303.19,252.68,263.22,,247.76,262.13,312.08,,,
2016-07-24 22:07:13.819000,L8,,,,,,,,,,,,,,,226.30,,,
2016-10-12 22:07:33.085000,L8,391.49,,,317.08,356.79,244.97,218.78,,194.29,210.19,256.45,,231.09,242.91,289.64,,,
2016-11-22 22:01:23.648000,L8,313.49,,,219.49,337.10,302.83,295.40,295.80,316.72,286.44,278.08,230.78,247.21,317.80,313.70,,,247.60
2016-12-15 22:07:29.991000,L8,403.33,,159.16,197.82,370.41,358.03,315.08,145.58,254.65,309.40,273.37,238.59,240.15,337.83,302.11,,,214.71
2017-01-16 22:07:22.953000,L8,357.80,,163.14,364.76,374.10,342.87,308.05,343.49,260.42,306.96,223.07,194.51,237.55,304.07,306.47,,,213.99
