dates,satname,nzd0241-0004,nzd0241-0005,nzd0241-0006,nzd0241-0007,nzd0241-0008,nzd0241-0009,nzd0241-0030,nzd0241-0031,nzd0241-0032,nzd0241-0033,nzd0241-0034,nzd0241-0035,nzd0241-0036,nzd0241-0037,nzd0241-0038,nzd0241-0039,nzd0241-0040,nzd0241-0041,nzd0241-0042,nzd0241-0043,nzd0241-0044,nzd0241-0010,nzd0241-0011,nzd0241-0014,nzd0241-0015,nzd0241-0016,nzd0241-0017,nzd0241-0018,nzd0241-0019,nzd0241-0020,nzd0241-0021,nzd0241-0022,nzd0241-0023,nzd0241-0024,nzd0241-0025,nzd0241-0026,nzd0241-0027,nzd0241-0028,nzd0241-0029,nzd0241-0012,nzd0241-0013
2000-01-10 21:58:52.465000,L7,,,,,,,,,,,,,,,,308.49,312.29,306.26,309.57,315.01,298.76,,,,,,,,,,,,,,,,,,,,
2001-03-17 21:56:16.575000,L7,,,,,,,364.50,337.34,357.15,315.89,326.66,324.08,327.03,298.67,313.08,321.09,320.54,314.48,309.02,324.39,308.12,,,,,,,,,326.99,347.84,387.58,385.48,376.22,377.07,400.55,391.71,380.73,397.21,,
2001-09-09 21:54:36.880000,L7,,,,,,,,,,,,,,,,321.84,316.51,308.57,306.53,314.47,300.29,,,,,,,,,,,,,,,,,,,,
2002-02-16 21:54:54.191000,L7,,,,,,,417.13,406.98,382.20,382.21,377.11,374.45,376.10,379.19,370.68,353.02,376.99,339.10,332.22,333.20,322.30,,,,,,,,328.29,362.23,388.30,405.43,396.36,388.64,386.97,404.27,431.14,431.87,423.76,,
2002-10-14 21:53:43.769000,L7,,,,,,,,,,,,,,,309.48,323.34,320.89,313.37,317.21,315.33,306.65,,,,,,,,,,,,,,,,,,,,
2002-12-01 21:54:16.937000,L7,,,,,,,,,,,,,,311.88,320.37,331.36,330.79,335.62,345.28,317.98,309.68,,,,,,,,,,,,,,,,,,,,
2003-01-18 21:54:30.278000,L7,,,,,,,442.83,438.19,401.55,394.79,410.38,,,,290.66,326.35,323.88,373.95,325.08,372.96,376.26,,,,,,,,,,,,,,,,,,,,
2003-10-25 21:44:04.226000,L5,,,,,,,,,,,,,,325.98,311.62,324.27,323.86,317.22,326.45,315.82,314.75,,,,,,,,,,,,,,,,,,,,
2004-02-14 21:44:57.678000,L5,,,,,,,,,,,,,,,299.12,328.20,330.33,328.19,328.40,321.50,310.33,,,,,,,,,,,,,,,,,,,,
2004-03-01 21:45:02.553000,L5,,,,,,,,,,,,,,,,322.95,318.98,316.12,317.12,316.20,309.19,,,,,,,,,,,,,,,,,,,,
2004-03-17 21:45:08.368000,L5,,,,,,,,,,,,,,,304.30,316.67,328.34,326.67,321.62,325.43,316.40,,,,,,,,,,,,,,,,,,,,
2004-08-24 21:49:18.016000,L5,,,,,,,,,,,,,,,,317.66,322.01,318.68,318.93,316.96,291.73,,,,,,,,,,,,,,,,,,,,
2004-09-25 21:50:07.312000,L5,,,,,,,,,,,,,,311.98,304.14,332.49,334.02,329.39,334.77,329.30,321.86,,,,,,,,,,,,,,,,,,,,
2004-10-27 21:50:47.740000,L5,,,,,,,,,,,,,,319.74,317.11,335.49,326.94,325.69,328.99,316.89,315.12,,,,,,,,,,,,,,,,,,,,
2005-02-16 21:52:37.927000,L5,,,,,,,,,,,,,,,,318.50,326.03,326.01,331.89,330.08,322.77,,,,,,,,,,,,,,,,,,,,
2005-03-04 21:52:52.217000,L5,,,,,,,,,,,,,,,,333.45,331.46,329.86,326.74,324.57,309.52,,,,,,,,,,,,,,,,,,,,
2005-10-30 21:54:03.531000,L5,,,,,,,,,,,,,,313.58,303.81,324.36,319.24,322.46,321.92,314.22,314.77,,,,,,,,,,,,,,,,,,,,
2006-02-03 21:56:19.035000,L5,,,,,,,,,,,,,,,,313.82,322.71,323.61,324.83,328.25,318.18,,,,,,,,,,,,,,,,,,,,
2006-02-19 21:56:39.909000,L5,,,,,,,,,,,,,,,,325.71,331.56,332.74,326.78,321.83,311.70,,,,,,,,,,,,,,,,,,,,
2008-12-25 21:50:34.359000,L5,,,,,,,,,,,301.61,333.13,337.21,327.39,328.13,343.22,340.97,347.66,345.02,345.89,333.76,,,,,,,,,,,,,,,,,,,,
2009-11-26 21:56:28.873000,L5,,,,,,,,,,,,,,295.15,297.26,310.09,298.16,310.24,300.87,295.17,286.95,,,,,,,,,,,,,,,,,,,,
2009-12-12 21:56:37.955000,L5,,,,,,,353.35,344.49,328.08,324.02,335.77,348.66,359.07,355.65,352.05,357.48,349.53,352.14,345.76,343.55,339.95,,,,,,,,344.58,355.94,368.17,372.38,384.60,389.60,387.29,386.68,377.79,361.47,359.86,,
2010-01-13 21:56:49.389000,L5,,,,,,,,,,,,,,324.92,314.51,332.04,336.72,331.49,321.97,325.80,330.43,,,,,,,,,,,,,,,,,,,,
2010-01-29 21:56:53.427000,L5,,,,,,,,,,,,,,327.32,314.25,334.10,329.98,332.69,324.04,319.82,317.53,,,,,,,,,,,,,,,,,,,,
2010-10-28 21:55:51.312000,L5,,,,,,,,,,,,,,319.09,312.68,326.46,328.51,326.70,324.20,324.85,319.58,,,,,,,,,,,,,,,,,,,,
2010-12-31 21:55:56.533000,L5,,,,,,,,,,,,,,322.27,318.87,326.01,328.56,329.78,323.51,324.02,316.29,,,,,,,,,,,,,,,,,,,,
2011-01-16 21:55:58.174000,L5,,,,,,,,,,,,,,326.33,320.44,333.51,335.27,337.02,327.27,333.08,328.43,,,,,,,,,,,,,,,,,,,,
2011-02-17 21:56:00.979000,L5,,,,,,,,,,,,,,327.16,330.77,335.94,340.16,334.32,331.42,342.05,321.82,,,,,,,,,,,,,,,,,,,,
2013-09-02 22:08:04.598000,L8,,,,,,,403.70,368.12,356.36,352.21,336.83,404.44,400.56,407.24,405.61,358.91,368.33,352.01,407.22,406.00,382.60,,,,,,321.52,351.69,370.16,380.40,390.29,348.41,355.43,356.86,339.82,,380.65,366.87,413.63,,
2013-11-05 22:07:46.855000,L8,,,,,,,368.62,362.37,345.16,343.59,354.06,351.98,368.48,361.02,368.58,383.40,379.63,378.09,373.95,372.66,350.05,,,,360.21,355.21,357.88,365.48,379.77,379.70,382.62,393.02,388.91,373.07,357.68,360.45,364.81,370.96,376.95,,
2013-11-21 22:07:37.752000,L8,,,,,,,,,,,311.60,321.00,306.81,320.94,325.57,332.77,332.85,347.80,329.64,335.69,321.45,,,,,,,,,,,,,,,,,,,,
2014-01-24 22:07:09.509000,L8,,,,,,,,,,,,,,322.38,333.43,338.47,354.99,398.69,333.81,333.83,325.25,,,,,,,,,,,,,,,,,,,,
2014-02-09 22:06:57.254000,L8,,,,,,,,,,,314.76,321.59,315.43,319.90,324.74,332.73,337.20,337.46,325.60,326.80,320.95,,,,,,,,,,,,,,,,,,,,
2014-02-25 22:06:44.447000,L8,,,,,,,,,,,,,,314.79,322.07,328.68,328.70,330.29,324.95,325.68,315.91,,,,,,,,,,,,,,,,,,,,
2014-02-25 22:07:08.406000,L8,,,,,,,355.05,349.37,332.94,336.18,329.29,337.85,342.98,343.95,349.69,348.69,352.28,,,,,,,,,,,,,,,,,,,,,330.50,365.77,,
