dates,nzd0241-0000,nzd0241-0001,nzd0241-0002,nzd0241-0005,nzd0241-0006,nzd0241-0007,nzd0241-0008,nzd0241-0012,nzd0241-0013,nzd0241-0014,nzd0241-0015,nzd0241-0016,nzd0241-0017,nzd0241-0018,nzd0241-0019,nzd0241-0020,nzd0241-0021,nzd0241-0022,nzd0241-0023,nzd0241-0024,nzd0241-0025,nzd0241-0026,nzd0241-0027,nzd0241-0028,nzd0241-0029,nzd0241-0030,nzd0241-0031,nzd0241-0032,nzd0241-0033,nzd0241-0034,nzd0241-0035,nzd0241-0036,nzd0241-0037,nzd0241-0038,nzd0241-0039,nzd0241-0040,nzd0241-0041,nzd0241-0042,nzd0241-0043,nzd0241-0044,nzd0241-0003,nzd0241-0004,nzd0241-0009,nzd0241-0010,nzd0241-0011,satname
2000-01-10 21:58:52+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,249.2,241.25,225.23,216.21,268.13,263.77,,,,,,,,,287.86,,,,,,L7
2000-03-14 21:58:35+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,248.845,246.38,234.445,215.17000000000002,267.025,271.595,,,,,278.94,274.82,287.03,283.9,286.65999999999997,,,,,,L7
2000-03-30 21:58:33+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,249.91,246.74333333333334,234.08,215.97,269.3066666666667,270.0566666666667,,,,,293.09000000000003,271.095,287.03,283.9,286.65999999999997,,,,,,L7
2001-03-17 21:56:16+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.74,274.06,,,,,313.1,,308.66,303.36,306.8,296.7,,,,,,L7
2001-09-09 21:54:36+00:00,,,,,,,,,,,,,,,,,,,,,,396.92,403.87,404.27,,,,,225.74,274.06,,,,,313.1,,308.66,303.36,306.8,296.7,,,,,,L7
2002-02-16 21:54:54+00:00,,,,,,,,,,,,,,,,,,,,,,383.22,390.88,391.79499999999996,,,,,,,,,,,339.75,341.2,331.05,316.69,321.26,316.34,,,,,,L7
2002-10-14 21:53:43+00:00,,,,,,,,,,,,,,,,,,,,260.64,,,261.79,,,274.31,265.66,261.06,247.38,283.7,287.73,,,264.45,318.76,318.46,309.64,311.31,309.26,303.33,,,,,,L7
2002-12-01 21:54:16+00:00,,,,,,,,,,,,,,214.04,234.03,294.82,272.21,,,279.455,,,261.79,,,274.31,265.66,261.06,247.38,301.695,300.95000000000005,,,264.45,318.76,318.46,309.64,311.31,309.26,303.33,,,,,,L7
2003-01-18 21:54:30+00:00,,,,,,,,,,,,,,214.04,234.03,294.82,272.21,,,279.455,,213.73,261.82500000000005,210.61,215.19,274.31,265.66,261.06,247.38,301.695,299.54,,,247.175,317.6,317.11,310.635,312.53999999999996,309.26,303.33,,,,,,L7
2003-10-25 21:44:04+00:00,,,,,,,,,,,,,,,219.48,295.76,266.29,251.14,246.35,259.28,176.18,192.66,239.45,198.7,197.58,254.52,251.74,251.75,248.01,292.51,296.91,,303.29,,309.09,308.06,302.14,310.82,300.6,300.91,,,,,,L5
2004-03-17 21:45:08+00:00,,,,,,,,,,,,,,,219.48,286.115,250.85000000000002,236.77499999999998,236.845,259.28,171.515,192.02499999999998,241.755,198.87,203.395,254.87,250.29000000000002,242.31,235.23,284.53,283.97,,303.29,234.21,301.34,309.34000000000003,304.07,307.21500000000003,303.44,298.785,,,,,,L5
2004-04-18 21:45:49+00:00,,,,,,,,,,,,,,,231.49,281.30333333333334,246.24,235.28666666666666,237.57333333333335,259.28,173.07333333333335,192.38333333333333,246.4466666666667,199.45666666666668,204.78666666666666,254.21666666666667,248.88666666666668,240.04,232.5233333333333,280.8833333333333,281.93333333333334,,303.29,226.29500000000002,304.2933333333333,309.09666666666664,305.83,308.44666666666666,301.52666666666664,298.785,,,,,,L5
2004-05-04 21:46:16+00:00,,,,,,,,,,,,,,,243.5,274.07500000000005,236.215,227.36,233.185,,171.52,192.245,249.94500000000002,199.835,208.39,246.75666666666666,239.66,234.185,214.03666666666666,268.27666666666664,274.44499999999994,,,226.29500000000002,301.895,309.615,307.675,307.26,301.98999999999995,296.66,,,,,,L5
2004-08-24 21:49:18+00:00,,,,,,,,,,,,,,,243.5,274.6266666666667,242.88,227.36,241.13333333333333,280.86,186.04999999999998,194.02666666666667,253.56333333333336,200.60333333333332,205.57666666666668,252.9,244.4275,234.185,214.03666666666666,271.96,282.27,,299.19,235.48666666666668,303.5366666666667,310.3333333333333,307.82,307.59999999999997,303.1766666666667,293.115,,,,,,L5
2004-09-25 21:50:07+00:00,,,,,,,,,,,,,,245.97,249.54000000000002,291.31666666666666,246.615,232.31,248.03,280.86,195.64999999999998,195.34500000000003,258.31500000000005,201.385,203.76000000000002,252.12666666666667,264.5525,268.675,209.83,281.5475,302.20666666666665,,299.19,236.125,316.8933333333334,317.4,315.26,318.43666666666667,309.55,305.43,,,,,,L5
2004-10-27 21:50:47+00:00,,,,,,,,,,,,,,245.97,239.425,299.24,267.04499999999996,,264.885,286.975,214.065,198.675,258.01,204.555,206.95499999999998,257.72,276.1325,286.82500000000005,226.97,289.9225,315.13000000000005,,305.83500000000004,253.87,322.77666666666664,321.04999999999995,317.56666666666666,321.30333333333334,313.0733333333333,305.8066666666667,,,,,,L5
2005-02-16 21:52:37+00:00,,,,,,,,,,,,,,245.97,239.425,294.955,254.20666666666668,223.19,249.80666666666664,286.975,214.065,194.64666666666668,250.67,204.3166666666667,207.60666666666665,269.02333333333337,284.1875,270.54333333333335,245.44,296.4525,303.5675,,305.83500000000004,235.05,316.185,317.3925,314.5675,319.155,312.7275,305.6675,,,,,,L5
2005-03-04 21:52:52+00:00,,,,,,,,,,,,,,245.97,239.425,295.5775,251.20000000000002,230.34,246.69000000000003,283.54499999999996,192.82999999999998,194.22333333333333,247.19999999999996,202.40666666666667,212.18999999999997,262.38,281.90749999999997,260.2675,238.9,292.74749999999995,301.1625,,312.48,219.87,318.1225,318.2925,316.095,319.805,313.52,306.8725,,,,,,L5
2006-02-03 21:56:19+00:00,,,,,,,,,,,,,,,,276.7,246.12,227.01,231.96,,167.31,196.14,242.08,196.53,211.82,258.02,253.08,231.93,232.47,274.25,282.61,,,230.24,298.84,309.26,310.16,310.27,314.31,305.94,,,,,,L5
