dates,satname,nzd0455-0000,nzd0455-0001,nzd0455-0002,nzd0455-0004,nzd0455-0005,nzd0455-0006,nzd0455-0007,nzd0455-0008,nzd0455-0003,nzd0455-0009,nzd0455-0010,nzd0455-0013,nzd0455-0014,nzd0455-0015,nzd0455-0016,nzd0455-0017,nzd0455-0020,nzd0455-0011,nzd0455-0012,nzd0455-0018,nzd0455-0019
1999-09-25 22:19:33.081000,L7,,219.46,213.06,236.39,252.75,243.54,241.58,237.46,241.79,,,,,,,,,,,,
1999-11-12 22:19:27.510000,L7,,,,229.70,245.10,236.42,211.88,203.92,236.22,,,,,,,,,,,,
2002-01-20 22:15:25.657000,L7,,,,218.91,241.87,216.37,181.59,,199.03,,,,,,,,,,,,
2002-03-09 22:15:29.782000,L7,,,177.28,220.48,247.79,238.19,235.30,215.24,229.38,,,204.08,208.74,202.43,203.46,,,202.92,193.82,,
2002-10-03 22:14:17.207000,L7,231.81,220.67,218.00,223.88,251.15,239.99,248.22,200.23,,,,,,,,,,,,,
2003-03-12 22:15:18.779000,L7,,,,230.34,246.74,236.71,238.75,190.05,163.86,,,,,,,,,,,,
2003-08-11 22:03:27.617000,L5,245.66,231.60,227.38,242.82,250.79,232.92,250.29,239.75,220.48,230.06,208.07,218.79,224.66,219.05,216.07,212.14,226.06,,,,
2003-08-27 22:03:45.777000,L5,232.17,221.07,222.74,246.42,228.62,,,,208.17,,,,,,,,,,,,
2003-10-14 22:04:27.452000,L5,,,,,,,,,,,,,,,195.85,198.45,240.36,,,204.08,196.34
2003-12-01 22:05:04.787000,L5,216.47,200.58,203.42,214.56,221.42,216.44,221.32,212.02,201.49,212.24,,,,,,,,,,,
2004-01-18 22:05:21.441000,L5,209.17,198.93,205.11,229.97,241.62,234.81,224.83,218.61,200.44,220.96,,,,,,,,,,,
2004-04-23 22:06:29.851000,L5,243.86,223.47,222.88,235.97,241.25,239.61,232.35,235.91,226.16,231.07,188.50,213.26,225.31,222.20,215.76,211.72,,218.91,213.63,203.76,
2004-09-30 22:10:46.090000,L5,282.55,265.23,267.36,289.62,293.93,288.88,294.07,282.45,277.81,281.66,273.53,271.82,272.84,278.14,262.22,271.08,292.48,269.95,284.79,272.60,284.05
2005-04-26 22:13:44.551000,L5,244.45,219.13,227.50,241.66,241.57,235.97,226.45,231.27,226.02,224.56,162.67,,,,209.19,211.16,,,,201.01,190.11
2005-06-13 22:14:07.273000,L5,255.18,232.97,230.32,239.79,200.45,,,,234.61,,,,,,,,,,,,
2005-06-29 22:14:10.845000,L5,253.40,232.43,231.58,246.53,210.28,,,,210.00,,,,,,,,,,,,
2005-07-31 22:14:29.445000,L5,241.80,224.80,220.57,,,,,,208.51,,,,,,,,,,,,
2005-08-16 22:14:36.672000,L5,195.79,219.47,,,252.03,244.29,250.94,240.05,,235.58,166.31,,207.87,224.17,209.23,,,,,,
2005-09-17 22:14:42.676000,L5,235.31,219.49,225.97,244.04,243.27,241.70,247.52,235.94,220.14,231.88,173.11,216.95,223.28,225.08,211.10,219.29,222.84,217.51,213.95,205.69,205.20
2006-02-08 22:16:57.956000,L5,228.88,210.73,218.93,231.39,244.80,238.85,241.85,231.41,213.97,224.80,162.51,213.25,209.45,211.40,190.80,216.04,187.85,209.47,203.10,206.69,199.73
2006-03-12 22:17:38.072000,L5,227.86,219.36,224.82,228.95,239.88,235.86,244.41,229.94,210.11,224.38,185.68,216.70,222.79,222.49,216.14,222.41,210.06,211.32,220.11,211.86,188.19
2006-04-13 22:18:14.212000,L5,231.45,215.44,223.05,230.35,232.44,235.42,234.42,231.50,210.46,225.91,171.29,,,,,,,,,,
2006-05-31 22:18:55.804000,L5,264.95,242.71,242.16,206.33,,,,,233.63,,,220.70,213.48,218.67,,,,211.51,218.84,,
2006-06-16 22:19:10.095000,L5,246.75,227.60,218.87,,,,,,183.77,,,,,,,,,,,,
2006-12-09 22:21:12.760000,L5,226.95,215.56,219.39,229.50,238.88,234.83,237.10,222.55,213.98,213.54,,,,,,,,,,,
2007-01-26 22:21:31.018000,L5,,,,217.48,230.49,229.29,227.18,221.23,,213.86,163.86,211.29,215.78,214.82,190.61,206.96,184.08,213.07,210.58,200.67,192.81
2007-02-11 22:21:32.545000,L5,230.89,211.27,215.17,229.27,236.52,234.68,238.71,221.65,196.97,215.81,,192.79,199.57,209.71,212.10,207.39,174.26,203.01,199.04,205.06,187.83
2007-02-27 22:21:32.058000,L5,230.90,212.07,212.55,239.57,237.08,238.86,241.40,231.45,221.28,228.98,168.68,204.82,209.08,211.41,193.22,208.17,184.04,205.94,203.73,208.09,199.98
2007-09-23 22:19:35.432000,L5,230.02,217.20,218.81,222.62,199.75,,,,205.19,,,,,,,,,,,,
2010-02-19 22:17:29.925000,L5,242.09,221.21,228.69,244.30,256.17,249.45,257.07,239.12,234.91,231.40,,,,,,,,,,,
2011-01-21 22:16:30.381000,L5,234.08,209.14,219.81,235.48,241.52,236.92,239.66,233.20,224.47,226.73,160.84,201.83,208.33,209.90,192.74,209.10,180.49,208.60,200.73,213.52,199.12
2013-05-02 22:28:22.407000,L8,256.48,236.25,243.65,252.78,261.73,254.52,256.99,250.69,247.70,244.67,207.78,226.76,223.21,239.45,229.05,232.28,187.10,228.62,226.41,222.74,223.12
2013-08-22 22:28:36.842000,L8,266.27,248.53,251.20,248.27,,,,,253.63,,,228.20,239.93,241.40,236.14,,,229.44,228.21,,
2013-11-10 22:28:18.375000,L8,280.29,260.38,264.38,279.13,287.61,283.01,286.84,274.66,271.15,269.29,260.66,264.63,266.30,268.82,261.86,271.06,293.27,266.18,258.46,271.10,292.19
2014-01-13 22:27:45.180000,L8,268.52,244.80,252.77,,,,270.76,260.94,204.44,262.96,247.21,257.68,258.47,260.89,255.24,262.76,285.94,258.61,252.85,262.44,269.79
2014-03-02 22:27:09.178000,L8,302.48,298.83,301.25,411.99,351.74,353.11,348.37,354.27,301.65,324.54,330.14,403.24,351.96,353.34,384.60,363.16,381.19,353.30,391.88,388.62,497.40
2014-06-22 22:26:17.171000,L8,267.25,243.22,249.21,262.25,272.92,265.71,267.89,259.62,258.12,253.96,221.52,231.21,232.28,240.40,231.58,233.17,,246.12,236.82,218.62,214.50
2014-09-26 22:26:40.595000,L8,239.98,220.91,232.18,241.44,255.32,241.18,247.22,242.11,236.78,237.99,,226.25,222.90,233.83,228.07,228.11,202.82,226.60,227.82,224.48,222.88
2014-12-15 22:26:40.930000,L8,278.60,262.71,267.33,283.07,291.06,286.28,289.82,277.26,273.56,273.20,262.00,268.62,267.66,274.06,266.07,272.91,295.38,272.09,262.80,275.73,288.58
2014-12-31 22:26:35.482000,L8,252.59,233.67,232.51,231.57,240.19,253.09,253.56,251.71,234.78,249.11,214.48,233.01,241.74,239.17,,,,242.48,235.73,,
2015-02-17 22:26:23.050000,L8,274.79,259.28,264.88,279.18,285.16,281.47,286.53,276.95,270.99,276.17,262.26,273.07,271.54,276.77,266.43,275.12,295.47,270.87,265.67,275.75,289.50
2015-04-06 22:25:56.856000,L8,255.68,237.25,240.37,248.45,262.47,250.38,255.22,247.78,245.60,241.23,194.51,,,,,,,,,,
2015-05-24 22:25:38.197000,L8,257.85,240.12,246.37,259.54,269.04,258.29,268.39,255.73,250.90,250.80,216.36,237.43,239.71,242.07,238.42,241.51,260.44,168.80,236.22,239.28,235.65
2015-07-11 22:26:05.596000,L8,,,,257.42,265.43,261.59,265.08,254.54,,250.37,,220.10,215.67,,,,,211.88,219.33,,
2015-09-13 22:26:29.621000,L8,255.29,235.55,240.63,190.56,,,,,220.11,,,219.14,,,,,221.60,231.10,225.45,227.29,223.69
2015-12-18 22:26:42.726000,L8,247.60,226.20,235.53,241.42,259.81,240.86,245.16,237.77,240.90,234.35,162.54,224.28,220.10,236.52,219.53,232.92,188.29,221.81,223.21,223.92,221.65
2016-01-03 22:26:39.547000,L8,273.39,258.91,262.32,280.08,286.18,282.70,286.09,273.67,269.24,268.83,256.89,263.49,264.30,265.90,263.70,268.93,292.11,264.70,260.88,271.65,281.60
2016-02-04 22:26:36.128000,L8,255.06,235.15,240.57,245.54,265.88,252.16,252.44,249.38,244.92,242.43,173.50,232.51,216.99,233.96,190.46,231.19,,235.22,228.67,222.59,219.36
2016-02-20 22:26:27.762000,L8,,,,,,,,,,,,244.51,244.30,244.19,235.75,182.68,,240.71,239.84,,
2016-03-07 22:26:26.859000,L8,253.70,235.53,239.72,246.15,262.31,252.47,252.83,247.76,245.58,240.68,192.20,226.23,232.39,230.26,209.57,228.39,184.81,225.09,231.89,222.68,220.99
2016-04-24 22:26:04.497000,L8,255.31,235.85,238.79,245.70,261.70,249.89,251.71,250.14,247.41,244.51,193.80,220.85,213.20,231.87,195.66,206.03,,224.33,224.82,209.71,219.55
2016-05-26 22:26:12.554000,L8,261.03,239.05,245.25,257.66,269.33,257.12,266.58,254.98,254.03,251.42,212.60,237.74,236.72,242.09,233.70,238.59,240.70,243.11,233.93,227.02,228.05
2016-06-11 22:26:15.919000,L8,257.28,237.16,242.33,248.63,266.39,251.64,,,247.92,,,232.75,214.31,239.09,211.18,224.38,,233.38,228.59,214.89,219.00
2016-06-27 22:26:23.365000,L8,262.80,242.42,248.74,260.27,270.07,260.73,269.12,255.89,251.95,252.17,229.46,233.92,242.93,242.75,235.66,234.93,240.56,236.73,235.21,224.69,224.10
2016-08-14 22:26:38.015000,L8,254.40,235.19,239.48,247.84,263.47,248.11,256.04,249.92,247.36,243.80,206.89,221.53,219.27,235.85,209.90,221.62,,224.55,225.33,,
2016-11-18 22:26:54.715000,L8,245.69,224.93,234.07,241.93,257.36,238.11,245.13,237.73,239.35,234.95,164.67,214.28,206.68,225.13,190.78,174.48,,217.91,220.65,195.43,
2016-12-04 22:26:53.506000,L8,251.48,231.26,239.77,246.02,262.33,251.22,251.08,245.54,242.26,239.87,178.87,231.48,229.79,237.21,223.14,232.07,199.10,231.96,228.43,222.48,221.42
2017-02-06 22:26:33.532000,L8,247.24,223.78,232.59,242.55,258.18,246.94,251.21,241.81,237.11,234.74,169.28,,,,,,,,,,
2017-02-22 22:26:28.144000,L8,279.32,263.19,265.86,282.12,288.41,283.95,287.53,274.98,271.41,268.80,262.64,265.61,264.02,267.30,266.58,270.32,292.03,264.62,259.99,272.96,286.39
2017-03-26 22:26:10.766000,L8,256.11,236.46,243.04,247.84,262.53,253.04,256.35,250.69,247.85,243.92,209.86,230.82,239.61,239.16,233.36,237.60,188.07,232.94,234.15,227.75,226.48
2017-09-02 22:26:40.811000,L8,255.09,237.42,245.00,250.47,268.18,255.23,261.09,252.13,248.34,245.37,209.75,229.21,234.91,240.32,233.97,235.10,218.40,237.89,232.85,227.80,227.70
2017-09-18 22:26:42.973000,L8,255.43,236.59,241.76,255.27,265.82,258.39,259.31,251.56,251.64,248.07,207.55,235.92,242.50,239.98,231.70,238.67,214.28,238.51,233.06,228.30,230.47
2017-10-04 22:26:49.608000,L8,252.10,233.16,240.47,248.30,266.03,251.56,255.27,250.87,245.57,242.70,188.46,227.79,222.07,236.08,211.56,228.10,,233.83,229.99,216.74,216.85
2017-10-20 22:26:52.422000,L8,254.86,240.77,227.57,,225.11,260.66,272.02,262.56,230.12,256.35,220.10,239.20,,,245.17,250.82,260.59,250.01,240.63,248.79,247.98
2018-02-25 22:26:18.105000,L8,290.67,296.81,304.60,286.96,289.53,285.10,287.86,283.81,274.88,275.08,273.13,314.48,268.82,271.91,261.39,269.82,296.61,324.48,317.90,274.63,289.09
2018-06-01 22:25:21.565000,L8,258.19,236.15,241.34,249.48,266.23,257.38,261.49,253.05,248.94,251.97,213.04,232.54,219.31,238.77,229.32,232.29,205.29,234.44,230.20,215.14,221.65
2018-06-17 22:25:29.713000,L8,252.27,229.90,239.19,246.61,260.28,248.92,,,243.34,,,,,,,,,,,,
2018-09-05 22:26:09.170000,L8,248.79,232.40,237.18,247.79,263.08,249.06,256.38,248.05,247.08,243.54,179.56,224.34,217.64,236.31,205.35,230.82,,228.91,230.31,,
2018-09-21 22:26:13.553000,L8,249.37,226.18,237.02,244.96,261.51,247.71,247.33,241.77,246.78,241.68,164.89,222.40,217.92,230.61,192.97,221.51,,222.26,225.69,207.79,216.59
2018-10-07 22:26:21.825000,L8,251.64,230.27,240.62,249.98,262.18,250.05,255.56,248.06,245.65,243.50,166.64,229.34,221.95,236.83,211.30,233.18,211.05,229.75,230.20,222.16,219.69
2019-01-11 22:26:25.210000,L8,273.90,259.14,264.07,280.08,288.53,282.54,287.18,275.98,270.03,268.79,262.16,264.81,265.66,267.92,265.26,270.27,292.95,264.91,259.45,272.51,284.19
2019-02-28 22:26:15.313000,L8,277.20,259.17,264.87,278.53,285.64,282.63,287.71,274.70,269.89,269.12,261.05,261.76,262.97,265.59,261.44,268.50,292.67,263.43,258.82,270.10,281.67
2019-04-01 22:26:06.574000,L8,289.12,271.02,283.22,315.82,313.70,309.03,308.02,310.88,292.14,269.00,269.45,264.01,266.40,268.48,326.87,310.84,329.88,268.64,264.35,328.86,289.28
2019-04-17 22:26:00.878000,L8,255.03,236.71,242.91,250.77,265.32,256.14,254.37,251.95,249.82,247.79,210.30,229.87,220.92,239.75,224.17,230.15,191.93,232.48,230.71,221.91,223.66
2019-06-04 22:26:19.798000,L8,259.59,238.96,247.66,258.38,268.04,258.07,268.30,254.83,251.62,250.27,207.45,232.81,222.65,240.71,232.76,240.23,222.86,236.40,233.94,224.41,229.88
2019-07-22 22:26:33.454000,L8,253.77,232.10,242.87,251.30,261.04,,,,241.73,,,,,,,,,,,,
2019-09-08 22:26:48.392000,L8,252.59,235.77,243.43,253.82,264.18,252.85,267.50,252.13,248.41,250.10,208.67,236.14,238.52,241.20,232.87,236.06,214.82,236.25,234.37,227.07,225.35
2019-11-11 22:26:55.947000,L8,292.97,287.13,295.56,309.77,329.65,309.44,305.10,350.92,296.14,290.50,307.59,370.94,319.64,342.08,356.45,341.86,336.59,288.64,319.53,340.82,352.03
2020-01-14 22:26:44.901000,L8,273.55,259.54,264.50,284.06,288.50,282.74,286.46,274.39,271.74,270.48,262.57,263.14,264.61,268.32,264.50,267.12,289.23,263.53,258.75,272.94,282.40
2020-04-03 22:26:14.440000,L8,,,,,,,,,,251.61,217.33,,233.04,240.26,221.01,236.30,254.11,234.57,223.46,207.51,225.11
2020-06-22 22:26:17.264000,L8,260.14,239.80,247.79,255.07,268.40,256.85,265.16,254.71,245.82,252.33,217.02,226.38,222.89,240.00,225.71,229.74,251.50,230.12,229.74,215.03,222.96
2020-07-08 22:26:24.366000,L8,257.85,235.62,244.35,251.68,268.42,254.53,257.79,252.90,251.41,246.94,,192.58,218.26,241.09,,,,230.49,227.97,,
