dates,satname,nzd0300-0000,nzd0300-0001,nzd0300-0002,nzd0300-0009,nzd0300-0010,nzd0300-0011,nzd0300-0012,nzd0300-0013,nzd0300-0014,nzd0300-0015,nzd0300-0016,nzd0300-0064,nzd0300-0003,nzd0300-0027,nzd0300-0028,nzd0300-0029,nzd0300-0030,nzd0300-0031,nzd0300-0032,nzd0300-0033,nzd0300-0034,nzd0300-0035,nzd0300-0036,nzd0300-0037,nzd0300-0038,nzd0300-0039,nzd0300-0040,nzd0300-0058,nzd0300-0059,nzd0300-0060,nzd0300-0061,nzd0300-0062,nzd0300-0063,nzd0300-0004,nzd0300-0017,nzd0300-0018,nzd0300-0022,nzd0300-0023,nzd0300-0024,nzd0300-0025,nzd0300-0026,nzd0300-0019,nzd0300-0020,nzd0300-0005,nzd0300-0006,nzd0300-0007,nzd0300-0008,nzd0300-0041,nzd0300-0021,nzd0300-0045,nzd0300-0046,nzd0300-0047,nzd0300-0048,nzd0300-0051,nzd0300-0052,nzd0300-0053,nzd0300-0054,nzd0300-0042,nzd0300-0043,nzd0300-0044,nzd0300-0055,nzd0300-0056,nzd0300-0050,nzd0300-0049,nzd0300-0057
2013-05-13 22:08:47.205000,L8,,,,,,339.00,318.41,315.30,284.80,251.12,224.12,,,357.12,332.36,317.75,339.08,282.71,245.32,,,,,,302.65,318.04,,,,,,,,,,,325.48,327.04,330.72,354.65,356.53,,,,,,,,,295.97,296.26,277.73,,,,,,210.28,303.84,274.66,,,,,
2013-06-30 22:08:48.035000,L8,343.38,276.32,361.53,358.11,332.58,314.93,330.33,311.66,279.21,277.95,266.91,,309.40,315.09,294.41,324.88,366.87,285.68,254.89,293.50,302.68,333.55,312.95,,,,,,333.30,323.92,338.09,322.78,,340.00,245.61,232.10,337.30,352.49,260.16,289.44,297.95,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-17 22:08:51.042000,L8,,,,,,344.33,325.06,322.28,286.90,305.74,297.39,,,,,,,,,,,,,,,,,,,,,,,,316.03,,333.18,346.18,353.33,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-30 22:06:34.437000,L8,,,,,,347.73,332.29,312.71,321.82,307.08,294.70,,,,,,,,,,,,,,339.62,320.74,,,,,,,,,293.28,308.03,,,,,,332.96,,,,,,,,255.86,,,,,,,,,315.65,284.20,,,,,
2014-05-16 22:06:21.708000,L8,,,,,,349.28,330.70,320.63,314.42,313.41,295.40,,,347.95,335.96,317.90,373.26,288.22,287.54,,,,,311.95,312.24,316.10,243.59,,,,,,,,,,,,,,371.13,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-01 22:06:26.739000,L8,,,,,,349.62,332.39,322.91,315.82,312.23,298.38,,,,,,376.69,286.77,245.52,317.82,332.50,332.67,,,,,,,,,,,,,341.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-17 22:06:32.826000,L8,,,,,,352.75,330.62,322.23,301.71,284.74,254.54,,,,354.18,326.77,373.25,286.49,285.46,315.69,324.88,332.58,305.95,333.94,345.81,319.88,328.91,,,,,,,,268.60,,,,,,,,,,,,,303.85,,,,,,,,,,,,,,,,,
2014-07-03 22:06:38.032000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.47,352.50,,,,,,,,250.76,297.37,
2014-08-04 22:06:50.418000,L8,,,,,,355.73,333.50,326.64,289.13,320.47,303.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.90,212.74,220.04,217.09,269.97,267.09,306.67,318.03,,196.77,259.89,333.20,,253.89,236.82,
2015-06-20 22:06:08.884000,L8,,,,,,348.69,329.90,320.15,313.61,322.99,298.63,,,368.75,345.42,330.26,372.82,285.51,287.46,311.15,320.50,324.39,315.21,332.86,,,,,,,,,,,,,,,,,,,,,,,,,,,270.53,302.61,244.14,310.89,329.63,257.44,,,,,,,311.81,285.57,
2015-08-23 22:06:36.490000,L8,,,,,,348.44,334.35,317.88,323.80,307.95,300.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-10 22:06:50.850000,L8,,,,,,,,,,,,,374.14,,,,,,,,,,,,,,,,,,,,,304.39,,,,,,,,,,290.03,285.39,315.19,351.82,,,,,,,,,,,,,,,,,,
2016-03-02 22:06:43.439000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.84,333.69,,,
2016-04-19 22:06:22.901000,L8,,,,,,,338.71,322.82,325.14,323.40,347.46,,,,,,,,,,,,,299.73,299.51,314.49,294.28,,,,,,,,336.69,,,,,,,,,,,,,297.93,,,,,,,,,,,,,,,,,
2016-06-06 22:06:31.014000,L8,,,,,347.79,322.17,302.18,292.03,279.40,247.49,248.72,,,351.85,315.60,312.66,320.91,279.43,239.02,253.11,228.41,,285.79,293.70,315.95,311.10,285.07,,,,,,,310.09,248.48,307.76,311.43,341.03,349.19,348.33,356.40,330.37,,282.39,287.88,309.63,350.02,280.73,,,,,,,,,,,,,,,,,
2016-08-09 22:06:51.832000,L8,,,,,,,339.41,323.25,321.81,320.72,345.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-10 22:07:03.402000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.23,,,,,,,,,,231.49,274.12,,,,,,
2017-05-24 22:06:22.329000,L8,,,,350.77,340.34,323.61,315.33,298.21,278.02,259.29,291.05,,,276.10,294.46,312.03,332.85,267.28,,,,,,,,,,,,,,,,305.86,281.98,312.59,328.41,326.43,267.42,290.96,314.25,324.79,349.29,281.51,307.12,312.59,352.00,,344.49,262.48,259.15,284.41,317.40,,,,,,,,,,,,
2017-06-25 22:06:35.560000,L8,333.77,331.62,374.29,,,337.32,325.06,313.71,300.24,311.55,293.26,,,359.93,346.29,315.22,322.47,274.81,230.54,,,,,,,,,,,,,,,,334.03,318.79,,,,,361.31,334.77,,,,,,,,,,,,,,,,,,,,,,,
2018-02-20 22:06:36.123000,L8,,289.38,359.64,,,,,,,,,,319.41,,,,,,,,,,,,,,,,,,,,,246.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-28 22:05:52.179000,L8,,,,,,,337.82,321.38,315.06,310.74,301.38,,,,336.28,338.77,377.07,289.27,290.28,322.79,325.70,,,,,,,,,,,,,,233.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-27 22:06:23.509000,L8,,,,,349.63,331.36,336.17,324.26,330.98,316.18,301.70,,,,,,,,,,,,,,,,,,,,,,,,316.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-12 22:06:18.648000,L8,,,,,,,,,,,,,,322.14,323.04,315.00,361.97,,,,,,,,,,,,,,,,,,260.96,281.12,,,,354.85,358.56,288.66,311.92,,,,,,290.00,,,,,,,,,,,,,,,,
2019-06-15 22:06:39.812000,L8,,,,,,346.50,334.47,319.82,316.43,309.75,302.10,,,316.48,333.14,335.16,369.43,286.53,282.48,,,,277.99,284.62,322.59,243.38,228.33,,,,,,,,,,348.38,354.42,351.85,340.44,,,,,,,,252.83,,,265.06,304.74,285.32,,,,,250.14,300.41,,,,,320.83,
2019-08-02 22:06:53.904000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.62,344.09,292.40,354.05,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-18 22:06:59.153000,L8,,,,,,349.39,336.71,323.68,315.97,313.50,295.55,,,,,,,,,,,,,,,,,,,,,,,,341.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13 22:06:42.111000,L8,,,,,,,,,287.92,265.60,267.81,,,,,,,,,,,,,,,,,,,,,,,,262.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-29 22:06:33.069000,L8,,,,347.27,344.12,317.17,,270.92,328.71,317.51,344.16,360.01,,,,,,,,,,,,,,,,,,,,,360.69,,269.71,,,,,,,,,,321.07,337.55,353.70,,,,,,,,,,,,,,,,,,
2020-04-14 22:06:26.078000,L8,,,,340.80,338.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.59,324.62,349.60,,,,,,,,,,,,,,,,,,
2020-05-16 22:06:15.529000,L8,,,,,,346.03,334.58,324.24,320.63,313.75,301.23,,,,,,,,,,,,,,,,,,,,,,,,,,339.32,353.07,350.19,369.43,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-19 22:06:28.157000,L8,,,,,,348.15,333.71,320.62,289.33,303.70,301.24,,,,352.65,337.22,369.56,279.77,,319.37,325.88,210.46,,,,,,,,,,,,,327.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-08 22:07:05.910000,L8,,,,333.92,341.47,301.64,296.89,317.15,328.68,,,,,,,,,,278.40,330.50,,,,,,,,,,,,,,,,,,,,,,,,,273.31,294.59,322.50,,,,,,,,,,,,,,,,,,
2022-04-28 22:06:34.971000,L9,,,,,,338.02,325.10,308.71,285.11,307.32,289.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-06 22:06:41.610000,L8,,,,,,343.19,329.10,315.77,285.03,310.36,344.10,,,,,,,,,,,,286.93,292.27,320.00,321.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-30 22:06:21.452000,L9,,,381.24,,,335.93,318.68,317.25,304.23,307.12,289.23,,312.42,367.31,332.04,317.20,333.56,268.77,229.32,277.36,324.92,326.15,,,,,,,,,,,,315.60,342.63,315.41,324.77,340.09,349.70,363.40,,330.17,,283.11,320.53,342.02,369.25,,,,,,,,,,,,,,,,,,
2022-06-07 22:06:55.460000,L8,,,,,,334.54,330.29,314.51,283.20,296.99,297.55,,,362.80,333.42,311.62,341.59,276.81,,,,,,,,,,,,,,,,337.41,,,327.03,340.27,344.60,362.67,,,,283.34,320.94,332.26,366.58,,,318.04,315.16,320.48,209.49,,,,,,,,,,,,
2022-07-01 22:06:42.355000,L9,,,,,,,,,,,,,,,363.80,337.13,377.54,288.27,295.24,318.45,293.59,260.05,283.22,335.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.50,256.33,209.75,,,,,
2022-08-10 22:07:20.170000,L8,346.45,282.33,365.01,,,347.80,333.06,322.51,280.53,318.98,304.02,,338.40,,,,,287.14,304.97,320.57,308.39,335.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-03 22:07:03.978000,L9,376.38,374.17,372.76,,,333.84,308.83,303.56,280.72,257.47,258.42,,329.30,,365.07,346.01,370.61,288.78,309.38,321.51,,,,,,,,,,,,,,354.63,338.32,275.25,,,,,,319.99,,,,,,,,,,,,,,,,,,,,,,,
2022-11-30 22:07:23.829000,L8,269.72,297.25,320.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-07 22:06:28.171000,L8,375.90,376.48,363.09,,,,,,,,224.59,,291.18,,,,370.37,283.15,240.61,321.58,304.29,,,,,,,,,,,,,,245.18,329.29,,,,,,322.72,349.29,,,,,,,,,,,,,,,,,,,,,,
2023-06-10 22:06:15.787000,L8,,,,,,345.10,333.12,318.33,301.22,309.46,295.54,,,,352.79,334.77,375.94,281.58,243.08,,,,,,,,,,,,,,,,,,,,,,,,,367.48,369.61,359.29,371.94,,,,,,,,334.63,272.68,330.34,,,,,,,,
2023-06-26 22:06:22.764000,L8,,,,,,337.16,337.44,319.68,323.26,313.51,306.32,,,315.36,285.43,291.22,271.31,,,,,,,,,,,,,,,,,,,,,,,,,,,330.73,248.36,365.04,353.33,303.83,,,,,,,,,,309.23,257.80,,,,,,
2023-07-20 22:06:25.971000,L9,,,,,,350.47,334.79,318.77,318.63,311.84,304.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-28 22:06:38.888000,L8,,,,,,347.42,333.57,320.16,281.56,315.47,296.52,,,,,,,,,316.89,283.24,,199.41,330.98,323.23,308.84,267.32,,,,,,,,,,,,,,,,,,,,,255.54,,,,,,,,,,292.59,258.99,,,,,,
2023-08-29 22:06:50.051000,L8,382.70,285.59,367.98,,,,336.05,327.38,284.15,317.74,332.07,,347.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-08 22:06:41.615000,L8,,,,,,,,,,,,,,277.46,252.69,334.34,370.58,290.97,235.92,329.33,,,,,,,,,,,,,,,,,,,,,277.03,,,,,,,,,,,252.28,276.63,350.75,236.77,305.95,220.37,,,,,,,272.48,
2024-04-17 22:06:39.730000,L9,,,,,,,,,,,,,,,286.62,321.50,290.39,278.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.28,,,,,,,,,,339.75,342.91,
2024-05-03 22:06:25.913000,L9,,,,,,346.61,331.43,323.90,323.56,312.66,336.85,,,,,,,,291.98,297.99,334.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-19 22:06:18.091000,L9,,,,,,,,,,,,,,,,,,300.18,301.67,323.92,297.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-04 22:06:11.845000,L9,,,,,,336.49,325.06,316.59,281.08,283.32,290.09,,,351.89,321.30,315.20,276.44,,,,,,,,,,,,,,,,,,300.74,315.21,,,,,362.81,326.14,,,,,,,,220.47,240.25,253.77,251.22,,,,,,,,,,334.10,274.33,
2024-06-12 22:05:54.419000,L8,,,,,,352.94,332.92,325.66,310.61,312.27,297.73,,,360.16,335.89,319.79,370.61,233.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.19,264.17,310.01,,,,,,,,,,,335.71,
2024-06-20 22:05:54.886000,L9,,,,,,349.51,334.21,314.65,306.93,308.30,299.67,,,327.21,328.06,327.01,368.28,265.77,,,,,,,,,,,,,,,,,,,352.98,356.04,355.87,346.65,322.09,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-28 22:06:07.395000,L8,,,,,,339.15,335.13,317.87,278.79,313.57,343.50,,,326.13,325.96,326.21,372.38,245.60,,,,,,,,,,,,,,,,,,,,,,,336.68,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-22 22:06:16.344000,L9,,,,343.95,330.35,256.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.95,311.12,321.59,,,,,,,,,,,,,,,,,,
2025-03-19 22:06:42.768000,L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.17,260.51,,,,,,,331.42,250.74,234.57,,,,,
2025-03-27 22:06:28.867000,L8,,,,,,,,,212.77,274.71,274.52,,,,,,,,,,,,,,,,,,,,,,,,226.27,225.94,329.59,340.43,263.04,262.35,,236.74,216.53,,,,,,,,,,,,,,,,,,,,,,
2025-04-04 22:06:39.840000,L9,,370.46,298.92,,,,,,,,,,246.53,,,,,,,,,,,,,,,,,,,,,269.24,,,,,,,,,,331.45,,,,,,,,,,,,,,,,,,,,,
2025-04-12 22:06:24.345000,L8,,,,,,347.03,336.08,321.23,322.06,319.15,330.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-22 22:06:19.775000,L9,,,,,,342.10,325.34,319.08,285.64,309.51,295.72,,,357.80,322.51,320.52,279.46,,,235.91,299.02,252.05,200.22,290.31,306.13,320.52,308.37,,,,,,,,,,,,,,365.80,,,,,,,333.81,,309.75,,,,,,,,335.53,309.42,279.30,,,,,
2025-05-30 22:06:18.574000,L8,,,,350.30,338.91,311.33,284.39,288.04,276.29,252.98,246.95,,,339.77,319.07,337.71,375.37,258.40,290.46,319.73,329.36,337.86,,,335.90,329.83,295.98,,,,,,,,246.95,247.66,318.51,349.20,329.25,357.79,356.88,249.75,323.73,,277.97,297.78,340.02,279.62,306.94,213.87,,,,,241.97,260.61,328.92,243.45,238.65,260.61,315.56,315.96,,,
2025-06-15 22:06:28.606000,L8,,,,,290.51,323.65,337.01,315.45,305.72,311.47,299.55,,,362.92,330.46,327.41,373.66,283.98,,,,,,248.92,292.66,,,,,,,,,,,,332.58,350.21,359.29,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-02 22:06:45.866000,L8,,,,,,,335.97,322.92,289.43,322.05,302.98,,,359.59,305.85,332.05,373.12,282.85,224.89,314.50,307.61,333.51,266.51,232.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-10 22:06:52.184000,L9,,,,,,,,,,,,,,,,,,,,,,,337.13,313.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-26 22:06:57.277000,L9,,,,,,355.19,338.88,325.19,329.92,311.78,345.95,,,,,,,,,,,,321.53,320.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-05 22:07:04.668000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.19,235.44,244.46,252.92,,,,,,248.83,255.29,,,,286.14,
