dates,satname,nzd0013-0000,nzd0013-0001
1999-10-04 22:10:38.131000,L7,405.41,356.83
2000-02-09 22:10:19.398000,L7,395.57,364.66
2000-08-03 22:08:44.137000,L7,347.61,
2000-08-19 22:08:38.248000,L7,351.38,353.13
2000-09-04 22:08:22.800000,L7,381.50,392.18
2000-09-20 22:08:03.348000,L7,350.09,
2000-10-06 22:07:59.689000,L7,352.51,355.48
2001-11-26 22:06:09.518000,L7,348.40,355.95
2001-12-28 22:06:14.106000,L7,346.80,353.31
2002-02-14 22:06:29.522000,L7,306.65,
2002-08-09 22:05:46.029000,L7,,387.20
2002-11-13 22:05:30.425000,L7,386.36,420.31
2003-04-06 22:06:21.012000,L7,358.31,337.99
2003-10-23 21:55:36.755000,L5,406.02,393.19
2004-05-18 21:58:14.785000,L5,354.80,357.13
2004-08-22 22:00:48.706000,L5,397.56,397.37
2005-01-13 22:03:41.143000,L5,368.19,369.53
2005-02-14 22:04:09.465000,L5,355.01,360.21
2005-03-02 22:04:24.338000,L5,381.10,383.58
2005-04-03 22:04:40.528000,L5,381.39,377.36
2005-04-19 22:04:43.597000,L5,388.33,384.89
2005-06-06 22:05:05.724000,L5,361.28,366.94
2005-08-25 22:05:41.221000,L5,391.49,384.37
2005-09-26 22:05:42.687000,L5,346.97,347.60
2005-11-13 22:05:57.059000,L5,332.08,333.90
2006-02-17 22:08:11.136000,L5,357.32,362.22
2006-05-08 22:09:38.251000,L5,316.96,329.89
2006-06-25 22:10:20.606000,L5,348.64,353.35
2006-07-11 22:10:34.443000,L5,339.13,339.42
2006-08-12 22:10:59.603000,L5,353.53,356.50
2007-01-19 22:12:30.924000,L5,355.46,356.41
2007-10-02 22:10:31.289000,L5,343.52,346.03
2008-11-21 22:01:05.982000,L5,352.59,354.75
2009-01-24 22:02:55.057000,L5,371.10,370.38
2010-01-27 22:08:26.527000,L5,369.41,372.97
2010-02-12 22:08:30.110000,L5,365.51,371.62
2010-11-27 22:07:24.215000,L5,344.30,351.08
2011-01-14 22:07:31.728000,L5,352.09,352.98
2011-02-15 22:07:34.670000,L5,370.35,365.62
2011-09-11 22:06:09.236000,L5,360.12,360.35
2013-04-25 22:19:21.025000,L8,351.74,360.52
2013-05-11 22:19:31.249000,L8,365.86,374.77
2013-06-28 22:19:33.252000,L8,383.04,396.22
2013-07-14 22:19:34.707000,L8,366.88,376.89
2013-08-31 22:19:38.558000,L8,364.52,371.78
2013-10-18 22:19:25.762000,L8,362.03,370.70
2014-02-23 22:18:20.398000,L8,411.42,380.74
2014-03-27 22:17:50.001000,L8,364.14,370.36
2014-05-14 22:17:08.923000,L8,361.60,369.88
2014-05-30 22:17:11.184000,L8,369.65,378.18
2014-07-01 22:17:22.417000,L8,368.29,375.53
2014-07-17 22:17:28.260000,L8,373.88,377.61
2014-09-19 22:17:42.798000,L8,364.89,373.39
2015-01-25 22:17:32.812000,L8,364.42,368.30
2015-07-20 22:17:10.706000,L8,404.48,377.02
2015-08-05 22:17:13.094000,L8,348.95,356.18
2015-10-08 22:17:36.852000,L8,349.34,351.79
2015-10-24 22:17:40.820000,L8,359.43,364.03
2015-12-11 22:17:42.627000,L8,410.18,388.69
2015-12-27 22:17:43.409000,L8,366.11,369.43
2016-01-12 22:17:40.472000,L8,374.63,376.06
2016-08-07 22:17:37.552000,L8,332.51,332.82
2016-09-08 22:17:48.858000,L8,369.75,371.73
2016-09-24 22:17:49.840000,L8,366.98,368.69
2016-10-10 22:17:54.274000,L8,364.52,370.22
2016-10-26 22:17:56.874000,L8,351.59,351.15
2017-01-30 22:17:38.957000,L8,373.44,372.86
2017-03-03 22:17:25.727000,L8,347.34,353.59
2017-04-20 22:16:59.468000,L8,366.44,375.61
2017-06-07 22:17:15.240000,L8,364.15,373.91
2017-07-09 22:17:23.906000,L8,356.26,364.85
2017-09-27 22:17:48.664000,L8,405.34,368.35
2017-10-29 22:17:53.844000,L8,366.11,372.06
2017-11-30 22:17:44.511000,L8,,341.30
2017-12-16 22:17:46.727000,L8,346.87,354.64
2018-02-18 22:17:22.771000,L8,440.08,378.69
2018-04-07 22:16:59.037000,L8,363.12,369.75
2018-05-09 22:16:40.331000,L8,369.90,378.24
2018-05-25 22:16:28.178000,L8,365.70,374.15
2018-06-10 22:16:26.226000,L8,365.44,377.96
2018-06-26 22:16:36.823000,L8,365.55,375.13
2018-07-28 22:16:51.607000,L8,348.22,358.97
2018-11-17 22:17:31.986000,L8,366.91,371.13
2018-12-03 22:17:30.217000,L8,347.58,355.22
2018-12-19 22:17:28.292000,L8,364.74,371.60
2019-01-04 22:17:27.803000,L8,374.47,377.74
2019-02-05 22:17:21.574000,L8,468.77,417.53
2019-03-25 22:17:09.739000,L8,382.60,388.55
2019-04-26 22:16:59.330000,L8,370.12,379.37
2019-05-12 22:17:08.680000,L8,382.34,373.55
2019-05-28 22:17:17.913000,L8,368.11,377.94
2019-06-29 22:17:29.720000,L8,350.51,358.39
2019-07-31 22:17:38.893000,L8,351.87,360.32
2019-08-16 22:17:44.396000,L8,367.12,379.95
2019-11-04 22:17:58.697000,L8,468.93,402.41
2019-12-06 22:17:54.623000,L8,411.84,415.05
2019-12-22 22:17:51.823000,L8,347.64,354.56
2020-01-07 22:17:47.735000,L8,364.29,368.51
2020-02-08 22:17:38.924000,L8,369.37,375.63
2020-02-24 22:17:35.189000,L8,412.50,384.90
2020-03-11 22:17:28.877000,L8,413.18,396.27
2020-03-27 22:17:20.128000,L8,364.57,374.36
2020-04-28 22:17:04.952000,L8,348.09,357.41
2020-07-01 22:17:22.957000,L8,349.38,358.13
2020-08-02 22:17:33.048000,L8,344.99,345.12
2020-09-03 22:17:46.393000,L8,361.16,367.19
2021-01-25 22:17:44.203000,L8,371.83,376.30
2021-05-01 22:17:07.841000,L8,375.67,382.34
2021-05-17 22:17:12.707000,L8,363.13,370.33
2021-06-18 22:17:27.030000,L8,364.81,375.14
2021-07-04 22:17:29.944000,L8,340.45,343.30
2021-11-09 22:17:58.951000,L8,363.68,370.68
2021-12-19 22:17:52.616000,L9,365.16,369.76
2022-01-04 22:17:52.138000,L9,353.02,356.88
2022-01-20 22:17:51.591000,L9,369.53,376.64
2022-02-21 22:17:43.336000,L9,358.35,368.02
2022-04-18 22:17:25.504000,L8,412.83,373.84
2022-05-12 22:17:13.223000,L9,357.75,367.69
2022-06-05 22:17:39.656000,L8,365.46,373.90
2022-06-13 22:17:12.050000,L9,354.89,364.34
2022-07-15 22:17:24.696000,L9,366.70,378.73
2022-07-31 22:17:39.593000,L9,369.23,377.55
2022-08-08 22:18:05.196000,L8,367.54,373.25
2022-09-09 22:18:11.619000,L8,368.36,376.85
2022-11-04 22:18:00.514000,L9,361.01,365.65
2022-11-12 22:18:10.437000,L8,350.69,356.54
2022-12-22 22:17:59.519000,L9,346.25,343.10
2023-01-15 22:17:53.980000,L8,355.06,360.28
2023-02-08 22:18:06.517000,L9,366.67,371.52
2023-02-16 22:17:50.035000,L8,364.40,369.72
2023-03-04 22:17:37.574000,L8,366.16,370.41
2023-03-28 22:17:33.498000,L9,368.78,372.47
2023-04-13 22:17:27.047000,L9,368.29,373.36
2023-05-15 22:17:12.111000,L9,361.12,367.74
2023-06-16 22:16:54.981000,L9,363.19,372.37
2023-06-24 22:17:06.399000,L8,377.24,390.15
2023-07-02 22:17:05.775000,L9,365.44,373.40
2023-07-26 22:17:23.328000,L8,356.29,365.95
2023-09-12 22:17:38.225000,L8,370.07,375.05
2023-09-20 22:17:40.026000,L9,368.36,371.90
2023-09-28 22:17:43.092000,L8,365.47,369.04
2023-10-14 22:17:45.774000,L8,360.86,366.48
