dates,nzd0013-0000,nzd0013-0001
2023-06-24 22:17:06+00:00,342.49875,350.11375
2023-07-02 22:17:05+00:00,342.87888888888887,350.4377777777778
2023-07-26 22:17:23+00:00,342.89444444444445,351.7433333333333
2023-09-12 22:17:38+00:00,347.17833333333334,352.35857142857145
2023-09-20 22:17:40+00:00,346.1271428571428,351.51750000000004
2023-10-14 22:17:45+00:00,346.0371428571429,351.515
2023-10-22 22:17:50+00:00,345.44625,350.83666666666664
2023-11-07 22:17:46+00:00,344.4144444444444,349.81399999999996
2023-11-15 22:17:47+00:00,344.20374999999996,353.20799999999997
2024-01-10 22:17:52+00:00,345.68,354.72249999999997
2024-02-11 22:17:53+00:00,344.91333333333336,354.14125
2024-03-30 22:17:36+00:00,345.57800000000003,354.93142857142857
2024-04-15 22:17:28+00:00,345.672,355.4066666666667
2024-04-23 22:17:03+00:00,346.236,356.49500000000006
2024-05-01 22:17:11+00:00,346.635,356.25428571428574
2024-05-09 22:16:51+00:00,348.95,358.7942857142857
2024-05-17 22:17:03+00:00,349.7857142857143,357.34285714285716
2024-07-12 22:17:00+00:00,349.5971428571429,357.5157142857143
2024-08-21 22:17:19+00:00,349.6575,356.79714285714283
2024-08-29 22:17:21+00:00,348.90222222222224,355.6575
2024-11-17 22:17:38+00:00,344.22749999999996,348.135
2025-01-12 22:17:45+00:00,342.46,348.19
2025-03-09 22:17:26+00:00,334.44,348.57666666666665
2025-05-04 22:17:17+00:00,344.155,353.485
