dates,satname,nzd0175-0000,nzd0175-0001,nzd0175-0002,nzd0175-0003,nzd0175-0004,nzd0175-0005,nzd0175-0006,nzd0175-0007,nzd0175-0008,nzd0175-0009,nzd0175-0010,nzd0175-0011,nzd0175-0012,nzd0175-0013,nzd0175-0014,nzd0175-0015,nzd0175-0016,nzd0175-0017,nzd0175-0018
1999-09-20 21:58:32.521000,L7,327.91,335.80,341.13,355.47,348.84,349.32,363.26,369.66,404.07,463.24,475.96,537.22,494.74,449.84,476.51,480.93,452.99,447.96,433.64
1999-10-22 21:58:28.758000,L7,300.03,300.55,302.72,313.17,292.77,279.80,284.71,292.39,289.06,303.70,280.11,250.96,279.82,275.20,302.50,296.62,265.37,177.54,
1999-12-09 21:58:33.708000,L7,297.68,297.12,295.00,313.80,291.19,283.12,284.72,292.27,300.46,307.48,317.61,331.14,348.37,347.95,361.82,296.97,296.70,243.44,232.33
1999-12-09 21:58:57.676000,L7,296.41,296.07,293.99,314.04,290.02,281.77,284.52,291.84,300.39,307.44,317.09,330.02,348.29,355.52,361.65,297.68,297.95,266.58,168.94
2000-01-10 21:58:52.465000,L7,349.94,357.76,355.80,383.71,327.95,260.64,268.01,311.16,308.87,321.61,300.14,273.91,306.49,293.76,327.31,319.13,318.05,294.32,293.43
2000-02-27 21:58:16.566000,L7,302.09,302.38,303.11,320.16,298.71,291.50,287.57,294.92,305.94,312.56,318.65,334.66,286.33,358.56,372.65,372.79,388.77,376.63,367.29
2000-02-27 21:58:40.521000,L7,301.29,302.24,302.49,320.28,298.83,290.97,287.70,295.06,306.02,267.11,319.58,288.10,329.28,350.38,372.04,373.06,388.00,366.51,272.44
2000-03-14 21:58:11.336000,L7,299.65,303.67,303.30,319.04,299.38,285.40,280.06,296.52,295.25,315.72,323.04,344.35,362.64,369.77,376.50,379.79,369.83,266.95,267.28
2000-03-14 21:58:35.291000,L7,302.22,306.51,305.21,320.89,300.98,286.93,281.73,298.56,297.07,316.80,324.02,344.90,364.00,371.46,377.23,381.39,370.76,267.07,267.31
2000-03-30 21:58:09.573000,L7,307.01,304.98,306.47,323.56,300.24,291.49,283.44,291.63,299.64,304.96,310.81,319.91,336.17,359.99,377.24,378.42,312.09,279.21,279.06
2000-03-30 21:58:33.541000,L7,307.40,305.37,307.24,322.53,300.52,291.09,284.18,291.26,299.00,304.54,310.52,320.10,335.39,331.99,333.35,326.04,310.87,280.13,279.26
2000-08-05 21:56:44.750000,L7,296.46,292.17,293.79,285.38,242.75,221.86,212.45,212.60,202.40,,210.21,216.29,230.81,,273.80,256.70,239.02,263.06,261.48
2000-08-05 21:57:08.715000,L7,302.48,294.68,297.17,298.73,286.04,270.30,217.80,219.74,261.41,293.62,274.32,252.29,272.04,254.00,291.29,272.69,245.70,264.19,264.13
2000-09-22 21:56:05.544000,L7,307.40,301.10,301.91,316.62,249.74,276.20,157.90,,,,,294.86,280.63,268.75,304.80,298.41,272.90,263.17,271.43
2000-09-22 21:56:29.431000,L7,311.24,306.44,306.31,322.31,256.69,280.81,161.74,,,,,294.11,284.19,275.34,316.63,300.68,282.24,267.91,274.16
2000-12-11 21:56:00.959000,L7,287.64,289.15,250.45,202.17,261.57,290.97,269.27,274.62,259.59,208.86,228.21,248.69,274.02,220.34,,,,,
2000-12-27 21:56:05.061000,L7,281.25,285.41,292.71,311.02,285.55,276.64,279.89,284.39,289.14,300.31,271.16,252.64,280.98,249.52,288.80,270.63,260.55,259.32,269.26
2001-01-12 21:56:06.772000,L7,297.73,276.59,274.27,280.45,284.65,261.65,263.24,297.23,286.52,268.97,,199.59,274.02,249.21,288.83,273.10,262.05,268.36,268.00
2001-01-12 21:56:30.696000,L7,295.35,275.45,270.93,277.34,282.15,261.27,262.41,298.69,285.85,301.84,,196.76,272.51,211.07,287.60,272.61,260.37,267.51,267.28
2001-03-01 21:55:57.624000,L7,282.74,281.95,282.09,307.30,283.34,220.83,210.76,241.62,282.90,294.92,227.65,247.99,272.00,251.47,291.40,291.97,246.66,274.15,267.96
2001-03-01 21:56:21.596000,L7,288.02,288.25,290.20,313.69,292.95,276.49,221.33,272.21,289.73,298.59,301.77,295.63,282.33,261.57,303.84,300.36,261.18,280.60,273.55
2001-06-05 21:55:16.607000,L7,289.42,286.15,283.57,263.89,276.67,270.75,259.57,268.77,271.22,292.61,287.66,300.02,263.00,259.98,301.51,299.61,275.22,280.83,286.44
2001-06-05 21:55:40.577000,L7,293.50,291.60,288.74,305.38,288.72,278.39,269.67,283.22,283.63,298.30,297.10,306.57,304.10,271.97,305.88,303.74,286.91,285.01,294.48
2001-06-21 21:55:05.323000,L7,295.31,290.25,292.32,300.98,249.05,217.03,212.28,235.99,265.47,291.83,289.83,316.29,218.66,269.92,303.14,303.43,256.13,278.74,277.42
2001-06-21 21:55:29.297000,L7,303.23,296.62,299.48,316.29,296.74,280.73,276.93,285.46,283.07,303.23,299.78,332.36,298.97,276.99,316.41,314.92,288.22,283.43,287.65
2001-09-09 21:54:12.928000,L7,311.09,499.22,404.92,442.73,487.74,285.57,289.50,303.87,298.28,315.63,334.95,316.49,350.59,274.35,308.88,298.28,280.52,276.47,263.12
2001-09-09 21:54:36.880000,L7,300.58,296.95,301.82,313.83,287.38,272.01,277.61,286.00,277.86,304.80,228.65,289.51,278.97,255.24,297.87,284.59,272.65,265.56,257.06
2001-10-11 21:53:46.024000,L7,323.02,329.69,326.44,342.02,313.19,312.44,310.84,309.56,311.71,330.89,341.14,320.59,343.13,343.64,308.91,303.74,280.73,357.67,344.11
2001-10-11 21:54:09.862000,L7,318.81,326.74,323.24,339.86,309.47,307.11,307.05,306.65,305.59,329.34,339.11,321.30,342.70,378.37,378.65,373.86,389.12,398.37,377.53
2002-01-15 21:54:23.534000,L7,286.35,288.95,291.92,263.22,238.93,268.72,211.16,241.72,229.74,187.61,227.34,245.53,270.94,182.48,,,,,
2002-01-31 21:54:26.647000,L7,288.83,292.86,294.03,312.20,292.62,286.74,281.41,283.80,290.32,269.47,276.99,286.77,338.69,261.75,302.69,283.15,279.66,249.72,241.05
2002-01-31 21:54:50.570000,L7,283.18,287.27,288.25,307.80,288.14,280.97,275.56,279.99,285.83,295.23,291.67,308.41,313.64,252.25,297.07,278.42,278.44,250.14,242.44
2002-02-16 21:54:54.191000,L7,,259.79,261.22,276.90,,227.64,186.94,,,,,218.47,239.50,,,,,,
2002-03-20 21:54:24.081000,L7,,210.61,298.23,319.45,295.75,289.44,280.80,290.44,296.56,302.75,304.92,306.65,284.79,271.70,302.67,277.40,495.07,516.68,490.75
2002-03-20 21:54:48.224000,L7,,,,213.23,268.30,274.81,211.68,237.86,270.04,285.37,228.23,249.20,269.54,248.74,289.60,263.37,249.88,,
