dates,nzd0175-0000,nzd0175-0001,nzd0175-0002,nzd0175-0003,nzd0175-0004,nzd0175-0005,nzd0175-0006,nzd0175-0007,nzd0175-0008,nzd0175-0009,nzd0175-0014,nzd0175-0015,nzd0175-0016,nzd0175-0017,nzd0175-0018,nzd0175-0010,nzd0175-0011,nzd0175-0012,nzd0175-0013
1999-10-22 21:58:28+00:00,299.03,299.52,,312.28,291.73,278.56,283.71,290.69,287.26,302.2,,295.01,261.98,,,,,,
1999-12-09 21:58:33+00:00,298.355,298.32,295.0,313.03999999999996,291.46000000000004,280.84000000000003,284.21500000000003,291.48,293.86,304.84000000000003,,295.99,279.34000000000003,243.44,232.33,317.61,,,
2000-02-27 21:58:16+00:00,296.0833333333333,296.18,294.03999999999996,312.56,291.0233333333333,281.65333333333336,281.62,289.8433333333333,293.85999999999996,303.62,296.64,286.42333333333335,279.34000000000003,254.31,250.22500000000002,311.88,,,256.47
2000-03-14 21:58:11+00:00,297.74,299.3975,298.29333333333335,312.56,291.0233333333333,283.3575,281.9925,292.59749999999997,295.5175,303.62,296.64,286.42333333333335,279.34000000000003,254.31,256.1933333333333,311.88,,343.58,256.47
2000-03-30 21:58:09+00:00,299.594,300.514,298.29333333333335,312.56,291.0233333333333,283.3575,282.28200000000004,292.404,296.342,303.955,296.64,286.42333333333335,290.25666666666666,262.60999999999996,261.91,311.5233333333333,,339.875,256.47
2000-08-05 21:56:44+00:00,300.53,300.2525,298.9433333333333,306.475,288.745,280.80333333333334,280.99333333333334,282.41999999999996,289.1975,298.88333333333327,292.48,277.86,280.27,269.89666666666665,270.2525,297.88,,339.875,257.83500000000004
2001-03-01 21:55:57+00:00,286.76,286.23,286.3,,,274.33,269.81,267.92,286.5,,298.99,298.59,267.96,277.46,269.79,292.89,,,255.35
2001-06-05 21:55:16+00:00,286.095,284.26,283.25,,,274.33,269.81,267.92,286.5,289.04,282.70500000000004,293.26,259.43,277.46,274.85,292.89,,,255.35
2001-06-21 21:55:05+00:00,286.095,284.26,283.25,,297.69,278.23,274.765,277.35,286.28,296.935,294.51666666666665,301.0833333333333,270.83,280.835,280.17333333333335,296.955,337.88,347.99,255.35
2001-10-11 21:53:46+00:00,298.505,282.29,280.2,,301.025,282.13,281.895,290.72,289.935,296.935,296.39000000000004,301.38000000000005,274.24666666666667,274.65,279.08,290.935,318.31,347.99,265.87
2002-01-31 21:54:50+00:00,297.895,288.32,289.22,308.62,296.62,281.99,280.15999999999997,287.73,290.055,268.17,301.45000000000005,290.045,278.46500000000003,257.265,254.11,286.47,304.08000000000004,328.66,259.265
2002-02-16 21:54:54+00:00,290.59,282.89,281.37,299.1,286.33666666666664,271.11,272.03000000000003,277.8766666666667,282.15000000000003,267.845,290.8866666666667,276.07,268.57666666666665,250.52666666666664,252.49,284.46666666666664,304.08000000000004,328.66,250.50333333333333
2002-10-14 21:53:19+00:00,305.53,303.76,,,300.49,284.35,292.1,,299.79,312.82,,,280.23,268.06,272.0,,,351.7,
2002-10-30 21:53:25+00:00,305.53,303.76,,,300.49,284.35,292.1,,299.79,312.82,,,280.23,275.52,272.0,,,341.56,
2003-01-18 21:54:06+00:00,301.265,299.78499999999997,300.99,317.26,298.395,284.35,289.57500000000005,291.05,298.15,310.08,,,278.6,273.80333333333334,271.905,276.57,304.33,329.42,268.35
2003-05-26 21:54:43+00:00,297.0,295.81,300.99,317.26,296.3,,287.05,291.05,296.51,307.34,,,276.97,270.37,271.81,287.87,304.33,305.14,268.35
2003-07-21 21:42:33+00:00,293.23,268.04,278.09,,,,,,,,,,,,,299.17,,,
2003-08-06 21:42:27+00:00,297.275,272.36,278.30499999999995,286.71,,224.76,,246.63,,286.38,243.26,256.51,,256.66,250.4,299.17,,,
2004-02-14 21:44:33+00:00,292.22,287.61,285.53,298.42,282.18,249.24,252.45,274.6,274.66,285.83,214.11,,,,,,,271.69,235.24
2004-04-18 21:45:25+00:00,292.22,287.61,285.53,298.42,282.18,249.24,252.45,290.79,288.65,300.22,214.11,,,,,314.48,328.91,304.745,289.805
2004-05-20 21:46:44+00:00,290.85,286.40999999999997,281.53999999999996,298.42,282.18,249.24,252.45,290.79,288.65,292.42,204.82,227.74,,262.9,257.3,314.48,328.91,304.745,289.805
2004-06-21 21:47:40+00:00,290.85,286.40999999999997,281.53999999999996,298.42,282.18,249.24,252.45,290.79,288.65,292.42,204.82,227.74,296.2,277.17999999999995,271.125,314.48,328.91,304.745,302.06
2004-07-07 21:48:09+00:00,292.7266666666667,283.19,281.53999999999996,298.42,282.18,249.24,252.45,290.79,288.65,292.42,204.82,227.74,296.2,277.17999999999995,271.125,314.48,328.91,304.745,302.06
2004-07-23 21:48:33+00:00,294.39250000000004,285.34749999999997,282.98,298.42,282.18,232.42000000000002,252.45,290.79,288.65,287.975,200.78333333333333,226.45,296.2,271.8066666666667,265.42333333333335,314.48,328.91,304.745,302.06
2004-09-25 21:50:07+00:00,295.11666666666673,284.5933333333333,281.70500000000004,,,215.6,,301.19,302.64,288.69000000000005,194.12,226.45,299.21000000000004,277.6625,269.4925,316.425,330.39,338.685,337.06333333333333
2005-01-15 21:51:45+00:00,299.39,291.82,285.86,,,215.6,,298.395,311.43,294.255,192.71,225.16,302.22,278.1450000000001,267.86,321.225,337.15999999999997,352.29999999999995,354.96000000000004
2005-03-04 21:52:28+00:00,292.8,290.94,289.58,298.76,225.53,225.88,,284.7366666666667,311.43,313.87,,,284.025,282.21000000000004,271.35,321.225,337.15999999999997,352.29999999999995,354.96000000000004
2005-04-21 21:52:46+00:00,292.8,290.94,289.58,298.76,225.53,225.88,,285.19666666666666,306.33500000000004,311.24,,,284.6,283.735,274.21000000000004,313.11,328.09000000000003,346.105,349.45500000000004
2005-05-23 21:53:00+00:00,295.49,290.305,284.42499999999995,298.76,220.625,223.69,,285.19666666666666,292.3966666666667,300.81666666666666,201.14,264.43,284.6,278.54333333333335,270.2366666666667,313.11,328.09000000000003,346.105,349.45500000000004
2005-06-08 21:53:33+00:00,295.49,292.18333333333334,284.5733333333333,292.71500000000003,217.92333333333332,225.38666666666666,,285.19666666666666,292.3966666666667,300.81666666666666,202.695,276.76500000000004,284.6,274.71,267.2025,313.11,328.09000000000003,346.105,349.45500000000004
2005-10-30 21:54:03+00:00,298.18,292.80499999999995,282.07000000000005,286.67,214.12,225.14,,308.79,264.52,279.97,202.695,293.36000000000007,291.37,273.91333333333336,273.49,320.43,333.98,321.1,324.98
