dates,nzd0505-0000,nzd0505-0001,nzd0505-0002,nzd0505-0003,nzd0505-0004,nzd0505-0005,nzd0505-0006,satname
1999-08-26 22:07:32+00:00,,,224.05,,,,296.28,L7
2000-05-08 22:06:44+00:00,,,258.6,,,,,L7
2000-07-11 22:06:05+00:00,,,258.6,280.06,,,,L7
2000-12-18 22:05:01+00:00,,,,294.25,,,324.18,L7
2001-07-14 22:03:57+00:00,,,,,243.79,181.41,300.58,L7
2001-08-15 22:03:26+00:00,,,228.42,,244.285,190.56,300.58,L7
2001-11-03 22:02:58+00:00,,,228.42,315.21,244.285,190.56,309.67999999999995,L7
2002-04-12 22:03:25+00:00,,226.77,240.81,272.54499999999996,250.85,,318.78,L7
2002-06-15 22:03:07+00:00,,226.77,240.81,229.88,250.85,,290.52,L7
2002-12-08 22:02:51+00:00,,259.78,,,,,290.52,L7
2003-08-29 21:51:49+00:00,286.34,289.12,,,,,329.56,L5
2003-09-30 21:52:18+00:00,286.34,302.62,,261.87,,,329.56,L5
2004-06-12 21:55:59+00:00,,,,,,176.32,,L5
2004-07-30 21:57:15+00:00,,,215.9,233.34,228.51,188.04500000000002,311.32,L5
2004-10-18 21:59:11+00:00,319.26,309.64,215.9,244.67000000000002,228.51,188.04500000000002,321.71000000000004,L5
2005-01-22 22:00:50+00:00,309.78999999999996,296.68,242.35500000000002,240.31333333333336,226.57999999999998,199.77,322.5133333333333,L5
2005-02-07 22:01:03+00:00,303.83666666666664,287.30333333333334,264.0,229.35666666666665,215.99,202.59,325.0166666666667,L5
2005-03-11 22:01:31+00:00,309.46500000000003,298.33500000000004,286.6933333333333,229.35666666666665,215.99,274.315,332.365,L5
2005-10-05 22:02:41+00:00,314.21,301.07,305.83,245.85,,322.29,323.64,L5
2006-02-26 22:05:22+00:00,304.345,300.83,305.08,230.485,,325.15,327.725,L5
2006-03-14 22:05:42+00:00,301.3533333333333,301.07,304.9066666666667,226.60333333333332,,323.86333333333334,328.10999999999996,L5
2006-04-15 22:06:18+00:00,294.92499999999995,297.36333333333334,304.44500000000005,212.01666666666665,191.36,319.50333333333333,324.6066666666666,L5
2006-12-11 22:09:16+00:00,312.0,292.6,293.93,218.1,,,324.07,L5
2009-01-17 21:59:44+00:00,298.77,298.59,265.02,202.61,214.7,,317.38,L5
2011-02-08 22:04:35+00:00,306.19,314.24,,227.77,243.67,321.78,319.26,L5
2011-03-12 22:04:31+00:00,293.24,291.125,226.89,217.84,233.02499999999998,321.78,312.39,L5
2013-06-05 22:16:38+00:00,,,,307.74,313.3,314.5,,L8
2013-07-07 22:16:35+00:00,,,,307.74,317.1,300.33500000000004,316.95,L8
2013-07-23 22:16:34+00:00,,,,307.74,320.23,309.87,320.0,L8
2013-10-11 22:16:29+00:00,,305.16,310.75,303.1,318.1375,311.55,319.15333333333336,L8
2013-12-30 22:16:01+00:00,,303.04,309.565,299.22,317.4375,311.7975,318.65999999999997,L8
2014-02-23 22:21:32+00:00,,304.1566666666667,310.64000000000004,300.76,313.81333333333333,319.3966666666667,319.65333333333336,L8
2014-03-11 22:21:19+00:00,,301.9825,308.0925,300.76,311.15999999999997,316.6725,317.4525,L8
2014-04-21 22:14:29+00:00,,300.92333333333335,305.46000000000004,301.90999999999997,308.9975,315.02000000000004,315.6475,L8
2014-08-11 22:14:39+00:00,,300.925,304.48666666666674,303.84,308.49666666666667,314.8633333333334,313.27,L8
2014-11-15 22:14:49+00:00,,304.12,310.96,302.28,317.07,326.49,314.20500000000004,L8
2015-06-27 22:13:58+00:00,,,,,,332.06,320.97,L8
2015-07-29 22:14:13+00:00,,,,,318.75,328.195,320.07500000000005,L8
2015-10-17 22:14:38+00:00,,301.55,310.67,301.13,316.97,328.51,320.79,L8
2016-04-26 22:14:08+00:00,,340.54,321.28,318.02,329.78,337.62,333.23,L8
2016-05-12 22:14:08+00:00,,313.70500000000004,321.28,320.72,328.335,333.625,328.775,L8
2016-08-16 22:14:41+00:00,,311.2866666666667,315.13,320.72,323.8,327.44,324.60999999999996,L8
2017-02-08 22:14:34+00:00,,304.075,310.51,306.04,315.93,319.655,319.34,L8
2017-02-15 22:20:43+00:00,,300.885,312.055,307.485,315.28,326.41499999999996,324.21,L8
2017-04-04 22:20:20+00:00,,293.68666666666667,312.055,307.485,315.28,326.41499999999996,324.21,L8
2017-04-20 22:20:11+00:00,,295.3425,311.42333333333335,306.26666666666665,314.62333333333333,324.69666666666666,322.56,L8
2017-07-02 22:14:23+00:00,,295.3425,311.77750000000003,306.26666666666665,314.62333333333333,324.69666666666666,328.52,L8
2017-08-03 22:14:35+00:00,,295.3425,310.81,296.6075,312.1725,321.78999999999996,328.52,L8
2018-03-06 22:20:26+00:00,287.8,305.4,314.57,311.45,322.74,325.98,321.53,L8
2018-03-15 22:14:10+00:00,288.68,300.32,313.65,308.54999999999995,322.3,325.755,321.51,L8
