dates,satname,nzd0134-0000,nzd0134-0001,nzd0134-0002,nzd0134-0003
1999-08-26 22:04:44.971000,L7,331.55,312.88,,
1999-09-27 22:04:48.949000,L7,349.92,362.13,370.33,365.21
1999-10-22 21:58:28.758000,L7,384.30,379.36,359.31,319.74
1999-11-14 22:04:42.286000,L7,362.49,316.77,346.60,328.66
2000-02-11 21:58:22.025000,L7,360.45,325.25,341.02,321.02
2000-03-30 21:58:09.573000,L7,330.71,,,
2000-08-12 22:02:54.094000,L7,376.75,322.24,340.77,333.81
2000-09-13 22:02:26.190000,L7,315.20,295.03,,
2000-09-22 21:56:05.544000,L7,330.95,317.50,332.05,324.05
2000-09-22 21:56:29.431000,L7,334.92,323.63,342.32,331.67
2001-01-12 21:56:06.772000,L7,360.96,310.45,,
2001-03-17 21:56:16.575000,L7,338.78,327.84,348.37,331.15
2001-03-24 22:01:59.719000,L7,328.80,371.15,368.53,336.64
2001-06-05 21:55:16.607000,L7,348.78,,,
2001-08-15 22:00:38.680000,L7,365.64,368.23,363.71,398.70
2001-09-09 21:54:12.928000,L7,333.79,323.12,336.90,
2001-10-02 22:00:04.650000,L7,377.42,376.81,374.10,333.63
2001-10-11 21:53:46.024000,L7,397.74,387.10,387.18,382.24
2001-10-11 21:54:09.862000,L7,393.57,386.98,385.33,330.64
2001-11-03 22:00:10.954000,L7,337.45,314.94,353.95,314.77
2001-12-30 21:54:13.275000,L7,381.69,379.54,379.69,368.09
2002-01-22 22:00:40.906000,L7,317.80,311.53,336.70,315.24
2002-01-31 21:54:26.647000,L7,367.85,366.20,368.02,361.18
2002-01-31 21:54:50.570000,L7,364.68,363.23,368.05,361.24
2002-04-12 22:00:37.812000,L7,317.90,311.08,365.89,331.38
2002-05-23 21:54:18.991000,L7,400.32,391.90,389.09,382.03
2002-06-15 22:00:19.658000,L7,337.72,323.37,370.45,364.63
2002-06-24 21:54:28.353000,L7,376.74,373.43,376.76,375.64
2002-07-17 22:00:08.747000,L7,375.52,375.51,,
2002-08-18 21:59:57.690000,L7,417.86,373.04,384.28,
2002-08-27 21:53:36.267000,L7,377.83,377.10,377.16,372.65
2002-08-27 21:54:00.253000,L7,347.83,345.24,,
2002-10-21 21:59:36.443000,L7,372.19,372.22,387.61,
2002-11-06 21:59:41.879000,L7,356.20,361.77,361.92,352.28
2002-12-24 22:00:09.147000,L7,345.14,313.49,347.29,320.39
2003-01-18 21:54:06.301000,L7,298.01,310.00,315.62,
2003-01-25 22:00:18.779000,L7,377.40,373.63,340.20,320.46
2003-03-23 21:54:16.760000,L7,329.45,320.21,339.10,
2003-03-23 21:54:40.711000,L7,330.16,317.46,,
2003-05-10 21:54:22.508000,L7,379.61,374.61,378.34,376.71
2003-05-10 21:54:46.466000,L7,335.42,321.81,348.90,328.31
2003-08-06 21:42:27.230000,L5,354.30,326.11,335.41,319.13
2003-08-13 21:48:45.123000,L5,331.91,297.40,318.04,307.04
2003-09-30 21:49:30.432000,L5,323.16,300.05,314.26,300.68
2003-10-25 21:43:40.253000,L5,347.45,323.14,321.50,310.61
2003-11-17 21:50:09.452000,L5,325.64,305.54,314.37,324.62
2004-02-14 21:44:33.705000,L5,331.38,306.80,320.70,311.35
2004-02-21 21:50:47.082000,L5,336.35,314.56,330.75,320.97
2004-03-01 21:44:38.581000,L5,369.15,344.53,352.98,342.06
2004-04-02 21:44:54.996000,L5,344.43,322.38,336.43,324.28
2004-04-18 21:45:25.586000,L5,338.44,323.61,336.57,321.13
2004-05-04 21:45:52.076000,L5,327.67,313.01,331.62,311.22
2004-05-20 21:46:20.465000,L5,339.17,315.95,334.29,317.55
2004-06-05 21:46:48.916000,L5,333.99,313.49,337.35,317.59
2004-06-12 21:53:11.618000,L5,348.21,317.89,341.72,322.40
2004-07-07 21:47:45.207000,L5,,307.62,335.51,318.22
2004-07-23 21:48:09.192000,L5,351.60,328.86,347.73,325.52
2004-07-30 21:54:28.143000,L5,354.55,322.84,344.66,337.22
2004-08-08 21:48:26.915000,L5,412.11,373.93,376.49,364.76
2004-09-09 21:49:19.975000,L5,340.33,315.76,334.04,317.48
2004-09-16 21:55:41.721000,L5,326.65,305.69,326.12,
2004-09-25 21:49:43.196000,L5,371.50,343.70,348.67,338.29
2004-11-03 21:56:42.977000,L5,344.68,304.22,320.91,302.38
2004-11-19 21:56:55.269000,L5,342.85,320.93,339.17,329.22
2005-01-15 21:51:45.464000,L5,338.72,317.22,331.77,296.08
2005-02-07 21:58:15.209000,L5,348.62,329.19,338.11,
2005-02-23 21:58:31.621000,L5,326.77,312.42,331.10,318.02
2005-03-11 21:58:44.158000,L5,332.40,307.32,326.46,321.06
2005-03-27 21:58:51.619000,L5,341.45,325.41,339.98,324.70
2005-04-12 21:58:55.193000,L5,336.77,313.12,334.32,327.34
2005-05-23 21:53:00.685000,L5,344.89,317.83,336.83,334.51
2005-07-26 21:53:30.504000,L5,336.58,304.59,336.00,325.95
2006-02-03 21:55:55.062000,L5,327.53,297.78,330.95,
