dates,satname,nzd0079-0000,nzd0079-0001,nzd0079-0002,nzd0079-0003,nzd0079-0004,nzd0079-0005,nzd0079-0006,nzd0079-0007,nzd0079-0008,nzd0079-0009,nzd0079-0010,nzd0079-0011,nzd0079-0012,nzd0079-0013,nzd0079-0014,nzd0079-0015,nzd0079-0016,nzd0079-0017,nzd0079-0018,nzd0079-0019,nzd0079-0020,nzd0079-0021,nzd0079-0022,nzd0079-0023,nzd0079-0024,nzd0079-0025,nzd0079-0026,nzd0079-0027,nzd0079-0028,nzd0079-0029,nzd0079-0030,nzd0079-0031
1999-08-17 22:10:50.225000,L7,,,,,,,,,,,,,,,,,,,,,,,,315.60,359.38,348.16,332.88,358.28,385.86,382.75,398.27,374.26
1999-08-26 22:04:44.971000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,323.74,346.43,356.25,368.91,386.84,373.77
1999-10-04 22:11:02.075000,L7,,,,,,,,,,,,,,,,,,,,,,,,315.34,352.60,338.38,317.44,342.69,375.07,368.64,390.52,373.17
1999-11-14 22:04:42.286000,L7,,,,,,,,,,,,,,,,,,,,306.20,328.81,298.06,318.45,334.75,347.63,340.04,347.47,363.46,380.38,386.20,405.26,399.69
1999-11-21 22:10:24.244000,L7,,,310.07,315.36,317.47,313.36,308.33,313.81,314.49,313.52,313.18,309.05,307.70,324.18,313.57,313.60,308.39,,,300.27,315.07,295.81,310.71,331.33,362.16,348.21,334.85,354.69,382.73,366.34,,
1999-12-07 22:10:53.996000,L7,296.83,314.90,319.06,326.47,323.43,320.69,320.83,318.52,325.54,318.38,321.74,317.87,318.53,332.22,319.31,316.86,317.29,311.36,308.01,314.02,325.69,324.44,315.14,338.48,365.22,352.23,338.26,361.55,384.42,386.90,409.23,375.65
2000-01-17 22:04:35.821000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,321.63,337.93,353.73,357.07,366.66,372.82
2000-02-09 22:10:19.398000,L7,238.92,,,,,,,,,,,,,,,,,,,,,,,,,,316.56,332.81,357.39,361.41,380.12,364.81
2000-03-28 22:10:07.233000,L7,,,306.47,319.26,318.94,315.60,302.80,317.16,339.17,349.72,321.38,299.83,,,,,,,,,,,,321.84,359.57,345.29,323.97,352.83,376.32,377.36,395.33,386.20
2000-04-29 22:09:53.797000,L7,,,,,,,,,,,,,,,,,,,,,,,,,345.69,377.32,360.47,355.72,374.03,377.87,401.89,373.59
2000-08-12 22:02:54.094000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,320.71,341.96,353.43,372.92,377.40,377.36
2000-08-19 22:09:02.201000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.01,347.67,375.39,351.48
2000-09-04 22:08:46.735000,L7,290.12,,302.23,320.63,321.65,316.24,310.17,318.68,309.94,312.08,,,,,,,,,,,,,,322.61,357.66,348.40,329.24,351.46,372.80,368.52,393.43,368.81
2000-11-23 22:08:18.410000,L7,,308.79,313.95,320.22,322.62,319.21,322.33,318.90,326.31,319.26,319.81,313.73,316.47,329.93,317.06,312.29,312.67,305.92,306.73,307.78,324.53,302.11,310.95,327.46,355.91,343.28,332.55,353.72,385.19,372.17,390.10,371.85
2001-01-03 22:02:12.432000,L7,,,,,,,,,,,,,,,,,,,,303.40,323.88,295.04,314.29,328.23,323.25,324.36,323.55,341.00,,,,
2001-03-15 22:07:52.114000,L7,280.39,,,,,,,,,,,,,,,,,,,,,,,310.34,354.88,343.61,332.12,348.17,386.03,389.58,400.51,407.90
2001-03-24 22:01:59.719000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,321.06,339.75,351.24,360.39,380.72,371.88
2001-05-18 22:07:26.882000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.34,359.38,353.87,384.33,365.00
2001-06-03 22:07:16.736000,L7,180.58,,,,,,,,,,,,,,,,,,,,,,,,,,,337.41,358.02,358.18,386.11,362.86
2001-06-12 22:01:24.980000,L7,,,,,,,,,,,,,,,,,,,,,,,,318.68,353.53,340.92,340.58,360.34,371.91,375.98,393.84,386.19
2001-06-19 22:07:29.676000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.95,363.81,350.53,384.19,354.47
2001-11-26 22:06:09.518000,L7,,371.12,431.83,420.10,366.65,337.33,326.69,341.20,342.86,366.92,347.15,330.57,333.50,331.26,315.79,319.61,322.46,306.62,366.17,326.11,328.46,299.55,323.94,341.11,372.04,364.16,351.40,366.90,389.64,385.39,404.26,386.58
2001-12-12 22:06:14.960000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.03,356.26,349.92,379.45,352.64
2001-12-12 22:06:38.912000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.19,352.57,347.58,376.88,351.70
2001-12-21 22:00:29.925000,L7,240.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-06 22:00:31.992000,L7,,,,,,,,,335.45,307.44,310.36,301.01,311.41,322.08,302.18,,311.44,310.33,304.19,323.16,343.11,310.71,329.75,351.87,390.99,379.79,357.59,362.08,389.08,387.95,387.27,444.28
2002-01-22 22:00:40.906000,L7,,,,,,,,,,,,,,,,,,,,313.18,334.63,302.34,319.25,336.64,351.36,340.13,349.03,362.30,375.43,387.23,411.59,
2002-03-27 22:00:37.575000,L7,,,,,,,,,,,,,,,,,,,,,,,305.46,317.07,324.75,319.21,327.06,348.74,366.29,363.51,378.79,382.69
2002-04-12 22:00:37.812000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,323.85,344.81,351.45,358.99,378.35,370.94
2002-05-21 22:06:17.427000,L7,292.57,305.77,305.11,322.78,341.73,368.60,348.08,367.65,369.66,367.68,359.15,373.61,384.10,354.80,312.30,311.48,,,,,,,,314.90,354.85,343.54,321.42,335.10,357.41,369.15,405.82,397.66
2002-05-21 22:06:41.364000,L7,316.31,316.69,311.97,327.17,399.69,381.82,377.21,396.15,373.55,372.98,369.76,387.24,391.28,372.54,318.48,316.94,,,,,,,,319.62,357.83,345.44,324.40,340.01,363.72,373.88,408.78,401.31
2002-07-01 22:00:15.186000,L7,,,,,,,,302.05,346.69,346.11,339.76,360.06,386.10,353.03,368.54,410.11,,,415.20,320.32,326.76,321.81,330.60,361.39,379.59,377.69,384.53,396.11,399.43,399.71,436.59,
2002-09-19 21:59:35.083000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,322.34,332.95,345.73,354.56,363.41,347.98
2002-09-26 22:05:45.221000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,307.32,332.65,361.83,361.18,383.71,366.81
2002-11-13 22:05:30.425000,L7,,,309.19,313.87,318.15,316.60,309.80,320.92,330.38,326.63,324.66,309.51,298.62,,,,,,,,,,,321.51,354.31,340.32,321.53,345.43,371.58,366.77,386.91,366.65
2002-11-13 22:05:54.371000,L7,,,312.80,314.93,319.67,318.30,309.72,321.10,330.55,325.55,324.31,310.26,299.64,,,,,,,,,,,322.78,356.34,342.56,324.43,349.11,375.28,368.64,390.40,368.72
2003-01-16 22:06:02.914000,L7,292.31,314.22,326.34,327.88,333.30,322.59,329.74,324.15,332.46,329.28,329.41,325.58,325.51,336.66,328.31,321.31,325.82,313.86,313.14,313.57,327.34,312.79,325.34,344.50,371.09,359.01,349.30,366.98,388.89,382.97,407.33,377.62
2003-01-25 22:00:18.779000,L7,,,,352.00,361.88,429.97,424.00,407.12,394.39,395.71,386.45,,,,,,,314.00,308.64,327.34,342.42,309.49,325.45,336.45,354.53,340.07,352.51,363.30,387.60,396.03,411.33,412.06
2003-03-30 22:00:31.029000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.66,346.88,347.54,340.96,351.12
2003-04-06 22:06:44.963000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.42,350.39,350.37,382.36,362.71
2003-05-24 22:06:17.162000,L7,,,,,,,,,,,,,,,,,,,,,,,,317.24,354.66,339.69,321.94,351.50,379.56,378.24,399.79,392.28
2003-05-24 22:06:41.120000,L7,,,,,,,,,,,,,,,,,,,,,,,,318.22,356.93,342.52,324.33,353.55,381.56,381.40,401.40,395.18
2003-08-13 21:48:45.123000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.07,344.68,344.70,370.70,351.56
2003-09-14 21:49:18.766000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,312.33,330.65,349.99,356.59,380.67,363.41
2004-05-18 21:58:14.785000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.00,350.66,343.32,375.44,350.82
2004-06-12 21:53:11.618000,L5,,,,,,,,,,,,,,,,,,,,,,,,315.51,345.65,337.19,335.67,351.22,375.31,379.17,398.47,377.66
2004-07-30 21:54:28.143000,L5,,,,,,,,,,,,,,,,,,,,,,,,304.77,331.62,317.63,322.47,342.91,359.30,363.64,381.67,367.77
2004-09-16 21:55:41.721000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.99,336.46,342.86,364.50,349.62
2004-11-03 21:56:42.977000,L5,,,,,,,,,,,,,,,,,,,,,,,,313.14,331.34,324.48,326.89,341.73,374.82,377.35,399.49,381.61
2004-11-19 21:56:55.269000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,318.31,332.26,348.24,357.21,377.31,363.67
2005-01-13 22:04:05.116000,L5,343.15,338.19,333.12,329.31,339.05,323.20,309.46,323.33,341.39,365.00,325.16,317.28,335.85,344.99,331.70,326.66,329.36,324.17,307.67,305.41,320.29,297.71,311.82,332.39,361.99,348.68,341.47,366.00,390.29,385.48,400.16,391.82
2005-02-07 21:58:15.209000,L5,,,,,,,,,,,,,,,,,,,,,,,307.79,314.44,336.31,318.45,328.03,340.71,354.66,370.55,380.86,368.79
2005-02-23 21:58:31.621000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,305.14,319.70,343.32,354.82,371.60,357.29
2005-04-03 22:04:40.528000,L5,,,,,,,,,,,,,,,,,,,,,,,304.03,330.23,354.01,344.68,335.29,348.86,377.25,365.74,383.11,360.59
2005-04-03 22:05:04.358000,L5,240.74,,,,,,,,,,,,,,,,,,,,,,,314.76,339.52,331.19,316.94,331.62,356.14,349.75,369.37,339.62
2005-05-30 21:59:15.499000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.57,335.86,336.20,375.31,359.51
2005-06-06 22:05:05.724000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.16,345.49,327.60,372.39,347.77
