dates,satname,nzd0108-0000,nzd0108-0003,nzd0108-0004,nzd0108-0005,nzd0108-0006,nzd0108-0014,nzd0108-0015,nzd0108-0016,nzd0108-0028,nzd0108-0029,nzd0108-0030,nzd0108-0045,nzd0108-0046,nzd0108-0047,nzd0108-0048,nzd0108-0146,nzd0108-0147,nzd0108-0148,nzd0108-0149,nzd0108-0150,nzd0108-0151,nzd0108-0152,nzd0108-0153,nzd0108-0154,nzd0108-0155,nzd0108-0156,nzd0108-0001,nzd0108-0017,nzd0108-0018,nzd0108-0019,nzd0108-0020,nzd0108-0021,nzd0108-0055,nzd0108-0056,nzd0108-0057,nzd0108-0058,nzd0108-0059,nzd0108-0061,nzd0108-0062,nzd0108-0063,nzd0108-0064,nzd0108-0067,nzd0108-0068,nzd0108-0069,nzd0108-0070,nzd0108-0076,nzd0108-0077,nzd0108-0078,nzd0108-0079,nzd0108-0080,nzd0108-0081,nzd0108-0082,nzd0108-0085,nzd0108-0086,nzd0108-0087,nzd0108-0088,nzd0108-0096,nzd0108-0097,nzd0108-0098,nzd0108-0099,nzd0108-0100,nzd0108-0101,nzd0108-0102,nzd0108-0103,nzd0108-0124,nzd0108-0125,nzd0108-0126,nzd0108-0127,nzd0108-0133,nzd0108-0134,nzd0108-0135,nzd0108-0002,nzd0108-0142,nzd0108-0143,nzd0108-0144,nzd0108-0145,nzd0108-0157,nzd0108-0158,nzd0108-0159,nzd0108-0160,nzd0108-0161,nzd0108-0162,nzd0108-0163,nzd0108-0164,nzd0108-0165,nzd0108-0049,nzd0108-0050,nzd0108-0051,nzd0108-0052,nzd0108-0053,nzd0108-0054,nzd0108-0060,nzd0108-0071,nzd0108-0116,nzd0108-0117,nzd0108-0118,nzd0108-0119,nzd0108-0122,nzd0108-0123,nzd0108-0007,nzd0108-0008,nzd0108-0022,nzd0108-0023,nzd0108-0024,nzd0108-0031,nzd0108-0032,nzd0108-0034,nzd0108-0035,nzd0108-0036,nzd0108-0089,nzd0108-0090,nzd0108-0091,nzd0108-0092,nzd0108-0104,nzd0108-0105,nzd0108-0111,nzd0108-0112,nzd0108-0115,nzd0108-0120,nzd0108-0121,nzd0108-0129,nzd0108-0130,nzd0108-0131,nzd0108-0132,nzd0108-0033,nzd0108-0038,nzd0108-0039,nzd0108-0040,nzd0108-0041,nzd0108-0042,nzd0108-0043,nzd0108-0044,nzd0108-0065,nzd0108-0066,nzd0108-0072,nzd0108-0073,nzd0108-0093,nzd0108-0094,nzd0108-0095,nzd0108-0128,nzd0108-0136,nzd0108-0137,nzd0108-0138,nzd0108-0139,nzd0108-0140,nzd0108-0141,nzd0108-0166,nzd0108-0167,nzd0108-0168,nzd0108-0169,nzd0108-0170,nzd0108-0171,nzd0108-0172,nzd0108-0173,nzd0108-0174,nzd0108-0175,nzd0108-0176,nzd0108-0178,nzd0108-0179,nzd0108-0009,nzd0108-0106,nzd0108-0107,nzd0108-0012,nzd0108-0013,nzd0108-0025,nzd0108-0026,nzd0108-0027,nzd0108-0037,nzd0108-0075,nzd0108-0108,nzd0108-0109,nzd0108-0074,nzd0108-0084,nzd0108-0083,nzd0108-0177,nzd0108-0110,nzd0108-0113,nzd0108-0114
1999-08-26 22:04:44.971000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.93,314.24,,,,,,,,,,,,,,,,245.80,272.52,250.09,236.88,,,,,,,,,,,,,,304.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.05,272.41,280.96,270.22,285.62,302.17,246.89,250.28,248.78,,274.22,283.63,304.07,,,,,,,,,,,,,,,,271.22,,,
1999-09-27 22:04:48.949000,L7,,,,,,,,,,,,256.40,,,,335.31,,,,350.97,283.95,292.16,343.13,323.84,,,,,,,,,275.32,269.04,266.65,,,295.21,321.22,,,,,,359.98,315.38,,,,,,,,,,,,,,,283.28,260.08,256.03,279.66,,,,,294.94,321.03,,,294.42,301.00,306.52,305.79,,327.90,280.61,282.18,282.92,303.46,303.38,302.37,288.16,,246.29,295.00,299.69,283.90,266.82,275.22,322.90,342.15,319.46,,340.22,283.13,308.76,,,,,,,,,,,,,,,285.89,325.15,,,,267.51,283.54,,,,349.69,,,,,334.41,349.90,334.12,322.89,,,349.21,344.29,,,,,,,,,324.13,286.18,320.90,336.88,315.10,302.61,315.17,324.94,,278.12,272.11,253.97,300.32,,,,,,,,,,,,298.50,,,328.23,,,,,,
1999-11-14 22:04:42.286000,L7,,,,,,,,,,,,,,,,,,,,,,,,336.09,322.41,323.11,,,,,,,262.03,300.33,313.78,281.14,,,,,338.64,386.65,367.42,370.36,352.47,,,,,,,290.85,303.98,301.13,280.42,252.56,275.69,285.68,,,267.33,327.63,336.14,299.46,300.16,334.20,323.55,328.43,286.23,312.72,349.07,,,,,,317.84,245.67,,,,,,,,,,,248.12,263.27,244.04,,,290.23,302.45,313.25,319.44,327.85,313.38,,,,,,,,,,,314.04,348.17,,333.40,,,281.39,249.54,293.05,294.90,318.22,281.65,269.66,266.80,278.26,,,,,,,,,363.48,378.67,,,304.97,286.07,292.10,266.99,338.83,,,,,,,,,,,,,,,,,,,,,302.37,,,,,,,,283.86,309.07,,283.47,329.71,,344.94,306.05,239.16
2000-01-01 22:04:37.439000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.46,251.01,261.93,268.81,339.96,,,345.45,338.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.63,262.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.90,247.25,,271.90,,,250.50,265.66,290.75
2000-02-18 22:04:29.218000,L7,,,,,,,,,,,,,,345.96,342.07,,,,,,,261.91,288.15,290.64,293.70,292.25,,,,,,,,,,,,,,,,,,,,,,,,226.61,242.95,237.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.20,315.63,306.64,310.32,222.08,,,,,292.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.67,342.19,302.72,281.88,287.77,306.55,268.01,,,,,,,,,,,,,,,,,,,,234.03,221.98,,,,
2000-05-24 22:03:46.662000,L7,,,,,301.13,,,,,273.07,260.54,377.33,359.07,354.65,343.27,,,,,,,,,,,,,,,,,,320.34,337.00,304.76,247.81,330.06,331.83,358.42,362.07,329.00,276.87,314.40,327.68,333.02,,,,,,,,,265.35,262.25,254.48,331.63,,,,344.17,300.91,297.27,309.53,312.24,296.93,301.20,300.23,,,,,239.13,244.22,249.36,247.45,,,,,238.91,259.10,287.88,289.58,295.79,278.85,,336.87,304.19,296.78,275.06,337.40,331.68,,,,,243.10,281.29,289.78,,,,,296.35,299.29,,,,265.00,242.92,251.98,273.17,332.65,,,,,,,,,,,358.60,318.60,319.87,310.53,345.41,353.17,347.94,342.02,284.09,273.28,337.54,288.64,285.27,289.74,262.88,285.77,221.48,241.58,252.35,250.30,220.72,258.93,315.98,283.11,292.10,284.10,298.51,323.36,257.98,277.04,280.27,256.37,297.37,341.19,325.33,,,,,,,,,,,,,,,,,,,
2000-07-11 22:03:17.779000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.91,286.32,311.57,300.59,341.89,,,,,,,,,,,,,,,,,,,,232.74,260.47,288.76,282.68,290.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.88,262.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.30,282.52,271.35,280.00,296.43,307.63,255.27,272.55,270.50,269.56,294.56,328.45,310.50,,,,,,,,,,,,,,,,301.18,,221.90,234.10
2000-10-15 22:01:56.204000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.38,288.98,319.97,323.45,313.84,294.91,302.91,312.03,,,320.16,313.28,268.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.85,317.62,,,,
2001-01-03 22:02:12.432000,L7,,,,,,,,,,,,,,,,250.84,319.71,340.69,277.28,333.25,335.71,344.79,346.61,308.37,,312.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.50,338.96,339.28,,,,,,,,,,,,,,229.78,246.41,249.98,255.91,316.34,318.52,324.53,332.96,329.85,292.03,,,,,,,,,,,,,,,328.89,,,,,,,,,,,,,,,,,288.40,314.58,,,,263.73,,,,,,,,,,,,,,,,,,,,310.13,,,259.26,279.28,290.61,290.14,277.55,,,,,,,,,,326.25,249.78,,,,308.21,299.86,,,,,,,,,,,,,,,,
2001-03-24 22:01:59.719000,L7,,,,,,,,,,,,,,,,296.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.69,274.60,259.13,256.94,312.66,319.35,254.03,286.82,,262.32,341.21,,244.43,,227.24,232.91,,,,,,,,,,,,,,,,,,,216.47,221.06,263.38,294.33,,,,,,,,,,,,,,,228.10,271.95,,,,,279.06,286.27,313.92,296.71,228.04,258.56,,,,,,,,,,,,,267.44,282.59,281.23,330.67,305.74,275.73,261.15,306.57,314.67,331.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
