dates,satname,nzd0086-0001,nzd0086-0002,nzd0086-0003,nzd0086-0004,nzd0086-0005,nzd0086-0006,nzd0086-0007,nzd0086-0008,nzd0086-0009,nzd0086-0010,nzd0086-0011,nzd0086-0012,nzd0086-0013,nzd0086-0014,nzd0086-0015,nzd0086-0016,nzd0086-0017,nzd0086-0018,nzd0086-0019,nzd0086-0020
1999-09-27 22:04:48.949000,L7,,,,,,,,,241.55,246.46,236.38,229.29,228.92,212.21,213.88,212.56,219.96,204.47,206.79,214.96
1999-11-14 22:04:42.286000,L7,,,,,,,,,226.50,243.57,232.64,228.43,224.10,204.63,217.09,210.83,221.02,209.18,208.08,216.08
2000-01-01 22:04:37.439000,L7,,,,,,,,,,,,,,,199.29,196.95,197.97,154.80,,
2000-02-18 22:04:29.218000,L7,,,,,,,,,,,,,212.62,186.84,202.70,205.64,205.75,199.37,200.41,210.14
2000-08-12 22:02:54.094000,L7,,,,,,,,,201.12,252.08,258.43,255.90,238.82,,,258.00,243.34,262.54,269.31,297.83
2000-10-15 22:01:56.204000,L7,,,,,,,,,,,,,232.84,229.89,220.07,208.81,219.20,205.52,207.54,222.21
2001-01-03 22:02:12.432000,L7,,,,219.93,235.34,238.39,236.48,226.13,239.15,244.62,238.11,231.05,226.03,221.36,217.96,211.08,218.52,207.26,207.65,214.78
2001-03-24 22:01:59.719000,L7,,,,,,,,,,,,,,193.46,212.55,201.07,209.37,195.77,182.07,200.23
2001-06-12 22:01:24.980000,L7,,,,223.72,244.46,248.35,249.93,234.91,247.36,258.84,,,,,,,,,,
2001-08-15 22:00:38.680000,L7,150.84,179.32,208.38,233.79,249.40,251.15,257.02,245.93,265.51,259.78,250.62,239.31,236.15,232.28,224.12,214.71,227.60,220.33,217.68,227.26
2001-10-02 22:00:04.650000,L7,,,,220.52,236.27,239.03,240.52,234.28,235.80,243.62,233.03,229.77,219.03,216.32,215.35,205.38,213.05,201.81,206.84,214.63
2001-11-03 22:00:10.954000,L7,,,,,,,,,,,,,230.16,228.64,224.08,212.79,221.09,207.76,220.01,
2001-12-05 22:00:18.987000,L7,,,,,,,,,235.47,243.70,232.06,228.93,230.92,224.66,220.04,211.92,214.86,209.02,208.97,215.85
2001-12-21 22:00:29.925000,L7,,182.20,247.79,254.21,273.65,274.24,268.70,272.72,275.16,281.27,269.13,263.69,263.09,254.31,,,250.04,247.31,244.55,261.74
2002-01-06 22:00:31.992000,L7,,,,,,,,,,,,,,,184.94,198.72,193.59,167.64,,
2002-01-22 22:00:40.906000,L7,,113.98,154.56,219.96,240.51,247.03,242.46,241.82,247.54,251.24,244.92,236.01,230.34,229.89,222.93,272.41,279.86,259.37,270.76,291.79
2002-02-23 22:00:43.620000,L7,61.22,120.88,132.24,248.38,,257.45,251.74,252.68,275.11,268.26,248.83,244.48,236.42,235.10,224.30,224.87,229.92,222.62,227.19,231.35
2002-03-27 22:00:37.575000,L7,,,,234.95,250.15,251.04,255.12,248.79,278.18,280.16,270.66,270.31,275.88,262.88,248.71,254.83,262.16,212.33,215.21,220.06
2002-04-28 22:00:38.357000,L7,,,,,,,,,,,,,228.89,211.03,214.97,206.46,215.62,203.25,206.04,217.78
2002-06-15 22:00:19.658000,L7,,,,,,,,,,,,,234.12,231.47,219.51,206.89,218.86,211.29,205.73,
2002-07-01 22:00:15.186000,L7,,,,,,,,,239.99,241.10,232.60,,230.15,179.38,216.35,209.98,216.38,205.20,204.70,213.43
2002-08-18 21:59:57.690000,L7,,153.41,200.43,228.21,250.93,254.47,254.77,247.40,255.55,257.50,252.47,238.92,236.45,231.59,222.51,218.44,224.22,220.92,296.56,224.74
2002-09-19 21:59:35.083000,L7,,,,,,,,,,,,,,253.22,264.87,257.11,264.69,259.13,255.15,267.57
2002-10-21 21:59:36.443000,L7,,,,,,,,,,,,,225.21,185.53,206.92,200.60,201.00,196.51,192.36,210.28
2002-11-06 21:59:41.879000,L7,,,,,,,,,,,,,221.03,218.80,204.58,205.49,194.70,168.92,,
2002-12-24 22:00:09.147000,L7,,,249.07,270.29,285.32,293.00,267.09,265.10,284.56,285.66,241.20,232.74,225.84,277.86,271.08,265.33,270.20,231.41,241.42,269.97
2003-07-28 21:48:28.960000,L5,,,,190.89,235.86,240.35,244.96,223.16,228.05,236.39,217.74,,,,,,,,,
2003-09-14 21:49:18.766000,L5,,152.65,189.79,252.56,278.71,280.43,273.96,269.16,273.50,273.18,265.70,255.78,258.26,257.97,248.23,244.05,244.58,242.46,236.94,244.35
2004-07-30 21:54:28.143000,L5,,100.96,170.61,257.80,275.07,280.64,284.54,268.17,278.51,274.09,271.10,257.84,257.93,258.36,248.96,245.47,255.28,246.31,239.82,247.79
2004-09-16 21:55:41.721000,L5,,,157.18,236.99,264.14,273.64,270.38,269.45,264.76,275.18,256.19,246.25,246.40,241.98,230.95,225.45,239.98,237.47,232.99,243.57
2004-10-18 21:56:23.891000,L5,,,151.35,224.03,256.28,268.57,262.80,269.27,272.66,274.34,270.30,253.74,257.30,234.01,226.48,228.92,235.48,231.68,229.88,244.27
2004-11-03 21:56:42.977000,L5,,151.82,174.25,244.36,259.95,270.29,268.07,272.99,283.37,287.55,278.04,273.80,267.53,258.15,233.72,234.51,240.85,237.02,237.34,259.14
2004-11-19 21:56:55.269000,L5,,,172.64,252.21,253.46,264.62,259.70,257.42,260.49,264.08,267.87,261.65,262.47,260.05,248.68,248.47,229.30,230.21,232.77,237.13
2005-02-23 21:58:31.621000,L5,,,153.36,239.84,264.18,266.91,268.05,253.64,249.75,257.50,253.11,231.57,237.04,246.05,232.30,234.62,236.59,222.92,215.14,227.90
2005-03-11 21:58:44.158000,L5,,,159.53,242.72,265.42,271.53,271.02,266.90,262.63,267.72,247.79,241.31,237.55,238.45,223.64,221.91,228.93,225.08,223.45,232.30
2005-03-27 21:58:51.619000,L5,,,163.12,250.37,269.49,265.89,263.35,258.41,254.99,260.70,251.90,246.24,248.10,249.54,226.58,235.91,231.33,216.87,219.71,226.07
2005-04-12 21:58:55.193000,L5,,,160.45,245.59,261.86,264.94,268.12,261.53,258.94,265.51,254.37,243.99,244.20,238.03,230.11,225.52,217.87,177.31,221.72,231.78
2005-05-30 21:59:15.499000,L5,,,128.44,197.38,233.50,236.47,243.53,189.56,219.82,233.52,208.60,,,,,,,,,
2005-07-17 21:59:35.576000,L5,,,186.82,253.92,274.89,282.40,276.67,264.32,265.54,272.45,262.17,254.15,252.15,256.08,245.34,244.90,248.94,244.84,239.02,240.79
2006-04-15 22:03:30.798000,L5,,,166.15,247.62,261.90,274.89,271.44,265.85,268.98,271.81,264.08,249.97,251.51,244.34,234.64,232.64,239.79,226.71,233.50,237.16
2006-05-17 22:03:57.969000,L5,,,156.31,243.15,260.07,265.30,269.44,266.86,265.93,269.23,259.11,246.58,246.21,245.32,231.90,232.25,236.83,226.89,228.73,235.26
2006-07-04 22:04:41.660000,L5,,,,,,,226.84,204.69,210.03,229.27,221.29,,212.00,212.63,209.03,203.21,213.77,,,
2006-10-24 22:06:02.805000,L5,,,138.85,209.88,241.76,251.17,251.55,247.64,244.91,189.91,,,,,,,,,,
2006-11-25 22:06:19.953000,L5,,111.55,198.75,219.61,247.61,262.91,249.83,250.68,261.80,243.07,227.97,226.20,214.33,206.68,206.49,214.59,222.34,216.98,216.74,214.90
2008-02-16 22:02:22.163000,L5,,154.22,190.29,255.50,270.63,278.72,278.48,271.34,282.68,281.35,273.58,258.96,255.41,255.41,251.37,242.99,246.32,238.76,248.03,254.44
2008-10-29 21:55:24.451000,L5,,,,,,,,,,,,,,214.61,204.17,203.60,207.98,202.35,190.03,215.88
2009-02-02 21:57:22.411000,L5,,,161.08,248.86,264.80,271.80,270.60,260.24,265.89,267.29,259.38,242.38,234.89,243.13,223.82,231.34,232.40,228.52,228.29,235.40
2011-01-07 22:01:44.406000,L5,,,152.65,235.62,254.25,266.18,263.62,260.06,261.16,265.47,257.25,231.63,238.03,237.43,224.20,222.91,231.38,225.45,225.63,233.07
2011-03-12 22:01:43.554000,L5,,,151.32,235.18,254.93,261.97,264.95,254.26,259.88,266.45,256.90,231.66,237.74,236.89,221.26,220.73,225.25,222.97,220.26,229.83
2011-09-04 22:00:27.603000,L5,,,201.55,250.81,269.95,274.25,271.71,261.85,262.03,275.74,265.40,258.67,257.66,248.16,242.43,237.76,246.47,237.27,237.53,245.79
2013-05-20 22:13:50.559000,L8,,,,215.69,203.33,235.24,234.63,211.48,235.92,238.19,225.81,,217.41,211.45,208.66,205.00,210.42,,,
2013-06-21 22:13:43.313000,L8,,147.41,171.86,232.96,247.78,253.52,255.78,249.53,254.34,257.51,248.34,240.86,238.85,232.86,223.85,224.19,230.44,223.67,226.73,236.25
2013-07-07 22:13:48.209000,L8,,,,,,,,,,,,,218.81,207.02,200.21,201.72,207.51,,,
2013-09-09 22:13:49.699000,L8,,,,225.25,241.20,249.94,249.11,245.36,233.33,251.63,238.33,230.12,227.23,223.51,203.69,214.78,220.02,212.10,209.81,239.12
2013-09-25 22:13:41.239000,L8,,152.75,207.49,230.71,248.62,259.92,258.77,255.09,259.44,263.24,255.64,249.20,250.12,234.88,223.38,227.30,231.92,224.85,227.26,238.16
2013-10-27 22:13:31.854000,L8,,164.07,164.89,230.56,247.12,252.51,255.33,251.58,254.40,256.16,251.80,245.61,281.00,266.59,262.46,229.68,227.45,222.74,268.10,
2013-11-12 22:13:32.202000,L8,,,,225.20,242.10,238.22,247.96,246.70,247.47,252.56,242.24,235.35,232.61,225.54,216.77,217.22,224.37,220.04,220.80,227.45
2013-11-28 22:13:25.971000,L8,,142.34,162.52,227.25,243.58,251.90,248.36,246.79,249.25,252.84,243.00,235.61,232.40,225.87,216.01,217.61,224.43,222.87,223.14,230.56
2013-12-14 22:13:21.591000,L8,,145.53,163.02,226.40,242.45,251.73,249.25,247.24,249.94,252.70,243.76,236.35,234.01,225.95,218.29,218.65,220.13,220.67,223.73,231.53
2014-01-31 22:12:52.806000,L8,,106.06,163.70,228.73,244.95,251.56,251.79,246.36,249.54,253.71,243.44,233.86,231.34,225.32,217.57,217.56,223.28,223.67,216.83,227.74
