dates,nzd0316-0000,nzd0316-0001,nzd0316-0002,nzd0316-0003,nzd0316-0004,nzd0316-0006,nzd0316-0007,nzd0316-0008,nzd0316-0009,nzd0316-0010,nzd0316-0011,nzd0316-0012,nzd0316-0014,nzd0316-0015,nzd0316-0016,nzd0316-0017,nzd0316-0018,nzd0316-0019,nzd0316-0020,nzd0316-0021,nzd0316-0022,nzd0316-0023,nzd0316-0024,nzd0316-0025,nzd0316-0026,nzd0316-0028,nzd0316-0029,nzd0316-0030,nzd0316-0031,nzd0316-0032,nzd0316-0033,nzd0316-0034,nzd0316-0035,nzd0316-0036,nzd0316-0037,nzd0316-0038,nzd0316-0039,nzd0316-0041,nzd0316-0042,nzd0316-0043,nzd0316-0044,nzd0316-0045,nzd0316-0046,nzd0316-0005,nzd0316-0013,nzd0316-0027,nzd0316-0040,satname
1999-08-26 22:05:56+00:00,278.84,261.39,258.87,253.37,256.58,215.36,255.22,250.31,242.7,226.83,248.43,249.16,247.74,233.49,247.21,260.09,,256.87,,,248.48,255.18,240.17,,,272.17,280.36,,290.84,290.24,287.86,287.68,283.56,287.42,273.75,309.13,,,,,287.15,281.48,290.07,,,,,L7
1999-09-27 22:06:00+00:00,276.235,262.90999999999997,255.95499999999998,253.7,253.08999999999997,230.35500000000002,254.385,253.115,242.69,229.885,256.4,250.29500000000002,249.965,232.63,250.60000000000002,262.53999999999996,280.63,264.46000000000004,307.94,,258.49,261.66499999999996,241.445,283.45,284.7,274.06,280.36,,290.84,273.565,286.99,288.255,290.31,294.4,285.25,309.18,271.0,266.34,284.91,274.15,283.235,281.15,288.4,252.67,212.68,292.87,,L7
1999-11-30 22:05:47+00:00,268.3533333333333,260.08,253.65333333333334,251.91333333333333,251.21666666666667,233.82000000000002,251.39333333333335,253.115,243.24666666666667,229.77333333333334,256.4,250.57000000000002,247.15,224.28333333333333,248.29666666666665,262.53999999999996,280.63,264.46000000000004,307.94,,258.49,250.92,241.445,283.45,284.7,274.06,280.36,,290.84,273.565,286.99,288.255,274.44666666666666,280.4766666666667,272.8066666666667,288.8833333333333,255.805,266.34,284.91,274.15,283.235,281.15,288.4,250.26999999999998,220.59,292.87,184.86,L7
1999-12-16 22:05:57+00:00,271.575,261.78,255.02,253.245,252.4325,242.7175,255.7,259.30333333333334,251.4325,229.77333333333334,264.94,255.03,247.15,224.28333333333333,258.07500000000005,271.82666666666665,285.075,268.3533333333333,288.975,292.41,263.36333333333334,250.92,244.12333333333333,273.43,275.735,271.04,274.015,240.09,282.30999999999995,276.10999999999996,287.57666666666665,281.71666666666664,275.89250000000004,281.6625,274.5525,286.76750000000004,259.74,266.41499999999996,277.15,268.57,282.8233333333333,282.33666666666664,286.62,254.90666666666667,236.35666666666665,277.555,200.32,L7
2000-03-05 22:05:36+00:00,269.15333333333336,261.90999999999997,253.73666666666668,253.20333333333335,251.05000000000004,251.83666666666667,255.85999999999999,279.26666666666665,267.8125,231.245,273.19499999999994,256.9866666666667,246.85500000000002,219.68,261.6966666666667,284.75,285.075,274.09499999999997,288.975,310.32000000000005,283.19666666666666,248.79,246.10000000000002,281.7366666666667,275.735,270.475,276.90999999999997,255.33999999999997,280.97,275.23,293.18333333333334,278.735,273.33666666666676,279.74333333333334,274.82,283.71250000000003,270.29,271.45666666666665,280.15333333333336,268.57,280.66,282.765,291.5,254.90666666666667,236.35666666666665,277.555,200.32,L7
2000-03-21 22:05:37+00:00,269.095,260.285,253.41250000000002,252.735,250.345,251.83666666666667,253.0975,270.2625,262.698,230.59333333333333,265.57666666666665,254.7525,246.85500000000002,219.68,261.6966666666667,284.75,285.075,253.38,278.48333333333335,310.32000000000005,276.65,249.62666666666667,244.96,270.595,275.735,270.475,276.90999999999997,255.33999999999997,280.97,275.23,293.18333333333334,278.735,264.82500000000005,274.515,267.6225,275.516,270.29,271.45666666666665,280.15333333333336,260.96,279.76,272.3533333333333,291.5,251.69,233.475,277.555,200.32,L7
2000-05-08 22:05:09+00:00,264.78249999999997,258.8825,252.22500000000002,252.10250000000002,251.2525,254.12333333333333,253.4375,268.82,264.88199999999995,223.62666666666667,249.51,253.43,241.52,203.53,260.08,294.63,289.52,234.87,256.23999999999995,310.32000000000005,272.9975,232.14333333333335,246.07999999999998,266.31,266.77,265.0,276.90999999999997,255.33999999999997,280.97,284.40000000000003,296.715,268.64,250.8625,255.3,256.755,260.374,270.05333333333334,274.015,277.775,254.365,279.98,268.12,293.885,251.91500000000002,235.10500000000002,262.24,200.32,L7
2000-09-13 22:03:38+00:00,257.5733333333333,247.41,247.21333333333334,249.45666666666668,250.85333333333332,264.41,249.85999999999999,246.70000000000002,237.98666666666668,219.86333333333332,227.08333333333334,246.5666666666667,,199.47,249.14,,,214.235,249.355,,255.45,233.50000000000003,242.68,237.17,,,,,,,,,240.25,241.67499999999998,249.65499999999997,238.12500000000003,,264.64,260.12,253.915,267.84000000000003,251.53,,255.26333333333332,214.29999999999998,,,L7
2000-10-31 22:03:22+00:00,257.9533333333333,248.25,246.90333333333334,247.86666666666665,250.89,264.41,249.05,249.43,238.83666666666667,220.85666666666665,227.75333333333333,247.87,245.32,213.10500000000002,246.67,255.63,,236.07999999999998,245.015,,254.855,233.62,237.52,232.18,,,,,,,,,238.41500000000002,237.0,250.94,238.63,,264.64,260.12,262.09,257.72,,,261.875,208.27999999999997,,,L7
2001-01-03 22:03:24+00:00,266.73333333333335,251.82666666666668,251.2966666666667,246.04999999999995,249.72,276.61,254.21500000000003,257.515,243.39666666666665,236.88000000000002,247.79666666666665,256.00666666666666,262.15,248.95999999999998,262.13,267.8,277.05,264.355,259.82,,264.90999999999997,262.365,243.32,248.125,261.94,270.64,314.77,240.99,,,,,235.62,249.48,248.6,243.74,334.9,270.645,260.12,262.09,257.72,,317.87,270.18,202.82,263.0,,L7
