dates,satname,nzd0289-0000,nzd0289-0001,nzd0289-0002,nzd0289-0003,nzd0289-0004,nzd0289-0007,nzd0289-0008,nzd0289-0009,nzd0289-0012,nzd0289-0013,nzd0289-0014,nzd0289-0015,nzd0289-0016,nzd0289-0017,nzd0289-0005,nzd0289-0006,nzd0289-0010,nzd0289-0011
1999-08-21 21:46:56.985000,L7,,,383.93,333.15,344.43,341.57,348.75,357.64,281.45,294.29,302.51,293.94,377.81,,314.41,324.36,,
1999-08-28 21:53:11.984000,L7,342.17,297.36,324.88,321.33,333.32,371.57,380.54,359.29,278.94,289.61,301.15,293.72,319.32,345.61,,,,
1999-09-22 21:47:00.785000,L7,354.55,324.37,323.85,331.45,333.72,283.81,291.07,291.32,,,340.73,337.03,331.71,386.79,343.98,360.73,372.11,
1999-09-29 21:53:16.190000,L7,,,344.17,340.01,335.12,333.93,341.52,358.03,273.80,299.41,321.32,359.06,330.50,351.42,346.97,345.34,373.44,
1999-10-24 21:46:56.203000,L7,359.82,343.87,334.65,343.26,354.12,338.42,341.88,347.27,275.54,318.03,338.01,358.98,393.43,,350.58,364.63,,
1999-10-31 21:53:08.082000,L7,354.77,335.28,351.26,349.24,349.96,356.74,358.12,388.21,368.30,382.76,376.46,366.12,363.62,411.15,358.56,359.04,375.84,356.18
2000-01-19 21:53:01.775000,L7,,367.83,362.88,360.17,384.75,379.07,,,,,,,,,373.67,375.80,,
2000-02-04 21:53:01.324000,L7,352.94,336.24,373.81,,,,,,,,,,,,,,,
2000-02-13 21:46:48.016000,L7,,,,374.01,345.27,356.94,360.33,309.73,,,,361.26,339.53,349.06,351.85,344.47,,
2000-02-20 21:52:53.613000,L7,349.09,351.40,384.94,351.78,352.34,367.90,372.25,359.46,374.03,333.42,360.27,,,,360.57,369.35,,
2000-04-01 21:46:34.573000,L7,,,,,,,,,281.18,282.14,282.34,289.38,300.84,308.37,,,,
2000-05-03 21:46:19.161000,L7,,,,,,,,,348.22,369.21,360.81,387.16,,,,,,395.24
2000-05-19 21:46:07.873000,L7,,,,,,355.43,361.42,364.58,305.97,361.03,376.63,351.19,358.81,360.41,,276.19,375.61,297.29
2000-07-13 21:51:43.794000,L7,,,,,,,,,281.35,309.35,340.43,338.56,332.70,393.63,,,,
2000-07-29 21:51:26.388000,L7,,,,,,,,,276.96,306.82,328.02,333.63,346.61,358.96,,,,
2000-08-07 21:45:08.975000,L7,,,,,,,,,,289.69,292.19,295.97,312.51,312.56,,,,
2000-08-14 21:51:20.176000,L7,332.95,286.17,314.37,335.37,341.38,,,,268.00,295.53,319.83,303.27,336.26,379.53,,,,
2000-09-15 21:50:49.667000,L7,,,,,,,,,262.36,294.73,300.57,281.73,352.23,357.72,,,276.62,274.54
2000-10-26 21:44:22.850000,L7,345.80,316.62,321.84,327.39,324.62,,,,376.72,337.74,368.65,361.13,369.96,366.08,280.19,,,
2000-11-27 21:44:26.720000,L7,,,,,,388.26,383.43,383.76,388.80,388.92,394.01,,,,,,382.00,390.20
2000-12-13 21:44:28.287000,L7,,,,,,319.09,316.74,,280.86,333.58,400.42,382.27,,,,286.40,,
2001-01-05 21:50:40.530000,L7,,,362.11,371.04,363.81,361.48,,,,,,355.89,354.90,358.84,334.96,365.36,,
2001-01-14 21:44:33.150000,L7,337.42,364.18,334.03,338.79,329.00,,,,286.80,322.17,328.44,317.21,328.01,357.43,278.24,,,
2001-01-21 21:50:46.402000,L7,352.86,362.49,364.73,355.42,354.49,289.70,349.33,305.31,355.28,357.20,345.11,337.03,345.55,356.00,340.37,341.44,,342.08
2001-03-10 21:50:34.795000,L7,,,,,,,,,,,268.11,308.06,361.74,377.51,,,,
2001-04-04 21:44:06.948000,L7,380.60,354.65,362.13,373.66,364.25,319.47,368.67,378.05,,,,,,,329.11,340.37,383.09,
2001-04-20 21:44:10.657000,L7,348.25,328.10,324.35,,,,,,294.06,326.87,336.25,363.32,371.81,377.52,,,,281.74
2001-05-22 21:43:54.652000,L7,,,,,,,,,308.89,310.79,303.40,,,,,,,
2001-09-11 21:42:38.257000,L7,,370.60,325.31,326.56,323.72,,,,289.11,378.48,377.62,358.79,,,290.23,,,272.17
2001-09-18 21:48:41.296000,L7,338.81,295.04,369.60,334.38,325.39,,,,286.06,308.51,323.84,318.51,362.26,353.95,,,,
2001-10-13 21:42:15.922000,L7,,318.16,325.34,332.34,328.36,,,,286.01,339.45,327.22,319.77,329.13,387.83,299.89,300.40,,
2001-10-29 21:42:21.289000,L7,344.19,333.98,335.72,336.46,336.82,374.15,309.68,,,,366.27,368.72,348.48,345.62,355.29,370.32,,
2002-01-17 21:42:52.816000,L7,340.87,333.36,331.54,338.28,331.66,327.75,,,340.16,342.79,360.62,339.18,343.04,349.98,331.75,276.50,,312.89
2002-02-02 21:42:54.721000,L7,331.98,292.77,321.96,315.68,315.51,,,,271.18,293.85,304.84,297.94,330.86,345.67,,,,
2002-02-18 21:42:54.191000,L7,346.12,291.50,325.80,325.71,335.01,,,,,,,,,,,,,
2002-02-25 21:49:11.892000,L7,392.03,387.85,346.55,345.10,363.16,342.81,335.56,330.91,,375.57,394.78,392.98,367.37,363.90,349.17,354.78,362.49,379.67
2002-03-22 21:42:52.399000,L7,347.29,299.15,317.13,325.50,342.64,,,,275.49,298.96,299.06,298.61,309.87,340.42,,,,
2002-04-07 21:42:52.870000,L7,370.04,344.33,378.52,360.32,347.64,317.47,,,286.97,311.16,333.79,319.16,336.24,350.85,350.19,348.70,,292.47
2002-04-14 21:49:02.545000,L7,344.16,331.94,341.63,338.48,341.78,317.95,,,290.16,314.46,345.41,351.38,356.79,352.69,383.34,333.17,,304.30
2002-07-19 21:48:33.434000,L7,,,,,,,,,293.96,300.79,302.26,317.62,311.09,331.47,,,,272.76
2002-09-05 21:48:14.221000,L7,,,,,,,,,,385.90,379.14,383.26,380.05,372.15,,,,
2002-09-14 21:41:55.072000,L7,,,,,,,,,,,,336.54,329.45,334.28,,,,
2002-09-30 21:41:47.719000,L7,409.65,348.29,366.36,380.12,388.55,,,,280.15,292.59,301.57,330.55,340.51,338.96,,,,275.06
2002-10-23 21:48:03.157000,L7,,,,,,321.31,331.30,338.22,374.24,372.11,360.81,390.88,,,,,352.88,362.92
2002-11-01 21:41:54.382000,L7,348.96,339.56,340.47,343.80,327.01,,,,,362.65,351.04,349.96,338.03,346.98,275.31,,,
